,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Personal Notes,Speedrun,Main+Extras,Completionist,Progress
28,869,agent_tex,,3h,NR,,10404,Completed,First,,3h,,,,,
29,869,blarnabusvex,PC,3h,NR,,3296190,Completed,First,"February 14, 2016",3h,,,,,
30,869,darkfeatherx,PC,3h,NR,Rushed through the story while only upgrading the pike and the mortar,5106920,Completed,Replay,,3h,,,,,
31,869,jayunderscore_,PC,3h,NR,,320699,Completed,First,"May 27, 2014",3h,,,,,
32,869,ripforever,PC,3h,NR,,11534143,Completed,First,,3h,,,,,
33,869,sackboy97,PC,3h,90%,,8628564,Completed,Replay,May 2019,3h,,,,,
34,869,tomhennessey,PC,3h,60%,,876411,Completed,First,"December 31, 2014",3h,,,,,
35,869,xJakeyy,PC,3h,NR,,371930,Completed,First,"August 12, 2013",3h,,,,,
36,869,xJavontax,PC,3h,NR,,564925,Completed,First,,3h,,,,,
37,869,Slizzard,PC,3h 02m,NR,,251922,Completed,First,"February 16, 2013",3h 02m 37s,,,,,
38,869,Private,iOS,3h 07m,70%,,11182825,Completed,First,"March 29, 2020",3h 07m,,,,,
39,869,,PC,3h 14m,NR,,1092644,Completed,First,,3h 14m 32s,,,4h 22m 51s,6h 07m 16s,
40,869,UnequalCheese40,PC,3h 15m,NR,,9366776,Completed,First,"August 15, 2019",3h 15m,,,,,
41,869,GHostLPs,PC,3h 18m,NR,,7416858,Completed,First,"November 10, 2018",3h 18m,,,,,
42,869,HibikiRush,PC,3h 20m,NR,,959511,Completed,First,"November 07, 2014",3h 20m,,,,,
43,869,Yeshu,PC,3h 20m,NR,,4575199,Completed,First,"June 15, 2017",3h 20m,,,,,
44,869,Private,PC,3h 20m,NR,,522063,Completed,First,"February 25, 2014",3h 20m,,,,,
45,869,,PC,3h 20m,NR,,5211904,Completed,First,,3h 20m 34s,,,,,
46,869,R_Masamune,PC,3h 27m,70%,,8648597,Completed,First,"March 12, 2017",3h 27m,,,,,
47,869,Private,PC,3h 27m,60%,,8665395,Completed,First,"February 18, 2018",3h 27m,2/18 - 2/18,,,,
48,869,Minhs2,PC,3h 28m,70%,,5471624,Completed,First,"December 16, 2017",3h 28m 54s,,,,,
49,869,limitlessbritt,PC,3h 28m,70%,,8112497,Completed,First,"January 18, 2020",3h 28m 57s,,,,,
50,869,Antrakos,Nintendo Switch,3h 30m,NR,,8519813,Completed,First,"March 26, 2019",3h 30m,,,,,
51,869,HalcyonZW,PC,3h 30m,90%,,6546026,Completed,Replay,"July 08, 2018",3h 30m,,,,,
52,869,Private,PC,3h 30m,90%,,4268047,Completed Retired,First,"April 03, 2017",3h 30m,,,,,
53,869,flagrama,PC,3h 30m,NR,,5087660,Backlog Completed,First,"September 27, 2017",3h 30m,,,,,3h 30m /
54,869,Private,PC,3h 30m,70%,,10971,Completed,First,"September 02, 2012",3h 30m,,,,,
55,869,n_wist,PC,3h 30m,90%,100% achievements,938547,Completed,Replay,"September 15, 2013",3h 30m,,,8h,18h,
56,869,Private,PC,3h 30m,80%,,1032955,Completed,First,"November 23, 2014",3h 30m,,,4h 30m,,
57,869,tucotuti,iOS,3h 30m,80%,,2229339,Completed,First,"March 14, 2014",3h 30m,,,6h,,
58,869,Private,PC,3h 31m,NR,,8098571,Completed,First,"January 22, 2019",3h 31m,,,,,
59,869,,PC,3h 36m,NR,,8559188,Completed,First,,3h 36m,,,,,
60,869,NBSN,PC,3h 40m,70%,,1190180,Completed,First,,3h 40m,,,,,
61,869,Valcombird,PC,3h 40m,NR,,4535820,Completed,First,,3h 40m,,,,,
62,869,jc238090,PC,3h 40m,NR,,3972792,Completed,First,"January 26, 2017",3h 40m,,,,,
63,869,Yojik102,PC,3h 42m,NR,,11746811,Completed,First,"May 15, 2020",3h 42m,,,,,
64,869,benandorf,PC,3h 45m,NR,,154030,Completed,First,"July 18, 2012",3h 45m,,,,,
65,869,janusphoenix,Nintendo Switch,3h 46m,100%,,8891069,Completed,First,"July 12, 2019",3h 46m 23s,,,,,
66,869,Tredil,PC,3h 48m,90%,,7342827,Completed,First,"October 27, 2018",3h 48m,,,,,
67,869,Fallstor,PC,3h 50m,80%,,427717,Completed,First,"September 29, 2013",3h 50m,,,,,
68,869,SarcasmAbound,PC,3h 51m,80%,Normal difficulty.,2263259,Playing Completed,First,"March 19, 2017",3h 51m 22s,,,,,3h 51m 22s /
69,869,Private,PC,3h 54m,NR,,3254226,Completed,First,"July 23, 2016",3h 54m,,,,,
70,869,Rispir,PC,3h 55m,NR,,6183600,Completed,First,"April 28, 2018",3h 55m,,,,,
71,869,Private,PC,3h 55m,70%,,3190614,Completed,First,"September 30, 2016",3h 55m 42s,,,,,
72,869,apolloviper03,PC,3h 56m,90%,,1286419,Completed,First,"March 17, 2016",3h 56m 18s,,,,,
73,869,,PC,4h,NR,,294443,Completed,First,,4h,,,,,
74,869,,PC,4h,NR,,294461,Completed,First,,4h,,,,,
75,869,,PC,4h,NR,,298635,Completed,First,,4h,,,,,
76,869,,PC,4h,NR,,380311,Completed,First,,4h,,,,,
77,869,,PC,4h,NR,,472791,Completed,First,,4h,,,,,
78,869,,PC,4h,NR,,688692,Completed,First,,4h,100% of achievements complete.,,6h,22h,
79,869,,PC,4h,NR,,740973,Completed,First,,4h,,,,,
80,869,,PC,4h,NR,,866885,Completed,First,,4h,,,,,
81,869,,PC,4h,NR,,3247818,Completed,First,,4h,,,,,
82,869,,PC,4h,NR,,3729769,Completed,First,,4h,,,,,
83,869,Adodero,PC,4h,NR,,189651,Completed,First,,4h,,,,,
84,869,Aeron_ZX,Nintendo Switch,4h,NR,,10176492,Completed,First,"October 02, 2019",4h,,,,,
85,869,Allicere,PC,4h,NR,,6800609,Completed,First,"August 09, 2018",4h,,,,,
86,869,BrittleBonesJones,PC,4h,90%,,10730988,Completed,First,,4h,,,,,
87,869,CandyStrike,PC,4h,70%,,8613109,Completed,First,"July 04, 2016",4h,,,,,
88,869,DJKeebz,iOS,4h,90%,,468938,Completed,First,"November 06, 2013",4h,,,,,
89,869,Daser,PC,4h,NR,,1588151,Completed,First,"May 07, 2013",4h,,,,,
90,869,Fazzaaa,PC,4h,NR,,219540,Completed,First,,4h,,,,,
91,869,FireFox458,PC,4h,NR,,4997053,Completed,First,"September 02, 2017",4h,,,,,
92,869,JustL2Q,PC,4h,90%,,3862399,Completed,First,"January 03, 2017",4h,,,,,
93,869,Kwixzii,PC,4h,60%,,10286784,Completed,First,,4h,,,,,
94,869,Loks,PC,4h,NR,,8283211,Completed,First,"January 01, 2019",4h,,,,,
95,869,Moonborne,Nintendo Switch,4h,100%,Almost exclusively just main content. Didn't bother with most of the challenges.,10425358,Completed,First,"September 27, 2019",4h,Evacuation ending.,,,,
96,869,Nathanguydude,PC,4h,90%,,11141276,Completed,First,,4h,,,,,
97,869,Nekowanyaa,PC,4h,80%,,682808,Completed,First,"March 28, 2014",4h,,,8h,10h,
98,869,Odma,Nintendo Switch,4h,70%,,10167516,Completed,First,"October 01, 2019",4h,,,,,
99,869,Private,PC,4h,NR,,1429165,Completed,First,,4h,,,,,
100,869,PlushWraith,PC,4h,NR,,412377,Completed,First,September 2013,4h,,,4h 45m,,
101,869,Rodanz,PC,4h,NR,"Awesome story, I wasn't invested in the gameplay as much so I mostly ignored the extra challenges.",1099215,Completed,First,,4h,"I only bothered with some of the extra challenges but, personally, I didn't find the gameplay to be all that interesting. The story, characters and world are what makes this game a must play.",,,,
102,869,Seventeenpounds,PC,4h,NR,,8354907,Completed,First,"February 24, 2019",4h,,,,,
103,869,SirMorokei,PC,4h,NR,,10646410,Completed,First,"December 24, 2019",4h,,,,,
104,869,Skarfelt,PC,4h,NR,,5090805,Completed,First,"June 27, 2017",4h,,,,,
105,869,Speedy_Von_Gofast,PC,4h,80%,,3314159,Completed,First,"August 29, 2014",4h,,,,,
106,869,Tarrmu,Nintendo Switch,4h,NR,,9433386,Completed,First,"April 30, 2020",4h,,,,,
107,869,TeleoFire,PC,4h,NR,,10344538,Completed,First,"November 01, 2019",4h,,,,,
108,869,Private,PC,4h,90%,,4910957,Completed,First,"November 03, 2017",4h,,,,,
109,869,Tirach,PC,4h,90%,,5789175,Completed,First,"February 07, 2018",4h,,,,,
110,869,Tumist,PC,4h,NR,,1152161,Completed,First,"July 28, 2013",4h,,,,,
111,869,TurtleWake,PC,4h,NR,,324959,Completed,First,"July 19, 2013",4h,,,,,
112,869,Yattaze,PC,4h,NR,,11626413,Completed,First,,4h,,,,,
113,869,akkiv,PC,4h,NR,,1127083,Completed,First,,4h,,,,,
114,869,Private,PC,4h,NR,,1407482,Completed,First,,4h,,,,,
115,869,bielzishot,PC,4h,NR,,2827940,Completed,First,,4h,,,,,
116,869,buggyjug,PC,4h,NR,,6412519,Completed,First,"June 15, 2018",4h,,,,,
117,869,cococontagious,PC,4h,70%,,403786,Completed,First,"July 31, 2013",4h,,,,,
118,869,coleneff,Nintendo Switch,4h,NR,,9618866,Completed,First,"September 22, 2019",4h,,,,,
119,869,crocotortoise,PC,4h,NR,,1401708,Completed,First,,4h,,,,,
120,869,dlrdlrdlr,PC,4h,NR,,554202,Completed,First,"January 04, 2014",4h,,,,,
121,869,dmonaco,PC,4h,NR,,10805278,Completed,First,"January 18, 2020",4h,,,,,
122,869,greatjhawk,PlayStation 4,4h,NR,,2515114,Completed,First,"May 19, 2016",4h,,,,,
123,869,huntercellist,Mac,4h,NR,,9514260,Completed,First,"September 01, 2019",4h,,,,,
124,869,ian7j2,PC,4h,NR,,124549,Completed,First,"August 06, 2012",4h,,,,,
125,869,kevacoustic,Nintendo Switch,4h,NR,,11387730,Completed,First,"April 08, 2020",4h,,,,,
126,869,llanowor,PC,4h,NR,,4221629,Completed,First,"December 01, 2012",4h,,,,,
127,869,mbrick91,PC,4h,NR,,3506436,Completed,First,"October 10, 2016",4h,,,,,
128,869,mightyelk,PC,4h,NR,,4208941,Completed,First,,4h,,,,,
129,869,Private,Xbox One,4h,60%,,7450798,Completed,First,"August 11, 2019",4h,,,,,
130,869,rasputiddies,PC,4h,70%,,11601016,Completed,First,"May 06, 2020",4h,,,,,
131,869,razzlo,PC,4h,NR,,215091,Completed,First,"December 29, 2012",4h,,,,,
132,869,ryuson2000,PC,4h,NR,,7910185,Completed,First,"January 01, 2019",4h,,,,,
133,869,Private,PC,4h,NR,,1035334,Completed,First,"November 26, 2014",4h,,,,,
134,869,stockground,PC,4h,90%,,35292,Completed,First,,4h,,,,,
135,869,thesn00ze,PC,4h,100%,,616676,Completed,First,"January 26, 2013",4h,,,,20h,
136,869,unluckyprimes,PC,4h,60%,,11479499,Completed,First,"June 12, 2016",4h,,,,,
137,869,uvehj,PC,4h,NR,,978092,Completed,First,"October 15, 2014",4h,,,,,
138,869,yigitkoparan123,PC,4h,70%,,5475935,Completed,First,"December 17, 2017",4h,,,,,
139,869,Scorpus,PC,4h 02m,60%,,1133806,Completed,First,"August 18, 2015",4h 02m,,,,,
140,869,telt,PC,4h 02m,NR,,4707810,Completed,First,"July 06, 2017",4h 02m 33s,,,,,
141,869,,PC,4h 03m,NR,,1021359,Completed,First,,4h 03m,,,,,
142,869,Pega,PC,4h 05m,70%,,10757600,Completed,First,,4h 05m,,,,,
143,869,lpfreaky90,PC,4h 05m,90%,,179930,Completed,First,,4h 05m,,,,,
144,869,shaib,PC,4h 05m,NR,,10898149,Completed,First,"January 27, 2020",4h 05m,,,,,
145,869,wenchwogg,PC,4h 05m,80%,excellent style!,552,Completed,First,,4h 05m,,,,,
146,869,Xxracso40xX,PC,4h 06m,90%,,7771780,Completed,First,"December 18, 2018",4h 06m,,,,,
147,869,,,4h 10m,NR,,294419,Completed,First,,4h 10m,,,,,
148,869,,PC,4h 10m,NR,,501418,Completed,First,,4h 10m,,,,,
149,869,SorensenxD,PlayStation 4,4h 10m,NR,,5891209,Completed,First,"March 03, 2018",4h 10m,,,,,
150,869,amal,Mac,4h 10m,70%,,845882,Completed,First,"August 04, 2014",4h 10m,,,,,
151,869,brettyoshi9,PC,4h 10m,30%,,3977618,Completed,First,"January 07, 2017",4h 10m,,,,,
152,869,,PC,4h 12m,NR,,294389,Completed,First,,4h 12m,,,,,
153,869,,PC,4h 12m,NR,,1411222,Completed,First,,4h 12m,,,,,
154,869,Sporkified5812,PC,4h 12m,70%,,94218,Completed,First,"July 26, 2012",4h 12m,,,,,
155,869,Everdred,PC,4h 12m,90%,,111,Completed,First,November 2011,4h 12m 08s,,,,,
156,869,Eltore,PC,4h 12m,NR,,756143,Completed,First,"June 12, 2014",4h 12m 55s,,,,,
157,869,ViMaSter,PC,4h 13m,NR,,1123520,Completed,First,"January 14, 2015",4h 13m 43s,,,,,
158,869,Milanmano,PC,4h 14m,NR,,1999000,Completed,First,,4h 14m,,,,,
159,869,,PC,4h 15m,NR,,5610823,Completed,First,,4h 15m,,,,,
160,869,Benzhebuth,PC,4h 15m,90%,,10528341,Completed,First,"December 03, 2019",4h 15m,,,,,
161,869,DarkWeavel,PC,4h 15m,NR,,10951348,Completed,First,"May 18, 2013",4h 15m,,,,,
162,869,LamarVultureMan,PC,4h 15m,NR,,8392620,Completed,First,,4h 15m,,,,,
163,869,chaosking121,PC,4h 15m,NR,Only one playthough in about 3-5 sittings.,158059,Completed,First,"July 12, 2012",4h 15m,,,,,
164,869,mdb37,PC,4h 15m,NR,,26524,Completed,First,"July 26, 2012",4h 15m,,,,,
165,869,deviser,PC,4h 16m,90%,,8513350,Completed,First,"January 01, 2020",4h 16m,,,,,
166,869,Nightblade1,PlayStation 4,4h 17m,90%,Saved Zulf and picked the Evacuation ending,5535925,Completed,First,"April 13, 2018",4h 17m 02s,,,,,
167,869,Benebec,PC,4h 18m,NR,,1541528,Completed,First,"June 01, 2012",4h 18m,,,,,
168,869,DarkWeavel,PC,4h 18m,NR,,1842463,Completed,First,"June 18, 2013",4h 18m,,,,,
169,869,bdzz,PC,4h 18m,NR,,755946,Completed,First,"November 01, 2019",4h 18m,,,,,
170,869,,PC,4h 20m,NR,,359334,Completed,First,,4h 20m,,,,,
171,869,,PC,4h 20m,NR,,733680,Completed,First,,4h 20m,,,,,
172,869,,PC,4h 20m,NR,,1876425,Completed,First,,4h 20m,,,,,
173,869,,PC,4h 20m,NR,,6287580,Completed,First,,4h 20m,,,,,
174,869,HearPcGaming,PC,4h 20m,NR,,11829097,Completed,First,"February 04, 2020",4h 20m,,,,,
175,869,MrRibena,PC,4h 20m,NR,,5312904,Replay Completed,Replay,"July 12, 2017",4h 20m,,,,,4h 40m /
176,869,Tonokai,PC,4h 20m,NR,,6522838,Completed,First,"July 04, 2018",4h 20m,,,,,
177,869,Private,PC,4h 20m,80%,,543510,Completed,First,"December 31, 2013",4h 20m,,,,,
178,869,Homesick89,PC,4h 21m,70%,,6668258,Completed,First,"July 28, 2018",4h 21m 50s,,,,,
179,869,VirarNeeda,PC,4h 22m,20%,First playthrough.,720790,Completed,First,"May 08, 2014",4h 22m,,,,,
180,869,MetallicFever316,PC,4h 23m,100%,"Explored the levels, only 1 proving grounds. Saved and restored.",1089969,Completed,First,"January 01, 2015",4h 23m 39s,,,,,
181,869,,PC,4h 24m,NR,,687759,Completed,First,,4h 24m,,,,,
182,869,MorteCaldo,PC,4h 24m,NR,,7166373,Completed,First,"October 02, 2018",4h 24m,,,,,
183,869,,PC,4h 25m,NR,I just played it,3408084,Completed,Replay,,4h 25m,,,,,
184,869,inmuse,Xbox 360,4h 25m,NR,120/200G,3231081,Completed,First,"December 22, 2019",4h 25m,"[12/17/19] Started playing
[12/22/19] Finished Main+",,,,
185,869,MiyazuHime,PC,4h 26m,70%,,25951,Completed,First,,4h 26m,,,,,
186,869,firegamer273,PC,4h 27m,NR,,6950105,Completed,First,"March 08, 2020",4h 27m 48s,,,,,
187,869,,PC,4h 30m,NR,,294434,Completed,First,,4h 30m,,,,,
188,869,,PC,4h 30m,NR,,294468,Completed,First,,4h 30m,,,,,
189,869,,,4h 30m,NR,,395349,Completed,First,,4h 30m,,,,,
190,869,,PC,4h 30m,NR,,3635593,Completed,First,,4h 30m,,,,,
191,869,,PC,4h 30m,NR,,7404986,Completed,First,,4h 30m,,,,,
192,869,Athruntalan,PC,4h 30m,80%,Didn't do any proving ground missions.,3790716,Completed,First,"January 02, 2017",4h 30m,,,,,
193,869,Hammerkop,PlayStation 4,4h 30m,80%,,1285146,Completed,First,"April 08, 2015",4h 30m,,,,,
194,869,JacobMckinley,PC,4h 30m,100%,,1560179,Completed,First,"August 08, 2015",4h 30m,,,,,
195,869,Private,PC,4h 30m,NR,,626676,Completed,First,"February 12, 2014",4h 30m,,,,,
196,869,Lambda,PC,4h 30m,NR,,142558,Completed,First,"July 01, 2012",4h 30m,,,,,
197,869,Lotark,PC,4h 30m,NR,,1492126,Completed,First,"July 25, 2015",4h 30m,,,,,
198,869,MicShadow,,4h 30m,NR,,53290,Completed,First,,4h 30m,,,,,
199,869,Private,PC,4h 30m,NR,,335169,Completed,First,"July 22, 2013",4h 30m,,,,,
200,869,XDDX,PC,4h 30m,80%,,48236,Completed,First,,4h 30m,,,,,
201,869,blutank24,PC,4h 30m,NR,New Game Plus,2393891,Completed,Replay,"January 09, 2016",4h 30m,,,,,
202,869,brownmagic,PC,4h 30m,NR,,8676728,Completed,First,"August 06, 2012",4h 30m,,,,,
203,869,cabal901,,4h 30m,NR,,26826,Completed,First,,4h 30m,,,,,
204,869,catmuffin,PC,4h 30m,70%,33% steam achievements,8817637,Completed,First,"May 03, 2020",4h 30m,,,,,
205,869,fetahundenyoda,PC,4h 30m,70%,,4790835,Completed,First,"July 18, 2017",4h 30m,,,,,
206,869,haln,PC,4h 30m,90%,,298280,Completed,First,"June 23, 2013",4h 30m,,,,,
207,869,infylos,PC,4h 30m,NR,,2541895,Completed,First,"July 11, 2019",4h 30m,,,,,
208,869,jwalish,PC,4h 30m,NR,,3734474,Completed,First,,4h 30m,,,,,
209,869,Private,PC,4h 30m,NR,,1211699,Completed,First,,4h 30m,,,,,
210,869,pavlov,Nintendo Switch,4h 30m,NR,,10322315,Completed,First,"September 16, 2019",4h 30m,"Enjoyed my playthrough, especially for the $3 I paid. However, it's not really a game I would ever return to.",,,,
211,869,seant4427,PC,4h 30m,90%,,29363,Completed,First,"January 30, 2013",4h 30m,,,,,
212,869,slickochet,PC,4h 30m,80%,,4514,Completed,First,"September 22, 2011",4h 30m,,,,,
213,869,sonsum,PC,4h 30m,NR,,737627,Completed,First,"May 25, 2014",4h 30m,,,,,
214,869,sssoupy,PC,4h 30m,70%,,5117926,Completed,First,"June 30, 2017",4h 30m,,,,,
215,869,thelpmm,PC,4h 30m,NR,,8127604,Completed,First,"January 26, 2019",4h 30m,,,,,
216,869,vegs,PC,4h 30m,70%,,2002182,Completed,First,"December 19, 2015",4h 30m,,,,,
217,869,ComeT,PC,4h 32m,70%,,5970709,Completed,First,"February 17, 2018",4h 32m,,,,,
218,869,AceofFades,PC,4h 34m,80%,,10624755,Completed,First,"December 27, 2019",4h 34m,,,,,
219,869,Flourite,PC,4h 35m,80%,,2763521,Completed,First,"June 05, 2016",4h 35m,,,,,
220,869,Muuhiro,PC,4h 35m,60%,no looking back ending,10197184,Completed,First,"April 10, 2020",4h 35m,,,,,
221,869,RAVEN_OF_WAR,PC,4h 35m,NR,,6015738,Completed,First,"June 16, 2019",4h 35m,,,,,
222,869,Ravyu,PC,4h 35m,NR,,2295333,Completed,First,"December 28, 2015",4h 35m,,,,,
223,869,,PC,4h 36m,NR,,879920,Completed,First,,4h 36m,,,,,
224,869,Skikkiks,PC,4h 36m,70%,,6290622,Completed,First,"January 03, 2014",4h 36m,,,,,
225,869,Private,PC,4h 36m,NR,,5293607,Completed,First,,4h 36m,,,,,
226,869,Private,PC,4h 36m,NR,,11445635,Completed,First,"March 30, 2019",4h 36m,,,,,
227,869,zfleeman,PC,4h 36m,80%,,113372,Completed,First,"March 04, 2013",4h 36m,,,,,
228,869,TurnaboutDiamond,PC,4h 38m,90%,,5765505,Completed,First,"January 03, 2019",4h 38m,,,,,
229,869,Daniel036,PC,4h 40m,NR,,219673,Completed,First,"January 03, 2013",4h 40m,,,,,
230,869,sb45,,4h 40m,NR,,103338,Completed,First,"April 01, 2013",4h 40m,,,,,
231,869,xScaryKidx,PC,4h 40m,70%,,49737,Completed,First,"June 14, 2012",4h 40m,,,,,
232,869,TheDeejay01,PC,4h 41m,90%,,469678,Completed,First,"July 31, 2012",4h 41m,,,,,
233,869,,PC,4h 42m,NR,Skipped the trials but did the dreams,9418769,Completed,First,,4h 42m,,,,,
234,869,Copperore14,PC,4h 42m,NR,,2028336,Completed,First,"October 31, 2015",4h 42m,,,,,
235,869,avgaalla,PC,4h 42m,NR,,142542,Completed,First,"July 01, 2012",4h 42m,,,,,
236,869,eque,PC,4h 42m,NR,,247216,Completed,First,"March 31, 2013",4h 42m,,,,,
237,869,rkerbof,PC,4h 42m,70%,,3878722,Completed,First,"January 07, 2017",4h 42m,,,,,
238,869,xX_Draconis_Xx,PC,4h 42m,90%,,1282542,Completed,First,"June 13, 2013",4h 42m 35s,https://www.youtube.com/playlist?list=PLsQf5Ybf2it3ljUzQt8PuxcjqlZuREOCR,,,,
239,869,Kloptech,PC,4h 43m,70%,,8804612,Completed,First,"June 30, 2015",4h 43m,,,,,
240,869,joeco0l_,Nintendo Switch,4h 44m,80%,mainly straight playthru little extras done.,10189045,Completed,First,"October 11, 2019",4h 44m,,,,,
241,869,HelloJapan960,Xbox 360,4h 44m,NR,,167983,Completed,First,"July 21, 2011",4h 44m 04s,,,,,
242,869,CrftyZombiee,iOS,4h 45m,80%,,881707,Completed,First,"August 10, 2014",4h 45m,,,,,
243,869,Lundefgl,PC,4h 45m,70%,,4174851,Completed,First,"March 13, 2017",4h 45m,,,,,
244,869,ViperDC,PC,4h 45m,NR,,11107422,Completed,First,"March 02, 2020",4h 45m,,,,,
245,869,Private,PlayStation Vita,4h 45m,80%,,2188052,Completed,First,"February 03, 2016",4h 45m,,,,,
246,869,leslij55,PC,4h 45m,100%,,37697,Completed,First,,4h 45m,,,,,
247,869,lotratf,PC,4h 45m,NR,,1710775,Completed,First,,4h 45m,,,,,
248,869,netadptr0719,PC,4h 45m,100%,,487113,Completed,First,"November 19, 2013",4h 45m,,,,,
249,869,w33tmaricich,PC,4h 45m,NR,,1353308,Completed,First,,4h 45m,,,,,
250,869,LudwigvanMozart,PC,4h 46m,80%,"Main Story+Flashbacks, Saved Zulf, Evacuation ending",11265618,Completed,First,"March 29, 2020",4h 46m,,,,,
251,869,sandysingh,PC,4h 46m,80%,,10766087,Completed,First,"January 06, 2020",4h 46m,,,,,
252,869,ToxikJuiceBox,PC,4h 47m,80%,,1539261,Completed,First,"March 01, 2016",4h 47m,,,,,
253,869,coleroddy,PC,4h 47m,100%,,572952,Completed,First,"January 14, 2014",4h 47m,,,,,
254,869,,,4h 48m,NR,,322902,Completed,Replay,,4h 48m,,,,,
255,869,BugraOrange,PC,4h 48m,70%,,1090478,Completed,First,"June 17, 2014",4h 48m,,,,,
256,869,GTBAtom,PC,4h 48m,NR,,6476178,Completed,First,"January 29, 2018",4h 48m,,,,,
257,869,millidooms,PC,4h 48m,80%,,44165,Completed,First,,4h 48m 45s,,,,,
258,869,,PC,4h 49m,NR,,1016791,Completed,First,,4h 49m,,,,,
259,869,,PC,4h 50m,NR,,2877369,Completed,First,,4h 50m,,,,,
260,869,,PC,4h 50m,NR,,11075744,Completed,First,,4h 50m,,,,,
261,869,Private,PC,4h 50m,70%,,11467094,Completed,First,"April 16, 2020",4h 50m,,,,,
262,869,Private,PC,4h 50m,90%,,554895,Completed,First,"January 03, 2014",4h 50m,,,,,
263,869,Namaku64,PC,4h 50m,NR,,11250743,Completed,First,"May 25, 2018",4h 50m,,,,,
264,869,fancymike,PC,4h 50m,80%,,5456891,Completed,First,2014,4h 50m,,,,,
265,869,mr_grimm,Nintendo Switch,4h 50m,NR,,8848818,Completed,First,"May 26, 2019",4h 50m,,,,,
266,869,soulxstlr,PC,4h 52m,80%,,5863334,Completed,First,,4h 52m,,,,,
267,869,datarez,PC,4h 53m,NR,,10943696,Completed,First,"February 05, 2020",4h 53m,,,,,
268,869,,PC,4h 55m,NR,,294384,Completed,First,,4h 55m,,,,,
269,869,,PC,4h 55m,NR,,3243521,Completed,First,,4h 55m,,,,,
270,869,Private,PC,4h 55m,80%,,11519690,Completed,First,,4h 55m,,,,,
271,869,sleepyhead76,Nintendo Switch,4h 55m,70%,,7337339,Completed,First,"February 10, 2019",4h 55m,,,,,
272,869,Tora,PC,4h 56m,90%,,114938,Completed,First,"May 13, 2012",4h 56m 05s,,,,,
