,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Personal Notes,Completionist,Speedrun,Progress,Retired Notes
27,38029,Ajsuenb,PC,8h 38m,NR,,4668559,Completed,First,"July 01, 2017",8h 38m 08s,,,,,,
28,38029,Nader_Hakami,PlayStation 4,8h 39m,NR,,7547635,Completed,First,"November 28, 2018",8h 39m,,,,,,
29,38029,mauhlin12,PlayStation 4,8h 47m,80%,Ending A,4247852,Completed,First,"March 28, 2017",8h 47m 46s,,,,,,
30,38029,,PlayStation 4,8h 50m,NR,,4453515,Completed,First,,8h 50m 33s,,,,,,
31,38029,,PC,8h 50m,NR,,4440532,Completed,First,,8h 50m 59s,,,,,,
32,38029,nateify,PC,8h 51m,NR,"Beat 24 Endings: All But E, Y",4418323,Completed,First,"May 26, 2017",8h 51m,22h 30m,,,,,
33,38029,,PlayStation 4,8h 53m,NR,,4135705,Completed,First,,8h 53m 27s,15h 47m 18s,,37h 23m 16s,,,
34,38029,,PlayStation 4,8h 59m,NR,,9104538,Completed,First,,8h 59m 16s,,,,,,
35,38029,,PlayStation 4,9h,NR,Route B only.,4248720,Completed,First,,9h,44h,,,2h 15m,,
36,38029,Private,PC,9h,NR,"Ending B, D, and C",4345336,Completed,First,"April 21, 2017",9h,37h,,,,,
37,38029,Sebolini,PlayStation 4,9h 05m,NR,,10971351,Completed,First,"February 10, 2020",9h 05m,,,,,,
38,38029,,PlayStation 4,9h 12m,NR,,4112937,Completed,First,,9h 12m,,,,,,
39,38029,all2surreal,PC,9h 13m,100%,,8719321,Completed,First,"May 12, 2019",9h 13m,,,,,,
40,38029,,PC,9h 30m,NR,very few side quests.,10490000,Completed,First,,9h 30m,,,,,,
41,38029,Bouland,PC,9h 30m,NR,Normal. Ending A. Level 21 at final boss,5540247,Completed,First,"December 30, 2017",9h 30m,,,,,,
42,38029,DarkFireUmad,PC,9h 30m,80%,Ending A Normal Dificult some extra quests,11253017,Completed,First,"March 26, 2020",9h 30m,,,,,,
43,38029,mattyman129,PC,9h 30m,70%,,11382978,Completed,First,,9h 30m,,,,,,
44,38029,sajmon213,PC,9h 30m,NR,,7096213,Completed,First,"December 14, 2019",9h 30m,22h,"Ending A, B,C, O as of 14/12/2019",,,,
45,38029,xBlitzerx,PC,9h 30m,NR,,5690474,Completed,First,"January 19, 2018",9h 30m,,,,,,
46,38029,,PlayStation 4,9h 34m,NR,,4927368,Completed,First,,9h 34m,,,,,,
47,38029,CWegz,PlayStation 4,9h 35m,60%,,4901749,Completed,First,"August 26, 2017",9h 35m 49s,,,,,,
48,38029,Campione,PlayStation 4,9h 39m,NR,,11030305,Completed,First,"February 21, 2020",9h 39m,,,,,,
49,38029,cobraclamp,PlayStation 4,9h 50m,NR,,5064075,Completed,First,"September 17, 2017",9h 50m 14s,,,,,,
50,38029,carlowesome,PlayStation 4,9h 50m,100%,"Endings A to E, 2 joke ending, plus a couple sidequests. Trophy at 50%",6273390,Completed,Replay,"May 21, 2018",9h 50m 41s,39h 50m,The statistics of this game on this site can be misleading unfortunately. Alot of people are considering Ending A as the Main Story when you really have only completed the Main Story when you've got to the true ending (Ending E) which requires you to do three play-throughs (and a chapter select on the 4th) to unlock. Ending A is only probably 1/3 or half of the story.,,,,
51,38029,Alicenko,PlayStation 4,9h 56m,NR,,4745609,Completed,First,"July 13, 2017",9h 56m,,,,,,
52,38029,mreifschneider,PlayStation 4,9h 56m,70%,"Played a few bosses on easy, rest on normal. Ending A",11149044,Completed,First,"March 14, 2020",9h 56m 09s,,,,,,
53,38029,,PlayStation 4,10h,NR,,4185740,Completed,First,,10h,,,,,,
54,38029,,PlayStation 4,10h,NR,,4261776,Completed,First,,10h,14h,,,,,
55,38029,,PlayStation 4,10h,NR,,8481497,Completed,Replay,,10h,25h,,30h 30m,,,
56,38029,,PC,10h,NR,,11461226,Completed,First,,10h,36h,,55h,,,
57,38029,ACE_V,PC,10h,60%,I rushed the game,6441192,Completed,First,"January 18, 2018",10h,,,,,,
58,38029,Bartezoo,PlayStation 4,10h,NR,,5636285,Completed,Replay,"January 10, 2018",10h,,,,,,
59,38029,DanielMeier,PC,10h,NR,,6083975,Completed,First,"August 08, 2017",10h,,,,,,
60,38029,Divad006,Xbox One,10h,NR,,11437631,Completed,First,"April 18, 2020",10h,,,,,,
61,38029,GustavoPix,PC,10h,NR,,11750690,Completed,First,"May 15, 2020",10h,,,,,,
62,38029,Omegason,PlayStation 4,10h,80%,,4221268,Completed,First,"March 23, 2017",10h,,,,,,
63,38029,Roronoa_Zorro,PC,10h,NR,,10676933,Completed,First,"December 28, 2019",10h,14h,,,,,
64,38029,sunspear16,PlayStation 4,10h,NR,,4333803,Completed,First,"April 15, 2020",10h,,,,,,
65,38029,zonko16,PC,10h,NR,,7366965,Replay Completed,First,"October 31, 2018",10h,,,,,27h 23m /,
66,38029,,PC,10h 03m,NR,,8656795,Completed,First,,10h 03m,,,,,,
67,38029,maker3,Xbox One,10h 07m,NR,,11824105,Completed,First,"May 24, 2020",10h 07m 23s,,,,,,
68,38029,Badinfos,PC,10h 10m,NR,,11333371,Completed,First,November 2019,10h 10m 50s,,,,,,
69,38029,,PlayStation 4,10h 12m,NR,,4161590,Completed,First,,10h 12m,,,,,,
70,38029,Attackly,PC,10h 12m,NR,,11517797,Completed,First,"April 21, 2020",10h 12m 55s,,,,,,
71,38029,Bnny,Xbox One,10h 23m,NR,End A,11451543,Completed,First,"May 15, 2020",10h 23m 17s,,,,,,
72,38029,web_slinger_62,PlayStation 4,10h 27m,NR,,4442826,Completed,First,"June 17, 2017",10h 27m,,,,,,
73,38029,notorious_roy,Xbox One,10h 31m,90%,"Endings A, B, C, D, E, G and P",11394896,Completed,First,"May 16, 2020",10h 31m,22h,,,,,
74,38029,Marter,PC,10h 36m,NR,Route A,8895383,Completed,First,"May 03, 2020",10h 36m,,,,,,
75,38029,LdSe,PlayStation 4,10h 40m,NR,,4261456,Completed,First,"April 02, 2017",10h 40m,,,,,,
76,38029,GoombaJMR,PlayStation 4,10h 45m,100%,ABCDEGW + 30% Quests,4176494,Custom List Completed,First,"March 18, 2017",10h 45m 58s,31h 30m,,,,31h 30m 58s /,
77,38029,,PC,10h 56m,NR,,4332246,Completed,First,,10h 56m 50s,,,,,,
78,38029,erickjo,PC,10h 57m,NR,,5769941,Completed,First,"February 03, 2018",10h 57m,,,,,,
79,38029,,PC,11h,NR,,8468441,Completed,First,,11h,,,,,,
80,38029,Bartezoo,PlayStation 4,11h,NR,,5384470,Completed,First,"November 26, 2017",11h,,,,,,
81,38029,Private,PC,11h,NR,,6833599,Completed,First,"August 14, 2018",11h,30h,,100h,,,
82,38029,OnePeg,PlayStation 4,11h,NR,Main 3 playthroughs and a few sidequests,4645652,Completed,First,"June 25, 2017",11h,29h,,,,,
83,38029,solairesflair,PlayStation 4,11h,NR,,6918171,Completed,First,"October 12, 2018",11h,,,,,,
84,38029,t1mz,PC,11h,90%,,4461880,Completed,First,"May 22, 2017",11h 32s,,,,,,
85,38029,Hitman4747,PC,11h 01m,NR,,7870668,Completed,First,"December 29, 2018",11h 01m,,,,,,
86,38029,Kuruwin,PlayStation 4,11h 11m,60%,,4828746,Completed,First,"July 27, 2017",11h 11m 38s,,,,,,
87,38029,ban_evasion,Xbox One,11h 14m,50%,,11380691,Completed,First,"June 06, 2020",11h 14m 38s,,,,,,
88,38029,Sirius242,PC,11h 15m,100%,,7128523,Playing Completed,First,"December 21, 2018",11h 15m 22s,,,,,11h 15m 22s /,
89,38029,,PlayStation 4,11h 16m,NR,"Got ""A"" ending",4234669,Completed,First,,11h 16m 17s,,,,,,
90,38029,Zapkaos,PlayStation 4,11h 17m,90%,,7508394,Completed,First,"December 02, 2018",11h 17m,,,,,,
91,38029,Gamefreak4,PlayStation 4,11h 19m,100%,All Endings - 100% Quests - Platinum Trophy,5876856,Completed,First,"August 10, 2018",11h 19m 01s,27h 55m 29s,"Ending A: 11.19.01
Ending B: 19.15.43
Ending C: 27.10.32
Ending D&E: 27.55.29",54h 21m 37s,,,
92,38029,,PlayStation 4,11h 26m,NR,Grinded to max and messed around a bit.,6153593,Completed,Replay,,11h 26m 39s,29h 12m 21s,,78h 40m 55s,,,
93,38029,,PlayStation 4,11h 30m,NR,,4445743,Completed,First,,11h 30m,,,,,,
94,38029,,PC,11h 30m,NR,,11517788,Completed,First,,11h 30m,,,,,,
95,38029,RickyButler,PC,11h 30m,70%,,11442764,Completed,First,"April 14, 2020",11h 30m,,,,,,
96,38029,Private,PlayStation 4,11h 30m,NR,,6116183,Completed,First,"April 13, 2018",11h 30m,,,,,,
97,38029,Drizzy,PlayStation 4,11h 40m,80%,A ending,5046422,Completed,First,"January 01, 2018",11h 40m 38s,,,,,,
98,38029,MattCz,PC,11h 42m,90%,,5669576,Completed,First,"January 15, 2018",11h 42m,,,,,,
99,38029,,PC,11h 46m,NR,,4460460,Completed,First,,11h 46m,41h 22m,,80h 20m 25s,,,
100,38029,Hanthomi,PC,11h 51m,NR,,4215813,Completed,First,"March 21, 2017",11h 51m,,,,,,
101,38029,,PC,11h 54m,NR,,4206281,Completed,First,,11h 54m,,,,,,
102,38029,Private,PC,11h 58m,90%,,11077744,Playing Completed,First,"March 01, 2020",11h 58m 27s,,,,,29m 02s /,
103,38029,,PC,12h,NR,,4648297,Completed,First,,12h,,,,,,
104,38029,,PC,12h,NR,,5268849,Completed,First,,12h,20h,,40h,,,
105,38029,,PC,12h,NR,,10172095,Completed,First,,12h,,,,,,
106,38029,,PC,12h,NR,,11668677,Completed,First,,12h,,,,,,
107,38029,blackMamba1187,PC,12h,90%,ABCDEK,4790487,Completed,First,"July 18, 2017",12h,30h,"used FAR user-made mod
7700k
1080ti
still stutters
2 hard crashes
auto dropped out a few times",,,,
108,38029,Private,PlayStation 4,12h,NR,,4233813,Completed,First,"March 26, 2017",12h,37h 56m,,,,,
109,38029,lukyfan,PC,12h,NR,100% everything,6765282,Completed,Replay,"September 16, 2018",12h,42h,,62h,,,
110,38029,mrbaggs,PC,12h,NR,,6057191,Completed,First,"April 12, 2018",12h,,,,,,
111,38029,paleselan,PlayStation 4,12h,NR,,4806439,Completed,First,"July 23, 2017",12h,,,,,,
112,38029,simoonnn,PC,12h,NR,,6924406,Completed,Replay,"February 10, 2018",12h,,,,,,
113,38029,warvik,PC,12h,NR,,9519267,Completed,First,"September 01, 2019",12h,17h,,,,,
114,38029,Vq14,PC,12h,80%,,6960749,Completed,First,"September 02, 2018",12h 22s,,,,,,
115,38029,eefara,PlayStation 4,12h 03m,NR,,4456830,Completed,First,"May 21, 2017",12h 03m,26h 15m,,,,,
116,38029,melki,PC,12h 08m,NR,"Endings A B C D E F G M T W. Level 58, 56% weapons, 27% quest. 04 Jul 17",4559358,Completed,First,"June 12, 2017",12h 08m 37s,29h 31m 19s,,,,,
117,38029,Cancakes,PC,12h 13m,80%,,11653305,Completed,First,"May 05, 2020",12h 13m 15s,,,,,,
118,38029,howlongtobeatmymeat,PC,12h 26m,NR,,11915924,Completed,Replay,"June 05, 2020",12h 26m 28s,,Ending C (and R),,,,
119,38029,,PlayStation 4,12h 26m,NR,Ending A,4273888,Completed,First,,12h 26m 50s,,,,,,
120,38029,rainmeister,PC,12h 30m,NR,"Difficulty: Normal. Endings: A,H",8775927,Playing Completed,First,"May 14, 2019",12h 30m,,,,,14h /,
121,38029,umlflaccid,PC,12h 30m,NR,Routes A-E,5484060,Completed,First,,12h 30m,33h,,,,,
122,38029,kazbazok,PlayStation 4,12h 30m,NR,,5784277,Completed,First,"February 06, 2018",12h 30m 10s,,,,,,
123,38029,samthepenguin,PlayStation 4,12h 35m,NR,,11708484,Playing Completed,First,"May 11, 2020",12h 35m,,,,,12h 35m /,
124,38029,stellacprn,PlayStation 4,12h 35m,NR,,11159619,Completed,First,"March 14, 2020",12h 35m,29h 45m,,,,,
125,38029,,PC,12h 36m,NR,Casual main story only,8435979,Completed,First,,12h 36m 41s,,,,,,
126,38029,,PC,12h 39m,NR,,5178245,Completed,First,,12h 39m,,,,,,
127,38029,Rosur2,PlayStation 4,12h 40m,NR,Platinum time,4164812,Completed,First,"April 02, 2017",12h 40m,26h 10m,,26h 22m,,,
128,38029,,PlayStation 4,12h 40m,NR,,4282162,Completed,First,,12h 40m 22s,,,,,,
129,38029,,PlayStation 4,12h 44m,NR,,9023014,Completed,First,,12h 44m 19s,,,,,,
130,38029,,Xbox One,12h 45m,NR,,7296606,Completed,First,,12h 45m,,,,,,
131,38029,AidanIsAChair,PlayStation 4,12h 47m,80%,,10562594,Completed,First,"December 14, 2019",12h 47m 33s,,,,,,
132,38029,kafkaesque_y,PlayStation 4,12h 53m,NR,,6441543,Completed,First,"June 20, 2018",12h 53m,,,,,,
133,38029,,PC,12h 53m,NR,,4907553,Completed,First,,12h 53m 42s,29h 41m 33s,,,,,
134,38029,joshthe1337,PlayStation 4,12h 54m,NR,,5733791,Completed,First,"July 20, 2018",12h 54m,,,,,,
135,38029,grendel,PlayStation 4,12h 55m,70%,,5546012,Completed,First,"January 05, 2018",12h 55m 37s,,,,,,
136,38029,,PlayStation 4,12h 58m,NR,,4208355,Completed,First,,12h 58m,,,,,,
137,38029,,PC,13h,NR,,4232134,Completed,First,,13h,30h,,,,,
138,38029,,PlayStation 4,13h,NR,,4467794,Completed,First,,13h,,,,,,
139,38029,Private,PC,13h,NR,,10272900,Completed,First,"October 19, 2019",13h,,,,,,
140,38029,Kaktoos,PlayStation 4,13h,NR,,6495309,Completed,First,,13h,,,,,,
141,38029,SplitScreenPT,PlayStation 4,13h,NR,"Only the first walktrought, with the first character",4244837,Completed,First,"April 19, 2017",13h,,,,,,
142,38029,TurtlerTim,PC,13h,80%,endings a-e,8820995,Completed,First,"August 13, 2019",13h,42h,,,,,
143,38029,iDoDemGames,PC,13h,NR,,11672651,Completed,First,"May 07, 2020",13h,33h,,,,,
144,38029,lifeinhand,PC,13h,NR,Ending A,5264570,Completed,First,"November 04, 2017",13h,,,,,,
145,38029,yeetboys,PC,13h,90%,,7329598,Completed,First,"October 25, 2018",13h,,,,,,
146,38029,,PlayStation 4,13h 06m,NR,,5561599,Completed,First,,13h 06m 01s,,,,,,
147,38029,DeadGreenhouse,PlayStation 4,13h 12m,NR,,4800401,Completed,First,"July 20, 2017",13h 12m 10s,44h 24m 27s,,,,,
148,38029,,PlayStation 4,13h 12m,NR,,5254050,Completed,First,,13h 12m 32s,,,,,,
149,38029,,PC,13h 12m,NR,,10767257,Completed,First,,13h 12m 54s,,,,,,
150,38029,Soloid,PC,13h 14m,90%,,6541034,Completed,First,"March 04, 2018",13h 14m 23s,,,,,,
151,38029,,PlayStation 4,13h 20m,NR,,6394437,Completed,First,,13h 20m,,,,,,
152,38029,,PC,13h 24m,NR,,4247518,Completed,First,,13h 24m,,,,,,
153,38029,popae,PlayStation 4,13h 25m,50%,"""Route A""",11836285,Completed,First,"May 25, 2020",13h 25m,,,,,,
154,38029,Empyrea,PlayStation 4,13h 25m,80%,,7801542,Completed,First,"December 23, 2018",13h 25m 17s,,,,,,
155,38029,Private,PC,13h 27m,60%,,6664438,Completed,First,,13h 27m,,,,,,
156,38029,Noxrim,PC,13h 27m,NR,,11157869,Completed,First,,13h 27m 10s,,,,,,
157,38029,Sertara,PlayStation 4,13h 29m,60%,,6562032,Completed,First,"July 21, 2018",13h 29m 55s,,,,,,
158,38029,,PlayStation 4,13h 30m,NR,Main Story Only,4386181,Completed,First,,13h 30m,,,,,,
159,38029,nickcarredits,PC,13h 30m,NR,,5858357,Completed,First,"February 17, 2018",13h 30m,,,,,,
160,38029,,PlayStation 4,13h 35m,NR,,4426808,Completed,First,,13h 35m 44s,,,,,,
161,38029,,PlayStation 4,13h 36m,NR,,8051983,Completed,First,,13h 36m 59s,,,,,,
162,38029,SadBoy,PC,13h 39m,100%,,8289126,Completed,First,"February 17, 2019",13h 39m,38h,,,,,
163,38029,KimeraQ,PlayStation 4,13h 40m,NR,Got to Ending A. Did about 35% of all of the sidequests. Level 30.,4204996,Completed,First,"March 19, 2017",13h 40m 18s,,,,,,
164,38029,Athruntalan,PlayStation 4,13h 42m,80%,"Endings A and H completed, along with about half the side quests.",4439469,Completed,First,"August 11, 2017",13h 42m,,,,,,
165,38029,,PC,13h 45m,NR,Ending A,4203635,Completed,First,,13h 45m,,,,,,
166,38029,,PC,13h 46m,NR,"Endings A, K, T",6176219,Completed,First,,13h 46m 35s,,,,,,
167,38029,,PlayStation 4,14h,NR,,8113887,Completed,First,,14h,,,,,,
168,38029,Katerona,PlayStation 4,14h,NR,,11588636,Completed,First,"January 14, 2020",14h,,,,,,
169,38029,Kryptinite,PlayStation 4,14h,NR,,4398693,Completed,First,"May 06, 2017",14h,,,,,,
170,38029,carls66,PlayStation 4,14h,NR,,5168441,Completed,First,,14h,50h,,80h,,,
171,38029,huteri,PC,14h,NR,,9458626,Completed,First,"August 27, 2019",14h,,,,,,
172,38029,uzeyirkirbas,PlayStation 4,14h,70%,Achieved only Ending A and B,6374372,Completed,First,"March 17, 2018",14h,,,,,,
173,38029,Private,PlayStation 4,14h 02m,90%,Ending E,9229552,Completed,First,"July 25, 2019",14h 02m 32s,36h,,,,,
174,38029,,PC,14h 13m,NR,Up to first ending/credits,5416070,Completed,First,,14h 13m,,,,,,
175,38029,KaurTube,PC,14h 16m,NR,,4212144,Completed,First,"March 25, 2017",14h 16m 40s,,,,,,
176,38029,LordSoulJack,PlayStation 4,14h 16m,NR,About 50% of side quests included as well as some item hunting.,4305152,Playing Completed,First,"April 13, 2017",14h 16m 48s,,"This game has 26 endings. It took 14 hours to get ending A, the first main ending that the game offers. I also received ending K, a joke ending with sped up credits that you can get via an optional task. So call it 12-15 hours for your first main ending. I should note that I did this on easy purely for fun and story. It'll of course take longer on harder difficulties.",,,,
177,38029,Boxich,PlayStation 4,14h 20m,90%,,4344427,Completed,First,,14h 20m,29h 40m,,,,,
178,38029,Valorix,PC,14h 20m,NR,,9309620,Completed,First,"August 05, 2019",14h 20m,,,,,,
179,38029,SabreCat,PlayStation 4,14h 23m,NR,Endings A + K. Does that really count as completion? Eh!,7903260,Completed,First,"January 10, 2019",14h 23m,,,,,,
180,38029,Montimorti,PlayStation 4,14h 28m,70%,,7729135,Completed,First,"January 31, 2019",14h 28m,,Ending A at 14h 28 min. Ending B at 21.24. Gave up 3rd playthrough at 23.04.,,,,
181,38029,Private,PlayStation 4,14h 30m,NR,only with 2B,5039191,Completed,First,"September 01, 2017",14h 30m 30s,,,,,,
182,38029,UserOne,PC,14h 46m,NR,,10323790,Completed,First,,14h 46m,,,,,,
183,38029,,PC,14h 46m,NR,Only 1 or 2 side quests performed,6571775,Completed,First,,14h 46m 30s,,,,,,
184,38029,StHubi,PC,14h 48m,NR,,4225432,Completed,First,"June 26, 2017",14h 48m,,,,,,
185,38029,janther,PC,14h 50m,90%,,7981911,Completed,First,"May 15, 2020",14h 50m,37h,,,,,
186,38029,,PlayStation 4,15h,NR,,4175903,Completed,First,,15h,40h,,,,,
187,38029,,PC,15h,NR,,4233436,Completed,First,,15h,32h,,,,,
188,38029,,PlayStation 4,15h,NR,,4255235,Completed,First,,15h,29h 58m,,,,,
189,38029,,PC,15h,NR,,4317480,Completed,First,,15h,40h,,,,,
190,38029,,PC,15h,NR,,5133292,Completed,First,,15h,40h 30m 31s,,68h,,,
191,38029,,PlayStation 4,15h,NR,,5448595,Completed,First,,15h,35h,,60h,,,
192,38029,,PlayStation 4,15h,NR,,8900902,Completed,First,,15h,50h,,80h,,,
193,38029,KamikotoGasai,PC,15h,NR,,4417664,Completed,First,"May 12, 2017",15h,,,,,,
194,38029,Loneronin21,PC,15h,NR,,7100628,Completed,First,"September 22, 2018",15h,,,,,,
195,38029,Luca128bit,PC,15h,NR,,5885194,Completed,First,,15h,,,,,,
196,38029,Marty_Man_X,PlayStation 4,15h,NR,,8576612,Replay Completed,First,"April 07, 2019",15h,18h,,,,,
197,38029,PalmtopTigerr,PC,15h,NR,,6291949,Completed,First,"May 24, 2018",15h,,,,,,
198,38029,Private,PC,15h,NR,,4363251,Completed,First,,15h,,,,,,
199,38029,Zandareth,PC,15h,70%,,5874051,Completed,First,"November 09, 2017",15h,,,,,,
200,38029,brandondelvalle,PlayStation 4,15h,90%,,8071813,Completed,First,"January 13, 2018",15h,,,,,,
201,38029,kingofools,PC,15h,NR,,10535324,Completed,First,,15h,,,,,,
202,38029,meto58,PC,15h,80%,,5086823,Completed,First,"September 21, 2017",15h,,,,,,
203,38029,mjricco,PlayStation 4,15h,90%,,5093562,Backlog Completed,First,"October 13, 2017",15h,35h,,,,,
204,38029,Private,PC,15h,90%,,7562806,Completed,First,,15h,30h,,,,,
205,38029,reomyr,PC,15h,60%,,10290626,Completed,First,"October 23, 2019",15h,,,,,,
206,38029,rusocabron,Xbox One,15h,90%,,11399539,Completed,First,"April 10, 2020",15h,35h,,,,,
207,38029,Private,PC,15h,NR,Route A only,10275134,Completed,First,"October 19, 2019",15h,,,,,,
208,38029,,PlayStation 4,15h 01m,NR,Amazing soundtrack,9672167,Completed,First,,15h 01m 55s,,,,,,
209,38029,Nimbus,PlayStation 4,15h 05m,NR,"Endings A + T, did some side quests but still a lot left",5013412,Completed,First,"September 06, 2017",15h 05m,,,,,,
210,38029,,PlayStation 4,15h 15m,NR,5 side quest and ending AL. At level 6 fell bellow bridge and i spent time on level 26 machinesnno way back Reloaded,5089583,Completed,First,,15h 15m,,,,,,
211,38029,CelticLion17,PlayStation 4,15h 15m,90%,Platinum Trophy,4155442,Completed,First,"March 14, 2017",15h 15m 20s,,"Ending A: 15h 15m 20s
Ending B: 25h 45m 22s
Ending C: 34h 16m 23s
Ending D: 34h 27m 44s
Ending E: 43h 11m 38s
57/60 Quests Completed
Secret Boss Beaten
Endings A,B,C,D,E,H,M,O,W,Y",43h 20m 38s,,,
212,38029,Private,PlayStation 4,15h 16m,80%,,8190304,Completed,First,"August 02, 2017",15h 16m 25s,,,,,,
213,38029,SiderealSpinel,PlayStation 4,15h 18m,NR,,5512662,Completed,Replay,"January 24, 2018",15h 18m,,"Ending A B C D G M
Sold",,,,
214,38029,,PC,15h 20m,NR,,5961813,Completed,First,,15h 20m,,,,,,
215,38029,EpicBro99,PlayStation 4,15h 20m,NR,,10710674,Completed,First,"January 05, 2020",15h 20m 08s,,,,,,
216,38029,itspants,PlayStation 4,15h 24m,NR,"Endings A, B, C, D, E – 35% sidequests",5013148,Completed,First,"September 10, 2017",15h 24m,33h 24m,,,,,
217,38029,messi371210,PlayStation 4,15h 25m,NR,"A,B,C,D,E Ending",4871684,Completed,First,"June 28, 2017",15h 25m,31h 11m,,,,,
218,38029,,PlayStation 4,15h 30m,NR,,7058553,Completed,First,,15h 30m,,,,,,
219,38029,brettyoshi9,PC,15h 30m,90%,,11292092,Completed,First,"March 29, 2020",15h 30m,32h 50m,,52h,,,
220,38029,linkinmedo,PlayStation 4,15h 30m,100%,,4438490,Completed,First,"May 07, 2017",15h 30m,25h,,66h 30m,,,
221,38029,demidivine,PC,15h 32m,80%,"ending A, started B",5370505,Completed,First,"April 14, 2017",15h 32m,,,,,,
222,38029,Private,PlayStation 4,15h 35m,NR,,4724534,Completed,First,"July 25, 2017",15h 35m 35s,32h 54m 18s,,,,,
223,38029,,PC,15h 36m,NR,,4209769,Completed,First,,15h 36m 05s,,,,,,
224,38029,,PC,15h 36m,NR,With 3 or 4 Extras,4209771,Completed,First,,15h 36m 41s,,,,,,
225,38029,,PlayStation 4,15h 37m,NR,,4409399,Completed,First,,15h 37m 43s,,,,,,
226,38029,,PC,15h 42m,NR,,6019761,Completed,First,,15h 42m,19h 28m,,54h 16m,,,
227,38029,Nawara_Ven,PlayStation 4,15h 44m,NR,,4221137,Completed,First,"August 11, 2017",15h 44m 05s,,,,,,
228,38029,d1astola,PC,15h 47m,80%,A ending. 30% quests complete,11432964,Completed,First,"April 15, 2020",15h 47m 52s,,,,,,
229,38029,varex,PC,15h 51m,90%,,4363220,Completed,First,"April 27, 2017",15h 51m 51s,35h 30m,,,,,
230,38029,Private,PlayStation 4,15h 54m,NR,,4438178,Completed,First,"May 16, 2017",15h 54m 44s,,,,,,
