,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Main Story,Completion,Co-Op,Speedrun,Main+Extras,Completionist,Vs.,Personal Notes,Progress,Retired Notes
52,9705,portalman22,PC,35h,NR,"There is an infinite number of things to do, time assumes your end goal is beat all bosses.",11553453,Completed,First,35h,,,,,40h,,,,
53,9705,daveagalan,PC,35h 10m,NR,,1444927,Completed,First,35h 10m 01s,"July 06, 2014",,,,,,,,
54,9705,ScroogeMcDuck,PC,35h 45m,NR,,5167036,Playing Completed,Replay,35h 45m 11s,"October 12, 2015",150h,,40h,130h,,,422h /,
55,9705,,Xbox 360,36h,NR,,978562,Completed,First,36h,,,,88h,,,,,
56,9705,,PC,36h,NR,,10646665,Completed,First,36h,,,,,,,,,
57,9705,Stuffx,PC,36h,NR,,5430533,Completed,Replay,36h,"October 15, 2017",,,,,,,,
58,9705,,Xbox One,36h 40m,NR,Killed all boss except fish rob,7305889,Completed,First,36h 40m 50s,,,,,,,,,
59,9705,Ceeser,PC,37h,NR,,11030579,Completed,Replay,37h,"December 28, 2016",,,,,,,,
60,9705,vatty,PC,37h,90%,,7507205,Playing Completed,First,37h,"September 06, 2018",,,,,,,,
61,9705,,PC,37h 08m,NR,,8751104,Completed,Replay,37h 08m 07s,,,,,,,,,
62,9705,traxdize,PC,37h 08m,100%,Defeated Moon Lord.,11890079,Replay Completed,Replay,37h 08m 14s,"May 20, 2020",,,,,,Master-mode Mage-class playthrough.,,
63,9705,Private,PC,37h 48m,NR,"All normal-mode armors obtained, bosses defeated.",171201,Completed,First,37h 48m,"September 22, 2012",,,,,,,,
64,9705,Private,PC,38h,80%,,499928,Completed,First,38h,"October 16, 2013",,,,,,,,
65,9705,traxdize,PC,38h 42m,90%,Defeated Duke Fishron.,11890053,Replay Completed,Replay,38h 42m 12s,"February 18, 2015",,,,,,,,
66,9705,Private,PC,39h 10m,NR,,5693811,Completed,First,39h 10m,,,,,,,,,
67,9705,stressthesky,PC,39h 18m,80%,,69676,Completed,First,39h 18m,"February 03, 2013",,,,,,,,
68,9705,,PC,40h,NR,Aquiring every item in the game,5864994,Completed,First,40h,,,,80h,200h,,,,
69,9705,,PC,40h,NR,I got that much into the game until i finished it,6049921,Completed,First,40h,,,,100h,156h,,,,
70,9705,Blubbpaule,PC,40h,100%,,11729785,Completed,First,40h,,808h,,,,,,,
71,9705,Chammon,PC,40h,NR,,1133068,Completed,First,40h,,,,,130h,,,,
72,9705,Evilist,PC,40h,NR,,1320502,Completed,First,40h,,,,,,,,,
73,9705,Faldown,PC,40h,80%,,6319372,Completed,First,40h,,,,,,,,,
74,9705,Ingwersaft,PC,40h,100%,,858552,Completed,First,40h,"October 27, 2013",,,70h,98h,,,,
75,9705,Nehr,PC,40h,NR,,4800232,Completed,Replay,40h,,,,80h,120h,,,,
76,9705,NoahThaBoah,PC,40h,100%,,7737796,Replay Completed,Replay,40h,"December 14, 2014",,,80h,300h,,,400h /,
77,9705,cmiiller,PC,40h,NR,,9161247,Completed Retired,First,40h,,44h,,,,,,,
78,9705,doomshmuck,PC,40h,90%,,5662857,Completed,First,40h,"November 07, 2016",,,,,,,,
79,9705,Private,PC,40h,90%,,1096335,Completed,First,40h,"January 01, 2014",,,60h,,,,,
80,9705,rabelloo,PC,40h,100%,,8135367,Completed,First,40h,"August 15, 2015",,,,150h,,,,
81,9705,szczqcz,PC,40h,NR,,568907,Completed,First,40h,"January 12, 2014",67h,,,,,,,
82,9705,deaddragon1801,,40h 30m,80%,7 epic bosses,157347,Completed,First,40h 30m,"July 23, 2012",,,,,,,,
83,9705,IamRedBlue,PC,41h,100%,,4807007,Completed,First,41h,2014,,,90h,290h,,,,
84,9705,shefty,PC,41h 32m,NR,,9107537,Completed,First,41h 32m 02s,"February 13, 2017",,,,,,,,
85,9705,Private,PC,42h,100%,,9262990,Custom List Completed,First,42h,December 2012,42h,,,,,Original 1.1 Playthrough Coop,42h /,
86,9705,SmilingShadows,PC,42h,80%,,8921246,Completed,First,42h,,,,64h,,,,,
87,9705,martynas223,PC,42h,NR,,1957310,Playing Completed,First,42h,"October 07, 2015",,,,,,,107h /,
88,9705,,PC,42h 30m,NR,,11400524,Completed,First,42h 30m,,,,,,,,,
89,9705,thomaz1994,PC,42h 48m,70%,,5047672,Completed,First,42h 48m,,,,,,,,,
90,9705,kervinho,PC,43h 09m,90%,,12035944,Completed,First,43h 09m,"June 19, 2020",,,,,,,,
91,9705,tatoonie,PC,43h 58m,NR,Moon Lord defeated,2713953,Completed,First,43h 58m 26s,"June 13, 2016",,,,,,,,
92,9705,Flipsider,PC,44h,90%,,8505305,Completed,First,44h,,,,,,,,,
93,9705,Private,PC,44h,NR,,569100,Custom List Completed,First,44h,"December 21, 2013",60h,,,,,,,
94,9705,K_is_king,Mac,44h 26m,90%,,3886658,Completed,First,44h 26m,"December 17, 2016",,,,,,,,
95,9705,,Nintendo 3DS,45h,NR,,9661644,Completed,First,45h,,,,,,,,,
96,9705,Korostast,PC,45h,100%,,10654119,Completed,First,45h,,,,70h,250h,,,,
97,9705,Peanuts,PC,45h,100%,,11951505,Completed,First,45h,"June 10, 2020",,,,54h,,,,
98,9705,,PC,45h 27m,NR,,6258413,Completed,First,45h 27m,,,,86h 45m,186h 23m,,,,
99,9705,Sparontax,PC,45h 30m,NR,,10838412,Completed,First,45h 30m,"August 10, 2015",,,55h 25m,,,,,
100,9705,,PC,46h,NR,,11754868,Completed,First,46h,,,,,,,,,
101,9705,schiemann,PlayStation 4,46h,80%,,10297567,Completed,First,46h,,,,,,,,,
102,9705,savster550,PC,46h 34m,NR,,915702,Completed,First,46h 34m,"March 12, 2012",,,,,,,,
103,9705,KingMajora271,PC,47h 26m,90%,,10943047,Completed,Replay,47h 26m,"February 05, 2020",,,,,,,,
104,9705,Private,PC,48h,90%,,3416277,Completed,First,48h,,,,,,,,,
105,9705,nicatronTg,PC,48h 08m,90%,,323345,Completed,First,48h 08m,,,,72h 28m,,,,,
106,9705,olreich,PC,48h 54m,NR,,413670,Completed,First,48h 54m,"September 15, 2013",,,,,,,,
107,9705,Infinityz,PC,49h,NR,,11595716,Completed,First,49h,"August 05, 2016",,,,,,,,
108,9705,Will1,PC,49h,NR,,9188265,Completed,First,49h,"July 19, 2019",,,,,,,,
109,9705,Hunk_pl,PC,49h 42m,NR,,3144507,Completed,First,49h 42m,"July 12, 2016",,,,,,,,
110,9705,,PC,50h,NR,,6526725,Completed,First,50h,,,,,,,,,
111,9705,,PC,50h,NR,,12018878,Completed,First,50h,,,,70h,,,,,
112,9705,Angela812PL,PC,50h,NR,,11296787,Completed,First,50h,"March 30, 2020",50h,,,,,,,
113,9705,Manuxinho,PC,50h,100%,,8211444,Completed,First,50h,,,,,,,,,
114,9705,Razorback,PC,50h,80%,,528454,Completed,First,50h,,,,,,,,,
115,9705,RickyButler,PC,50h,90%,,26660,Completed,First,50h,,,,,,,"Hah! who puts a time to this game? I have over 50 hrs at time of writing, and I expect to pick it up on and off in the future for at least 50 more. There's a lot to do, and a lot more to do that's yet to be seen in the game's code. Buy it, play it.",,
116,9705,SexyDaddyJesus,PC,50h,100%,,10707266,Completed,Replay,50h,"December 16, 2019",,,75h,120h,,,,
117,9705,Wrongwayscout,PC,50h,100%,"First time playing through the game singleplayer, took my time playing & didn't rush anything.",6413523,Completed,Replay,50h,,,,,,,,,
118,9705,Private,PC,50h,80%,,10325965,Completed,First,50h,,,,,,,,,
119,9705,mnop,PC,50h,NR,,9585396,Completed,First,50h,"December 12, 2011",,,,,,,,
120,9705,pokebite,PC,50h,NR,,8508500,Completed,First,50h,,,,,,,,,
121,9705,revelry,PC,50h,70%,,4088087,Completed,First,50h,,,,,,,,,
122,9705,xLastSamuraix,PC,50h,NR,,11275587,Completed,First,50h,"July 10, 2017",,,,,,,,
123,9705,Huenvyy,PC,50h 14m,NR,,11848884,Completed,First,50h 14m 53s,"May 11, 2020",40h 12m 44s,,84h 44m 21s,,,,,
124,9705,,PC,50h 54m,NR,,9321815,Completed,Replay,50h 54m,,,,,,,,,
125,9705,,Nintendo Switch,50h 55m,NR,,10613313,Completed,Replay,50h 55m,,,,,,,,,
126,9705,Sllama,PC,51h,60%,,7383331,Completed,First,51h,,,,,,,,,
127,9705,,PC,51h 10m,NR,,11923595,Completed,Replay,51h 10m 26s,,151h 40m 33s,,,,,,,
128,9705,,Xbox One,52h,NR,Most extras were done either before ml or after with summons.,11836108,Completed,Replay,52h,,51h,,68h 13m 48s,,,,,
129,9705,Valefar,PC,52h 44m,NR,1.4 Patch,11756844,Completed,Replay,52h 44m 57s,"June 07, 2020",,,,,,,,
130,9705,,PC,54h,NR,Cox,2714362,Completed,Replay,54h,,,,189h,190h,,,,
131,9705,Execro,PC,54h 07m,NR,,9148360,Completed,First,54h 07m,,,,,,,,,
132,9705,Fataru,PC,55h,100%,,10654277,Completed,First,55h,July 2018,41h,,,,,,,
133,9705,,PC,55h 21m,NR,,10252509,Completed,First,55h 21m,,68h 42m,,,,,,,
134,9705,WhiteyWind,PC,56h 30m,70%,,11814324,Completed,Replay,56h 30m,"May 27, 2020",56h 30m,,,,,,,
135,9705,,PC,58h,NR,,6870560,Completed,First,58h,,,,,,,,,
136,9705,username141,PC,58h,60%,,10171914,Completed,First,58h,,,,,,,,,
137,9705,Deekju,PC,59h,NR,,10794736,Completed,First,59h,"December 18, 2016",,,,,,,,
138,9705,WazzaBoi,PC,59h,NR,,6962901,Completed,First,59h,,,,,,,,,
139,9705,,PC,59h 27m,NR,Moon lord killed,9107890,Completed,First,59h 27m 34s,,,,,,,,,
140,9705,mononoke89,PC,60h,90%,,4356018,Completed,First,60h,"August 28, 2015",,,100h,150h,,,,
141,9705,BUG_Invasion11,PC,60h 23m,NR,,6159874,Playing Completed,First,60h 23m,"April 22, 2018",,,,,,,156h 54m /,
142,9705,,PC,60h 30m,NR,,1338623,Completed,Replay,60h 30m 18s,,,,,,,,,
143,9705,,PC,60h 32m,NR,,8901034,Completed,First,60h 32m,,,,80h 56m,192h 05m,,,,
144,9705,,PlayStation 4,62h 34m,NR,,10566321,Completed,First,62h 34m 02s,,,,65h 55m 37s,120h 31m 42s,,,,
145,9705,traxdize,PC,63h 12m,100%,,11889925,Completed,First,63h 12m 40s,,,,,,,Expert mode mage class playthrough.,,
146,9705,Private,PC,65h,100%,,11941380,Custom List Completed,Replay,65h,2013,65h,,,,,1.2 Playthrough Coop,107h /,
147,9705,,PC,68h,NR,,2618328,Completed,First,68h,,57h,,103h,145h,,,,
148,9705,,PC,69h 23m,NR,,9220151,Completed,First,69h 23m 59s,,24h 06m 55s,,,,,,,
149,9705,Private,PC,70h,NR,,11389477,Completed,First,70h,"May 29, 2020",,,,,,,,
150,9705,sarefx,PC,70h,90%,,6231066,Completed,First,70h,2013,,,,,,,,
151,9705,,PC,70h 30m,NR,All achievements,6021672,Completed,Replay,70h 30m,,,,120h,182h 21m,,,,
152,9705,,Mac,73h 31m,NR,,11491005,Completed,First,73h 31m 12s,,,,,,,,,
153,9705,,PC,75h,NR,,6293837,Completed,Replay,75h,,,,100h,500h,,,,
154,9705,Private,PC,77h,70%,,5487192,Backlog Completed,First,77h,2014,,,,,,,91h /,
155,9705,Dradis,PC,80h,NR,,3389166,Completed,First,80h,"September 04, 2016",,,,110h,,,,
156,9705,M4thew,PC,80h,NR,,11728035,Completed,First,80h,November 2015,,,,,,,,
157,9705,cheesey_and_smooth,Xbox 360,80h,90%,I consider this to be a big house all the NPCs and all bosses completed.,779730,Playing Replay Completed,Replay,80h,"November 28, 2013",,,120h,200h,,"LOVE this game it is so fun and has a lot of replay value. My friend, Lost The BOB (xbox gamertag) helped so much and you can go to his YouTube channel to check out the building of our ,now old, mansionrn https://www.youtube.com/channel/UC6KvvFqGW7-NSzrRVjqtVDQ/videos",200h /,
158,9705,,PC,80h 02m,NR,,9188021,Completed,First,80h 02m 31s,,26h 40m 23s,,,,,,,
159,9705,,PlayStation 4,80h 21m,NR,,11327420,Completed,First,80h 21m 52s,,17h 10m 25s,,100h 05m 23s,,,,,
160,9705,,Xbox One,85h,NR,,6363246,Completed,Replay,85h,,,,,212h,,,,
161,9705,Frakin,PC,90h,80%,,611061,Replay Completed,First,90h,"September 18, 2013",98h,,,,,,98h /,
162,9705,baaan,PC,90h,NR,,10290175,Completed,First,90h,"October 23, 2019",,,,,,,,
163,9705,nship,PC,90h,100%,,6781134,Completed,Replay,90h,"July 07, 2015",,,,,,,,
164,9705,,PC,90h 05m,NR,including hardmode,10916822,Completed,First,90h 05m,,,,,,,,,
165,9705,shadowbreakqr,PC,90h 14m,NR,,8673940,Completed,First,90h 14m,,,,101h 17m,,,,,
166,9705,MrStakan,PC,91h,NR,,4785883,Completed,First,91h,"July 17, 2017",129h,,,,,,,
167,9705,,Android,91h 36m,NR,,11225182,Completed,First,91h 36m 05s,,,,95h 50m 38s,101h 20m 31s,,,,
168,9705,JoshIsPoop,PC,94h,100%,,5411385,Completed,First,94h,"June 13, 2016",56h,,123h,276h,,,,
169,9705,Dreamlemur,PC,96h,NR,,12002307,Completed,First,96h,,,,,,,,,
170,9705,,PC,98h 58m,NR,,11618518,Completed,First,98h 58m,,,,109h 12m 45s,134h 57m,,,,
171,9705,dangerplayerx95,PC,100h,NR,,4606371,Completed,First,100h,"August 06, 2015",,,,,,,,
172,9705,metaloopa,PC,100h,NR,,11288274,Completed,First,100h,"March 18, 2020",,,,180h,,,,
173,9705,,PC,100h 05m,NR,,10481313,Completed,Replay,100h 05m 38s,,,,150h 54m 06s,250h 05m 45s,,,,
174,9705,Ataricorn,PC,105h 19m,100%,,8396937,Completed,First,105h 19m,,,,,,,,,
175,9705,,PC,106h,NR,,11434611,Completed,First,106h,,,,,,,,,
176,9705,,PlayStation 4,110h,NR,,10959277,Completed,First,110h,,,,150h,200h,,,,
177,9705,Private,Nintendo 3DS,110h 15m,90%,Extras subject to RNG. Time includes overall playthrough of one character collecting eveything and slaying all bosses pr,6510472,Backlog Completed,First,110h 15m,,,,150h 27m 15s,220h 17m 05s,,"This was done with one character and one world. All items where collected and are subject to RNG. All bosses in the 3DS version where slain. This was done on a Launch Edition Nintendo 3DS, meaning a normal world was used.",220h 17m 05s /,
178,9705,,PC,115h,NR,,9382118,Completed,Replay,115h,,,,140h,250h,,,,
179,9705,Nuhm,PC,119h,80%,,8073114,Completed,First,119h,"May 20, 2017",225h,,,225h,,,,
180,9705,,PC,120h,NR,,599318,Completed,First,120h,,,,180h,356h,,,,
181,9705,Foxy43,PC,120h,NR,,8845377,Completed,First,120h,"May 26, 2019",,,,,,,,
182,9705,Private,PC,120h,NR,,3945195,Completed,First,120h,,,,217h,,,,,
183,9705,EcchiHybrid,PC,121h,NR,,11450304,Playing Completed,First,121h,"April 06, 2019",,,,,,,165h /,
184,9705,Private,PC,125h,NR,,7080510,Completed,First,125h,"July 01, 2015",,,,,,,,
185,9705,Mr_mustachee,PC,132h,NR,,3037764,Completed,First,132h,"June 01, 2016",,,,,,,,
186,9705,bruhbruhbruhbruh,PC,132h,NR,Master Mode,12021958,Playing Replay Completed,Replay,132h,"June 14, 2020",,,139h 30m 06s,,,My longest playthrough ever.,,
187,9705,Tiorak,PC,10h,NR,,8401960,Completed,First,,"March 04, 2019",,,10h,,,,,
188,9705,,,15h 20m,NR,,410323,Completed,First,10h 44m 55s,,,,15h 20m 03s,100h 41m 45s,,,,
189,9705,batclone,PC,19h 26m,80%,"All NPCs, best armor/weapon, every biome and dungeon explored",26013,Completed,First,,,,,19h 26m 47s,,,,,
190,9705,,PC,20h,NR,,11212427,Completed,Replay,12h,,,,20h,50h,,,,
191,9705,Tyril132,PC,20h,80%,,482163,Completed,Replay,16h,,112h,,20h,30h,,,,
192,9705,spectation,PC,20h,100%,,435345,Playing Replay Completed,Replay,12h,"October 05, 2013",224h,,20h,,224h,"Fun multiplayer game, you can't stop finding things to use.",,
193,9705,Banxer,PC,21h 08m,NR,All bosses in pre hardmode except Wall of Flesh,4113789,Playing Completed,First,,"December 25, 2016",,,21h 08m 28s,,,,21h 08m 28s /,
194,9705,seant4427,PC,22h,100%,,29327,Completed,First,,,,,22h,,,,,
195,9705,jeffs24,PC,22h 58m,NR,"Softcore, Normal, Medium World",8189545,Backlog Completed,First,,"July 27, 2019",,,22h 58m 50s,,,,22h 58m 50s /,
196,9705,Skater983,PC,25h,90%,,440610,Completed,Replay,,,,,25h,,,,,
197,9705,ggpeu,PC,29h,100%,,11272170,Completed,Replay,20h,,,,29h,63h,,,,
198,9705,DigitalFrog,PC,29h 30m,90%,,113514,Completed,First,,,,,29h 30m,,,,,
199,9705,Wrathzog,PC,29h 30m,NR,,11800949,Completed,Replay,,"May 20, 2020",,,29h 30m,,,,,
200,9705,BrycenRC,PC,30h,80%,,11527916,Completed,Replay,,,,,30h,,,,,
201,9705,XxobbsxX,PC,30h,80%,,11009293,Replay Completed,Replay,20h,,13h,,30h,50h,,,227h /,
202,9705,wafflesandcheese,PC,30h,NR,,383745,Completed,First,,"October 15, 2013",,,30h,,,,,
203,9705,,PC,30h 04m,NR,,410322,Completed,First,15h 45m 10s,,,,30h 04m,100h 22m 56s,,,,
204,9705,NeoJ,PC,32h 41m,50%,,495487,Completed,First,,"December 28, 2013",,,32h 41m 11s,,,,,
205,9705,Private,PC,35h,70%,,5336096,Completed,First,,"November 01, 2016",,,35h,,,,,
206,9705,turnip67,PC,35h,100%,,690320,Completed,First,,,,,35h,,,,,
207,9705,denisvojcak,PC,35h 42m,90%,,11322532,Completed,First,,"August 02, 2019",23h 44m 12s,,35h 42m 34s,,,,,
208,9705,saucepanviking,PC,37h,NR,,130129,Completed,First,,"June 12, 2012",,,37h,,,,,
209,9705,,Xbox One,38h,NR,,11654980,Completed,Replay,18h,,,,38h,,,,,
210,9705,Private,PC,38h,70%,,661445,Completed,First,,,,,38h,,,,,
211,9705,ScroogeMcDuck,PC,40h,NR,,5167036,Playing Completed,Replay,35h 45m 11s,"October 12, 2015",150h,,40h,130h,,,422h /,
212,9705,vengrath1,PC,40h,100%,only angler quests remaining at this poing. but fuck angler,7110301,Completed,First,20h,"November 26, 2017",,,40h,80h,,,,
213,9705,Private,PC,42h 05m,90%,All events completed.,11997935,Completed,Replay,,"June 10, 2020",42h 05m 38s,,42h 05m 38s,,,"Journey, Master, seed 3.4.2.05162020 (Drunk World), godmode disabled & spawn rate never adjusted. Played entirely in 2P co-op.",,
214,9705,adamdotpng,PC,42h 45m,100%,Solo to Wall of Flesh,3905457,Completed Retired,Replay,,"July 08, 2015",,5h 51m 28s,42h 45m 59s,,,,,
215,9705,Kreize,PC,43h,100%,,262870,Completed,First,,"April 27, 2013",,,43h,,,,,
216,9705,Pangin,PC,44h,70%,,6410866,Completed,First,,"June 14, 2018",,,44h,,,,,
217,9705,,PC,47h,NR,,7574863,Completed,First,,,,,47h,,,,,
218,9705,Akatsuki200,PC,47h,NR,,8500198,Custom List Completed,First,,"July 07, 2014",,,47h,,,,,
219,9705,hatchetsforhands,PC,47h,90%,,138667,Completed,First,,"June 27, 2012",,,47h,,,,,
220,9705,TheAlquimista,PC,48h,NR,,267110,Completed,First,,"May 12, 2013",,,48h,,,,,
221,9705,lucalaure1007,PC,48h,100%,,10808913,Completed,First,,"January 13, 2020",,,48h,,,,,
222,9705,nixx,PC,49h,NR,,2152328,Completed,First,,"July 10, 2015",49h,,49h,,,,,
223,9705,dRot,PC,49h 12m,NR,,243482,Completed,First,,"July 12, 2012",,,49h 12m 36s,,,,,
224,9705,,PC,50h,NR,,9006004,Completed,First,,,,,50h,,,,,
225,9705,FluffyReborn,PC,50h,NR,,7103475,Completed,First,,"September 23, 2018",,,50h,,,,,
226,9705,Sarena6436,PC,50h,NR,,8774483,Completed,First,,"May 15, 2019",,,50h,,,,,
227,9705,Thryack,PC,50h,NR,,1296956,Completed,First,,,,,50h,,,,,
228,9705,pascaldulieu,PC,50h,NR,,1893279,Completed,First,,,,,50h,,,,,
229,9705,Azraden,PC,53h,90%,,63286,Completed,First,,"July 31, 2012",,,53h,,,,,
230,9705,thisischeese,PC,53h,NR,,1183790,Completed,First,,"February 08, 2015",,,53h,,,,,
231,9705,Sciemon,PC,54h,90%,,4613607,Completed,Replay,,"June 23, 2017",,,54h,,,,,
232,9705,,PC,55h,NR,,11841155,Completed,Replay,,,60h,,55h,,,,,
233,9705,Private,PC,55h,80%,,4814555,Completed,First,,,,,55h,,,,,
234,9705,Metsuryu,PC,55h,NR,,3271614,Completed,First,,,,,55h,,,,,
235,9705,Wrathzog,PC,55h,90%,,3812547,Completed,Replay,,"July 26, 2015",138h,,55h,,,,,
236,9705,coolguymarek,PC,55h,NR,"94% of achievements, defeated Moon Lord on listed completion date; Wall of Flesh was defeated ~1 month prior",6489694,Completed,Replay,,"November 05, 2015",,,55h,,,,,
237,9705,sackboy97,PC,55h,90%,,2390686,Completed,First,,December 2011,,,55h,,,,,
238,9705,AephK,PC,55h 04m,NR,,3728931,Completed,First,,,,,55h 04m,,,,,
239,9705,Sparontax,PC,55h 25m,NR,,10838412,Completed,First,45h 30m,"August 10, 2015",,,55h 25m,,,,,
240,9705,Private,PC,56h,90%,,428352,Completed,Replay,,,,,56h,,,,,
241,9705,,PC,56h 06m,NR,Everything except fishing,11474542,Completed,Replay,,,,,56h 06m 54s,,,,,
242,9705,Clagala,PC,57h,90%,All hardmode bosses killed and hallowed armor with best weapons.,533147,Completed,First,,"December 27, 2013",,,57h,,,,,
243,9705,Private,PC,57h,NR,,10672127,Completed,First,,"December 28, 2019",,,57h,,,,,
244,9705,Schwagle,PC,58h 07m,NR,,11988403,Completed,Replay,,"June 13, 2020",,,58h 07m 27s,,,,,
245,9705,DesolatePsyche,PC,60h,80%,all bosses?,2763113,Completed,First,,"May 19, 2016",,,60h,,,,,
246,9705,Duke82,,60h,80%,,427856,Completed,First,,"September 29, 2013",,,60h,90h,,,,
247,9705,Zumigon,PC,60h,90%,Didnt care about Fishing,10512010,Completed,Replay,,"May 30, 2017",,,60h,,,,,
