,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Completionist,Personal Notes,Vs.,Progress,100% Speedrun
23,57506,,PC,11h,NR,,11369392,Completed,First,,11h,14h,,,,,
24,57506,NathNath,PlayStation 4,11h,NR,,11204060,Completed,First,"March 28, 2020",11h,,,,,,
25,57506,OhNo93,PC,11h,NR,,11277598,Completed,First,"March 27, 2020",11h,,,,,,
26,57506,PeaceDuke1337,PC,11h,NR,90% of collectebles,11233601,Completed,First,"March 22, 2020",11h,15h,,,,,
27,57506,ThatCristianGuy,PC,11h,90%,,11267424,Completed,First,"March 27, 2020",11h,,,,,,
28,57506,eliasaj92,PC,11h,100%,,11199919,Completed,First,"March 22, 2020",11h,,,,,,
29,57506,gamole,PC,11h,NR,,11749627,Completed,First,"May 15, 2020",11h,,,,,,
30,57506,josu91,PC,11h,NR,,11141883,Completed,First,"April 11, 2020",11h,,,,,,
31,57506,ryuson2000,PC,11h,NR,,11396802,Completed,First,"April 09, 2020",11h,,,,,,
32,57506,vuchkov,PC,11h,NR,,11474060,Completed,First,"April 17, 2020",11h,,,,,,
33,57506,slickochet,PC,11h 02m,NR,I'm Too Young To Die difficulty.,11200854,Completed,First,"March 26, 2020",11h 02m 28s,,,,,,
34,57506,RRC123,PC,11h 15m,60%,"Ultra-violence difficulty for most of the game, Nightmare difficulty early on",11552343,Completed,First,"May 08, 2020",11h 15m 32s,,,,,,
35,57506,,PC,11h 21m,NR,,11426590,Completed,First,,11h 21m,,,,,,
36,57506,,PC,11h 30m,NR,,11722479,Completed,First,,11h 30m,,,,,,
37,57506,,PC,11h 30m,NR,,11353794,Completed,First,,11h 30m 22s,,,,,,
38,57506,KiguRoomie,PC,11h 31m,NR,,11351371,Completed,First,"April 04, 2020",11h 31m 40s,,,,,,
39,57506,asotahu,PC,11h 47m,NR,,11782241,Completed,First,"May 15, 2020",11h 47m,,,,,,
40,57506,MrROBINKONG,PC,11h 47m,80%,Beat the Campaign on Hurt Me Plenty difficulty,10985880,Completed,First,"March 28, 2020",11h 47m 14s,,,,,,
41,57506,coleneff,PlayStation 4,11h 57m,90%,,11325176,Completed,First,"April 11, 2020",11h 57m,,,,,,
42,57506,,Xbox One,12h,NR,,11195775,Completed,First,,12h,,,,,,
43,57506,,PlayStation 4,12h,NR,"Main story only, no side objectives",11199644,Completed,First,,12h,,,,,,
44,57506,,PC,12h,NR,,11206486,Completed,First,,12h,,,,,,
45,57506,,PC,12h,NR,,11225125,Completed,First,,12h,,,,,,
46,57506,,PlayStation 4,12h,NR,,11287858,Completed,First,,12h,,,,,,
47,57506,,PC,12h,NR,,11331889,Completed,First,,12h,16h,,,,,
48,57506,ArturGG,Xbox One,12h,NR,,11519196,Completed,First,"April 21, 2020",12h,,,,,,
49,57506,Darthaegis,PC,12h,60%,,11252688,Completed,First,"March 26, 2020",12h,,,,,,
50,57506,Private,PC,12h,NR,,11407467,Completed,First,"April 10, 2020",12h,,,,,,
51,57506,Private,PC,12h,100%,Played on nightmare and did most if not all of the side stuff.,11291287,Completed,Replay,"March 27, 2020",12h,15h,,,,,
52,57506,Lucasgold,PC,12h,NR,,11203246,Completed,First,"March 20, 2020",12h,,,This game is a masterpiece.,,,
53,57506,Mynek,PC,12h,NR,,11278991,Completed,First,"March 28, 2020",12h,17h,,,,,
54,57506,RST43,PlayStation 4,12h,90%,,11311715,Completed,First,,12h,,,,,,
55,57506,Reviews,PlayStation 4,12h,80%,,11751134,Completed,First,"May 15, 2020",12h,,,,,,
56,57506,Speakinguitar,PC,12h,NR,,11417460,Completed,First,"March 24, 2020",12h,,,,,,
57,57506,SwagIsFunky,PC,12h,NR,,11216579,Completed,First,"March 22, 2020",12h,16h,,,,,
58,57506,almurfmurf,PlayStation 4,12h,NR,,11220672,Completed,First,"March 29, 2020",12h,,,,,,
59,57506,dtg1,PC,12h,NR,,11365267,Completed,First,"April 06, 2020",12h,,,,,,
60,57506,Private,PC,12h,80%,,11223635,Completed,First,"March 23, 2020",12h,,,,,,
61,57506,lewdmeat,PC,12h,90%,Difficulty - I'm Too Young to Die (1/5),11198200,Completed,First,"March 22, 2020",12h,,,"DOOM Eternal has a total of 13 missions in the Main Story. They are as followed:
1. Hell on Earth
2. Exultia
3. Cultist Base
4. DOOM Hunter Base
5. Super Gore Nest
6. Arc Complex
7. Mars Core
8. Sentinel Prime
9. Taras Nabad
10. Nekravol
11. Nekravol - Part II
12. Urdak
13. Final Sin",,,
62,57506,mitherx,PC,12h,NR,,11230313,Completed,First,"March 23, 2020",12h,,,,,,
63,57506,mrbaggs,PC,12h,NR,,11473481,Completed,First,"April 17, 2020",12h,,,,,,
64,57506,tobesxd,PC,12h,90%,,11420237,Completed,First,"April 12, 2020",12h,,,,30m,,
65,57506,Daigoro,PC,12h 01m,80%,,11524820,Completed,First,"April 22, 2020",12h 01m 23s,,,,,,
66,57506,chadilak,PC,12h 04m,90%,,11216481,Completed,First,"March 25, 2020",12h 04m,,,,,,
67,57506,Private,PC,12h 08m,90%,,11176150,Completed,First,"March 31, 2020",12h 08m 51s,,,,,,
68,57506,Noble115,PlayStation 4,12h 10m,70%,,11787402,Completed,First,"March 26, 2020",12h 10m,,,,,,
69,57506,Steeper2005,Xbox One,12h 11m,NR,,11730753,Custom List 2 Completed,First,"May 13, 2020",12h 11m,16h 14m,21h 16m 17s,,,,
70,57506,,PlayStation 4,12h 12m,NR,,11308958,Completed,First,,12h 12m,,,,,,
71,57506,,PlayStation 4,12h 12m,NR,Only died twice in normal difficulty,11205260,Completed,First,,12h 12m 19s,,,,,,
72,57506,vdebrais,PlayStation 4,12h 14m,NR,,11203325,Completed,First,"April 10, 2020",12h 14m,,,,,,
73,57506,ironicmoustache,PC,12h 18m,90%,Ultra-Violence.,11412724,Completed,First,"April 07, 2020",12h 18m,,,,,,
74,57506,Multi_117,PC,12h 21m,80%,,11253744,Completed,First,"May 01, 2020",12h 21m 14s,,,,,,
75,57506,,PC,12h 24m,NR,,11206913,Completed,First,,12h 24m 22s,,,,,,
76,57506,ntylerwetrust,PC,12h 25m,100%,,10833881,Completed,First,"April 08, 2020",12h 25m 49s,,,,,,
77,57506,Jonah_Vigorous,PC,12h 30m,NR,,11495707,Completed,First,,12h 30m,,,,,,
78,57506,Elficzek,PC,12h 35m,80%,,11317506,Completed,First,"April 01, 2020",12h 35m,,,,,,
79,57506,martin,PC,12h 35m,NR,,11280213,Completed,First,"March 28, 2020",12h 35m,,,,,,
80,57506,GaebN,PC,12h 40m,NR,,11717446,Completed,First,"May 11, 2020",12h 40m,,,,,,
81,57506,BruceL337,PC,12h 42m,NR,,11224828,Completed,First,"March 30, 2020",12h 42m,,,1) 37 2) 58 3) 1:26 4) 49 5) 1:05 6) 1:15 7) 1:02 8) 18 9) 1:56 10) 38 11) 28 12) 1:05 13) 1:05,,,
82,57506,acrid809,PC,12h 42m,100%,,11447329,Completed,First,"April 14, 2020",12h 42m,,,,,,
83,57506,,PC,12h 45m,NR,,11499871,Completed,First,,12h 45m,,,,,,
84,57506,sqlds,PC,12h 54m,NR,,11734046,Completed,First,"April 14, 2020",12h 54m 34s,,,,,,
85,57506,lowdefal,PC,12h 55m,NR,,11220185,Completed,First,"March 24, 2020",12h 55m,,,,,,
86,57506,,PC,13h,NR,,11277729,Completed,First,,13h,,,,,,
87,57506,,PlayStation 4,13h,NR,,11435710,Completed,First,,13h,,,,,,
88,57506,Anthracks,Xbox One,13h,100%,,11211673,Completed,First,"March 28, 2020",13h,,,,,,
89,57506,BumperMunch,PC,13h,NR,,11866296,Completed,First,"May 29, 2020",13h,,,,,,
90,57506,EDGE1095,PC,13h,80%,,11259359,Completed,First,"April 04, 2020",13h,15h,,,,,
91,57506,Jevf,PlayStation 4,13h,80%,,11221318,Playing Completed,First,"March 28, 2020",13h,17h,,,,18h /,
92,57506,Miszelek,PC,13h,NR,,11302290,Completed,First,"March 31, 2020",13h,,,,,,
93,57506,Omegason,PC,13h,80%,,11251875,Completed,First,"March 25, 2020",13h,,,,,,
94,57506,Tarrmu,Xbox One,13h,NR,,10780504,Completed,First,"May 03, 2020",13h,,,,,,
95,57506,arrash,PC,13h,NR,,11244333,Completed,First,"March 25, 2020",13h,,,,,,
96,57506,garthol,PlayStation 4,13h,NR,,11723749,Completed,First,,13h,18h,,,,,
97,57506,Private,PC,13h,NR,,11305050,Completed,First,"March 25, 2020",13h,20h,30h,,,,
98,57506,Private,PlayStation 4,13h,NR,,11204918,Completed,First,"March 20, 2020",13h,,,,,,
99,57506,kariyanine,Xbox One,13h,60%,,11253334,Completed,First,"March 25, 2020",13h,,,,,,
100,57506,Private,PC,13h,NR,,11272296,Completed,First,"March 28, 2020",13h,,,,,,
101,57506,willo45,PC,13h,90%,,11643125,Completed,First,"April 25, 2020",13h,,22h,,,,
102,57506,liorfigman,PC,13h 01m,80%,,11332597,Completed,First,"April 03, 2020",13h 01m,,,,,,
103,57506,,Xbox One,13h 15m,NR,,11424236,Completed,First,,13h 15m 33s,20h 16m 45s,26h 21m 14s,,,,
104,57506,SethimusPrime,PlayStation 4,13h 18m,100%,,11231805,Completed,First,"March 25, 2020",13h 18m 05s,,,,,,
105,57506,Smangra,PC,13h 20m,80%,,11270680,Completed,First,"March 28, 2020",13h 20m,,,,,,
106,57506,dannyboy5498,PlayStation 4,13h 21m,NR,,11860746,Completed,First,,13h 21m,,,,,,
107,57506,KinkyMong,PlayStation 4,13h 30m,NR,,11199985,Completed,First,"March 27, 2020",13h 30m,,,,,,
108,57506,kemosabe112,PlayStation 4,13h 30m,80%,,11638077,Completed,First,"June 16, 2020",13h 30m,,,,,,
109,57506,Phare,PC,13h 31m,90%,,11160244,Completed,First,"March 22, 2020",13h 31m 21s,,,,,,
110,57506,sansa,PC,13h 39m,NR,,11284943,Completed,First,"March 29, 2020",13h 39m,,,,,,
111,57506,,PC,13h 45m,NR,,11214157,Completed,First,,13h 45m,,,,,,
112,57506,Private,Google Stadia,13h 50m,90%,,11899862,Completed,First,"June 09, 2020",13h 50m,,,,,,
113,57506,Arcnid,PC,14h,NR,,11204905,Completed,First,"March 20, 2020",14h,,,,,,
114,57506,Private,PC,14h,90%,,11678082,Completed,First,,14h,,,,,,
115,57506,Yghavanx,PC,14h,90%,,11591407,Completed,First,,14h,,,,,,
116,57506,davinster1,PC,14h,NR,,11840524,Completed,First,"March 24, 2020",14h,,,,,,
117,57506,robojews,PlayStation 4,14h,NR,,11591160,Completed,First,"April 28, 2020",14h,,,,,,
118,57506,xBlitzerx,PC,14h,NR,,11311961,Completed,First,"March 31, 2020",14h,,,,,,
119,57506,gyrospeck,PC,14h 08m,80%,,11326461,Completed,First,"April 02, 2020",14h 08m,,,,,,
120,57506,blitzfire,PC,14h 12m,80%,,11241845,Completed,First,"March 25, 2020",14h 12m,,,,,,
121,57506,,PC,14h 15m,NR,,11538168,Completed,First,,14h 15m 56s,,,,,,
122,57506,zeuswaffle19,PC,14h 19m,90%,,11721561,Completed,First,"May 12, 2020",14h 19m,,,Really fun,,,
123,57506,SneppeYo,PlayStation 4,14h 20m,70%,,11405740,Completed,First,"April 10, 2020",14h 20m,,,,,,
124,57506,DiamondEd101,PlayStation 4,14h 23m,NR,,11220912,Completed,First,"April 20, 2020",14h 23m 25s,,,,,,
125,57506,TheMadBeardedArtist,Xbox One,14h 30m,NR,,11432259,Completed,First,"April 13, 2020",14h 30m,18h,27h,,,,
126,57506,tobesplays,PC,14h 30m,NR,,11537188,Completed,First,,14h 30m,,,,,,
127,57506,Colonel_Onyx,PC,14h 38m,80%,Easy,11429203,Completed,First,"April 06, 2020",14h 38m,,,,,,
128,57506,,PC,15h,NR,,11213749,Completed,First,,15h,,,,,,
129,57506,,PC,15h,NR,,11241363,Completed,First,,15h,,,,,,
130,57506,Confederacy,PC,15h,80%,,11228180,Completed,First,"March 22, 2020",15h,,,,,,
131,57506,LeonRez,PC,15h,80%,,11248124,Playing Completed,First,"April 05, 2020",15h,21h,,,,46h /,
132,57506,Nightaries3030,Xbox One,15h,100%,,11314028,Completed,First,,15h,,,,,,
133,57506,SBRK,PC,15h,90%,,11367796,Completed,First,"April 05, 2020",15h,18h,,,,,
134,57506,Suicidelbunnyz,PC,15h,100%,,11222790,Completed,First,"March 22, 2020",15h,,,,,,
135,57506,all2surreal,PC,15h,100%,,8950851,Completed,First,"March 27, 2020",15h,,,,,,
136,57506,Private,PC,15h,90%,,11473722,Completed,First,"March 25, 2020",15h,,,,,,
137,57506,carlgamer007,PC,15h,100%,,11779566,Completed,First,"April 03, 2020",15h,,,,,,
138,57506,haribo841,PC,15h,100%,,11389701,Completed,First,"April 08, 2020",15h,20h,30h,,,,
139,57506,mabns,PC,15h,NR,,11471497,Completed,First,,15h,20h,,,,,
140,57506,mauhlin12,PlayStation 4,15h,80%,"Baby mode. Yes, I know I suck.",11398283,Completed,First,"April 09, 2020",15h,,,,,,
141,57506,tausiftt5238,PlayStation 4,15h,80%,Hurt me plenty,11283115,Completed,First,"March 29, 2020",15h,,,,,,
142,57506,tip,PC,15h,80%,,11600397,Completed,First,"April 29, 2020",15h,,,,,,
143,57506,AidanAK47,PC,15h 18m,90%,,11195561,Completed,First,"March 23, 2020",15h 18m,,,,,,
144,57506,,PlayStation 4,15h 22m,NR,,11195850,Completed,First,,15h 22m 30s,,,,,,
145,57506,lordxar,PC,15h 30m,NR,,11205448,Completed,First,"April 28, 2020",15h 30m,,,,,,
146,57506,mrndkra,PC,15h 30m,NR,,11226605,Completed,First,"March 22, 2020",15h 30m,,,,,,
147,57506,AGM8,PC,15h 45m,90%,,11819042,Backlog Completed,First,"May 23, 2020",15h 45m,21h 11m,,,,,
148,57506,ROBALEXXX_CP,Xbox One,15h 50m,100%,,11427658,Completed,First,"April 12, 2020",15h 50m,,,,,,
149,57506,Angmar,PC,16h,80%,,11394083,Completed,First,"April 09, 2020",16h,,,,,,
150,57506,CorticusMaximus,PC,16h,90%,,11925072,Completed,First,"June 19, 2020",16h,,,,,,
151,57506,KamikotoGasai,PC,16h,NR,,11262819,Completed,First,"March 27, 2020",16h,,,,,,
152,57506,hippyman,PC,16h,90%,,11346432,Completed,First,"March 31, 2020",16h,,,,,,
153,57506,pliskin10,PC,16h,NR,Exploring all the levels. Nightmare Difficulty,11501486,Custom List Completed,First,"April 03, 2020",16h,,,Played on PC via Bethesda Store,,16h /,
154,57506,,PC,16h 25m,NR,,11240685,Completed,First,,16h 25m,,,,,,
155,57506,Anthirian,PC,16h 48m,80%,,11658381,Completed,First,"May 05, 2020",16h 48m,,,,,,
156,57506,,PC,17h,NR,,11345120,Completed,First,,17h,22h,25h,,,,
157,57506,SuperShan52689,PC,17h,NR,"Beaten on ""Ultra-Violence"" difficulty",11222162,Completed,First,"March 22, 2020",17h,,,,,,
158,57506,Private,PC,17h,70%,,10857746,Completed,First,"March 21, 2020",17h,,,,,,
159,57506,,PlayStation 4,17h 20m,NR,,11468656,Completed,First,,17h 20m 11s,,,,,,
160,57506,Hiorth,PC,17h 24m,NR,,11590000,Completed,First,"April 28, 2020",17h 24m,,,,,,
161,57506,nightofthecreed3,PlayStation 4,17h 25m,NR,,11287357,Completed,First,"March 29, 2020",17h 25m,,,,,,
162,57506,Kelthual,PlayStation 4,17h 30m,NR,,11415687,Completed,First,"April 11, 2020",17h 30m,,,,,,
163,57506,Namaku64,PC,17h 36m,NR,,11250771,Completed,First,"March 24, 2020",17h 36m,,,,,,
164,57506,EpicBro99,Xbox One,17h 45m,90%,,11215162,Completed,First,"March 21, 2020",17h 45m,,,,,,
165,57506,Copeland1994,Xbox One,18h,80%,,11232093,Completed,First,"March 23, 2020",18h,,,,,,
166,57506,TazGarout,PC,18h,NR,,11287619,Completed,First,"March 29, 2020",18h,,,,,,
167,57506,gringlas,PC,18h,70%,,11757881,Completed,First,"May 16, 2020",18h,,,,,,
168,57506,kianweic,PC,18h,NR,,11215940,Completed,First,"March 22, 2020",18h,,,,,,
169,57506,maniacx263,PlayStation 4,18h,90%,,11678104,Completed,First,"May 08, 2020",18h,20h,28h,,,,
170,57506,robojews,PlayStation 4,18h,NR,,11591399,Completed,First,"April 09, 2020",18h,,,,,,
171,57506,sudsthesavage,PC,18h,NR,,11332851,Completed,First,"April 03, 2020",18h,,,,,,
172,57506,white_sox,Xbox One,18h,70%,"Time estimated, for some reason, Xbox did not track platime. Normal Difficulty",11417065,Completed,First,"April 11, 2020",18h,,,,,,
173,57506,,PC,18h 25m,NR,,11487314,Completed,First,,18h 25m 19s,,,,10h 42m 12s,,
174,57506,GilJaysmith,PC,18h 30m,100%,,11500895,Completed,First,"April 20, 2020",18h 30m,,,,,,
175,57506,Civilwarfare101,PlayStation 4,18h 50m,90%,,7468462,Completed,First,"April 23, 2020",18h 50m,,,,,,
176,57506,Badger224,PC,19h,NR,nightmare difficulty,11215185,Completed,First,"March 22, 2020",19h,,,,,,
177,57506,BigNeebus,PC,19h,80%,,11420149,Completed,First,"April 12, 2020",19h,,,,,,
178,57506,MattTown,PC,19h,100%,Nightmare difficulty,11220365,Completed,First,"March 21, 2020",19h,,,,,,
179,57506,MrGunnerPT,PC,19h,NR,,11231732,Completed,First,"March 24, 2020",19h,,,,,,
180,57506,Technochips,PC,19h,NR,"100%'d every single levels. Including unlocking every toys, musics, codex, and getting all Fortress of Doom unlockables.",11371746,Playing Completed,First,"March 22, 2020",19h,27h 21m 40s,,,,27h 21m 40s /,
181,57506,,PC,20h,NR,,11350809,Completed,First,,20h,,,,,,
182,57506,Lumpwimp,PC,20h,90%,,11959853,Completed,First,,20h,,,,,,
183,57506,PulpDog,PC,20h,NR,,11522295,Completed,First,"April 11, 2020",20h,,,,,,
184,57506,Stig_FD3S,PlayStation 4,20h,NR,"100% everything, all collectables, all stat points, all weapon points maxed, etc.",11484750,Completed,First,"April 04, 2020",20h,25h,30h,,,,
185,57506,UrAboveAvgGamer,PC,20h,NR,,11726756,Replay Completed,First,"May 13, 2020",20h,24h,25h,,,,
186,57506,,PC,21h,NR,,11791383,Completed,First,,21h,,,,,,
187,57506,ceegags,PC,21h,NR,,11968478,Completed,First,"June 12, 2020",21h,,,,,,
188,57506,nandika,PlayStation 4,21h,NR,,11501895,Completed,First,"April 20, 2020",21h,,,,,,
189,57506,Sheesher,PC,22h,NR,I went for the secret gun (Unmaykr) and fully completed one of the levels.,11268099,Completed,First,"March 26, 2020",22h,,,,,,
190,57506,dcmk,PlayStation 4,22h,NR,,11686952,Completed,First,"May 23, 2020",22h,,,,,,
191,57506,purpleurchin,PC,22h,NR,,9410259,Completed,First,"March 30, 2020",22h,27h,,,,,
192,57506,Ace7zar3,PlayStation 4,7h 30m,NR,,11306722,Completed,Replay,"March 31, 2020",,7h 30m,,,,,
193,57506,,PC,9h 20m,NR,,11239932,Completed,First,,,9h 20m,,,,,
194,57506,,PC,9h 27m,NR,,11202562,Completed,First,,,9h 27m 13s,,,,,
195,57506,PossesseDCoW,PC,9h 30m,NR,,11287761,Completed,First,"March 28, 2020",,9h 30m,,,,,
196,57506,,PC,9h 50m,NR,,11222591,Completed,First,,,9h 50m,,,,,
197,57506,,PC,10h,NR,,11217716,Completed,First,,,10h,,,,,
198,57506,MariaClocktower,PlayStation 4,10h,NR,,11391223,Completed,First,,,10h,,,,,
199,57506,finalchris,PC,10h 47m,90%,,11663481,Completed,First,"May 06, 2020",,10h 47m,,,,,
200,57506,,PC,11h,NR,i went for like 70-80% secrets each level on UV,11203345,Completed,First,,,11h,,,,,
201,57506,Supremo0075,PC,11h,NR,,11358023,Completed,First,"April 05, 2020",,11h,,,,,
202,57506,firegamer273,PC,11h,NR,,9241895,Completed,First,"March 24, 2020",,11h 08s,,,,,
203,57506,Lewdmajesco,PC,11h 30m,NR,"Explored levels got 75% of collectables, ultra violence difficulty",11205041,Completed,First,"March 21, 2020",,11h 30m,,,,,
204,57506,,Google Stadia,12h,NR,,11514104,Completed,First,,9h,12h,20h,,,,
205,57506,LeToothpick,PC,12h,90%,,11259124,Completed,First,"March 26, 2020",10h,12h,16h,,,,
206,57506,Private,PC,12h,NR,,11216828,Completed,First,"March 22, 2020",,12h,,,,,
207,57506,MilitisSanctus,PlayStation 4,12h,NR,,11313387,Completed,First,"March 31, 2020",,12h,,,,,
208,57506,RichyL93,PC,12h,NR,,11393544,Completed,First,"April 09, 2020",,12h,,,,,
209,57506,RubberDuckMethod,PC,12h,NR,,11303144,Completed,First,"March 31, 2020",,12h,,,,,
210,57506,Sora_O,PC,12h,NR,,11495062,Completed,First,"April 19, 2020",,12h,,,,,
211,57506,Private,PC,12h,NR,,11259517,Completed,First,"March 26, 2020",10h,12h,,,,,
212,57506,tomi,PC,12h,NR,,11210659,Completed,First,"March 20, 2020",,12h,,,,,
213,57506,yigitkoparan123,PC,12h,90%,,11268607,Completed,First,"March 28, 2020",,12h,,,,,
214,57506,Sauce_Boss,PC,12h 04m,100%,,11916776,Completed,First,"June 10, 2020",,12h 04m,,,,,
215,57506,vert343,PC,12h 05m,100%,"Only did about half the extras, would estimate ~13 to 14 hours if you did all the Gates and Optional Encounters.",11200102,Completed,First,"March 20, 2020",,12h 05m,,I love this game.,,,
216,57506,CloudConnection,PC,12h 22m,NR,,11279451,Completed,First,,,12h 22m 11s,,,,,
217,57506,Private,PlayStation 4,12h 30m,NR,Got any collectibles I found without a guide,11539616,Completed,First,"May 17, 2020",,12h 30m,,,,,
218,57506,therealkci,PC,12h 30m,100%,,11278920,Completed,First,"March 24, 2020",,12h 30m,,,,,
219,57506,aviggo77,PC,12h 35m,90%,,11307670,Completed,First,"March 31, 2020",,12h 35m,,,,,
220,57506,Elassirish,PC,12h 40m,NR,,11221345,Replay Completed,First,"March 20, 2020",,12h 40m,28h 33m,,,,
221,57506,,PC,12h 41m,NR,,11211970,Completed,First,,,12h 41m,,,,,
222,57506,donly,PC,12h 42m,60%,,11260223,Completed,First,"March 26, 2020",,12h 42m,,,,,
223,57506,,PC,12h 43m,NR,,11270194,Completed,First,,,12h 43m,,,,,
224,57506,Private,PC,12h 53m,90%,80% exploration,11206381,Completed,First,"March 22, 2020",,12h 53m 52s,,Difficulty: hurt me plenty.,,,
225,57506,Baylife,PC,12h 54m,90%,,10825308,Completed,First,"March 29, 2020",,12h 54m,,"Explored every level and obtained around 85% of collectables / secretsd, ultra violence difficulty first time",,,
226,57506,,PC,13h,NR,,11317298,Completed,First,,,13h,,,,,
227,57506,Foles,PC,13h,NR,,11319005,Completed,First,"April 02, 2020",,13h,,,,,
228,57506,IM_A_BIG_DB,Xbox One,13h,80%,,11406246,Completed Retired,First,"April 10, 2020",,13h,,,,,
229,57506,TheMSN,PC,13h,90%,,11315746,Completed,First,"April 01, 2020",,13h,,,,,
230,57506,adbd111,Xbox One,13h,90%,,11228130,Playing Completed,First,"March 26, 2020",,13h,,,,,
231,57506,gocflamedragon,PC,13h,NR,,11271949,Completed,First,"March 24, 2020",,13h,,,,,
232,57506,kpossai,PC,13h,NR,,11196972,Completed,First,"March 31, 2020",,13h,,,,,
233,57506,saturday13,Xbox One,13h 02m,NR,,11270709,Completed,First,"April 10, 2020",,13h 02m 51s,,,,,
234,57506,ghrbkramer,PlayStation 4,13h 23m,NR,,11383613,Completed,First,"April 07, 2020",,13h 23m,,,,,
235,57506,dmgash,PC,13h 30m,NR,,11240199,Completed,First,"March 24, 2020",,13h 30m,,,,,
236,57506,lambdan,PC,13h 30m,NR,,11216669,Completed,First,"March 22, 2020",,13h 30m,,,,,
237,57506,Private,Xbox One,13h 35m,100%,,11206138,Completed,First,"March 22, 2020",,13h 35m,,,,,
238,57506,,PC,13h 44m,NR,,11206491,Completed,First,,11h,13h 44m,,,,,
239,57506,FazerGS,PC,13h 54m,NR,,11853519,Completed,First,"May 27, 2020",,13h 54m,,,,,
240,57506,,PC,14h,NR,,11369392,Completed,First,,11h,14h,,,,,
241,57506,,PC,14h,NR,,11768047,Completed,First,,,14h,,,,,
242,57506,Ashkaan,PC,14h,100%,,6488335,Completed,First,"April 04, 2020",,14h,,,,,
243,57506,Centi,PC,14h,NR,,11346926,Completed,First,"March 22, 2020",,14h,,,,,
244,57506,ExceedSC,PC,14h,NR,,11225184,Completed,First,"March 23, 2020",,14h,,,,,
245,57506,Hiplobbe,PC,14h,NR,"All collectibles, not all weapon masteries",11501789,Completed,First,"April 20, 2020",,14h,,,,,
246,57506,Private,PC,14h,NR,,11385124,Completed,First,"April 08, 2020",,14h,,,,,
247,57506,Lew_ser,PC,14h,NR,,11269053,Completed,First,"March 27, 2020",,14h,,,,,
248,57506,Wank8734,PlayStation 4,14h,NR,,11331604,Completed,First,"April 01, 2020",,14h,,,,,
249,57506,Private,PlayStation 4,14h,80%,,11787191,Completed,First,"March 28, 2020",,14h,,,,,
250,57506,tyl0413,PC,14h,NR,,11212005,Completed,First,"March 21, 2020",,14h,,,,,
251,57506,ys45,PC,14h,NR,,11325078,Completed,First,"April 02, 2020",,14h,,,,,
252,57506,DecemberStyle,PC,14h 03m,90%,,11222208,Completed,First,"April 06, 2020",,14h 03m 21s,,,,,
