,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Main Story,Completion,Main+Extras,Completionist,100% Speedrun,Speedrun,Personal Notes,Co-Op,Vs.,Progress
51,7720,,Nintendo GameCube,9h 11m,NR,,7759989,Completed,First,9h 11m 53s,,20h 14m,29h,,,,,,
52,7720,aftereight88,PlayStation 2,9h 17m,90%,,9070387,Completed,First,9h 17m,,13h 13m,17h 39m,,,,,,
53,7720,cellslayer78,PlayStation 4,9h 19m,100%,,3415506,Completed,Replay,9h 19m 58s,"September 11, 2016",,,,,,,,
54,7720,badvsgood,Nintendo GameCube,9h 22m,NR,,75666,Completed,First,9h 22m 14s,,,,,,,,,
55,7720,janther,PlayStation 4,9h 27m,90%,,3617428,Completed,Replay,9h 27m,"October 06, 2016",,,,,,,,
56,7720,,PC,9h 27m,NR,,1588651,Completed,First,9h 27m 12s,,,,,,,,,
57,7720,Caliburn89,Nintendo GameCube,9h 28m,NR,"Very conservative. Rocket Launchers for garadors, verdugo, salazer, and saddler.",3070514,Completed,Replay,9h 28m 44s,"June 06, 2016",,,,,,,,
58,7720,andrewl3779,PC,9h 31m,90%,Fun time. New Game. HD version.,6194006,Completed,Replay,9h 31m 10s,"May 01, 2018",,,,,,,,
59,7720,bpeppe,PC,9h 34m,NR,,9387024,Completed,Replay,9h 34m 26s,"March 11, 2018",,,,,,,,
60,7720,cellslayer78,Nintendo GameCube,9h 36m,100%,,2006660,Completed,First,9h 36m,"October 26, 2015",,,,,,,,
61,7720,,PC,9h 43m,NR,,4247869,Completed,First,9h 43m,,,,,,,,,
62,7720,,PC,9h 43m,NR,,4807724,Completed,First,9h 43m 14s,,,,,,,,,
63,7720,blackMamba1187,Nintendo Switch,9h 43m,100%,newgame+,9017322,Replay Completed,Replay,9h 43m 32s,"June 23, 2019",,,,,all portable,,,
64,7720,,PlayStation 4,9h 47m,NR,,10284821,Completed,Replay,9h 47m 36s,,,,,,,,,
65,7720,Nader_Hakami,PlayStation 4,9h 50m,NR,,7547609,Completed,First,9h 50m,"November 28, 2018",,,,,,,,
66,7720,ZeroCry,PC,9h 50m,NR,"PC normal version, not the ultimate hd version.",8887911,Completed,First,9h 50m 10s,,,,,,,,,
67,7720,,,10h,NR,,290350,Completed,First,10h,,,,,,,,,
68,7720,,,10h,NR,,290359,Completed,First,10h,,,,,,,,,
69,7720,,PC,10h,NR,,3116356,Completed,First,10h,,12h,,,,,,,
70,7720,,PlayStation 3,10h,NR,,8735802,Completed,Replay,10h,,24h,,,,,,,
71,7720,Acelo,PC,10h,90%,,6034741,Completed,First,10h,,,,,,,,,
72,7720,BroosRothenberg,PlayStation 2,10h,100%,,1690977,Replay Completed,First,10h,,,,,,,,,
73,7720,Daigoro,Wii,10h,NR,,40593,Completed,First,10h,,,,,,,,,
74,7720,Daolin,PC,10h,NR,,4241383,Completed,First,10h,"March 27, 2017",,,,,,,,
75,7720,Meagerarc,PC,10h,100%,,2970981,Playing Replay Completed,Replay,10h,,,,,,,,,
76,7720,TheOro44,Wii,10h,90%,,527110,Completed,Replay,10h,,,,,,"Die GameCube-Variante in der leicht h�heren Aufl�sung und bester Steuerung, die man in RE4 zurzeit kriegen kann: die Wii-Version gl�nzt durch ihre Pr�zision. Auch auf PS2, PC und GC verf�gbar.",,,
77,7720,Private,Nintendo GameCube,10h,NR,,8308951,Completed,First,10h,"February 19, 2019",,,,,,,,
78,7720,slickochet,Nintendo GameCube,10h,NR,,5189098,Completed,Replay,10h,"June 08, 2005",,,,,,,,
79,7720,bebop,PC,10h,NR,,7839437,Completed,Replay,10h 31s,"December 27, 2018",,,,,,,,
80,7720,LaunchpadMcRoss,PC,10h 05m,NR,,3390857,Completed,First,10h 05m 05s,"September 18, 2016",,,,,,,,
81,7720,,PlayStation 2,10h 10m,NR,,441125,Completed,First,10h 10m 30s,,,,,,,,,
82,7720,,PC,10h 15m,NR,,8863794,Completed,First,10h 15m,,,,,,,,,
83,7720,all2surreal,PC,10h 15m,100%,,11342794,Completed,First,10h 15m,"May 15, 2020",,,,,,,,
84,7720,,PlayStation 2,10h 15m,NR,,290361,Completed,First,10h 15m 20s,,,,,,,,,
85,7720,,PlayStation 4,10h 21m,NR,,4492035,Completed,Replay,10h 21m 31s,,,,,,,,,
86,7720,ViPe268,PC,10h 22m,NR,,7509208,Completed,First,10h 22m,"November 23, 2018",,,,,,,,
87,7720,,PlayStation 2,10h 22m,NR,,1274392,Completed,Replay,10h 22m 07s,,13h 03m 01s,15h 05m 03s,,,,,,
88,7720,MGSking,Wii,10h 30m,NR,,43970,Completed,First,10h 30m,,,,,,,,,
89,7720,Private,PC,10h 30m,NR,,3437551,Replay Completed,Replay,10h 30m,"October 21, 2018",,,,,,,,
90,7720,Reviews,PC,10h 30m,90%,,10620054,Replay Completed,Replay,10h 30m,"December 19, 2019",,,,,,,,10h 30m /
91,7720,TheOro44,PC,10h 30m,80%,,649573,Completed,Replay,10h 30m,,14h 20m,,,,"Die 60-FPS Version f�r PC-Spieler mit sch�feren Texturen und dem halbfertigem Extra-Modus Separate Ways: hier gibt es weder Untertitel noch die Cutscenes in HD oder 60 FPS, ein gro�er Minuspunkt f�r diese Vorlage.",,,
92,7720,,PC,10h 30m,NR,,12050056,Completed,First,10h 30m 08s,,,,,,,,,
93,7720,,PC,10h 30m,NR,,468845,Completed,Replay,10h 30m 22s,,,,,2h 29m 29s,,,,
94,7720,beearmy,Xbox One,10h 35m,80%,,11839593,Completed,First,10h 35m,"May 26, 2020",,,,,,,,
95,7720,,PlayStation 2,10h 37m,NR,,10799848,Completed,Replay,10h 37m 59s,,,,,,,,,
96,7720,Nulight,PC,10h 38m,NR,,4062141,Completed,First,10h 38m 07s,"February 09, 2017",16h 10m 05s,20h 47m 59s,,,,,,
97,7720,,PC,10h 40m,NR,,11070160,Completed,First,10h 40m,,,,,,,,,
98,7720,TylerTheGamer2000,PlayStation 4,10h 41m,90%,10 Deaths,8496595,Completed,First,10h 41m 07s,"March 21, 2019",,,,,,,,
99,7720,,PC,10h 41m,NR,,655577,Completed,First,10h 41m 43s,,,,,,"Didn't like this game when it came out as it was different from the previous 3, but playing through it now, I really enjoyed it.",,,
100,7720,,Xbox One,10h 46m,NR,,6417840,Completed,Replay,10h 46m 31s,,,,,,,,,
101,7720,Ziltoid91,PlayStation 4,10h 47m,90%,,5625830,Completed,Replay,10h 47m 16s,"January 09, 2018",,,,,,,,
102,7720,PlushWraith,Wii,10h 50m,NR,Normal difficulty. 9 deaths. Special outfit 2.,6190968,Completed,Replay,10h 50m 04s,"April 30, 2018",,,,,,,,
103,7720,,Nintendo GameCube,10h 55m,NR,,4403036,Completed,Replay,10h 55m,,,,,,,,,
104,7720,Private,Wii,10h 57m,NR,,1742394,Completed,Replay,10h 57m,"December 19, 2016",,,,,,,,
105,7720,,PC,11h,NR,,2509675,Completed,Replay,11h,,,,,,,,,
106,7720,Kaeganite8,Nintendo Switch,11h,NR,,9676394,Playing Completed,First,11h,,,,,,,,,
107,7720,Some_Guy_Or_Whatever,PC,11h,90%,,8256388,Completed,First,11h,"February 13, 2019",11h 43m 10s,,,,"47 deaths lul, QTEs are neat",,,
108,7720,TheOro44,Xbox 360,11h,80%,,520250,Completed,Replay,11h,,11h 40m,12h,,,"Starke Umwandlung des stativen Gameplay mit festmontierten Perspektiven zu einem TPS: hier stimmt alles, sei es die Spielzeit, die Abwechslung oder die Architektur. Leider ist in der HD Fassung ziemlich wenig HD. 100% offline. Auch auf der PS3 verf�gbar.",,,
109,7720,The_oni,Wii,11h,80%,,8444958,Completed,First,11h,2011,,13h,,,,,,
110,7720,alexisplaying,PC,11h,90%,,2084210,Completed,First,11h,"November 13, 2015",,,,,,,,
111,7720,,PC,11h 01m,NR,,1586709,Completed,First,11h 01m,,,,,,,,,
112,7720,,Xbox One,11h 03m,NR,,4139155,Completed,First,11h 03m,,,,,,,,,
113,7720,Great_MadScientist04,PC,11h 04m,90%,,9048596,Completed,Replay,11h 04m 49s,,,28h 45m 42s,,,,,,
114,7720,,PlayStation 4,11h 08m,NR,,7641282,Completed,First,11h 08m 33s,,,,,,,,,
115,7720,awesomenash,PC,11h 10m,100%,,4057377,Completed,First,11h 10m 32s,"February 12, 2017",,,,,,,,
116,7720,TayaLyn,Wii,11h 11m,100%,New game plus,1209445,Completed,Replay,11h 11m 19s,December 2007,,,,,,,,
117,7720,skullmurder,PC,11h 16m,NR,,1777371,Completed,First,11h 16m,"September 07, 2015",,,,,,,,
118,7720,Necroheadbanger,PC,11h 19m,NR,Main Story in Normal and Professional / Separate Ways / Assignment Ada / 5-stars with all characters in The Mercenaries,7233247,Completed,Replay,11h 19m 47s,"October 12, 2018",,29h,,,,,,
119,7720,GatunoJazz,PC,11h 20m,NR,,2477770,Completed,Replay,11h 20m,"January 23, 2016",,,,,,,,
120,7720,janther,PlayStation 4,11h 20m,90%,"Professional, first run",3644636,Completed,Replay,11h 20m,"November 19, 2016",,,,,,,,
121,7720,DerSemikolon,PlayStation 4,11h 21m,NR,,7667423,Completed,First,11h 21m 08s,"December 08, 2018",,,,,,,,
122,7720,,PC,11h 22m,NR,,1861938,Completed,Replay,11h 22m,,,,,,,,,
123,7720,Xeogred,Wii,11h 24m,NR,Hit Ration: 73% | Enemies Killed: 922 | Number of times killed: 19 | Clear Time: 11:24,9309861,Completed,Replay,11h 24m 32s,"August 05, 2019",,,,,,,,
124,7720,CelticLion17,PC,11h 24m,90%,,8089279,Completed,Replay,11h 24m 56s,"January 17, 2019",,,,,,,,
125,7720,,Emulated,11h 25m,NR,,11047896,Completed,First,11h 25m,,,,,,,,,
126,7720,artur102430,PC,11h 25m,NR,,11766604,Replay Completed,Replay,11h 25m 03s,"July 06, 2016",,,,,,,,
127,7720,BrickTrain,PC,11h 31m,70%,,6308668,Completed,First,11h 31m,"February 21, 2019",,,,,,,,
128,7720,Tash92,PlayStation 4,11h 32m,NR,,10986990,Completed,First,11h 32m 50s,"February 13, 2020",,,,,,,,
129,7720,TheLunarGamer,PlayStation 4,11h 33m,90%,,8886260,Completed,Replay,11h 33m,"June 02, 2019",,,,,,,,
130,7720,PrincessAsh1ey,Wii,11h 33m,NR,,7461085,Completed,Replay,11h 33m 14s,"November 16, 2018",16h 14m 59s,,,,,,,
131,7720,Gnarc90,PC,11h 35m,NR,,1987959,Completed,First,11h 35m 15s,"February 16, 2016",,,,,,,,
132,7720,,PC,11h 36m,NR,,8904159,Completed,First,11h 36m,,,,,,,,,
133,7720,WesTo,PC,11h 36m,100%,,10979062,Completed,First,11h 36m,"February 12, 2020",,,,,,,,
134,7720,Ghost3030,PC,11h 36m,80%,,3850964,Custom List Completed,First,11h 36m 21s,"January 01, 2017",,,,,,,,
135,7720,LogLadyLand,PlayStation 4,11h 44m,80%,,11666329,Completed,First,11h 44m 37s,"May 12, 2020",,,,,,,,
136,7720,kyoukishoji,PC,11h 46m,NR,,780147,Completed,First,11h 46m 38s,"April 21, 2015",,,,,,,,
137,7720,vladkinoman,PC,11h 47m,90%,Normal difficulty.,11035755,Replay Completed,Replay,11h 47m 09s,"February 22, 2020",,,,,,,,11h 47m 09s /
138,7720,Dario64,PC,11h 47m,80%,Difficulty: Normal,10971691,Completed,First,11h 47m 19s,"February 10, 2020",,,,,,,,
139,7720,,PC,11h 49m,NR,,290375,Completed,Replay,11h 49m 55s,,,,,,,,,
140,7720,Private,PlayStation 4,11h 54m,NR,,7003006,Completed,First,11h 54m 10s,"September 22, 2018",14h 47m 36s,,,,,,,
141,7720,BestSinceDayO134,PlayStation 4,11h 54m,80%,,10927265,Completed,First,11h 54m 31s,"February 02, 2020",,,,,,,,
142,7720,,Nintendo GameCube,12h,NR,,770123,Completed,First,12h,,,,,,,,,
143,7720,Divad006,Xbox One,12h,NR,,9250519,Completed,Replay,12h,"July 29, 2019",,,,,,,,
144,7720,Guimarin,PlayStation 4,12h,100%,"Main story,hard playthrough,mercenaries,Assignment Ada and Separate Ways",3547184,Completed Retired,Replay,12h,"August 30, 2016",,25h,,,,,,
145,7720,MGSking,PlayStation 2,12h,NR,,43969,Completed,First,12h,,,,,,,,,
146,7720,Private,PC,12h,90%,,10551404,Completed,First,12h,"April 12, 2020",,,,,,,,
147,7720,Satoko,PC,12h,NR,,7476864,Completed,First,12h,,,,,,,,,
148,7720,Thalaban,Nintendo GameCube,12h,100%,,429922,Completed,First,12h,,,,,,,,,
149,7720,jakeakatheone,PlayStation 2,12h,NR,,11350674,Completed,Replay,12h,"April 04, 2008",,,,,,,,
150,7720,scorchll7,Wii,12h,80%,,25585,Completed,First,12h,,,,,,,,,
151,7720,Gamecrossplays,PC,12h 02m,100%,,7170812,Completed,Replay,12h 02m,"August 16, 2018",,,,,,,,
152,7720,Maverik,PC,12h 02m,NR,,8053196,Completed,First,12h 02m,"January 17, 2019",,,,,,,,
153,7720,BroLuk,PC,12h 04m,NR,,11570581,Completed,First,12h 04m 22s,"April 26, 2020",,,,,,,,
154,7720,TylerTheGamer2000,PlayStation 2,12h 05m,90%,Main Story and Separate Ways,3560058,Replay Completed,Replay,12h 05m 22s,2015,15h 10m 10s,,,,Times Beaten: 3,,,
155,7720,SoaringTortoise,Nintendo GameCube,12h 06m,NR,,1208813,Completed,First,12h 06m 17s,,,,,,,,,
156,7720,Xeogred,PlayStation 4,12h 07m,NR,Hit ratio: 60% | Enemies killed: 932 | Number of times killed: 26,3546815,Completed,Replay,12h 07m 05s,"October 24, 2016",,,,,,,,
157,7720,EhLeeUht,PC,12h 09m,NR,,5408490,Completed,First,12h 09m 53s,"December 02, 2017",,,,,,,,
158,7720,Hanni16,PC,12h 09m,90%,Separate Ways,1374423,Completed,First,12h 09m 53s,"June 07, 2015",14h 21s,,,,,,,
159,7720,TastySeaSponge,PlayStation 4,12h 11m,100%,,4067621,Completed,First,12h 11m,"February 14, 2017",,,,,,,,
160,7720,Oingo87,PC,12h 12m,90%,,1049895,Completed,First,12h 12m 43s,"December 11, 2014",,,,,,,,
161,7720,Melbo,PC,12h 13m,80%,,10296805,Completed,First,12h 13m 19s,,,,,,,,,
162,7720,,PlayStation 3,12h 14m,NR,,495890,Completed,First,12h 14m 19s,,19h,21h,,8h,,,,
163,7720,,PlayStation 2,12h 19m,NR,,1366658,Completed,First,12h 19m 49s,"December 06, 2014",,,,,,,,
164,7720,Gremioheart,PlayStation 4,12h 20m,NR,,3396760,Completed,Replay,12h 20m,"September 06, 2016",,,,,,,,
165,7720,,PlayStation 4,12h 21m,NR,,6922151,Completed,Replay,12h 21m,,,,,,,,,
166,7720,zfleeman,PC,12h 22m,NR,Beaten this game like a billion times.,955935,Completed,Replay,12h 22m,"September 28, 2014",,,,,,,,
167,7720,GRT42,PC,12h 23m,NR,,10593059,Completed,First,12h 23m,"December 14, 2019",,,,,,,,
168,7720,,PlayStation 4,12h 23m,NR,,8062991,Completed,First,12h 23m 17s,,,,,,,,,
169,7720,ClandestineLoner,Nintendo GameCube,12h 24m,NR,,2506033,Completed,Replay,12h 24m,"October 28, 2015",,,,,,,,
170,7720,brobbish,PC,12h 24m,NR,,11404077,Completed,First,12h 24m 32s,"April 10, 2020",,,,,,,,
171,7720,Private,PC,12h 25m,NR,,5733432,Completed,First,12h 25m,"November 23, 2019",14h 50m,,,,,,,
172,7720,,Nintendo Switch,12h 28m,NR,,9359428,Completed,Replay,12h 28m,,,,,,,,,
173,7720,,Nintendo GameCube,12h 30m,NR,,589172,Completed,First,12h 30m,,,,,,,,,
174,7720,,PC,12h 30m,NR,,5137249,Completed,First,12h 30m,,,,,,,,,
175,7720,,PC,12h 30m,NR,,8106078,Completed,First,12h 30m,,,,,,,,,
176,7720,Bassem,PlayStation 2,12h 30m,100%,,510963,Replay Completed,Replay,12h 30m,"December 08, 2013",20h,25h 30m,,,,,,
177,7720,NuCase,PC,12h 30m,100%,,6810928,Completed,Replay,12h 30m,"August 11, 2018",,,,,,,,
178,7720,Rahnborshko,PC,12h 30m,100%,,811401,Completed,First,12h 30m,"July 03, 2014",,,,,,,,
179,7720,,PC,12h 30m,NR,,11303353,Completed,First,12h 30m 10s,,,,,,,,,
180,7720,rararakkombo,Wii,12h 30m,90%,,8589104,Completed,First,12h 30m 10s,"April 09, 2019",,,,,,,,
181,7720,KidMarvel,PlayStation 4,12h 30m,NR,,3443245,Completed,Replay,12h 30m 31s,"September 21, 2016",,,,,,,,
182,7720,,PlayStation 2,12h 31m,NR,,3445759,Completed,Replay,12h 31m,,,,,,,,,
183,7720,vladkinoman,PC,12h 32m,90%,"Beat on Pro! 92 deaths, 704 enemies.",11047572,Replay Completed,Replay,12h 32m 15s,"February 24, 2020",,,,,,,,12h 32m 15s /
184,7720,Koby,PC,12h 34m,NR,,7446842,Completed,Replay,12h 34m,"November 13, 2018",15h 47m,22h 59m,,,,,,
185,7720,bigstrong,Wii,12h 34m,NR,,5987613,Completed,Replay,12h 34m 08s,"March 15, 2018",,,,,"New game+
Normal",,,
186,7720,,PC,12h 36m,NR,,727439,Completed,Replay,12h 36m 11s,,,,,,,,,
187,7720,ScopeZ,PC,12h 40m,NR,,1259533,Completed,First,12h 40m,"March 03, 2014",,,,,,,,
188,7720,Metalmurray,Xbox One,12h 41m,NR,,7779517,Completed,Replay,12h 41m,"December 19, 2018",,,,,,,,
189,7720,,PlayStation 4,12h 45m,NR,,11648376,Completed,Replay,12h 45m,,,,,,,,,
190,7720,razt99,PlayStation 4,12h 45m,90%,Finished to Main Credits.,7780461,Completed,First,12h 45m,"January 05, 2019",,,,,,,,
191,7720,,PC,12h 45m,NR,,2819174,Completed,Replay,12h 45m 09s,,,,,,,,,
192,7720,Klasha,Nintendo GameCube,12h 50m,80%,,387560,Completed,First,12h 50m,"August 24, 2008",,,,,,,,
193,7720,,PC,12h 50m,NR,,11496268,Completed,First,12h 50m 35s,,,,,,,,,
194,7720,RRC123,PC,12h 51m,NR,"69% hit, 923 enemies killed, 48 deaths, about 10 bottlecaps, played with 360 controller",6654494,Completed,First,12h 51m 52s,"July 23, 2018",,,,,,,,
195,7720,,PC,12h 57m,NR,,290374,Completed,First,12h 57m 26s,,,,,,,,,
196,7720,,PC,13h,NR,,311506,Completed,First,13h,,,,,,,,,
197,7720,,PlayStation 2,13h,NR,,812484,Completed,First,13h,,,,,,,,,
198,7720,ArticunoBreeze,Nintendo GameCube,13h,80%,,4794886,Completed,First,13h,,,,,,,,,
199,7720,Asfddfss,PlayStation 4,13h,NR,,6552665,Completed,First,13h,,,,,,,,,
200,7720,DilPez19,PlayStation 4,13h,100%,,10169089,Completed,Replay,13h,2016,,,,,,,,
201,7720,I_am_nobody,PC,13h,NR,,5033807,Completed,First,13h,"November 18, 2016",,,,,,,,
202,7720,Ishiyumi,PC,13h,NR,,11456849,Completed,Replay,13h,"September 25, 2016",,,,,,,,
203,7720,JC4R,Nintendo GameCube,13h,NR,,6107294,Completed,Replay,13h,"April 11, 2018",,,,,,,,
204,7720,MrFirebugJr,PlayStation 4,13h,80%,,7901904,Completed,First,13h,"January 03, 2019",,,,,,,,
205,7720,TheB34ST,PC,13h,NR,,4305721,Completed,First,13h,"April 16, 2017",,,,,,,,
206,7720,TheOro44,PC,13h,80%,,527098,Completed,Replay,13h,,,,,,"Mit fehlendem Maus-Support, eingeschr�nkten Grafikeinstellungen und viel zu hellen Umgebungen ist die PC Version die mieseste Variante. Auch auf PS2, Wii, GC und PS3 verf�gbar.",,,
207,7720,bergzerker,PlayStation 2,13h,NR,,6195543,Completed,Replay,13h,,,,,,,,,
208,7720,fransubie,PC,13h,NR,,10992036,Completed,First,13h,"October 12, 2019",,,,,,,,
209,7720,mQxer,PlayStation 4,13h,NR,,10190952,Completed,First,13h,"October 06, 2019",,,,,,,,
210,7720,sturdyserpent,PlayStation 4,13h,90%,,7395280,Completed,First,13h,,,,,,,,,
211,7720,walkmetothelake,PlayStation 4,13h,70%,,4323093,Completed,First,13h,"January 19, 2017",,,,,,,,
212,7720,oldfrankie,PlayStation 3,13h,NR,,7022557,Completed,First,13h 06s,"September 09, 2018",17h 32m 12s,,,,,,,
213,7720,Private,PC,13h 01m,NR,,1362480,Completed,First,13h 01m,"June 07, 2015",,,,,,,,
214,7720,MarcosBellido,Android,13h 01m,NR,Juegazoooooo,10238435,Completed,Replay,13h 01m 14s,"October 12, 2019",,,,,,,,
215,7720,,PlayStation 3,13h 03m,80%,,6835040,Completed,Replay,13h 03m 44s,,,,,,,,,
216,7720,ipivapan15,PC,13h 05m,NR,,8580258,Completed,First,13h 05m 12s,"April 07, 2019",,,,,,,,
217,7720,Private,PC,13h 05m,90%,,1974119,Completed,First,13h 05m 37s,"October 26, 2015",,,,,,,,
