,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Main Story,Completion,Main+Extras,Completionist,Personal Notes,Progress,Speedrun
29,26729,Private,PC,13h 59m,NR,,4800662,Completed,Replay,13h 59m,"July 21, 2017",,,n.m,,
30,26729,,Xbox One,14h 10m,NR,,6816468,Completed,First,14h 10m 20s,,,,,,
31,26729,,PC,14h 10m,NR,,7439121,Completed,First,14h 10m 22s,,,,,,
32,26729,,Xbox One,14h 13m,NR,Sided with the Brotherhood,10945364,Completed,Replay,14h 13m 26s,,,,,,
33,26729,JJ_littlebird,Xbox One,14h 25m,100%,,6838637,Replay Completed,Replay,14h 25m,,,,,164h 53m /,
34,26729,,PlayStation 4,14h 27m,NR,,2084489,Completed,First,14h 27m,,26h 56m,,,,
35,26729,,PC,14h 32m,NR,,2093870,Completed,First,14h 32m,,,,,,
36,26729,,PC,14h 32m,NR,,2631100,Completed,First,14h 32m 06s,,,,,,
37,26729,,Xbox One,14h 40m,NR,Played through very quickly,2238960,Completed,First,14h 40m,,,,,,
38,26729,rswann,PlayStation 4,14h 42m,90%,,2669622,Completed,First,14h 42m,,,,,,
39,26729,Private,PlayStation 4,14h 56m,NR,,10680811,Completed,Replay,14h 56m,"October 22, 2017",,,,,
40,26729,,Xbox One,15h,NR,,2243683,Completed,First,15h,,60h,80h,,,
41,26729,,PlayStation 4,15h,NR,,3440859,Completed,First,15h,,,,,,
42,26729,,PlayStation 4,15h,NR,,6185844,Completed,Replay,15h,,90h,120h,,,
43,26729,FrizzleDizle,PC,15h,NR,10 or less side quests on normal.,2078294,Completed,First,15h,"November 11, 2015",,,,,
44,26729,Moose,PC,15h,NR,,2624535,Completed,First,15h,"November 15, 2015",40h,60h,,,
45,26729,kiriku555,PC,15h,NR,,3187575,Completed,First,15h,"July 06, 2016",100h,120h,,,
46,26729,mrbaggs,Xbox One,15h,NR,,6652956,Completed,First,15h,"July 23, 2018",,,,,
47,26729,skrilla,Xbox One,15h,40%,,3753810,Completed,First,15h,2015,40h,,,,
48,26729,lewdmeat,PlayStation 4,15h 08m,70%,Difficulty - Normal (3/6),9366360,Completed,Replay,15h 08m 50s,"August 24, 2019",,,Completed on Normal difficulty. (3/6),,
49,26729,,PC,15h 24m,NR,,2315499,Completed,First,15h 24m 05s,,,,,,
50,26729,skybluu,PlayStation 4,15h 30m,NR,,2875047,Completed,First,15h 30m,"April 17, 2016",,,,,
51,26729,,PC,15h 36m,NR,,2882101,Completed,Replay,15h 36m 07s,,,,,,
52,26729,,PlayStation 4,15h 43m,NR,,3984327,Completed,Replay,15h 43m,,45h 29m,,,,
53,26729,rizwanh83,PC,15h 43m,NR,,3165817,Completed,First,15h 43m,"July 02, 2016",,,,,
54,26729,SeaRobin,PC,15h 43m,NR,,3839172,Completed,First,15h 43m 22s,"July 18, 2010",34h 32m 11s,,,,
55,26729,,PC,16h,NR,,3439528,Completed,First,16h,,,,,,
56,26729,DylanWE,PC,16h,NR,,6228918,Completed,First,16h,"May 10, 2018",,,,,
57,26729,K_is_king,Xbox One,16h,80%,,3886661,Completed,First,16h,"June 12, 2016",,,,,
58,26729,,PlayStation 4,16h 09m,NR,,2625363,Completed,First,16h 09m 14s,,,,,,
59,26729,,PC,16h 12m,NR,,9464557,Completed,First,16h 12m,,34h,69h,,,
60,26729,slickochet,PC,16h 27m,NR,"Half done normal difficulty, half easy. Only main quests. Sided with institute.",2067880,Completed,First,16h 27m 10s,"November 26, 2015",,,,,
61,26729,Linkelda,PlayStation 4,16h 28m,80%,,7169418,Completed,First,16h 28m,,,,,,
62,26729,,PlayStation 4,16h 42m,NR,,5691829,Completed,Replay,16h 42m 54s,,,,,,
63,26729,,PC,16h 52m,NR,,2140967,Completed,First,16h 52m 08s,,,,,,
64,26729,,PC,17h,NR,,3921979,Completed,First,17h,,,,,,
65,26729,Titanas,PlayStation 4,17h,90%,,3542334,Completed,First,17h,"October 23, 2016",60h,70h,,,
66,26729,,PC,17h 29m,NR,,4256532,Completed,First,17h 29m,,,,,,
67,26729,JTHP,Xbox One,17h 32m,NR,,9235762,Completed,First,17h 32m 26s,"July 26, 2019",,,,,
68,26729,,Xbox One,17h 38m,NR,,2198304,Completed,First,17h 38m 12s,,,,,,
69,26729,cellslayer78,Xbox One,17h 54m,80%,,2124597,Completed,First,17h 54m,"November 22, 2015",,,,,
70,26729,,PlayStation 4,18h,NR,Institute ending,2453973,Completed,First,18h,,,,,,
71,26729,,PC,18h,NR,This includes the whole main story and pretty much most of the side missions completed. I also built a lot of settlement,4570865,Completed,First,18h,,60h 30m,,,,
72,26729,84Gaming,PlayStation 4,18h,70%,,8328350,Completed,First,18h,"July 03, 2016",,,,,
73,26729,KamikotoGasai,PC,18h,60%,,3514695,Completed,First,18h,"October 12, 2016",,,,,
74,26729,f00d4tehg0dz,PC,18h,70%,Entire Main Story Synth Ending! https://www.youtube.com/playlist?list=PLsDlOcV-nPMzBfYWcFXk19VcjUI34ZLEL,2164870,Completed,First,18h,"November 14, 2015",,,Entire Main Story Synth Ending! https://www.youtube.com/playlist?list=PLsDlOcV-nPMzBfYWcFXk19VcjUI34ZLEL,,
75,26729,,Xbox One,18h 16m,NR,,2330435,Completed,Replay,18h 16m 42s,,86h 24m 47s,263h 53m 32s,,,
76,26729,,PC,18h 20m,NR,"Institute ending, with some messing around with settlements and side quests I didn't need to do",2316853,Completed,First,18h 20m,,,,,,
77,26729,,PC,18h 22m,NR,,2083738,Completed,First,18h 22m,,,,,,
78,26729,RobertRagequit,PC,18h 32m,NR,,2092619,Completed,First,18h 32m,"November 14, 2015",33h 28m,,,,
79,26729,,PlayStation 4,18h 40m,NR,,4436166,Completed,Replay,18h 40m,,155h,216h,,,
80,26729,,PlayStation 4,18h 43m,NR,,2596553,Completed,First,18h 43m,,,,,,
81,26729,Basara_,Xbox One,18h 45m,90%,"After beating the game three times, I'd say that I've for the most part beaten the game fully. (not all side quests)",2572443,Playing Replay Completed,First,18h 45m,"December 29, 2015",22h 35m,130h 27m,,22h 35m /,
82,26729,fl0wing,PC,18h 45m,NR,,2088653,Completed,First,18h 45m,"November 14, 2015",,,,,
83,26729,,Xbox One,18h 48m,NR,,3375904,Completed,First,18h 48m,,,,,,
84,26729,snappums,PC,18h 50m,NR,,2165516,Completed,First,18h 50m,"December 01, 2015",,,,,
85,26729,Private,PC,18h 54m,NR,,3492912,Completed,First,18h 54m 33s,"October 06, 2016",,,,,
86,26729,,PC,19h,NR,,2088149,Completed,First,19h,,,,,,
87,26729,,PC,19h,NR,,2089738,Completed,First,19h,,,,,,
88,26729,,PC,19h 18m,NR,,2092126,Completed,First,19h 18m,,,,,,
89,26729,,PlayStation 4,19h 30m,NR,,3645671,Completed,First,19h 30m,,,,,,
90,26729,,PC,19h 34m,NR,Institute Ending,6441573,Completed,Replay,19h 34m,,,,,,
91,26729,,Xbox One,19h 44m,NR,All side quests and all trophies/achievements plus all settlements at 75% happiness,2480650,Completed,First,19h 44m 21s,,88h 36m 44s,198h 55m 02s,,,
92,26729,Critter2003,Xbox One,19h 50m,NR,The Institue ending - Combination of Normal and Very Easy difficulties,2248481,Completed,First,19h 50m,"December 18, 2015",,,,,
93,26729,Talengoo,PC,19h 51m,NR,,8812082,Completed,First,19h 51m,,69h,136h,,,
94,26729,Private,PC,19h 57m,NR,,2265333,Completed,First,19h 57m,"December 22, 2015",,,,,
95,26729,,PlayStation 4,20h,NR,,2095450,Completed,First,20h,,50h,100h,,,
96,26729,,Xbox One,20h,NR,,2160249,Completed,First,20h,,,,,,
97,26729,,PlayStation 4,20h,NR,,2179805,Completed,First,20h,,,90h,,,
98,26729,,PC,20h,NR,,2268043,Completed,First,20h,,62h,,,,
99,26729,,PlayStation 4,20h,NR,,2314340,Completed,First,20h,,,,,,
100,26729,,PlayStation 4,20h,NR,,3330737,Completed,Replay,20h,,,,,,
101,26729,,Xbox One,20h,NR,,3373126,Completed,First,20h,,75h,100h,,,
102,26729,,PlayStation 4,20h,NR,,6190953,Completed,First,20h,,50h,,,,
103,26729,DivineBloodline,PC,20h,100%,,2235092,Completed,First,20h,"November 30, 2015",,88h,,,
104,26729,Hunk_pl,PlayStation 4,20h,NR,,3360229,Backlog Completed,First,20h,"January 17, 2018",80h,155h,,,
105,26729,MutantSuccubus,PC,20h,60%,,10898503,Playing Completed,Replay,20h,,,,,94h /,
106,26729,Omegason,PC,20h,70%,,2525240,Completed,First,20h,"February 04, 2016",,,,,
107,26729,Yornad,PC,20h,NR,,6740767,Completed,First,20h,"August 01, 2018",80h,150h,,,
108,26729,Zandareth,PC,20h,60%,2,5874086,Completed,First,20h,"November 10, 2015",,,,,
109,26729,Private,PlayStation 4,20h,100%,,2273308,Completed,First,20h,"March 18, 2016",110h,,,,
110,26729,ggg128,PC,20h,NR,,4634788,Completed,First,20h,"June 26, 2017",35h,,,,
111,26729,jdimaria3,PlayStation 4,20h,90%,,4497562,Completed,First,20h,"June 11, 2016",80h,,,,
112,26729,repulsionslayer,PC,20h,100%,,2102867,Completed,First,20h,"November 17, 2015",96h,,,,
113,26729,tryklon,Xbox One,20h,NR,,3364917,Completed,First,20h,,,,,,
114,26729,walrus4321,PC,20h,NR,,5010962,Completed,First,20h,"July 26, 2017",45h,,,,
115,26729,,PlayStation 4,20h 14m,NR,,5181508,Completed,First,20h 14m 47s,,,,,,
116,26729,castellanza,PlayStation 4,20h 15m,NR,,4786023,Completed,First,20h 15m,"July 17, 2017",,,,,
117,26729,kkjackson41,PlayStation 4,20h 15m,NR,,4249594,Completed,First,20h 15m,"March 29, 2017",80h 20m,,,,
118,26729,pregmark,PC,20h 20m,80%,,4666592,Completed,Replay,20h 20m 03s,"June 01, 2017",,,,,
119,26729,,Xbox One,20h 22m,NR,,3393016,Completed,First,20h 22m,,,,,,
120,26729,,PlayStation 4,20h 30m,NR,,2595439,Completed,First,20h 30m,,60h 30m,100h 30m,,,
121,26729,,PC,20h 30m,NR,,4439473,Completed,First,20h 30m,,28h,,,,
122,26729,,PlayStation 4,20h 40m,NR,,2322909,Completed,First,20h 40m,,,,,,
123,26729,,PC,20h 40m,NR,,2152681,Completed,First,20h 40m 15s,,,,,,
124,26729,,PC,20h 41m,NR,,3952123,Completed,First,20h 41m,,,,,,
125,26729,,PC,21h,NR,,2086744,Completed,First,21h,,35h,,,,
126,26729,,PC,21h,NR,,4800173,Completed,First,21h,,,,,,
127,26729,THE_DUDE,PC,21h,NR,with some mods to get rid of busy work i cut this down to 12 hours and thought it was much more enjoyable,7518160,Playing Completed,Replay,21h,"November 24, 2018",,,,,
128,26729,acejosh11,PlayStation 4,21h,NR,,2140875,Completed,First,21h,"November 26, 2015",57h,,,,
129,26729,Private,PC,21h,80%,,2933782,Playing Completed,First,21h,"April 20, 2016",52h,,,52h /,
130,26729,,Xbox One,21h 03m,NR,Brotherhood of Steel Path,2134201,Completed,First,21h 03m 17s,,,,,,
131,26729,,Xbox One,21h 07m,NR,,2923607,Completed,First,21h 07m,,,,,,
132,26729,Private,PlayStation 4,21h 07m,90%,,11379073,Completed,First,21h 07m 53s,"May 03, 2020",,,,,
133,26729,Re4perCompl3x,PlayStation 4,21h 09m,NR,,6653755,Completed,First,21h 09m 01s,"July 23, 2018",68h 13m 22s,102h 18m 01s,,,
134,26729,,PlayStation 4,21h 13m,NR,,2214386,Completed,First,21h 13m 19s,,,,,,
135,26729,Arsenault,Xbox One,21h 22m,NR,,5496330,Completed,First,21h 22m,"December 21, 2017",,,,,
136,26729,,Xbox One,21h 30m,NR,,2086116,Completed,First,21h 30m,,,,,,
137,26729,,Xbox One,21h 47m,NR,,2445491,Completed,First,21h 47m,,,,,,
138,26729,,Xbox One,21h 54m,NR,,2158358,Completed,First,21h 54m,,,,,,
139,26729,Rejaku,PC,21h 56m,80%,,2219303,Completed,First,21h 56m,"November 22, 2015",,,,,
140,26729,,PlayStation 4,22h,NR,,2214392,Completed,First,22h,,50h,407h,,,
141,26729,,PlayStation 4,22h,NR,,2360488,Completed,First,22h,,,,,,
142,26729,,PlayStation 4,22h,NR,,3269050,Completed,First,22h,,60h,100h,,,
143,26729,,PC,22h,NR,,5172489,Completed,Replay,22h,,60h,130h,,,
144,26729,,PC,22h,NR,,8841548,Completed,First,22h,,,,,,
145,26729,Bantony,PC,22h,NR,,5281784,Completed Retired,First,22h,"January 21, 2018",,,,,
146,26729,Bantony,PC,22h,NR,,5383500,Completed,First,22h,"November 26, 2017",28h,,,,
147,26729,BterzoGames,PC,22h,NR,,2105127,Completed,First,22h,"November 18, 2015",,,,,
148,26729,DannyDevito,Xbox One,22h,NR,,5242625,Completed,First,22h,,,,,,
149,26729,Megale_Ellada,PC,22h,30%,,4740438,Completed,First,22h,,71h,112h,,,
150,26729,PerverseImp,PC,22h,NR,,3445636,Completed,First,22h,"February 25, 2016",,,,,
151,26729,elavi98,Xbox One,22h,NR,,5964271,Completed,First,22h,"September 10, 2017",,,,,
152,26729,mohamedhijazi22,PC,22h,50%,,2721961,Completed,First,22h,"March 13, 2016",,,,,
153,26729,sturdyserpent,PlayStation 4,22h,80%,,7395168,Completed,First,22h,,,40h,,,
154,26729,,Xbox One,22h 02m,NR,,2264566,Completed,First,22h 02m,,57h 24m,,,,
155,26729,,PC,22h 02m,NR,,2090054,Completed,First,22h 02m 02s,,,,,,
156,26729,RTrobby,PC,22h 21m,100%,,2213450,Completed,First,22h 21m 47s,"December 10, 2015",,,,,
157,26729,Bobbysmile,PC,22h 30m,NR,,2571283,Replay Completed,First,22h 30m,"February 13, 2016",60h,,,,
158,26729,,PC,22h 31m,NR,,2100961,Completed,First,22h 31m,,47h 24m,194h 14m,,,
159,26729,Tommyk20,PlayStation 4,22h 34m,NR,,5253525,Completed Retired,First,22h 34m,"November 01, 2017",34h,,,,
160,26729,LudwigvanMozart,PC,22h 45m,70%,,2086043,Completed,First,22h 45m,"December 31, 2015",,,The Institute ending,,
161,26729,,PC,22h 50m,NR,,2405747,Completed,First,22h 50m,,72h 21m,152h 44m,,,
162,26729,IvarsONE,PC,22h 53m,NR,,3218664,Completed,First,22h 53m,"July 11, 2016",,,,,
163,26729,Super_Cat21,Xbox One,22h 56m,80%,,5231737,Backlog Replay Completed Retired,Replay,22h 56m,"October 29, 2017",34h,,,353h 48m /,
164,26729,Private,Xbox One,22h 56m,80%,,2037152,Completed,First,22h 56m,"November 20, 2015",,,,,
165,26729,,Xbox One,23h,NR,,6155863,Completed,First,23h,,,,,,
166,26729,BruceN,PC,23h,NR,,2103137,Completed,First,23h,"November 17, 2015",,,,,
167,26729,LatiosGigetto,PC,23h,NR,,11506965,Completed,First,23h,,,,,,
168,26729,Oysterastar,PlayStation 4,23h,50%,,6356691,Completed,First,23h,"June 05, 2018",45h,86h,,,
169,26729,Private,PC,23h,NR,,2189927,Completed,First,23h,"December 06, 2015",,,,,
170,26729,colonelchibbers,PC,23h,80%,,2106901,Completed,First,23h,"November 18, 2015",,,,,
171,26729,soulxstlr,Xbox One,23h,80%,,5926050,Completed,First,23h,2015,,,,,
172,26729,ElemRudi,Xbox One,23h 03m,NR,,4802064,Completed,First,23h 03m,,,,,,
173,26729,TR_8R,PlayStation 4,23h 04m,NR,"100% platinum, made a save at a critical point to avoid multiple playthroughs",5494350,Completed,First,23h 04m,"December 20, 2017",,31h 08m,,,
174,26729,,Xbox One,23h 09m,NR,,6508586,Completed,First,23h 09m,,,,,,
175,26729,Private,PC,23h 10m,NR,,2183671,Completed,First,23h 10m,"December 04, 2015",,,,,
176,26729,,PlayStation 4,23h 10m,NR,,2970374,Completed,First,23h 10m 42s,,,,,,
177,26729,Blazou_Dragon_Maid,PC,23h 30m,NR,,6336948,Playing Completed,Replay,23h 30m,"June 01, 2018",92h,165h,,,1h 05m
178,26729,jamesrm869,PlayStation 4,23h 30m,100%,Did a bunch of side missions too and also explored a lot,3315186,Completed,First,23h 30m,"August 10, 2016",,,,,
179,26729,,PC,23h 33m,NR,,2226202,Completed,First,23h 33m,,28h 20m,,,,
180,26729,Bogdan62,PC,23h 36m,100%,,4338246,Completed,First,23h 36m 31s,"April 30, 2017",,,,,
181,26729,,PC,23h 36m,NR,,5527763,Completed,First,23h 36m 55s,,,,,,
182,26729,Dr_Spider,Xbox One,23h 42m,NR,,10373329,Replay Completed,First,23h 42m,"November 06, 2019",,,,23h 42m /,
183,26729,NukeYourNanny,PC,23h 45m,NR,,7697768,Completed,First,23h 45m,"March 01, 2019",,,,,
184,26729,ghostfall,Xbox One,23h 45m,70%,,3497487,Completed,First,23h 45m,,,,,,
185,26729,Feartheflames,PC,23h 49m,NR,Main Quest Finished. Institute Ending. 5 Bobbleheads,2137759,Completed,First,23h 49m,"November 25, 2015",,,,,
186,26729,,Xbox One,23h 53m,NR,,2570932,Completed,Replay,23h 53m 21s,,,,,,
187,26729,killero94,PlayStation 4,23h 55m,NR,Completed the Minutemen storyline and some sidequests,2994924,Completed,First,23h 55m,"May 21, 2016",,,,,
188,26729,,PC,23h 56m,NR,,11768094,Completed,First,23h 56m 07s,,,,,,
189,26729,,PlayStation 4,23h 59m,NR,,2445103,Completed,First,23h 59m 37s,,,,,,
190,26729,,PC,24h,NR,,3515111,Completed,First,24h,,100h,120h,,,
191,26729,,PlayStation 4,24h,NR,,11309012,Completed,First,24h,,78h,150h,,,
192,26729,Animam,PC,24h,NR,,2853500,Completed,Replay,24h,"April 03, 2016",,,,,
193,26729,AuldAlliance,Xbox One,24h,70%,,7800158,Completed,First,24h,"December 22, 2018",40h,,,,
194,26729,BajaDeezNutz,PlayStation 4,24h,NR,,3342149,Completed,First,24h,"August 19, 2016",30h,,,,
195,26729,DiamondKing96,PC,24h,NR,,3376792,Playing Completed,First,24h,"August 30, 2016",,,,,
196,26729,Ibuki,PC,24h,NR,,8066521,Completed,First,24h,"November 15, 2015",,,,,
197,26729,Kalicolocts,PC,24h,90%,Focused on the Minuteman Questline,2192077,Completed,First,24h,"December 06, 2015",50h,,,,
198,26729,SWIMsWORLD,PlayStation 4,24h,90%,,3781983,Completed,First,24h,,,,,,
199,26729,Private,PC,24h,90%,,2710990,Replay Completed Retired,First,24h,,80h,150h,,,
200,26729,basicmitch,PC,24h,NR,,7072572,Completed,First,24h,"November 15, 2015",,,,,
201,26729,cottboi,Xbox One,24h,70%,,4398298,Completed,First,24h,,65h,,,,
202,26729,trenq,PC,24h 01m,100%,,2127471,Completed,First,24h 01m 36s,"November 22, 2015",30h 01m 55s,,,,
203,26729,Sgtofthefrogs,PC,24h 03m,NR,,5579257,Playing Completed,First,24h 03m,"January 01, 2018",,,,,
204,26729,yulomax,PC,24h 06m,NR,Difficulty: Hard,5770262,Completed,First,24h 06m,"February 15, 2018",,,,,
205,26729,,PlayStation 4,24h 08m,NR,,4214983,Completed,First,24h 08m,,80h,170h,,,
206,26729,TJAMES47,PlayStation 4,24h 15m,NR,,4181040,Completed,First,24h 15m,"February 04, 2017",,,,,
207,26729,Portacup,PlayStation 4,24h 23m,100%,,2093733,Completed,First,24h 23m,"November 15, 2015",,,Did 5 minutemen quests and raided a bunch of extra places. Did the institute ending.,,
208,26729,,Xbox One,24h 26m,NR,,3424300,Completed,First,24h 26m,,70h,158h,,,
209,26729,,Xbox One,24h 30m,NR,,2210808,Completed,First,24h 30m,,101h,,,,
210,26729,,Xbox One,24h 30m,NR,,3395409,Completed,Replay,24h 30m,,50h,,,,
211,26729,,PC,24h 30m,NR,,3749306,Completed,First,24h 30m,,,,,,
212,26729,,PlayStation 4,24h 30m,NR,,4734022,Completed,Replay,24h 30m,,82h 40m,143h 26m,,,
213,26729,,PlayStation 4,24h 32m,NR,,2136554,Completed,First,24h 32m,,,,,,
214,26729,thirdhandspade,PlayStation 4,24h 32m,NR,,2234295,Playing Completed,First,24h 32m 20s,"December 15, 2015",,,,,
215,26729,Excelsior,PlayStation 4,24h 43m,90%,"My own timer, therefore including deaths and loading screens.",4629477,Completed,First,24h 43m 45s,"June 16, 2019",,,,,
216,26729,,PlayStation 4,24h 44m,NR,,5407677,Completed,Replay,24h 44m 16s,,,,,,
217,26729,,PC,24h 53m,NR,,7122050,Completed,First,24h 53m 22s,,46h 33m 51s,167h 12m 50s,,,
218,26729,Private,PlayStation 4,24h 56m,NR,,8560763,Completed,First,24h 56m,,45h 11m,,,,
219,26729,,PlayStation 4,24h 58m,NR,,2133031,Completed,First,24h 58m 23s,,34h 23m 46s,145h 34m 12s,,,
220,26729,Ajsuenb,PC,24h 59m,60%,,3969208,Completed,First,24h 59m 06s,"January 24, 2017",,,,,
221,26729,,PC,25h,NR,,2073854,Completed,First,25h,,,,,,
222,26729,,PlayStation 4,25h,NR,,2279282,Completed,First,25h,,84h,200h,,,
223,26729,,PlayStation 4,25h,NR,,2364216,Completed,First,25h,,,,,,
224,26729,,PC,25h,NR,,2897782,Completed,First,25h,,,,,,
225,26729,,PC,25h,NR,,3143594,Completed,First,25h,,,,,,
226,26729,,PC,25h,NR,,6425054,Completed,First,25h,,,,,,
227,26729,,PC,25h,NR,,9015428,Completed,First,25h,,,,,,
228,26729,ASVP,PlayStation 4,25h,80%,,3365474,Completed,First,25h,"August 26, 2016",,,,,
229,26729,Antizer17,PC,25h,NR,,6913725,Completed Retired,First,25h,"August 25, 2018",,120h 59m,,,
230,26729,Chanfan02,Xbox One,25h,90%,,2091330,Completed,First,25h,"November 14, 2015",47h,,,,
231,26729,Colts41398,PlayStation 4,25h,100%,,2844037,Playing Completed,First,25h,"December 11, 2016",72h,,,,
232,26729,DasRhodes,PC,25h,80%,,2625988,Completed,First,25h,,,,,,
233,26729,Desser,PC,25h,70%,,6129939,Completed,First,25h,"April 16, 2018",68h,,,,
234,26729,GPU,PC,25h,NR,,4567167,Completed Retired,Replay,25h,"June 14, 2017",50h,,,,
235,26729,Hyliann1337,PlayStation 4,25h,90%,,2834714,Completed,First,25h,"April 09, 2016",74h,,"First fallout game, got me into the series",,
236,26729,Private,PC,25h,60%,Institution route with help from Railroad,2329887,Completed,First,25h,"November 16, 2015",,,First Fallout game.,,
237,26729,Mr_Dingmon,Xbox One,25h,80%,,4212123,Completed,First,25h,,,,,,
238,26729,Nihi,PC,25h,NR,,6800972,Playing Completed,First,25h,"August 10, 2018",65h,,,,
239,26729,Seruk,PC,25h,NR,,4342008,Completed,First,25h,"December 01, 2016",100h,,,,
240,26729,StenGhun,PC,25h,NR,,11506823,Completed,First,25h,"April 20, 2020",70h,250h,,,
241,26729,Thaxtal,PC,25h,NR,,2100029,Playing Completed,First,25h,,127h,284h,,,
242,26729,Wank8734,PlayStation 4,25h,NR,,2073905,Completed,First,25h,"December 01, 2015",,,,,
243,26729,Zangreus,PC,25h,NR,,7499672,Completed,First,25h,"November 21, 2018",,,,,
244,26729,ajdambro,PlayStation 4,25h,100%,"Some side quests, not many.",5521814,Completed,First,25h,"July 30, 2018",,,,,
245,26729,akirby97,Xbox One,25h,80%,,3085762,Completed,First,25h,"June 13, 2016",39h,,,,
246,26729,ghosttalon1,PC,25h,NR,,3324759,Completed,First,25h,"June 26, 2016",90h,166h,,,
247,26729,hammerxx,PC,25h,NR,,6852459,Playing Completed,First,25h,"November 15, 2015",,,,185h /,
248,26729,imEvanful,Xbox One,25h,80%,,2134992,Completed,First,25h,"November 24, 2015",90h,,,,
249,26729,leonkenedystan1,PlayStation 4,25h,50%,,10938423,Completed,First,25h,"February 04, 2020",,,,,
250,26729,modrup,PlayStation 4,25h,NR,"Main story, nothing else. Finished at Level 23.",4170844,Completed,First,25h,"March 11, 2017",,,,,
251,26729,rlosey13,Xbox One,25h,80%,,10650306,Completed,First,25h,"December 24, 2019",,,,,
252,26729,wannabe29,PC,25h,NR,,10795350,Playing Replay Completed,Replay,25h,"January 10, 2020",,,,56h /,
253,26729,zuw13,PlayStation 4,25h,NR,With Save use,4892846,Completed,First,25h,"January 29, 2016",80h,100h,,,
254,26729,Sabin5995,PlayStation 4,25h 11m,NR,,7507285,Completed,First,25h 11m,"May 24, 2020",,,,,
255,26729,,PC,25h 18m,NR,,3702346,Completed,First,25h 18m,,112h 32m,,,,
256,26729,TheBoogeyman97,PC,25h 20m,90%,,4357797,Completed,First,25h 20m,"April 26, 2017",,,,,
257,26729,,Xbox One,25h 27m,NR,,11522411,Completed,First,25h 27m 34s,,,,,,
258,26729,,PC,25h 30m,NR,,5272834,Completed,First,25h 30m,,,,,,
259,26729,TheDarkShape,PC,25h 30m,NR,,2093939,Completed,First,25h 30m,"November 15, 2015",,,,,
