,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Main Story,Main+Extras,Completion,Personal Notes,Completionist,Co-Op,Progress,Speedrun
90,16638,,PC,15h,NR,IGN Review,965700,Completed,First,15h,20h,,,,,,
91,16638,,PC,15h,NR,,3974533,Completed,First,15h,,,,,,,
92,16638,,PC,15h,NR,,5560956,Completed,First,15h,,,,,,,
93,16638,,PC,15h,NR,,5873446,Completed,First,15h,,,,,,,
94,16638,,PC,15h,NR,,6543491,Completed,First,15h,,,,,,,
95,16638,BCarsonElite,PlayStation 4,15h,NR,,8899939,Completed,Replay,15h,,,,35h,,,
96,16638,BSchwarz95,PlayStation 4,15h,90%,Times Beaten: 4,7900537,Replay Completed,First,15h,,"September 22, 2018",,25h,,,
97,16638,BigMeatyClaws666,Xbox One,15h,NR,,1334697,Completed,First,15h,,"January 26, 2015",,,,,
98,16638,Blackprince,PC,15h,NR,,4333818,Completed,First,15h,,"April 19, 2017",,,,,
99,16638,GondarCool,PC,15h,90%,,5545832,Completed,First,15h,18h,"November 20, 2017",,20h,,,
100,16638,HairBears,PC,15h,60%,,5232658,Completed,First,15h,,"November 07, 2017",,,,,
101,16638,Maverickx,PlayStation 4,15h,70%,,1276132,Completed,First,15h,,"January 12, 2015",,,,,
102,16638,Mechoshira,PC,15h,70%,,7061390,Completed,First,15h,,"September 16, 2018",,,,,
103,16638,Skrimir,PC,15h,NR,,6687701,Completed,First,15h,,"July 29, 2018",,,,,
104,16638,Sounami,PC,15h,80%,,2307577,Completed,First,15h,,"December 30, 2015",,,,,
105,16638,TiE23,PC,15h,NR,Played half of the game on hard. Switched to normal for the second half. Hard definitely added perhaps 3-4 hours more.,1945490,Completed,First,15h,,"October 10, 2015",,,,,
106,16638,WhiteLedTool,PC,15h,NR,,5508348,Completed,First,15h,,"December 23, 2017",,,,,
107,16638,Yune,PC,15h,NR,,6219719,Completed,First,15h,,"May 08, 2018",,,,,
108,16638,Zalewany,PC,15h,NR,,11754512,Completed,First,15h,17h,"May 16, 2020",,,,,
109,16638,Private,PC,15h,NR,,4248791,Completed,First,15h,,"March 29, 2017",,,,,
110,16638,hello_world,PC,15h,60%,,11568101,Completed,First,15h,,"May 12, 2020",,,,,
111,16638,tylermac92,PC,15h,NR,,2740396,Completed,First,15h,,"March 17, 2016",,,,,
112,16638,rocksoldier,PC,15h 10m,NR,,1245177,Completed,First,15h 10m,,,,,,,
113,16638,ei02028,PlayStation 4,15h 11m,90%,,1192357,Completed,First,15h 11m 30s,,"June 29, 2015",,,,,
114,16638,donnishark,PC,15h 11m,90%,"First playthrough, very casual playthrough on HARD with few deaths.",970683,Completed,First,15h 11m 54s,,"October 14, 2014",,,,,
115,16638,Travanoid,PC,15h 25m,80%,,9558633,Completed,First,15h 25m,,"November 05, 2019",,,,,
116,16638,,PlayStation 4,15h 30m,NR,,1691524,Completed,First,15h 30m,,,,,,,
117,16638,,PC,15h 30m,NR,,11403225,Completed,First,15h 30m,,,,,,,
118,16638,szthesquid,PC,15h 30m,NR,,1420904,Completed,First,15h 30m,,"June 27, 2015",,,,,
119,16638,Kikkelipaa666,PC,15h 31m,70%,,2334963,Backlog Completed,First,15h 31m 39s,,"January 12, 2016",,,,15h 31m 39s /,
120,16638,Private,PC,15h 32m,80%,,6664346,Completed,First,15h 32m,,,,,,,
121,16638,mrwarcriminal,PlayStation 4,15h 33m,NR,I overlook the tag in game so 100% complete would be same time.,1058455,Replay Completed Retired,First,15h 33m,18h,"December 10, 2014",First 4 levels were Hard Diff; switched to Medium during 5th mission. Missed 1 archive log and 1 name tag. No human kills. Collected all Nostromo logs and blueprints.,19h 33m,,22h 03m /,
122,16638,Bogdan62,PC,15h 39m,100%,,2942111,Completed,First,15h 39m 23s,,"May 20, 2016",,,,,
123,16638,Lebertran,PC,15h 50m,NR,,3553232,Completed,First,15h 50m,,"October 26, 2016",,,,,
124,16638,,PC,16h,NR,,1190731,Completed,First,16h,,,,,,,
125,16638,,PC,16h,NR,,6091348,Completed,First,16h,,,,,,,
126,16638,,PC,16h,NR,,10267099,Completed,First,16h,18h,,,,,,
127,16638,,PC,16h,NR,,11597968,Completed,First,16h,,,,,,,
128,16638,Carra,PC,16h,NR,,1388091,Completed,First,16h,,"June 14, 2015",,,,,
129,16638,Charok,PC,16h,NR,Normal,2503575,Completed,First,16h,,"July 17, 2015",,,,,
130,16638,Helios1337,PC,16h,80%,,1219596,Completed,First,16h,,"March 04, 2015",,,,,
131,16638,Kmh,PC,16h,NR,,11816440,Completed,Replay,16h,18h,"May 23, 2020",,20h,,,
132,16638,Private,PC,16h,100%,,1162612,Completed,First,16h,,"January 30, 2015",,,,,
133,16638,Prupel,PC,16h,NR,,5565706,Completed,First,16h,,"January 02, 2018",,,,,
134,16638,Reviews,PlayStation 4,16h,90%,,4962570,Completed,First,16h,,"August 22, 2015",,,,,
135,16638,SpaceboyP,PC,16h,NR,,9661184,Completed,First,16h,,"September 16, 2019",,,,,
136,16638,Taskforce131,PC,16h,70%,,6518444,Completed,First,16h,,2017,,,,,
137,16638,Viaphex,PC,16h,NR,,975405,Completed,First,16h,,"October 12, 2014",,,,,
138,16638,cjstudio,PC,16h,NR,,5294800,Completed,First,16h,,"March 13, 2017",,,,,
139,16638,Private,PC,16h,20%,,6505626,Completed,First,16h,,"July 15, 2018",,,,,
140,16638,gexthegecko,PC,16h,NR,Played Crew Expendable.,1338627,Completed,First,16h,16h 30m,"December 28, 2014",,,,,
141,16638,kogran,PC,16h,NR,,8186306,Completed,First,16h,,"February 08, 2017",,,,,
142,16638,rusocabron,PC,16h,80%,,8858207,Completed,First,16h,,"May 28, 2019",,,,,
143,16638,smmac41,PlayStation 4,16h,90%,,3953535,Completed,First,16h,,"January 21, 2017",,,,,
144,16638,theowest,PC,16h,80%,All achievements.,1507759,Completed,First,16h,18h,"July 31, 2015",All achievements.,26h,,,
145,16638,thevemp,PC,16h,NR,,1333875,Completed,First,16h,,"May 07, 2015",,,,,
146,16638,zarg556,PC,16h,90%,,1001425,Completed,First,16h,,"November 01, 2014",,,,,
147,16638,Unbound_Selrahc,Xbox One,16h 13m,NR,,10927895,Completed,First,16h 13m 24s,,"February 22, 2018",,,,,
148,16638,Private,PC,16h 14m,80%,,4797836,Completed,First,16h 14m,16h 58m,"April 24, 2020",,,,,
149,16638,JohnnyPotSmoker,Xbox One,16h 18m,NR,,4439039,Completed,First,16h 18m,,"December 10, 2018",,,,,
150,16638,zfede45,PC,16h 18m,NR,played on normal,8283187,Completed,First,16h 18m,,"February 17, 2019",,,,,
151,16638,Yeshu,PC,16h 20m,NR,,4575198,Completed,First,16h 20m,,,,,,,
152,16638,blackop234,PC,16h 20m,100%,,1346490,Completed,First,16h 20m 34s,,"May 12, 2015",I love this game.,,,,
153,16638,,PlayStation 4,16h 26m,NR,,11308983,Completed,First,16h 26m,,,,,,,
154,16638,FznRfq,PC,16h 27m,80%,Difficulty Level - Hard,2103343,Completed,First,16h 27m 45s,,"November 16, 2015",,,,,
155,16638,,PC,16h 30m,NR,,6393848,Completed,First,16h 30m,,,,,,,
156,16638,Shanker,PC,16h 30m,NR,,11774774,Completed,First,16h 30m,,,,,,,
157,16638,haberserk,PC,16h 30m,NR,,5396145,Completed,First,16h 30m,,"November 28, 2017",,,,,
158,16638,karnage10,PC,16h 30m,100%,,1024685,Completed,First,16h 30m,,"November 15, 2014",,,,,
159,16638,thegloriarecord,PC,16h 30m,NR,,1190758,Completed,First,16h 30m,,"February 04, 2015",,,,,
160,16638,vviippeerrr,PC,16h 30m,NR,,1806236,Completed,First,16h 30m,,"September 12, 2015",,,,,
161,16638,,PC,16h 40m,NR,,6724974,Completed,First,16h 40m,,,,,,,
162,16638,JackKnight,PC,16h 48m,NR,,1466755,Completed,First,16h 48m,,"July 11, 2015",,,,,
163,16638,Private,PC,16h 48m,NR,,2387381,Completed,First,16h 48m,,"November 10, 2016",,,,,
164,16638,,PC,16h 50m,NR,,1101792,Completed,First,16h 50m,,,,,,,
165,16638,CookieDingo,PC,16h 52m,90%,,6095797,Completed,Replay,16h 52m,,"March 08, 2018",,,,,
166,16638,lemonx91,PC,16h 55m,NR,,3541709,Completed,First,16h 55m,,,,,,,
167,16638,,PC,17h,NR,,3364211,Completed,First,17h,,,,,,,
168,16638,,PC,17h,NR,,10756402,Completed,First,17h,,,,,,,
169,16638,,PC,17h,NR,,10860500,Completed,First,17h,,,,,,,
170,16638,AugerHybrid,PC,17h,NR,,11422660,Completed,First,17h,,"August 18, 2019",,,,,
171,16638,Private,PC,17h,90%,,11625950,Completed,First,17h,,"May 07, 2020",,,,,
172,16638,Izanagi,PC,17h,NR,,4546322,Completed,First,17h,,"June 08, 2017",,,,,
173,16638,Mandulum,PC,17h,90%,,1019631,Completed,First,17h,,"November 11, 2014",,,,,
174,16638,Rahnborshko,PC,17h,90%,,1039415,Completed,First,17h,,"December 03, 2014",,,,,
175,16638,Skeetcher87,PlayStation 4,17h,90%,,3008090,Completed,First,17h,,"May 24, 2016","Liked this game alot,and it was an actual challenge =)",,,,
176,16638,TheRowGow,PC,17h,90%,,3185439,Completed,First,17h,,"July 06, 2016",,,,,
177,16638,Zerosan,PC,17h,70%,,5456484,Completed,First,17h,,"December 12, 2017",,,,,
178,16638,abram96,PC,17h,90%,,1278386,Completed,First,17h,,"March 09, 2015",,,,,
179,16638,apfhex,PC,17h,NR,,1008183,Completed,First,17h,,"November 11, 2014",,,,,
180,16638,clydeumney,PC,17h,NR,,7813455,Completed,First,17h,,"June 28, 2019",,,,,
181,16638,cottboi,PC,17h,80%,,5031635,Completed,First,17h,,,,,,,
182,16638,danhar1988,PlayStation 4,17h,70%,,1345148,Completed,First,17h,,,,,,,
183,16638,deddoman,PC,17h,80%,,1162414,Completed,First,17h,,"February 01, 2015",,,,,
184,16638,Private,PC,17h,70%,,4269234,Completed,First,17h,,,,,,,
185,16638,gonx54,PC,17h,NR,,5291925,Completed,First,17h,,,,,,,
186,16638,Private,PC,17h,70%,,5250093,Completed,First,17h,,"January 02, 2018",,,,,
187,16638,Private,PC,17h,NR,,1869370,Completed,First,17h,,"September 28, 2015",,,,,
188,16638,ikari88,Xbox One,17h,70%,,5188400,Completed,First,17h,,"December 02, 2017",,,,,
189,16638,jakethehusky,PC,17h,NR,,8225850,Completed Retired,First,17h,,"April 28, 2016",,,,,
190,16638,olympian,PC,17h,NR,,1118262,Completed,First,17h,,"January 13, 2015",,,,,
191,16638,plissken,PC,17h,NR,,3259196,Completed,First,17h,,"August 14, 2016",Hard,,,,
192,16638,ryuson2000,PC,17h,NR,,7221379,Completed,First,17h,,"October 10, 2018",,,,,
193,16638,subzerobelow,PC,17h,80%,,7118422,Completed,First,17h,,"May 17, 2018",,,,,
194,16638,tephlahn,PlayStation 4,17h,NR,,987207,Completed,First,17h,,"October 26, 2014",,30h,,,
195,16638,,PC,17h 03m,NR,,976846,Completed,First,17h 03m,,,,,,,
196,16638,,PC,17h 05m,NR,,979395,Completed,First,17h 05m 16s,,,,,,,
197,16638,,PC,17h 09m,NR,Normal difficulty.,1748983,Completed,First,17h 09m,,,,,,,
198,16638,Fichox,PC,17h 15m,70%,,2797271,Completed,First,17h 15m,,"March 30, 2016",,,,,
199,16638,JDRT1,PC,17h 15m,NR,,4419768,Completed,First,17h 15m,,"May 12, 2017",,,,,
200,16638,Private,PC,17h 15m,80%,,1218595,Completed,First,17h 15m,,"March 06, 2015",,,,,
201,16638,Hinkelvinkel,PC,17h 17m,100%,,974041,Completed,First,17h 17m 39s,,"October 26, 2014",,,,,
202,16638,Private,PC,17h 18m,NR,Hard,4700510,Completed,First,17h 18m,,"July 05, 2017",,,,,
203,16638,CBlade,PC,17h 24m,NR,,5175011,Completed,First,17h 24m,,"October 15, 2017",,,,,
204,16638,davidstubbs,PlayStation 4,17h 25m,NR,,1115164,Completed,First,17h 25m,,"January 11, 2015",,,,,
205,16638,,PlayStation 4,17h 26m,NR,,11780092,Completed,First,17h 26m 01s,22h 58m 14s,,,32h 50m 39s,,,
206,16638,,PC,17h 30m,NR,,4687674,Completed,First,17h 30m,,,,,,,
207,16638,,PC,17h 30m,NR,,4917485,Completed,First,17h 30m,,,,,,,
208,16638,,PC,17h 30m,NR,,5215791,Completed,First,17h 30m,,,,,,,
209,16638,,PC,17h 30m,NR,,5256403,Completed,First,17h 30m,,,,,,,
210,16638,,PC,17h 30m,NR,,8570697,Completed,First,17h 30m,,,,,,,
211,16638,,Nintendo Switch,17h 30m,NR,,11323610,Completed,First,17h 30m,,,,,,,
212,16638,JohnThunder,PC,17h 30m,80%,,1030828,Completed,First,17h 30m,19h 30m,"November 20, 2014",,,,,
213,16638,KawaiiGuy,Xbox One,17h 30m,NR,,10727313,Completed,First,17h 30m,,,,,,,
214,16638,brickarts295,PlayStation 4,17h 30m,NR,,977482,Completed,First,17h 30m,,"October 13, 2014",,,,,
215,16638,Soloid,PC,17h 32m,50%,,6956912,Completed,First,17h 32m 11s,,"December 02, 2018",,,,,
216,16638,ManuMc,PC,17h 35m,NR,,2743045,Completed,First,17h 35m,,,,,,,
217,16638,,PC,17h 36m,NR,,6268047,Completed,First,17h 36m,,,,,,,
218,16638,gamer112696,PlayStation 4,17h 39m,80%,,1267066,Completed,First,17h 39m,,"March 28, 2015",,,,,
219,16638,Private,PlayStation 4,17h 40m,NR,,4353961,Completed,First,17h 40m,,"October 20, 2015",,,,,
220,16638,Private,PC,17h 42m,NR,,2975757,Completed,First,17h 42m,,,,,,,
221,16638,Private,Xbox One,17h 47m,NR,,1891993,Completed,First,17h 47m,,"October 18, 2015",,,,,
222,16638,,PC,18h,NR,,1148620,Completed,First,18h,,,,,,,
223,16638,,PlayStation 4,18h,NR,,2421694,Completed,First,18h,,,,,,,
224,16638,,PC,18h,NR,,2746265,Completed,First,18h,,,,,,,
225,16638,,PC,18h,NR,,4460330,Completed,First,18h,,,,,,,
226,16638,,PC,18h,NR,,8265471,Completed,First,18h,,,,,,,
227,16638,,PC,18h,NR,,11939306,Completed,First,18h,,,,32h,,,
228,16638,Akros,PC,18h,90%,,4174715,Completed,First,18h,,,,,,,
229,16638,Chrisbreckenridge,PlayStation 3,18h,100%,,7429942,Completed,First,18h,,"November 12, 2018",,,,,
230,16638,Private,PC,18h,60%,,3296257,Completed,First,18h,,"August 06, 2016",,,,,
231,16638,DibeX,PC,18h,NR,,4013163,Completed,First,18h,,"June 06, 2017",,,,,
232,16638,Jslk60,PlayStation 3,18h,100%,,2128626,Completed,First,18h,,,,,,,
233,16638,Khan,PlayStation 3,18h,NR,,3101314,Completed,First,18h,,,,,,,
234,16638,Llobster12,PlayStation 4,18h,NR,,5510486,Completed,First,18h,,"December 28, 2018",,30h,,,
235,16638,MrNinjaSquirrel,PC,18h,NR,,1061139,Completed,First,18h,,,,,,,
236,16638,Private,PC,18h,NR,,2569975,Completed,First,18h,,"February 13, 2016",,,,,
237,16638,Rosebudius,PC,18h,NR,,6298404,Completed,First,18h,,"May 25, 2018",,,,,
238,16638,Snailburt,PlayStation 4,18h,NR,,977656,Completed,First,18h,,"February 26, 2017",,,,,
239,16638,Superflydwyer,PC,18h,NR,,11608722,Completed,First,18h,,"April 30, 2020",,,,,
240,16638,Tentacle_Advisor,PC,18h,NR,,9482049,Completed,First,18h,,"August 30, 2019",,,,,
241,16638,The_Leachman,PlayStation 4,18h,NR,,5371919,Completed,First,18h,,"February 14, 2015",,,,,
242,16638,ThoRCX,PC,18h,70%,,2659693,Completed,First,18h,,"February 27, 2016",,,,,
243,16638,Traqie,PC,18h,80%,,8764853,Completed,First,18h,,,,37h 55m,,,
244,16638,VictorRong,PlayStation 4,18h,NR,,8135499,Completed,First,18h,,"December 01, 2014",,,,,
245,16638,aaronwotuk,PC,18h,NR,,4350596,Completed,First,18h,,,,,,,
246,16638,cupofbeans,PlayStation 4,18h,70%,,3951133,Completed,First,18h,20h,"January 17, 2017",,,,,
247,16638,gilchrd,PC,18h,NR,,2781256,Completed,First,18h,,"March 27, 2016",,,,,
248,16638,gui_dsa,PC,18h,NR,,10629569,Completed,First,18h,,"December 21, 2019",,,,,
249,16638,hamibh,PC,18h,NR,,1923408,Completed,First,18h,,"August 01, 2015",,,,,
250,16638,Private,PC,18h,NR,,8002992,Completed,First,18h,,"January 23, 2019",,,,,
251,16638,jlcfreitas,PC,18h,NR,,2850236,Replay Completed,Replay,18h,,"September 27, 2019",,35h,,,
252,16638,jmdoane42,PC,18h,80%,,2153843,Completed,First,18h,,"April 04, 2018",,,,,
253,16638,sarge007,PlayStation 4,18h,NR,,2989731,Completed,First,18h,,"May 19, 2016",,,,,
254,16638,xAbyssWatcher,PC,18h,NR,,11856091,Completed,First,18h,20h,"May 28, 2020",,,,,
255,16638,,PC,18h 02m,NR,,1377293,Completed,First,18h 02m,,,,,,,
256,16638,Jacob_Darka,PC,18h 06m,70%,,8261959,Completed,First,18h 06m,,"February 14, 2019",,,,,
257,16638,sfamicom,PC,18h 10m,NR,,991480,Completed,First,18h 10m,,"October 25, 2014",,,,,
258,16638,Private,PlayStation 4,18h 15m,80%,,4217365,Completed,First,18h 15m,,"March 02, 2019",,,,,
259,16638,JdeRin,PC,18h 20m,90%,,990893,Completed,First,18h 20m,,"October 24, 2014",,,,,
260,16638,madness880,PC,18h 20m,NR,,1015952,Completed,First,18h 20m,,"November 08, 2014",,,,,
261,16638,Drogean,PC,18h 25m,60%,,970936,Completed,First,18h 25m,,"October 14, 2014",,,,,
262,16638,ElJordo,PlayStation 4,18h 30m,NR,,3966081,Completed,First,18h 30m,,,,,,,
263,16638,P1XL,PC,18h 30m,80%,,1154069,Completed,First,18h 30m,,"February 26, 2015",,,,,
264,16638,RAVEN_OF_WAR,PlayStation 4,18h 30m,80%,,6001605,Completed,First,18h 30m,,"October 19, 2014",,,,,
