,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Progress,Playthrough,Completion,Main Story,Main+Extras,Personal Notes,Completionist,Speedrun,100% Speedrun
54,6725,yugge,PC,27h 13m,NR,,11431977,Completed,,First,"April 13, 2020",27h 13m 47s,,,,,
55,6725,,Nintendo Switch,27h 17m,NR,,9103586,Completed,,First,,27h 17m 51s,,,,,
56,6725,,PlayStation 3,27h 20m,NR,,526910,Completed,,First,,27h 20m,,,,,
57,6725,,Nintendo Switch,27h 30m,NR,,7216907,Completed,,Replay,,27h 30m,,,,,
58,6725,kch5153,PlayStation 2,27h 31m,NR,,2826076,Completed,,First,"April 07, 2016",27h 31m 09s,,,,,
59,6725,,PlayStation 3,27h 33m,NR,not many sidequest,289597,Completed,,First,,27h 33m 20s,,,,,
60,6725,,Xbox One,27h 39m,NR,Main story with cutscenes,9386421,Completed,,Replay,,27h 39m 21s,,,,,
61,6725,,PC,27h 50m,NR,,5962615,Completed,,First,,27h 50m 57s,,,,,
62,6725,,Nintendo Switch,27h 53m,NR,,7058223,Completed,,First,,27h 53m,,,,,
63,6725,shaazimaan404,Nintendo Switch,27h 58m,90%,,11803757,Replay Custom List 2 Completed,,First,,27h 58m 16s,,,,,
64,6725,,PlayStation 2,28h,NR,,289596,Completed,,First,,28h,,,,,
65,6725,AdrenalinePon3,PlayStation 3,28h,100%,,541268,Replay Completed,,Replay,"December 30, 2013",28h,35h,"My favourite game of all time. Amazing art direction, great characters and a fantastic world. Wish Hideki Kamiya could take the series back from Capcom.",42h,7h,
66,6725,Aliseyun,Nintendo Switch,28h,NR,,9279743,Completed,,First,June 2018,28h,,,,,
67,6725,BrittleBonesJones,PC,28h,70%,,11078333,Completed,,First,,28h,,,,,
68,6725,Cherreesherree,PlayStation 4,28h,NR,,5884597,Completed,,First,"February 24, 2018",28h,,,,,
69,6725,Silyon,PlayStation 2,28h,NR,,7012149,Completed,,First,,28h,33h 30m,,,,
70,6725,Skikkiks,PlayStation 4,28h,90%,,11513779,Completed,,First,"March 06, 2020",28h,,,,,
71,6725,allanschnorr,Wii,28h,90%,,3914451,Completed,,First,"June 24, 2018",28h,,,,,
72,6725,nadaaver,PlayStation 3,28h,70%,,1414845,Completed,,First,"June 25, 2015",28h,,,,,
73,6725,Moggy,PlayStation 3,28h 03m,NR,,3471374,Completed,,First,"September 30, 2016",28h 03m,,,,,
74,6725,,PC,28h 04m,NR,,10535783,Completed,,First,,28h 04m 35s,,,,,
75,6725,Private,PlayStation 3,28h 09m,80%,,1740734,Completed,,First,"August 30, 2015",28h 09m 58s,,,,,
76,6725,Ratatosk,Wii,28h 30m,NR,,3788231,Completed,,First,,28h 30m 53s,,,,,
77,6725,RyukoMatoi,Xbox One,28h 31m,90%,,10146647,Completed,,First,"September 14, 2018",28h 31m 08s,31h 18m 33s,,42h 36m 18s,,
78,6725,,Nintendo Switch,28h 35m,NR,,11420704,Completed,,First,,28h 35m 25s,,,,,
79,6725,guyinahatgames,PlayStation 2,28h 38m,NR,,26168,Completed,,First,"July 15, 2012",28h 38m 13s,,,,,
80,6725,,Nintendo Switch,28h 40m,NR,,7192030,Completed,,First,,28h 40m,,,,,
81,6725,Orbiro,Nintendo Switch,28h 47m,NR,,11469616,Completed,,First,"April 15, 2020",28h 47m 52s,,,,,
82,6725,pedrix,Nintendo Switch,28h 53m,90%,,6773440,Completed,,First,"October 05, 2018",28h 53m 27s,,,,,
83,6725,,PlayStation 4,29h,NR,Did very limited optional content,6115977,Completed,,First,,29h,,,,,
84,6725,famouscustard,Wii,29h,70%,,11114082,Completed,,First,,29h,,,,,
85,6725,maxcspl,PC,29h,NR,,8281672,Completed,,First,,29h,,,,,
86,6725,tsmith18256,Nintendo Switch,29h,80%,,7450018,Completed,,First,"November 14, 2018",29h,,,,,
87,6725,,Wii U,29h 06m,NR,Extremely satisfying length!,289591,Completed,,First,,29h 06m,,,,,
88,6725,Private,PC,29h 11m,NR,,8873822,Completed,,First,"May 31, 2019",29h 11m,,,,,
89,6725,,PlayStation 3,29h 20m,NR,,5853582,Completed,,First,,29h 20m,,,,,
90,6725,Minibender,Nintendo Switch,29h 20m,NR,,6963389,Completed,,First,"September 02, 2018",29h 20m 45s,,,,,
91,6725,Zapkaos,Nintendo Switch,29h 22m,100%,,5043985,Completed,,First,"August 26, 2018",29h 22m,,,,,
92,6725,Sertara,PlayStation 4,29h 35m,70%,,6562158,Completed,,First,"May 28, 2018",29h 35m,,,,,
93,6725,,PC,29h 36m,NR,,5527064,Completed,,First,,29h 36m 45s,,,,,
94,6725,minyase,Nintendo Switch,29h 50m,80%,,7446540,Completed,,First,"November 13, 2018",29h 50m 23s,,,,,
95,6725,Sharean,PlayStation 3,29h 54m,90%,,2565064,Completed,,First,"February 12, 2016",29h 54m,,,,,
96,6725,boticide24,PlayStation 4,29h 54m,90%,,11406019,Completed,,First,"April 09, 2020",29h 54m 17s,,,,,
97,6725,ocagnen,Xbox One,29h 58m,90%,,11212549,Completed,,First,"March 21, 2020",29h 58m,,,,,
98,6725,,Nintendo Switch,29h 58m,NR,,8852837,Completed,,First,,29h 58m 42s,,,,,
99,6725,,PlayStation 2,30h,NR,,1341834,Completed,,First,,30h,,,,,
100,6725,ADIPY,PlayStation 2,30h,NR,,10821119,Completed,,First,,30h,,,,,
101,6725,Darknyan,Wii,30h,NR,,1131954,Playing Replay Completed,10h /,Replay,,30h,40h,,60h,,
102,6725,Hexovian,Nintendo Switch,30h,80%,,7020931,Completed,,First,"September 12, 2018",30h,,,,,
103,6725,KrisDoe,Nintendo Switch,30h,NR,,8509020,Completed,,First,"March 23, 2019",30h,,,,,
104,6725,Sylvaris,Nintendo Switch,30h,NR,,9450165,Completed,,First,"August 25, 2019",30h,,,,,
105,6725,alejo0121,Nintendo Switch,30h,80%,,10376449,Completed,,Replay,,30h,,,,,
106,6725,nicowander,PlayStation 3,30h,90%,,1305820,Replay Completed,,Replay,"April 10, 2015",30h,,,55h,,
107,6725,pokebite,Nintendo Switch,30h,NR,,8505758,Completed,,First,,30h,,,,,
108,6725,,PlayStation 3,30h 04m,NR,,4744298,Completed,,First,,30h 04m 30s,,,,,
109,6725,,Nintendo Switch,30h 05m,NR,,7258573,Completed,,First,,30h 05m 32s,,,,,
110,6725,Ash,Nintendo Switch,30h 07m,NR,,11916937,Completed,,First,"June 05, 2020",30h 07m 36s,,,,,
111,6725,,PlayStation 3,30h 12m,NR,,745555,Completed,,First,,30h 12m 50s,,,,,
112,6725,,Wii,30h 17m,NR,,5704538,Completed,,First,,30h 17m 23s,,,,,
113,6725,ultraOverdrive,Nintendo Switch,30h 19m,100%,,7999831,Completed,,First,"January 10, 2019",30h 19m 11s,,,,,
114,6725,Badger224,PC,30h 22m,NR,New Game One death lol,5851588,Completed,,First,"February 16, 2018",30h 22m 06s,,,,,
115,6725,jack_gllghr,PlayStation 3,30h 23m,NR,,1122642,Completed,,First,"January 15, 2015",30h 23m,,,,,
116,6725,robogiraffe,Wii,30h 27m,90%,,518149,Completed,,First,"January 09, 2014",30h 27m 47s,,"Did some random side quests, but I think I may have missed about half of them. I don't really know. Results screen showed: 34 days passed, 71 saves, 1 death, 326 enemies defeated, 32 demon fangs found, 3673 praise earned.",,,
117,6725,Gabri110,PlayStation 3,30h 30m,90%,,6484343,Completed,,First,"June 16, 2018",30h 30m,,,,,
118,6725,DeltaNine,PlayStation 4,30h 30m,80%,,10298106,Completed,,First,"November 17, 2019",30h 30m 03s,,,,,
119,6725,Themegafunk,Nintendo Switch,30h 40m,NR,,11305539,Completed,,First,"June 08, 2020",30h 40m,,,,,
120,6725,Rupio,Wii,30h 53m,NR,,512673,Completed,,First,,30h 53m 56s,,,,,
121,6725,,,31h,NR,,289568,Completed,,First,,31h,,,,,
122,6725,Lesh0,Nintendo Switch,31h,100%,,10829471,Completed,,First,"June 02, 2020",31h,,,,,
123,6725,aarondmgz,PC,31h,70%,,11444332,Completed,,First,"April 13, 2020",31h,,,,,
124,6725,phantomlord,PlayStation 4,31h,60%,,6036606,Completed,,First,"March 24, 2018",31h,,,,,
125,6725,tsuna00027,Nintendo Switch,31h,100%,,11827310,Completed,,First,"May 24, 2020",31h,,,,,
126,6725,skualninja,PlayStation 4,31h 01m,80%,Platino,7742834,Completed,,First,"December 12, 2018",31h 01m,41h 26m,,42h 53m 56s,,
127,6725,,PlayStation 3,31h 05m,NR,,4351422,Completed,,First,,31h 05m,,,,,
128,6725,,Nintendo Switch,31h 06m,NR,,9030558,Completed,,First,,31h 06m 36s,,,,,
129,6725,,Xbox One,31h 10m,NR,,11160312,Completed,,First,,31h 10m,,,,,
130,6725,TempeteJoachim,PC,31h 20m,NR,,7334803,Completed,,First,"October 26, 2018",31h 20m,,,,,
131,6725,,Nintendo Switch,31h 24m,NR,,11970246,Completed,,First,,31h 24m 12s,,,,,
132,6725,ZeldaOne,PlayStation 4,31h 24m,80%,,6198370,Completed,,First,"May 26, 2018",31h 24m 57s,,,,,
133,6725,Private,Nintendo Switch,31h 30m,NR,,11860597,Completed,,First,"May 29, 2020",31h 30m,,,,,
134,6725,javi_ma85,PlayStation 3,31h 32m,NR,,6498420,Completed,,Replay,"June 30, 2018",31h 32m,,,50h 16m 35s,,
135,6725,,PlayStation 3,31h 33m,NR,,1470074,Completed,,First,,31h 33m 02s,,,,,
136,6725,ryanbgstl,PlayStation 2,31h 35m,NR,,8673813,Completed,,First,"March 02, 2007",31h 35m,,,,,
137,6725,bke1126,PlayStation 3,31h 39m,70%,,2025044,Completed,,First,"May 11, 2018",31h 39m 38s,,,,,
138,6725,TeaPunk,PlayStation 4,31h 43m,NR,,8026549,Completed,,First,,31h 43m,,,,,
139,6725,,PlayStation 2,32h,NR,,4609905,Completed,,First,,32h,,,,,
140,6725,,PlayStation 3,32h,NR,,5507250,Completed,,Replay,,32h,,,,,
141,6725,,PC,32h,NR,,6554126,Completed,,First,,32h,,,,,
142,6725,Ceebsies,PlayStation 3,32h,NR,,965597,Playing Completed Retired,,First,"October 19, 2014",32h,34h,,54h,,
143,6725,berdels,PlayStation 3,32h,NR,,3186895,Completed,,First,"July 06, 2016",32h,,,,,
144,6725,Private,Nintendo Switch,32h 12m,NR,,6802200,Completed,,First,"May 01, 2019",32h 12m 24s,,,,,
145,6725,ESKI514,PlayStation 3,32h 14m,NR,,4639785,Completed,,Replay,"June 27, 2017",32h 14m 24s,,"HD version. PSN download. Exact time taken from PLAY TIME counter on the TOTAL RESULTS screen. First play-through of the HD remake, but a replay of Okami",,,
146,6725,Private,Wii,32h 22m,NR,,744504,Completed,,First,"June 01, 2014",32h 22m 36s,,,,,
147,6725,andrelvb,Nintendo Switch,32h 24m,90%,,7756716,Completed,,First,"December 16, 2018",32h 24m,,,,,
148,6725,carty,PlayStation 3,32h 28m,NR,,1750064,Completed,,First,"September 16, 2015",32h 28m,,,,,
149,6725,engeltim13,Nintendo Switch,32h 38m,NR,,7991511,Completed,,First,"January 07, 2019",32h 38m,,,,,
150,6725,,Nintendo Switch,32h 39m,NR,,8495873,Completed,,First,,32h 39m 35s,,,,,
151,6725,Ginsei,Nintendo Switch,32h 41m,NR,,10714828,Completed,,First,"December 31, 2019",32h 41m 53s,,,,,
152,6725,formuladash,PlayStation 3,32h 47m,NR,,1090376,Completed,,First,"January 12, 2015",32h 47m 32s,,,,,
153,6725,,Wii,33h,NR,,289593,Completed,,First,,33h,,"I used a few guides and walkthroughs, but I added a few extra hours to make it an estimate for people who try to play it on their own.",,,
154,6725,,PlayStation 3,33h,NR,,3564967,Completed,,First,,33h,,,,,
155,6725,jvesel,Nintendo Switch,33h,NR,,5456234,Completed,,First,"August 23, 2019",33h,,,,,
156,6725,leonkenedystan1,PlayStation 3,33h,100%,,10938480,Completed,,First,"February 04, 2020",33h,,,,,
157,6725,,PlayStation 4,33h 01m,NR,,5973321,Completed,,First,,33h 01m 04s,,,,,
158,6725,atacama,PlayStation 3,33h 06m,80%,,328751,Completed,,First,"September 05, 2016",33h 06m 13s,,,,,
159,6725,,PlayStation 3,33h 08m,NR,,3337087,Completed,,First,,33h 08m 28s,,,,,
160,6725,Lothermus,PC,33h 15m,60%,,5715785,Completed,,First,"January 23, 2018",33h 15m 55s,,,,,
161,6725,,Nintendo Switch,33h 23m,NR,I did like two sidequests so it's basically main story only,10695104,Completed,,First,,33h 23m,,,,,
162,6725,Izanagi,PlayStation 2,33h 23m,NR,,2772872,Completed,,First,"March 25, 2016",33h 23m 53s,,,,,
163,6725,gilchrd,PC,33h 28m,NR,,5364039,Completed,,First,"March 24, 2018",33h 28m,,,,,
164,6725,Ultimer,PlayStation 2,33h 30m,NR,,9013703,Completed,,First,April 2019,33h 30m,,,,,
165,6725,linkhimura,PlayStation 2,33h 30m,60%,,1469358,Completed,,First,"August 16, 2015",33h 30m,,,,,
166,6725,,Nintendo Switch,33h 31m,NR,In game clock,7121476,Completed,,First,,33h 31m 50s,,,,,
167,6725,,Wii,33h 33m,NR,,793156,Completed,,First,,33h 33m,,,,,
168,6725,Dunnington,Nintendo Switch,33h 36m,90%,"Did some side quest stuff, but didn't really backtrack",7270505,Completed,,First,"April 03, 2020",33h 36m,,,,,
169,6725,aftereight88,PlayStation 2,33h 45m,100%,,8873136,Completed,,First,,33h 45m,58h 33m,,60h 57m,,
170,6725,Moist_Wrist,PlayStation 4,33h 47m,70%,,9475097,Completed,,First,"March 05, 2019",33h 47m 22s,,,,,
171,6725,pacheco8011,PlayStation 4,33h 55m,NR,,11350931,Completed,,First,"April 12, 2020",33h 55m 25s,,,,,
172,6725,,Xbox One,34h,NR,,10272416,Completed,,First,,34h,,,,,
173,6725,,PC,34h,NR,,11555473,Completed,,First,,34h,40h,,51h,,
174,6725,davormajdandzic,Nintendo Switch,34h,90%,,7533632,Completed,,First,"January 13, 2019",34h,,,,,
175,6725,fddcsjxk,PlayStation 2,34h,70%,,3926551,Completed,,First,,34h,,,,,
176,6725,m21423,PC,34h,90%,,8215352,Completed,,First,"October 10, 2018",34h,,,,,
177,6725,,PlayStation 2,34h 16m,NR,,289580,Completed,,First,,34h 16m 13s,,,,,
178,6725,thunderbirdpyre,Nintendo Switch,34h 16m,80%,,8671932,Completed,,First,,34h 16m 52s,,,,,
179,6725,Painicus,Xbox One,34h 17m,NR,,8099154,Completed,,First,"January 09, 2019",34h 17m 36s,,,,,
180,6725,MetallicFever316,Wii,34h 18m,100%,"Did a few side stuff and got all of the weapons, but not much else.",4452714,Completed,,First,"May 29, 2017",34h 18m 35s,,,,,
181,6725,,Wii,34h 20m,NR,,2770723,Completed,,First,,34h 20m 12s,40h,,,,
182,6725,celynn,Wii,34h 21m,NR,,876819,Completed,,First,"August 15, 2014",34h 21m,,,,,
183,6725,Zergplex,Nintendo Switch,34h 26m,80%,,10519268,Completed,,First,"December 01, 2019",34h 26m 19s,,"Start Date: 2/4/2019, on JP version",,,
184,6725,,Wii,35h,NR,,762131,Completed,,First,,35h,45h,,,,
185,6725,,PlayStation 3,35h,NR,,802322,Completed,,First,,35h,,,,,
186,6725,,PlayStation 3,35h,NR,,1113693,Completed,,First,,35h,,,,,
187,6725,500kevc,Wii,35h,90%,,8034127,Custom List 3 Completed,,Replay,"December 20, 2017",35h,,,,,
188,6725,BloodyJessy,Xbox One,35h,NR,,8357050,Completed,,First,"February 25, 2019",35h,,,,,
189,6725,DiogoCe,PlayStation 2,35h,100%,,11180868,Completed,,First,"March 18, 2020",35h,45h,,,,
190,6725,Inimical_Gimp,PlayStation 2,35h,NR,,120872,Completed,,First,"May 24, 2012",35h,,,,,
191,6725,LouieKablouie,Nintendo Switch,35h,80%,,10275112,Completed,,First,"October 04, 2019",35h,,,,,
192,6725,Mitsuhara,PlayStation 2,35h,NR,,191540,Completed,,First,,35h,,,,,
193,6725,Namaku64,PlayStation 3,35h,NR,,11268736,Completed,,First,"September 20, 2016",35h,,,,,
194,6725,ThatMasterLemon,PlayStation 2,35h,80%,,5179705,Completed,,First,,35h,,,,,
195,6725,davidkp,Nintendo Switch,35h,90%,,9314517,Completed,,First,"August 06, 2019",35h,,,,,
196,6725,kalwiic,PlayStation 3,35h,NR,,6107643,Completed,,First,"May 11, 2017",35h,,,,,
197,6725,rusocabron,Wii,35h,80%,,7269421,Completed,,First,"October 18, 2018",35h,,,,,
198,6725,sircaptsalmon,Wii,35h,100%,,3924906,Completed,,First,,35h,,,,,
199,6725,slothsocks,Nintendo Switch,35h,NR,,8459093,Completed,,First,"March 01, 2019",35h,,,,,
200,6725,sturdyserpent,Nintendo Switch,35h,90%,,7395371,Completed,,First,,35h,,,,,
201,6725,xAbyssWatcher,PlayStation 2,35h,NR,,11299513,Completed,,First,"March 30, 2020",35h,42h,,,,
202,6725,knolli1989,Wii,35h 02m,100%,,346028,Completed,,First,,35h 02m,,,,,
203,6725,DrowsyOne,PlayStation 2,35h 05m,100%,,2094788,Completed,,First,"February 06, 2017",35h 05m 04s,,,,,
204,6725,theberserkfury,PlayStation 3,35h 06m,NR,,688497,Completed Retired,,First,"March 29, 2014",35h 06m,,,,,
205,6725,,PlayStation 3,35h 10m,NR,,3441557,Completed,,First,,35h 10m,,,,,
206,6725,MrBungle5,Nintendo Switch,35h 20m,90%,"53 Days, 95 Saves, 0 Deaths, 300 Enemies, 3045261 Yen, 22 Demon Fangs, 3653 Praise",7611136,Completed,,First,"April 03, 2019",35h 20m 50s,,Okami HD version. Played off physical cart with motion controls.,,,
207,6725,h4lc0n,PC,35h 30m,NR,,5810091,Completed,,First,"March 05, 2018",35h 30m,,,,,
208,6725,sanatu,Nintendo Switch,35h 30m,NR,,9516483,Completed,,First,"September 02, 2019",35h 30m,,,,,
209,6725,,PlayStation 3,36h,NR,,572609,Completed,,First,,36h,,,,,
210,6725,,Nintendo Switch,36h,NR,,10826084,Completed,,First,,36h,,,,,
211,6725,I_am_nobody,Wii,36h,NR,,5033157,Completed,,First,2008,36h,,,,,
212,6725,jayAEY,Wii,36h,NR,,4917533,Completed,,First,,36h,,,,,
213,6725,llamasa,Nintendo Switch,36h 12m,NR,,8892074,Completed,,First,"June 03, 2019",36h 12m 11s,,,,,
214,6725,gameburke,Wii,36h 15m,NR,,943651,Completed,,First,"February 15, 2015",36h 15m 28s,,"Own on PS2, played on Wii.",,,
215,6725,chutera,Nintendo Switch,36h 18m,80%,,8519604,Completed,,First,"March 24, 2019",36h 18m 01s,,,,,
216,6725,AJ42,PlayStation 3,36h 20m,90%,,7634789,Completed,,First,"May 06, 2013",36h 20m,,,51h,,
217,6725,Doppledumb,Nintendo Switch,36h 21m,NR,,7398354,Completed,,Replay,"November 07, 2018",36h 21m,42h 17m,,53h 33m,,
218,6725,razorhanzo,Nintendo Switch,36h 23m,NR,,10535915,Completed,,First,"December 04, 2019",36h 23m 14s,,,,,
219,6725,,Nintendo Switch,36h 30m,NR,,11005142,Completed,,First,,36h 30m,,,,,
220,6725,cashedtastic,Xbox One,36h 30m,70%,,5781058,Completed,,First,"March 05, 2018",36h 30m,,,,,
221,6725,Private,PlayStation 3,36h 30m,NR,,2461602,Completed,,First,"January 22, 2016",36h 30m,,,,,
222,6725,dhuert27,Nintendo Switch,36h 40m,90%,,10932411,Completed,,First,"February 05, 2020",36h 40m 22s,,,,,
223,6725,paleselan,Wii,36h 50m,100%,,35646,Completed,,First,,36h 50m,,,,,
224,6725,,PC,37h,NR,,7272204,Completed,,First,,37h,,,,,
225,6725,,PC,37h,NR,,11088218,Completed,,First,,37h,,,,,
226,6725,Private,Wii,37h,90%,,4305104,Completed,,First,,37h,45h,,56h,,
227,6725,MerlinTheGalah,PlayStation 4,37h,NR,,10935912,Completed,,First,"February 02, 2020",37h,,,,,
228,6725,StormBlade,PlayStation 4,37h,NR,,6948718,Completed,,First,"August 30, 2018",37h,,,,,
229,6725,ambientwhisper,PlayStation 2,37h,NR,,215902,Completed,,First,"December 30, 2012",37h,,,,,
230,6725,Private,Wii,37h,100%,,3958807,Completed,,First,2008,37h,,,,,
231,6725,lukejhall,Nintendo Switch,37h,NR,,7364898,Completed,,First,"October 31, 2018",37h,,,,,
232,6725,nebyelats,PlayStation 2,37h,NR,,11448577,Completed,,First,"August 10, 2019",37h,,,,,
233,6725,Bazzadwarf,PlayStation 2,37h 05m,100%,,2696702,Completed,,First,"September 09, 2015",37h 05m,,,,,
234,6725,g3ddylee,Nintendo Switch,37h 07m,100%,,7662785,Completed,,First,"February 28, 2019",37h 07m,,,,,
235,6725,Radagast,Wii,37h 12m,NR,,1802971,Completed,,First,"September 11, 2015",37h 12m,,,,,
236,6725,xdrogba,Nintendo Switch,37h 22m,NR,,11771083,Completed,,First,"May 17, 2020",37h 22m 39s,,,,,
237,6725,,PlayStation 3,37h 30m,NR,,289588,Completed,,First,,37h 30m,,,,,
238,6725,sonicbanjo,PlayStation 2,37h 43m,90%,,6516429,Completed,,First,,37h 43m,,,,,
239,6725,Nada,PC,37h 45m,NR,,5857328,Completed,,First,"March 01, 2018",37h 45m 12s,,,,,
240,6725,,,38h,NR,,289565,Completed,,First,,38h,,,,,
241,6725,Private,Nintendo Switch,38h,90%,,10158561,Completed,,First,"September 27, 2019",38h,,,,,
242,6725,RustyChimera,Wii,38h,90%,,1349922,Completed,,First,"May 18, 2011",38h,,,,,
243,6725,Snailburt,Wii,38h,NR,,363333,Completed,,First,"August 05, 2013",38h,,,,,
244,6725,Yllibas,PlayStation 2,38h,100%,Amazing.,71073,Completed,,First,"August 21, 2012",38h,,,,,
