,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Completionist,Co-Op,Personal Notes,Vs.,Progress,Retired Notes,Speedrun,100% Speedrun
33,4867,Saghbiny,PlayStation 4,1h 20m,50%,,3400239,Completed,First,"October 05, 2016",1h 20m,,,,,,,,,
34,4867,The_Leachman,PlayStation 4,1h 20m,NR,,8826113,Completed,First,"May 21, 2019",1h 20m,,,,,,,,,
35,4867,WhySoSad,PlayStation 4,1h 20m,70%,,4099390,Backlog Completed,First,"October 07, 2017",1h 20m,,,,,,,,,
36,4867,WickedCSS,PC,1h 20m,NR,,6105194,Completed,First,"November 19, 2019",1h 20m,,,,,,,,,
37,4867,cloud12817,PlayStation 4,1h 20m,NR,,11948182,Completed,First,"June 09, 2020",1h 20m,,,,,,,,,
38,4867,d1g1c0ck,PlayStation 3,1h 20m,100%,,501854,Completed,First,"December 01, 2013",1h 20m,,,,,,,,,
39,4867,gameburke,PlayStation 3,1h 20m,NR,,400267,Completed,First,"September 06, 2013",1h 20m,,,,,,,,,
40,4867,metroidisbest,PlayStation 3,1h 20m,70%,,41089,Completed,First,"May 21, 2012",1h 20m,,,,,,,,,
41,4867,mkrunner132,PlayStation 4,1h 20m,100%,,11819292,Completed,First,"May 06, 2020",1h 20m,,,,,,,,,
42,4867,poorjack,PlayStation 3,1h 20m,80%,,103817,Completed,First,,1h 20m,,,,,,,,,
43,4867,roelleh,PlayStation 3,1h 20m,NR,,604733,Completed,First,"March 01, 2014",1h 20m,,,,,,,,,
44,4867,stevekwan,PlayStation 3,1h 20m,50%,,108057,Completed,First,"December 25, 2012",1h 20m,,,,,,,,,
45,4867,slickochet,PlayStation 3,1h 20m,NR,,1369384,Completed,Replay,"June 10, 2015",1h 20m 06s,,,,,,,,,
46,4867,ECGCblu,PlayStation 4,1h 20m,90%,,11572113,Completed,First,"April 26, 2020",1h 20m 16s,,,,,,,,,
47,4867,Chorophobe,PlayStation 3,1h 20m,90%,,1212392,Completed,First,"January 21, 2016",1h 20m 37s,,,,,,,,,
48,4867,,PlayStation 4,1h 22m,NR,,3403874,Completed,First,,1h 22m,,,,,,,,,
49,4867,PieChild,PlayStation 4,1h 22m,NR,,11264501,Completed,First,"March 27, 2020",1h 22m 10s,,,,,,,,,
50,4867,Private,PlayStation 3,1h 22m,NR,used white cloak to get around faster,6322263,Completed,First,"May 29, 2018",1h 22m 36s,,,,,,,,,
51,4867,Kyeoh,PlayStation 4,1h 23m,90%,,10924505,Completed,First,"February 02, 2020",1h 23m,,,,,,,,,
52,4867,Private,PlayStation 4,1h 23m,100%,,1537793,Completed,First,"July 27, 2015",1h 23m,,,,,,,,,
53,4867,WereWolf_PL,PlayStation 3,1h 23m,70%,,400302,Completed,First,"September 15, 2013",1h 23m,,,,,,,,,
54,4867,Elites,PC,1h 24m,NR,,10290334,Completed,First,"October 22, 2019",1h 24m,,,,,,,,,
55,4867,Nada,PlayStation 4,1h 24m,NR,,2462770,Completed,First,"July 22, 2016",1h 24m 26s,,,,,,,,,
56,4867,,PlayStation 3,1h 25m,NR,,295142,Completed,First,,1h 25m,,,,"Just ran through the main story - I had a companion who didn't hang around! A bit shorter than I was expecting but still fantastic - not sure about that ending, though...",,,,,
57,4867,,PlayStation 4,1h 25m,NR,,3279174,Completed,Replay,,1h 25m,,,,,,,,,
58,4867,,PlayStation 4,1h 25m,NR,,11758098,Completed,First,,1h 25m,,,,,,,,,
59,4867,Everdred,PlayStation 3,1h 25m,NR,,361,Completed,First,"September 06, 2012",1h 25m,,,,,,,,,
60,4867,Frensis13,PlayStation 4,1h 25m,70%,,11808610,Completed,First,"April 21, 2020",1h 25m,,,,,,,,,
61,4867,JabrZee,PlayStation 4,1h 25m,NR,,3422765,Completed,First,"September 13, 2016",1h 25m,,,,,,,,,
62,4867,amal,PlayStation 4,1h 25m,80%,,6886506,Completed,First,"August 21, 2018",1h 25m,,,,,,,,,
63,4867,xena990,PC,1h 25m,NR,,8912162,Completed,Replay,"June 08, 2019",1h 25m,,,,,,,,,
64,4867,vashkey,PlayStation 3,1h 25m,100%,,524630,Completed,First,,1h 25m 06s,,,,,,,,,
65,4867,Tische,PC,1h 25m,60%,,9206174,Completed,First,"July 29, 2019",1h 25m 16s,,,,,,,,,
66,4867,,PlayStation 4,1h 25m,NR,,3449740,Completed,First,,1h 25m 36s,,,,,,,,,
67,4867,,PlayStation 3,1h 26m,NR,,1530000,Completed,First,,1h 26m 17s,,,1h 26m 17s,,,,,,
68,4867,,PlayStation 4,1h 26m,NR,,1536270,Completed,First,,1h 26m 27s,,,,,,,,,
69,4867,Darksage5,PlayStation 4,1h 27m,NR,,11469627,Completed,First,"April 25, 2020",1h 27m,,,,,,,,,
70,4867,steame,PlayStation 4,1h 27m,NR,,1924808,Completed,First,"September 09, 2016",1h 27m,,,,,,,,,
71,4867,EdwardoKenway,PlayStation 4,1h 27m,NR,,11529846,Completed,First,"April 22, 2020",1h 27m 44s,,,,,,,,,
72,4867,andrewl3779,PlayStation 4,1h 27m,NR,Met 3 people. Amazing looking game.,4278044,Completed,First,"April 05, 2017",1h 27m 45s,,,,,,,,,
73,4867,RevelGrande,PC,1h 27m,NR,,10336976,Completed,First,"October 31, 2019",1h 27m 51s,,,,,,,,,
74,4867,NascarRedSox,PlayStation 3,1h 28m,80%,Beaten once.,10535937,Completed,Replay,"March 07, 2020",1h 28m,,,,,03m,,,,
75,4867,Neo1771991,PlayStation 4,1h 28m,NR,,1730171,Replay Completed,First,"September 11, 2015",1h 28m,,,,,,1h 28m /,,,
76,4867,ToastyFrog,PlayStation 3,1h 28m,90%,,55698,Completed,First,"December 30, 2012",1h 28m,,,,,,,,,
77,4867,roblkp,PC,1h 28m,NR,,11085690,Completed,First,"March 01, 2020",1h 28m,,,,,,,,,
78,4867,Private,PC,1h 28m,80%,,9133430,Completed,First,"July 12, 2019",1h 28m 47s,,,,,,,,,
79,4867,BeetBeetGaming,PlayStation 4,1h 29m,NR,,1693386,Completed,First,"August 21, 2015",1h 29m,,,,,,,,,
80,4867,JOSHDILISI,PlayStation 4,1h 29m,NR,,2702567,Completed,First,"August 21, 2015",1h 29m,,,,,,,,,
81,4867,Redfield_XIII,PlayStation 4,1h 29m,80%,,5656511,Completed,First,"August 12, 2018",1h 29m,,,,,,,,,
82,4867,Salsao,PlayStation 4,1h 29m,90%,,4017954,Completed,First,"February 05, 2017",1h 29m 31s,,,,,,,,,
83,4867,minkaro,PlayStation 4,1h 29m,NR,,11465196,Completed,First,"April 16, 2020",1h 29m 36s,,,,,,,,,
84,4867,ericwf123,PlayStation 4,1h 29m,80%,,11469650,Completed,First,"May 01, 2020",1h 29m 50s,,,,,,,,,
85,4867,,PlayStation 3,1h 30m,NR,,531231,Completed,First,,1h 30m,,,,,,,,,
86,4867,,PlayStation 3,1h 30m,NR,,756211,Completed,First,,1h 30m,,,,,,,,,
87,4867,,PlayStation 3,1h 30m,NR,,4180787,Completed,Replay,,1h 30m,,,,,,,,,
88,4867,,PlayStation 4,1h 30m,NR,,4296348,Completed,First,,1h 30m,,,,,,,,,
89,4867,,PlayStation 4,1h 30m,NR,,6128335,Completed,First,,1h 30m,,,,,,,,,
90,4867,,PC,1h 30m,NR,,8942585,Completed,First,,1h 30m,,,,,,,,,
91,4867,,PlayStation 4,1h 30m,NR,,11612159,Completed,First,,1h 30m,,,,,,,,,
92,4867,Angmar,PlayStation 3,1h 30m,90%,,42321,Completed,First,,1h 30m,,,,,,,,,
93,4867,Barloq,PlayStation 4,1h 30m,90%,,3836551,Completed,First,"October 21, 2016",1h 30m,,,,,,,,,
94,4867,Private,PlayStation 4,1h 30m,80%,,12023757,Completed,First,"June 17, 2020",1h 30m,,,,,,,,,
95,4867,Bobun,PlayStation 4,1h 30m,NR,,11473912,Completed,First,"April 17, 2020",1h 30m,,,,,,,,,
96,4867,CrownPhan14,PlayStation 3,1h 30m,100%,,1161944,Completed,First,,1h 30m,,,,,,,,,
97,4867,CyDi,PlayStation 4,1h 30m,100%,,5173263,Completed,First,"October 14, 2017",1h 30m,,,,,,,,,
98,4867,DJGussos,PlayStation 4,1h 30m,NR,,6153275,Completed,First,"April 21, 2018",1h 30m,,,,,,,,,
99,4867,DarkTaco,PlayStation 3,1h 30m,70%,,8415479,Backlog Completed,First,"March 06, 2019",1h 30m,,,,,,,,,
100,4867,Emilon,PlayStation 3,1h 30m,90%,,438894,Completed,First,"March 15, 2012",1h 30m,,,,,,,,,
101,4867,EvilM13,PlayStation 3,1h 30m,NR,,120349,Completed,First,"August 29, 2012",1h 30m,,,,,,,,,
102,4867,Firebatz13,PlayStation 4,1h 30m,70%,,2581892,Completed,First,"February 13, 2016",1h 30m,,,,,,,,,
103,4867,Private,PlayStation 3,1h 30m,90%,,3535,Completed,First,"June 04, 2012",1h 30m,,,,,,,,,
104,4867,Jonnie_Darko,PlayStation 4,1h 30m,NR,,3237141,Backlog Completed,First,"July 14, 2016",1h 30m,,,,,,1h 30m /,,,
105,4867,Private,PlayStation 4,1h 30m,80%,,3797842,Completed,First,"January 20, 2017",1h 30m,,,,,,,,,
106,4867,Jotamide,PlayStation 3,1h 30m,80%,,51352,Completed,First,"October 26, 2012",1h 30m,,,,,,,,,
107,4867,Kasaru,PlayStation 3,1h 30m,NR,,1133678,Completed Retired,First,"May 26, 2014",1h 30m,,,,"Played it once, will never play it again because that would ruin the magic. Full playthrough here: https://www.youtube.com/watch?v=Kri4703kpmw",,,,,
108,4867,KeeferBishop,PlayStation 3,1h 30m,100%,,632624,Completed,First,"February 16, 2014",1h 30m,,,,,,,,,
109,4867,KellysRaven,PlayStation 3,1h 30m,100%,,61433,Completed,First,"January 05, 2013",1h 30m,,,,,,,,,
110,4867,KinkyMong,PlayStation 4,1h 30m,NR,,4240947,Completed,First,"April 14, 2018",1h 30m,,,,,,,,,
111,4867,Krapfenfuchs,PlayStation 3,1h 30m,NR,,10447776,Completed,First,,1h 30m,,3h,,,,,,,
112,4867,Mangonisium,PlayStation 3,1h 30m,100%,,1146558,Completed,First,"January 23, 2015",1h 30m,,,,,,,,,
113,4867,MomentousMaster,PlayStation 4,1h 30m,NR,,11474854,Completed,First,"April 17, 2020",1h 30m,,,,,,,,,
114,4867,Mondo3011,PlayStation,1h 30m,90%,,11993981,Completed Retired,First,"June 15, 2020",1h 30m,1h 45m,,,,,,A memorable journey,,
115,4867,Nicobade,PlayStation 3,1h 30m,90%,,5529561,Completed,First,"December 28, 2017",1h 30m,,,,,,,,,
116,4867,Portisfreak,PlayStation 3,1h 30m,100%,,454899,Completed,First,"December 21, 2013",1h 30m,,,,,,,,,
117,4867,RicardoGaming,PlayStation 4,1h 30m,90%,,11612169,Completed,First,"May 01, 2020",1h 30m,,,,,,,,,
118,4867,Sarque,PC,1h 30m,100%,,9023625,Completed,First,"June 17, 2019",1h 30m,,,,,,,,,
119,4867,Shima,PC,1h 30m,100%,,11967909,Completed,First,"June 12, 2020",1h 30m,,,,,,,,,
120,4867,SnakeBitten,PlayStation 3,1h 30m,90%,,6510969,Completed,First,"July 02, 2018",1h 30m,,,,,,,,,
121,4867,Stinkmaster69,PlayStation 4,1h 30m,NR,,7439841,Completed,First,"November 13, 2018",1h 30m,,,,,,,,,
122,4867,Table53,PlayStation 4,1h 30m,NR,,10803109,Completed,Replay,"June 06, 2016",1h 30m,,,,,,,,,
123,4867,Private,PC,1h 30m,80%,,9028681,Completed,First,,1h 30m,,,,,,,,,
124,4867,Zandareth,PlayStation 3,1h 30m,80%,,5874741,Completed,First,"April 15, 2014",1h 30m,,,,,,,,,
125,4867,Zawadders90,PlayStation 4,1h 30m,NR,,4332408,Completed,First,"April 19, 2017",1h 30m,,,,,,,,,
126,4867,Zhao_Yun,PlayStation 3,1h 30m,70%,,515521,Completed,First,,1h 30m,,,,,,,,,
127,4867,al_on_games,PlayStation 4,1h 30m,90%,,11885588,Completed,First,"May 14, 2020",1h 30m,,,,,,,,,
128,4867,alfredsamernie,PlayStation 4,1h 30m,80%,,7823799,Completed,First,"December 25, 2018",1h 30m,,,,,,,,,
129,4867,arsany98,PC,1h 30m,NR,,11125146,Completed,First,"March 09, 2020",1h 30m,,,,,,,,,
130,4867,bobiroka,PlayStation 3,1h 30m,80%,,185111,Completed,First,"October 17, 2012",1h 30m,,,,,,,,,
131,4867,dubdi,PC,1h 30m,90%,,11984752,Completed,First,"June 13, 2020",1h 30m,,,,,,,,,
132,4867,esq373,PlayStation 3,1h 30m,90%,,398862,Completed,First,"September 15, 2013",1h 30m,,,,,,,,,
133,4867,filanke,PC,1h 30m,NR,,9534578,Completed,First,"September 05, 2019",1h 30m,,,,,,,,,
134,4867,hukjuk,PlayStation 3,1h 30m,80%,,130196,Completed,First,"June 12, 2012",1h 30m,,,,,,,,,
135,4867,jayAEY,PlayStation 4,1h 30m,NR,,12043377,Completed,First,"June 19, 2020",1h 30m,,,,,,,,,
136,4867,Private,PlayStation 4,1h 30m,70%,,1517665,Completed,First,"July 21, 2015",1h 30m,,,,,,,,,
137,4867,jedtan,PlayStation 3,1h 30m,80%,,3924984,Completed,First,"January 15, 2017",1h 30m,,,,,,,,,
138,4867,jpsona,PlayStation 3,1h 30m,80%,,259791,Completed,First,"April 13, 2013",1h 30m,,,,,,,,,
139,4867,kenzan18,PC,1h 30m,100%,,11836466,Completed,First,"May 25, 2020",1h 30m,,,,,,,,,
140,4867,killmatt,PlayStation 3,1h 30m,NR,,242666,Completed,First,,1h 30m,,,,,,,,,
141,4867,Private,PlayStation 3,1h 30m,60%,,4224578,Completed,First,"March 24, 2017",1h 30m,,,,,,,,,
142,4867,parley,PlayStation 4,1h 30m,80%,,3174944,Completed,First,"July 04, 2016",1h 30m,,,,,,,,,
143,4867,sackboy97,PlayStation 3,1h 30m,90%,,10194655,Completed,First,October 2019,1h 30m,,,,,,,,,
144,4867,senkus,PC,1h 30m,90%,,10922654,Completed,First,"February 01, 2020",1h 30m,,,,,,,,,
145,4867,shymonkeypoo,PlayStation 4,1h 30m,NR,,3951012,Completed,First,"January 01, 2017",1h 30m,,,,,,,,,
146,4867,siit,PlayStation 4,1h 30m,90%,,3239543,Completed,First,"July 19, 2016",1h 30m,,,,,,,,,
147,4867,tacosbob,PC,1h 30m,NR,,11814335,Completed,First,"May 22, 2020",1h 30m,,,,,,,,,
148,4867,thomaas23,PlayStation 3,1h 30m,100%,,244438,Completed,First,"March 24, 2013",1h 30m,,,,,,,,,
149,4867,victorhenriquetx,PlayStation 4,1h 30m,NR,,11486644,Completed,First,"April 18, 2020",1h 30m,,,,,,,,,
150,4867,yigitkoparan123,PC,1h 30m,90%,,8942559,Completed,First,"June 12, 2019",1h 30m,,,,,,,,,
151,4867,Private,PlayStation 4,1h 30m,90%,,4610124,Completed,First,"October 28, 2018",1h 30m,,,,,,,,,
152,4867,Marick,PC,1h 30m,90%,,11797918,Completed,First,"May 21, 2020",1h 30m 07s,,,,,,,,,
153,4867,firegamer273,PC,1h 30m,NR,,6959146,Completed,First,"December 28, 2019",1h 30m 14s,,,,,,,,,
154,4867,FznRfq,PC,1h 30m,80%,,9303051,Completed,First,"August 04, 2019",1h 30m 22s,,,,,,,,,
155,4867,pokepaw,PlayStation 4,1h 30m,90%,,7787125,Completed,First,"January 01, 2019",1h 30m 34s,,,,,,,,,
156,4867,,PlayStation 4,1h 31m,NR,,11592572,Completed,First,,1h 31m,,,,,,,,,
157,4867,Criptike,PC,1h 31m,70%,,7729127,Completed,First,"July 19, 2019",1h 31m,,,,,,,,,
158,4867,Zomoniac,PlayStation 3,1h 31m,100%,,320786,Completed,First,"January 22, 2014",1h 31m,,,,,,,,,
159,4867,Private,PlayStation 4,1h 31m,NR,,6242258,Completed,First,"May 01, 2020",1h 31m,,,,,,,,,
160,4867,,PlayStation 3,1h 31m,NR,,295156,Completed,First,,1h 31m 50s,,,,,,,,,
161,4867,,PC,1h 32m,NR,,11047360,Completed,First,,1h 32m,,,,,,,,,
162,4867,,PC,1h 32m,NR,,11919191,Completed,First,,1h 32m,,,,,,,,,
163,4867,,PC,1h 32m,NR,,11967364,Completed,First,,1h 32m,,,,,,,,,
164,4867,mmakk,PC,1h 32m,NR,,9028789,Completed,First,"June 25, 2019",1h 32m,,,,,,,,,
165,4867,xwinsus,PC,1h 32m,100%,,10986923,Completed,First,"February 18, 2020",1h 32m 25s,,,,,,,,,
166,4867,woodjer,PlayStation 4,1h 32m,NR,,4171429,Completed,First,"March 11, 2017",1h 32m 45s,,,,,,,,,
167,4867,Private,PlayStation 3,1h 32m,80%,,4717692,Completed,First,"July 09, 2017",1h 32m 55s,,,,,,,,,
168,4867,Private,PlayStation 4,1h 32m,NR,,11553036,Completed,First,"April 25, 2020",1h 32m 59s,,,,,,,,,
169,4867,,PlayStation 3,1h 33m,NR,,392469,Completed,First,,1h 33m,,,,,,,,,
170,4867,Private,PlayStation 4,1h 33m,80%,,6870559,Completed,First,"April 18, 2020",1h 33m,,,,,,,,,
171,4867,Private,PlayStation 3,1h 33m,90%,,4735330,Completed,First,"July 11, 2017",1h 33m,,,,,,,,,
172,4867,Ryu_Rare,PlayStation 4,1h 33m,80%,,3404204,Completed,First,"October 07, 2016",1h 33m,,,,,,,,,
173,4867,crdvjavier,PlayStation 3,1h 33m,90%,,11176620,Completed,First,"March 17, 2020",1h 33m,,,,,,,,,
174,4867,iambadatgames,PlayStation 4,1h 33m,90%,,2996683,Completed,First,"September 10, 2016",1h 33m 12s,,,,,,,,,
175,4867,MetallicFever316,PlayStation 4,1h 33m,90%,Played the game in one sitting.,3759811,Completed,First,"December 12, 2016",1h 33m 14s,,,,,,,,,
176,4867,littleasskiicker,PlayStation 4,1h 33m,NR,,11559167,Completed,First,"April 01, 2017",1h 33m 17s,,,,,,,,,
177,4867,Daiugla,PlayStation 3,1h 33m,60%,,7652683,Completed,First,"December 06, 2018",1h 33m 26s,,,,,,,,,
178,4867,Private,PlayStation 3,1h 33m,NR,,1009122,Completed Retired,First,"April 06, 2015",1h 33m 35s,,,,,,,,,
179,4867,Glenvorn,PlayStation 4,1h 34m,NR,,4865321,Completed,First,"August 06, 2017",1h 34m,,,,,,,,,
180,4867,Private,PlayStation 3,1h 34m,70%,,4803908,Completed,First,"July 22, 2017",1h 34m,,,,,,,,,
181,4867,Private,PlayStation 4,1h 34m,30%,,11452146,Completed,First,"April 16, 2020",1h 34m,,,,,,,,,
182,4867,Ragowit,PlayStation 4,1h 34m,NR,"Main Story kinda blind (have played the PS3 version ""back in the day""). Trophy guide after for all trophies.",3264836,Completed,First,"December 04, 2016",1h 34m 10s,,4h 46m 58s,,,,,,,
183,4867,diskape,PlayStation 3,1h 34m,100%,Wow. Just wow.,13476,Completed,First,,1h 34m 26s,,,,,,,,,
184,4867,auric_aura,PC,1h 34m,80%,,9012030,Completed,First,"June 22, 2019",1h 34m 52s,,,,,,,,,
185,4867,,PlayStation 4,1h 35m,NR,,4460898,Completed,Replay,,1h 35m,,,,,,,,,
186,4867,,PlayStation 4,1h 35m,NR,,10817612,Completed,First,,1h 35m,,,,,,,,,
187,4867,,PlayStation 4,1h 35m,NR,In one session with no breaks,11583577,Completed,First,,1h 35m,,,,,,,,,
188,4867,Antrakos,PlayStation 4,1h 35m,NR,,7794621,Completed,First,"December 21, 2018",1h 35m,,,,,,,,,
189,4867,Chriskov,PlayStation 4,1h 35m,70%,,11529296,Completed,First,"May 12, 2020",1h 35m,,,,,,,,,
190,4867,Half_a_cup,PlayStation 3,1h 35m,NR,,3380691,Completed,First,"September 07, 2016",1h 35m,,,,,,,,,
191,4867,Hinkelvinkel,PlayStation 3,1h 35m,100%,,501577,Completed,First,"December 24, 2013",1h 35m,,,,,,,,,
192,4867,New_Brew,PlayStation 4,1h 35m,90%,,11499996,Completed,First,"April 19, 2020",1h 35m,,,,,,,,,
193,4867,Optim,PlayStation 3,1h 35m,80%,,8074328,Completed,First,"January 20, 2019",1h 35m,,,,,,,,,
194,4867,Pikatxu,PC,1h 35m,80%,,10520541,Completed,First,,1h 35m,,,,,,,,,
195,4867,Private,PlayStation 4,1h 35m,80%,,7782192,Completed,First,"December 20, 2018",1h 35m,,,,,,,,,
196,4867,atacama,PlayStation 3,1h 35m,90%,,1042327,Completed,First,"December 02, 2014",1h 35m,,,,,,,,,
197,4867,forsakendemon,PlayStation 3,1h 35m,90%,,145714,Completed,First,"September 26, 2012",1h 35m,,,,,,,,,
198,4867,kswiston,PlayStation 3,1h 35m,80%,,4191,Completed,First,"December 24, 2012",1h 35m,,,,"Just beat main story. Had a companion that rushed through a couple sections, and others that took it slow with me. Shorter game than I was expecting!",,,,,
199,4867,lassarina,PlayStation 3,1h 35m,NR,,2188329,Completed,First,,1h 35m,,,,,,,,,
200,4867,lopuxilo,PlayStation 4,1h 35m,NR,,1551532,Completed,First,"July 26, 2015",1h 35m,,,,,,,,,
201,4867,Private,PC,1h 35m,90%,,8887773,Completed,First,"June 08, 2019",1h 35m,,,,,,,,,
202,4867,Private,PC,1h 35m,70%,,5340424,Completed,First,"June 25, 2019",1h 35m,,,,,,,,,
203,4867,rixy,PlayStation 4,1h 35m,70%,,11462063,Completed,First,"April 25, 2020",1h 35m,,,,,,,,,
204,4867,DiabeticFox,PlayStation 4,1h 35m,70%,,6394785,Completed,First,"June 12, 2018",1h 35m 16s,,,,,,,,,
205,4867,authoritah,PlayStation 3,1h 35m,80%,,223135,Completed,First,"June 30, 2014",1h 35m 16s,,,,,,,,,
206,4867,jukeboxbaby,PlayStation 4,1h 35m,100%,,3000824,Completed,First,"November 27, 2016",1h 35m 29s,3h 16s,,,,,,,,
207,4867,SoothingRabbit,PlayStation 3,1h 35m,NR,,2225497,Completed,First,"December 13, 2015",1h 35m 38s,,,,,,,,,
208,4867,Private,PlayStation 4,1h 36m,NR,,3426505,Completed,First,"September 14, 2016",1h 36m,,,,,,,,,
209,4867,Hiotsu,PlayStation 3,1h 36m,70%,,11187227,Completed,First,"March 24, 2020",1h 36m,,,,,,,,,
210,4867,SomethingIshy,PlayStation 3,1h 36m,100%,,959475,Completed,First,"September 30, 2014",1h 36m,,,,,,,,,
211,4867,pensayup,PlayStation 4,1h 36m,60%,,11460455,Completed,First,"May 07, 2020",1h 36m 40s,,,,,,,,,
212,4867,CaptainLama,PlayStation 4,1h 36m,NR,,6222864,Completed,First,"May 09, 2018",1h 36m 56s,,,,,,,,,
213,4867,MKami,PlayStation 4,1h 37m,90%,,11473062,Completed,First,"May 16, 2020",1h 37m,,,,,,,,,
214,4867,pbdarko,PlayStation 4,1h 37m,80%,,2993931,Completed,First,"May 20, 2016",1h 37m 12s,,,,,,,,,
215,4867,JustMoth,PlayStation 3,1h 37m,80%,,1173796,Completed,First,"February 08, 2015",1h 37m 57s,,,,,,,,,
216,4867,,PlayStation 4,1h 38m,NR,,3403873,Completed,First,,1h 38m,,,,,,,,,
217,4867,,PC,1h 38m,NR,,11809948,Completed,First,,1h 38m,,,,,,,,,
218,4867,Arsonist180,PlayStation 4,1h 38m,80%,,10832492,Completed,First,"January 17, 2020",1h 38m,,,,,,,,,
219,4867,Thekoolbean,PlayStation 3,1h 38m,100%,,753586,Completed,First,"May 02, 2015",1h 38m,,,,,,,,,
220,4867,chiefwhodey,PlayStation 3,1h 38m,90%,,27074,Completed,First,"June 02, 2012",1h 38m,,,,,,,,,
221,4867,videogameslab,PlayStation 3,1h 38m,100%,,71481,Completed,First,"March 01, 2013",1h 38m 07s,,,,"Game Started: 3/1/13. Ran into 3 different companions along the way, but one companion stuck with me through the end. Made the game that much more enjoyable.",,,,,
