,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Main Story,Completion,Main+Extras,Completionist,Personal Notes,Progress,Co-Op,Speedrun,100% Speedrun
23,21702,Private,PlayStation 4,9h,90%,,4593594,Completed,First,9h,"June 25, 2017",10h,11h,,,,,
24,21702,Mimic31,PC,9h,90%,,3484535,Completed,First,9h,,,,,,,,
25,21702,OMCH,Mac,9h,NR,,10629226,Completed,Replay,9h,,10h,12h,,,,,
26,21702,TheMythicalGamer,PC,9h,NR,,3155477,Completed,Replay,9h,"May 20, 2016",11h,13h,,,,,
27,21702,aconfusedpear,PC,9h,NR,,4630373,Completed,First,9h,"June 25, 2017",,,,,,,
28,21702,Private,PC,9h,NR,,11338631,Completed,First,9h,"April 03, 2020",,,,,,,
29,21702,,Xbox One,9h 10m,NR,,8880124,Completed,First,9h 10m,,,,,,,,
30,21702,,PC,9h 10m,NR,,10932274,Completed,Replay,9h 10m,,12h 30m,12h 31m,,,,,
31,21702,Neo1771991,PC,9h 16m,NR,,3484651,Replay Completed,Replay,9h 16m,"October 30, 2016",,,,9h 16m /,,,
32,21702,UnK_oh,PlayStation 4,9h 17m,100%,,8408440,Completed,Replay,9h 17m 15s,"March 10, 2019",,,,,,,
33,21702,Doomes,PlayStation 4,9h 30m,80%,,4151579,Completed,First,9h 30m,"March 06, 2017",,,Sum of time from twitch stream,,,,
34,21702,Moddr1n,PC,9h 47m,80%,,8318148,Completed,First,9h 47m 12s,"March 26, 2018",,,,,,,
35,21702,Echdout,PC,9h 47m,70%,,5457681,Completed,First,9h 47m 35s,"October 09, 2017",,,,,,,
36,21702,Wennarg,PC,9h 47m,90%,,4627061,Completed,First,9h 47m 58s,"July 02, 2017",,,,,,,
37,21702,GenioGege,PC,9h 50m,NR,,4095131,Completed,First,9h 50m,,,,,,,,
38,21702,kuda0,PlayStation 4,9h 54m,NR,,6130179,Completed,First,9h 54m 34s,"April 16, 2018",,,,,,,
39,21702,,PC,10h,NR,,4098053,Completed,First,10h,,,,,,,,
40,21702,,PC,10h,NR,,9005564,Completed,First,10h,,,,,,,,
41,21702,EmperadorNeron,PC,10h,90%,All achievements + All optional photos + two finals,10295729,Completed,First,10h,"October 23, 2019",15h,15h 10m,,,,,
42,21702,FullHouse,PC,10h,NR,,3381255,Completed,First,10h,"September 01, 2016",13h 30m,14h,,,,,
43,21702,Hacthic,PC,10h,100%,,10156007,Completed,First,10h,"February 18, 2017",,13h,,,,,
44,21702,IdiotEastwood,PC,10h,70%,,8574567,Completed,First,10h,,,,,,,,
45,21702,Joemoe117,PC,10h,NR,,7433200,Completed,First,10h,,11h,13h,,,,,
46,21702,JynxStep,PlayStation 4,10h,90%,,4200273,Completed,First,10h,,,,,,,,
47,21702,Manolero1,PlayStation 4,10h,90%,,5227751,Completed,First,10h,"September 06, 2017",11h,12h,,,,,
48,21702,Mattywlkr,Xbox One,10h,80%,,6036203,Completed,First,10h,"March 25, 2018",,11h,,,,,
49,21702,Montimorti,PlayStation 4,10h,60%,,2037263,Completed,First,10h,"August 01, 2017",,,,,,,
50,21702,Reaper2017,Xbox One,10h,NR,,4733958,Completed,First,10h,"February 14, 2019",,,,,,,
51,21702,SadAmagami,PlayStation 4,10h,NR,,4732818,Completed,Replay,10h,"March 01, 2017",13h 15m,,,,,,
52,21702,Volca,PC,10h,90%,,6421316,Completed,First,10h,,,,,,,,
53,21702,ZachThEaVeNgEr,PC,10h,NR,,5320923,Completed,First,10h,"April 11, 2016",,10h 09m 01s,,,,,
54,21702,Zboooze,PlayStation 4,10h,70%,,8062393,Completed,First,10h,"January 18, 2019",,,,,,,
55,21702,caskett10,PC,10h,NR,,3353451,Completed,First,10h,"August 23, 2016",,,,,,,
56,21702,cipis96,PC,10h,NR,,4894144,Completed,First,10h,"August 11, 2017",,,,,,,
57,21702,deadMNGO,PC,10h,NR,,11286382,Completed,First,10h,"January 29, 2020",12h 36m,,,,,,
58,21702,fetahundenyoda,PC,10h,90%,,1973042,Completed,First,10h,"October 20, 2015",,,,,,,
59,21702,greatjhawk,Xbox One,10h,NR,,2515116,Completed,First,10h,"April 14, 2016",,,,,,,
60,21702,heartlessvi,PC,10h,NR,,4705355,Completed,First,10h,"July 27, 2017",,,,,,,
61,21702,hwmizu,PC,10h,70%,,6181688,Completed,First,10h,,,,,,,,
62,21702,ipoood,PC,10h,80%,,10692744,Completed,First,10h,"December 30, 2019",,,,,,,
63,21702,luqui2003,PC,10h,NR,,5959313,Completed,First,10h,,,,,,,,
64,21702,sw38130,PC,10h,NR,,4395552,Completed,First,10h,"May 07, 2017",,,,,,,
65,21702,taco23,PC,10h,70%,,4062162,Completed,First,10h,,,,,,,,
66,21702,themajesticlauren,PC,10h,100%,,1997726,Completed,First,10h,"October 24, 2015",,,,,,,
67,21702,theolddawg,PC,10h,NR,,4470894,Completed,First,10h,"May 24, 2017",,,,,,,
68,21702,tkcheese,PC,10h,NR,,4025546,Completed,First,10h,"February 07, 2017",,,,,,,
69,21702,toadsworth,PlayStation 4,10h,NR,,6501048,Completed,First,10h,"June 30, 2018",,,,,,,
70,21702,MalikFH,PlayStation 4,10h 03m,NR,,4751918,Replay Completed,First,10h 03m 49s,"May 21, 2017",13h 01m 34s,14h 36m 01s,,,,,
71,21702,Arliin24,PC,10h 04m,NR,,7222246,Completed,First,10h 04m,"October 10, 2018",,,,,,,
72,21702,Omega_312,PC,10h 05m,NR,,4733975,Completed,First,10h 05m 29s,"August 07, 2017",,,,,,,
73,21702,poitendo,PC,10h 06m,100%,,4085031,Completed,First,10h 06m,"February 18, 2017",,,,,,,
74,21702,,Xbox One,10h 11m,NR,,9343292,Completed,First,10h 11m,,,12h,,,,,
75,21702,MikanGabi,PC,10h 13m,40%,,4398550,Completed,First,10h 13m 06s,"May 05, 2017",,,"Chill played the game, got stuck at some places, didn't interact with all the items in the room, only sometimes.",,,,
76,21702,LewaOhato,PlayStation 3,10h 15m,NR,,4235243,Completed,First,10h 15m,"January 26, 2017",,,,,,,
77,21702,coldfusuin,PlayStation 4,10h 15m,NR,,5296861,Completed,First,10h 15m,"November 10, 2017",,,,,,,
78,21702,Spizzik,PC,10h 18m,NR,,3598290,Completed,Replay,10h 18m,"September 17, 2018",,,,,,,
79,21702,rikof1,PC,10h 18m,NR,,3024964,Completed,First,10h 18m,"May 30, 2016",,,,,,,
80,21702,aeshaynes,PC,10h 20m,100%,,4237487,Completed,First,10h 20m,"March 25, 2017",,,,,,,
81,21702,Neo1771991,PC,10h 22m,NR,,5546529,Replay Completed,Replay,10h 22m,"January 04, 2018",,,,10h 22m /,,,
82,21702,Soloid,PC,10h 23m,70%,,6512910,Completed,First,10h 23m 12s,"August 08, 2018",,,,,,,
83,21702,backni,PC,10h 24m,90%,,5190252,Completed,First,10h 24m,"October 18, 2017",,,,,,,
84,21702,silversuriv,PC,10h 24m,100%,,2454814,Completed,First,10h 24m,"January 20, 2016",,,,,,,
85,21702,theplump,PC,10h 24m,100%,,4509317,Completed,First,10h 24m,"August 25, 2018",,,,,,,
86,21702,Metakirby22,Mac,10h 25m,NR,,3687371,Completed,First,10h 25m,"January 27, 2017",,,,,,,
87,21702,slickochet,PC,10h 27m,NR,,1989669,Completed,First,10h 27m 19s,"October 20, 2015",,,,,,,
88,21702,,PC,10h 28m,NR,,3972676,Completed,First,10h 28m,,,,,,,,
89,21702,Criminux,PC,10h 30m,90%,,3988512,Completed,First,10h 30m,"January 29, 2017",,,,,,,
90,21702,Dragonite,PC,10h 30m,80%,"Stopped for very few optional photos, and only talked to a few NPCs",8231972,Completed,First,10h 30m,"December 06, 2017",,,,,,,
91,21702,HunterHU,PC,10h 30m,90%,,4802359,Completed,First,10h 30m,"July 21, 2017",,,,,,,
92,21702,Owawauba,PC,10h 30m,NR,,2712180,Completed,First,10h 30m,"March 10, 2016",,,,,,,
93,21702,Private,PC,10h 30m,100%,,8223049,Completed,First,10h 30m,,11h,11h 50m,,,,,
94,21702,,PC,10h 30m,NR,,5517650,Completed,First,10h 30m 01s,,,,,,,,
95,21702,KMoney,Xbox One,10h 31m,90%,,3681194,Completed,First,10h 31m 32s,"December 09, 2016",,,,,,,
96,21702,,PlayStation 4,10h 34m,NR,,11910530,Completed,First,10h 34m,,,,,,,,
97,21702,DeathKillerNOR,PC,10h 35m,NR,https://www.youtube.com/playlist?list=PLFswjBcT5amxm2_NWuDlR2-5s5aHFGKGz,11805518,Completed,First,10h 35m,"August 26, 2019",,,,,,,
98,21702,,PC,10h 40m,NR,,4842780,Completed,First,10h 40m,,,,,,,,
99,21702,Private,PC,10h 41m,80%,,5499174,Completed,First,10h 41m 33s,"February 04, 2018",,,,,,,
100,21702,TopStiGear,PC,10h 44m,NR,,3907331,Completed,First,10h 44m 35s,"January 30, 2017",,,,,,,
101,21702,,PC,10h 45m,NR,,2171839,Completed,First,10h 45m,,,,,,,,
102,21702,,PlayStation 3,10h 45m,NR,,4864250,Completed,Replay,10h 45m,,,,,,,,
103,21702,,PC,10h 50m,NR,,2743177,Completed,First,10h 50m,,,12h,,,,,
104,21702,Private,PlayStation 4,10h 52m,70%,,11832770,Completed,Replay,10h 52m 45s,"May 27, 2020",,,,,,,
105,21702,Lungkisser,PC,10h 54m,70%,Minimal effort on photos. Just grabbed what I stumbled on.,7994306,Completed,First,10h 54m,"January 09, 2019",,,Minimal effort on photos. Just grabbed what I stumbled on.,,,,
106,21702,werupenstein,PC,10h 54m,NR,,3970808,Completed,First,10h 54m,,,,,,,,
107,21702,NukeYourNanny,PC,10h 56m,NR,,3871428,Completed,First,10h 56m,"March 22, 2017",,,,,,,
108,21702,Caliburn89,PlayStation 4,10h 57m,NR,,3625438,Completed,First,10h 57m 07s,"November 13, 2016",,,,,,,
109,21702,,PC,11h,NR,,3233500,Completed,First,11h,,,,,,,,
110,21702,,PC,11h,NR,,3255546,Completed,First,11h,,,,,,,,
111,21702,,PC,11h,NR,,6659004,Completed,First,11h,,,,,,,,
112,21702,,PC,11h,NR,,7143961,Completed,Replay,11h,,,,,,,,
113,21702,,PC,11h,NR,,9695071,Completed,First,11h,,,,,,,,
114,21702,Akali,PC,11h,NR,,8038817,Completed,Replay,11h,"August 24, 2018",,,,,,,
115,21702,DrunkenYoYo,Xbox One,11h,90%,,8003122,Completed,Replay,11h,"January 10, 2019",,,,,,,
116,21702,EWICS,PC,11h,NR,,5774852,Completed,First,11h,"February 10, 2018",,,,,,,
117,21702,FrizzleDizle,PC,11h,NR,,2299091,Completed,First,11h,"December 29, 2015",,,,,,,
118,21702,Gagerzzzz,PC,11h,100%,,5997843,Completed,First,11h,,,,,,,,
119,21702,GigamanTheSinner,PC,11h,40%,,4141504,Completed,First,11h,"March 04, 2017",,,,,,,
120,21702,KCook3,PC,11h,NR,,3716398,Completed,First,11h,,,,,,,,
121,21702,Kuuriaa,PC,11h,NR,,4429982,Completed,First,11h,"March 14, 2016",,,,,,,
122,21702,Private,PC,11h,80%,"Fra start til slutt, prøvde å interacte med alt jeg kunne på veien og gikk tilbake og tok noen samtaler på nytt",6795076,Completed,First,11h,"March 14, 2020",,,"Story was cool, good and interesting & got me invested. I really cared about and spent a long time deciding on the choices I made. Had an opinion on all the characters. Good graphics style,atmosphere & music. Did not like how restricted I felt when I was supposed to be in controll of space & time. Many situations where I thought;""ey, lets go back in time and..."" just to find out I couldnt, or when trying to use a mechanic of the time travel, but then its not working.Some boring item-search parts",,,,
123,21702,Merclow,PC,11h,NR,,2186633,Completed,First,11h,"December 05, 2015",,,,,,,
124,21702,ObetydligSten,PC,11h,60%,,11398416,Completed,First,11h,"April 09, 2020",,,,,,,
125,21702,Stupidhass,PC,11h,NR,,9300457,Completed,First,11h,"August 03, 2019",,,,,,,
126,21702,TheRealKarimman,PC,11h,90%,,10744421,Replay Completed,First,11h,"November 15, 2018",15h,21h,,35h /,,,
127,21702,UnearthlyTrance,PC,11h,NR,,3275868,Completed,First,11h,"July 31, 2016",,,,,,,
128,21702,danielk,PC,11h,70%,,6606000,Completed,First,11h,,,,,,,,
129,21702,jm4n1015,PC,11h,NR,,3353235,Completed,First,11h,,,,,,,,
130,21702,Private,PC,11h,70%,,7562816,Completed,First,11h,,,,,,,,
131,21702,poppyfx,PC,11h,50%,,6797702,Completed,First,11h,,,,,,,,
132,21702,rusocabron,PC,11h,80%,,7136281,Completed,First,11h,"September 29, 2018",,,,,,,
133,21702,shanefeuz,PC,11h,NR,,11679943,Completed,First,11h,"May 08, 2020",,,,,,,
134,21702,tomhennessey,PC,11h,80%,,1976709,Completed,First,11h,"October 20, 2015",,,,,,,
135,21702,zalachenko22,PC,11h,NR,,6096858,Completed,First,11h,"November 02, 2015",,,,,,,
136,21702,,PC,11h 01m,NR,,8719808,Completed,First,11h 01m,,,,,,,,
137,21702,BRCamaronXX,PC,11h 06m,NR,,6033068,Completed,First,11h 06m,,,,,,,,
138,21702,JasIruka,PC,11h 08m,90%,,8409059,Completed,Replay,11h 08m 59s,"November 13, 2015",,17h 45m,"Episode 1: 1:38:27
Episode 2: 1:33:26
Episode 3: 1:08:10
Episode 4: 1:17:38
Episode 5: 1:57:23",,,,
139,21702,GRT42,PC,11h 09m,NR,,10593267,Completed,First,11h 09m,"December 14, 2019",,,,,,,
140,21702,Inns,PlayStation 4,11h 09m,NR,,10795868,Completed,Replay,11h 09m,"January 12, 2020",,12h 14m,,,,,
141,21702,Calipup,PC,11h 10m,NR,,5411074,Completed,First,11h 10m,,,,,,,,
142,21702,DaRkSh4doW,PC,11h 10m,NR,Great Story!,4752278,Completed,First,11h 10m,"August 13, 2016",13h,15h,,,,,
143,21702,Pandorabrot9032,PC,11h 10m,100%,,9278948,Completed,First,11h 10m,"August 01, 2019",,,,,,,
144,21702,Shelo,PC,11h 12m,90%,,4083640,Completed,First,11h 12m,,,,,,,,
145,21702,Sisus17,PC,11h 15m,80%,,9190747,Completed,First,11h 15m,"June 20, 2016",,,,,,,
146,21702,volkan_gezer,PC,11h 20m,NR,,3291929,Completed,First,11h 20m 05s,,,,,,,,
147,21702,SniperAngel,PC,11h 23m,NR,,4628516,Completed,First,11h 23m,"February 25, 2017",,,,,,,
148,21702,heartchop,PC,11h 23m,NR,,3141859,Completed,First,11h 23m 10s,"June 29, 2016",,,,,,,
149,21702,Private,PC,11h 25m,NR,,2916073,Completed,First,11h 25m,"April 27, 2016",,,,,,,
150,21702,JammieDodger,PC,11h 26m,NR,,3265911,Completed,First,11h 26m,,,,,,,,
151,21702,Minhs2,PC,11h 26m,90%,,7275857,Completed,First,11h 26m 17s,"October 01, 2018",,,,,,,
152,21702,Private,PC,11h 29m,NR,,3808007,Completed,First,11h 29m 30s,"January 26, 2017",,,,,,,
153,21702,,PC,11h 30m,NR,,5793926,Completed,First,11h 30m,,,,,,,,
154,21702,0nel1fegamr,PC,11h 30m,100%,,6474193,Completed,First,11h 30m,"January 02, 2019",,,,,,,
155,21702,Antrakos,PlayStation 4,11h 30m,NR,,6104170,Completed,First,11h 30m,"April 13, 2018",,,,,,,
156,21702,Duckhorse,PC,11h 30m,100%,,11674223,Completed,First,11h 30m,"May 07, 2020",,,,,,,
157,21702,Fundyracer,Xbox One,11h 30m,90%,,10592993,Completed,First,11h 30m,"April 11, 2016",,,,,,,
158,21702,SoulBullets,PC,11h 30m,100%,,3402648,Completed,First,11h 30m,,,,,,,,
159,21702,StHubi,PC,11h 30m,NR,,2138070,Completed,First,11h 30m,"November 29, 2015",,,,,,,
160,21702,zerox102,PC,11h 30m,70%,,11886834,Completed,First,11h 30m,"June 06, 2020",,,,,,,
161,21702,asotahu,PC,11h 33m,NR,,12028613,Completed,First,11h 33m,"June 18, 2020",,,,,,,
162,21702,MoT3tRoXX,PlayStation 4,11h 36m,NR,,11555490,Completed,First,11h 36m,"April 25, 2020",,,,,,,
163,21702,bl4ckout,Linux,11h 42m,NR,,4165418,Completed,First,11h 42m,"March 09, 2017",,,,,,,
164,21702,smaczny,PC,11h 42m,NR,,3792999,Completed,First,11h 42m,,,,,,,,
165,21702,Private,PC,11h 49m,80%,,4398428,Completed,First,11h 49m,"July 10, 2017",,,,,,,
166,21702,,PC,11h 50m,NR,,4056450,Completed,First,11h 50m,,,,,,,,
167,21702,claydoodles,PC,11h 50m,90%,,3914174,Completed,First,11h 50m 08s,"January 08, 2017",,,,,,,
168,21702,DeadParrot,PC,11h 55m,NR,,6600399,Completed,First,11h 55m,"July 16, 2018",,,,,,,
169,21702,,PC,11h 56m,NR,,3618233,Completed,First,11h 56m 39s,,,,,,,,
170,21702,,PlayStation 4,12h,NR,,2211493,Completed,First,12h,,15h,15h 01m,,,,,
171,21702,,PC,12h,NR,,2745204,Completed,First,12h,,,,,,,,
172,21702,,Xbox One,12h,NR,5 Episodes. Each Episode is around 2-3 hours.,2754573,Completed,First,12h,,,,,,,,
173,21702,,PlayStation 4,12h,NR,,2957257,Completed,First,12h,,13h,14h,,,,,
174,21702,,PC,12h,NR,,3951784,Completed,First,12h,,,,,,,,
175,21702,,PC,12h,NR,,4287969,Completed,First,12h,,,,,,,,
176,21702,,PC,12h,NR,,4434410,Completed,First,12h,,,,,,,,
177,21702,,PC,12h,NR,,4723623,Completed,First,12h,,,,,,,,
178,21702,,PC,12h,NR,,5453071,Completed,First,12h,,,,,,,,
179,21702,,PC,12h,NR,,6161994,Completed,First,12h,,,,,,,,
180,21702,,PC,12h,NR,,6505955,Completed,First,12h,,,,,,,,
181,21702,,PC,12h,NR,,8383551,Completed,First,12h,,,,,,,,
182,21702,,PC,12h,NR,,10721423,Completed,First,12h,,,,,,,,
183,21702,ABadBotanist,PC,12h,80%,,11879251,Completed,First,12h,"May 31, 2020",,,,,,,
184,21702,Adamouization,PC,12h,90%,,7112320,Completed,First,12h,"July 02, 2016",,,,,,,
185,21702,AndySav92,PC,12h,100%,,3408641,Completed,Replay,12h,"February 04, 2016",13h,16h,,,,,
186,21702,AnneMunition,PC,12h,90%,,3511375,Completed,First,12h,"October 20, 2015",,,,,,,
187,21702,Athruntalan,PC,12h,90%,Explored some alternatives as I went.,2215905,Completed,First,12h,"February 08, 2016",,,,,,,
188,21702,Calyampudi,PC,12h,NR,,3418965,Completed,First,12h,"September 08, 2016",,,,,,,
189,21702,Cromby,PC,12h,NR,,2902486,Completed,First,12h,"December 30, 2016",,,,,,,
190,21702,Cyphycus,PC,12h,NR,,4241367,Replay Completed,Replay,12h,"July 10, 2017",13h,15h,,25h /,,,
191,21702,DarkSydeKid,PlayStation 4,12h,NR,,6283268,Completed,First,12h,,14h,15h,,,,,
192,21702,Dispator,PlayStation 4,12h,NR,,8445117,Completed,First,12h,"February 16, 2019",13h,15h,,,,,
193,21702,GTBAtom,PC,12h,NR,,6476380,Completed,First,12h,"October 26, 2015",,,,,,,
194,21702,Gidner,PC,12h,90%,,7191452,Completed,First,12h,"June 26, 2017",,,,,,,
195,21702,Greyma,PC,12h,50%,,11609343,Completed,First,12h,"May 26, 2018",,,,,,,
196,21702,Gzhavve,PC,12h,NR,,4155316,Completed,First,12h,"March 07, 2017",,,,,,,
197,21702,HeroicArmads,PlayStation 4,12h,NR,,4555557,Completed,First,12h,"June 11, 2017",12h 30m,12h 31m,,,,,
198,21702,Hypatia,PC,12h,90%,,11190508,Completed,First,12h,"December 29, 2016",,,,,,,
199,21702,InfernapeGamers,PC,12h,NR,,5506944,Completed,First,12h,"December 23, 2017",,,,,,,
200,21702,Irishboy05,PC,12h,NR,,8381659,Replay Completed,First,12h,,,,,,,,
201,21702,Jefferado,PC,12h,80%,,9136488,Completed,First,12h,"July 11, 2019",,,,,,,
202,21702,Kaze_,PC,12h,90%,,4743149,Completed,First,12h,"July 12, 2017",,,,,,,
203,21702,Keeper4560,PC,12h,NR,,8766341,Completed,First,12h,"May 13, 2019",,,,,,,
204,21702,King_K,Xbox One,12h,80%,,7263517,Completed,First,12h,"January 07, 2018",15h,16h,,,,,
205,21702,Kynois77,PC,12h,NR,,11879347,Completed,First,12h,"May 31, 2020",,,,,,,
206,21702,Private,PC,12h,50%,,5348938,Completed,First,12h,,,,,,,,
207,21702,Le_Don,PC,12h,80%,,10863999,Completed,First,12h,"October 23, 2015",,,,,,,
208,21702,Leimi,PC,12h,NR,,3192306,Completed,First,12h,"July 08, 2016",,,,,,,
209,21702,Mumblep,PC,12h,80%,,5761889,Completed,First,12h,"February 01, 2018",,,,,,,
210,21702,Myako,PC,12h,NR,,5473299,Completed,First,12h,,19h,,,,,,
211,21702,NARCSHARK,PC,12h,NR,,7969594,Completed,First,12h,"August 07, 2016",,,,,,,
212,21702,Private,PC,12h,NR,,8652671,Completed,First,12h,"November 10, 2018",,,,,,,
213,21702,Neothetic,PC,12h,NR,,10931317,Completed,First,12h,"December 24, 2016",,,,,,,
214,21702,NikDude,PC,12h,100%,,4615587,Completed,Replay,12h,"June 27, 2017",,26h,,,,,
215,21702,OrfeusCZ,PlayStation 4,12h,NR,,3819974,Completed,First,12h,"December 28, 2016",,,,,,,
216,21702,PajamaLlama,PC,12h,NR,,10646780,Completed,First,12h,"March 14, 2016",,,,,,,
217,21702,PerverseImp,PC,12h,NR,,3445625,Completed,First,12h,"January 05, 2016",,,,,,,
218,21702,Private,PC,12h,NR,,3921988,Completed,First,12h,"January 15, 2017",,,,,,,
219,21702,Qyrie,PC,12h,NR,,6472165,Completed,First,12h,,13h,14h,,,,,
220,21702,Rarokko,PlayStation 4,12h,80%,,2062355,Completed,First,12h,"November 08, 2015",,,,,,,
221,21702,Seaboy,PlayStation 4,12h,80%,,5364679,Completed,First,12h,"November 22, 2017",15h,16h,,,,,
222,21702,Private,Xbox One,12h,NR,,10641015,Completed,First,12h,2019,,,,,,,
223,21702,SmoothJazz92,PC,12h,NR,,6911986,Completed,First,12h,"August 24, 2018",,,,,,,
224,21702,Spazzery,PC,12h,NR,,10627003,Completed,First,12h,"October 23, 2019",,,,,,,
225,21702,SuperMatt,PC,12h,90%,,4085520,Completed,First,12h,,,,,,,,
226,21702,ThatCristianGuy,PC,12h,40%,,6917380,Completed,First,12h,,,,,,,,
227,21702,Tomatrox,PC,12h,90%,,4469252,Completed,First,12h,,,,,,,,
228,21702,Tonyx,PlayStation 4,12h,90%,Platinum,4547059,Completed,First,12h,"September 22, 2017",,14h,"Episode 1: 2:30
Episode 2: 1:55
Episode 3: 2:30
Episode 4: 2:35
Episode 5: 2:20
Used a guide for the achievements",,,,
229,21702,Wank8734,PC,12h,NR,,2148105,Completed,First,12h,"December 30, 2015",,,,,,,
230,21702,Xor_van_Dorf,PC,12h,NR,,3581758,Completed,First,12h,"November 01, 2016",,,,,,,
231,21702,Private,PlayStation 4,12h,70%,,5819073,Custom List Completed,First,12h,,14h,15h,,15h /,,,
232,21702,abdrs,Xbox One,12h,NR,,3633637,Completed,First,12h,"November 16, 2016",,,,,,,
233,21702,adrian4370,PlayStation 4,12h,100%,,2584985,Completed,First,12h,"February 12, 2016",14h,,,,,,
234,21702,alvaraa76,PC,12h,NR,,3285084,Completed,First,12h,"August 03, 2016",,,,,,,
235,21702,Private,PC,12h,NR,,2193590,Completed,First,12h,"October 25, 2015",,,,,,,
236,21702,axelkm,PC,12h,NR,,9464927,Completed,First,12h,"August 27, 2019",,,,,,,
237,21702,cashsun,PlayStation 4,12h,70%,,4347050,Completed,First,12h,"April 23, 2017",,,,,,,
238,21702,Private,PC,12h,NR,,3889448,Completed,First,12h,"January 08, 2017",,,,,,,
239,21702,cottboi,PC,12h,80%,,5031659,Completed,First,12h,,,,,,,,
240,21702,Private,PC,12h,NR,,11379282,Completed,First,12h,"July 29, 2016",,,,,,,
241,21702,dozensnake,PC,12h,NR,,10817500,Completed,First,12h,"June 22, 2015",,,,,,,
242,21702,enagurney,PlayStation 4,12h,NR,Very few optional photos and what not,8622932,Completed,First,12h,"April 23, 2019",,,,,,,
243,21702,ensingm2,PC,12h,NR,,1894301,Completed,First,12h,,,13h 29m,,,,,
244,21702,flyagin,PC,12h,90%,,10885134,Completed,Replay,12h,"July 29, 2018",,,,,,,
245,21702,gilchrd,PC,12h,NR,,2781359,Completed,First,12h,"March 27, 2016",,,,,,,
246,21702,hahe71,PC,12h,NR,,3738773,Completed,First,12h,,,,,,,,
247,21702,hankthejunk,PC,12h,100%,,3040745,Completed,First,12h,,,,,,,,
248,21702,hitsugaya987,PC,12h,NR,,7157529,Completed,First,12h,"October 01, 2018",,,,,,,
249,21702,hoksu,PC,12h,80%,,3859164,Completed,First,12h,"January 03, 2017",,,,,,,
250,21702,izZzi,PC,12h,90%,,6446101,Completed,First,12h,"June 21, 2018",,14h 45m,,,,,
251,21702,jayAEY,PlayStation 4,12h,NR,,9343490,Completed,First,12h,"August 09, 2019",,,,,,,
252,21702,jeremy70583,PlayStation 4,12h,90%,,6944148,Completed,First,12h,"October 08, 2018",,,,,,,
253,21702,kentoshin,PC,12h,90%,,11790808,Completed,First,12h,June 2019,,,,,,,
254,21702,Private,PC,12h,60%,,7107967,Completed,First,12h,"September 23, 2018",,,,,,,
