,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Personal Notes,Main+Extras,Completionist,Progress,Co-Op
44,43056,Crothyk,PC,25h,80%,,11904478,Completed,First,"June 13, 2020",25h,,,,,
45,43056,DeeeFoo,PC,25h,NR,,8673032,Completed,First,"April 25, 2019",25h,,,,,
46,43056,Uncle_Kaz,PC,25h,NR,,6941271,Completed,First,"August 22, 2018",25h,,80h,,,
47,43056,bug,PlayStation 4,25h,NR,,10662976,Completed,First,"December 26, 2019",25h,,,,,
48,43056,kariyanine,Xbox One,25h,80%,,11361367,Completed,First,"April 04, 2020",25h,,,,,
49,43056,ripforever,PlayStation 4,25h,NR,,11534157,Completed,First,,25h,,,,,
50,43056,sackboy97,PC,25h,90%,,8125166,Completed,First,March 2019,25h,,,,,
51,43056,sturdyserpent,PlayStation 4,25h,80%,,7395304,Completed,First,,25h,,,,,
52,43056,waffledinox,PlayStation 4,25h,90%,,11319118,Completed,First,"January 01, 2020",25h,,30h,,,
53,43056,XDDX,PC,25h 11m,NR,Normal Difficulty,6965036,Completed,First,"September 01, 2018",25h 11m,,,,,
54,43056,Private,PlayStation 4,25h 33m,NR,,10756795,Completed,First,"January 13, 2020",25h 33m 41s,"Main Story Completed, Normal Difficulty, 11.5% Completion, (Approx 25:33:41, 05/01/2020 - 13/01/2020)",,,,
55,43056,,PlayStation 4,25h 35m,NR,,5254854,Completed,First,,25h 35m,,,,,
56,43056,Jo201_444,PlayStation 4,25h 41m,100%,,7042147,Completed,First,"September 18, 2018",25h 41m,,,,,
57,43056,civoreb,PlayStation 4,25h 50m,90%,,9679415,Completed,First,"September 18, 2019",25h 50m,Majima is the goat! Exceptional crime drama!,,,,
58,43056,TeenJackBauer,PC,25h 54m,NR,"Normal difficulty, 415G",11087137,Completed,First,"April 05, 2020",25h 54m,,,,,
59,43056,TheRudiger,PlayStation 4,25h 56m,NR,,10667124,Completed,First,"December 27, 2019",25h 56m,,,,,
60,43056,modaren,PlayStation 4,25h 58m,NR,17.91%,4216018,Completed,First,"March 22, 2017",25h 58m,,,,,
61,43056,,PlayStation 4,26h,NR,,6299746,Completed,First,,26h,,,204h,,
62,43056,,PlayStation 4,26h,NR,,11035263,Completed,First,,26h,,29h 55m,,,
63,43056,Private,PC,26h,NR,,8338363,Completed,First,"February 23, 2019",26h,,30h,,,
64,43056,DanielMeier,PlayStation 4,26h,NR,,6083892,Completed,First,"January 30, 2017",26h,,,,,
65,43056,HollywoodKills,PlayStation 4,26h,90%,,11431713,Completed,First,"June 08, 2019",26h,,,,,
66,43056,Private,PC,26h,NR,,11615583,Completed,First,"May 01, 2020",26h,,,,,
67,43056,mboyd23,PlayStation 4,26h,100%,,9342116,Completed,First,,26h,,,,,
68,43056,Gerds88,PlayStation 4,26h 03m,90%,,7599610,Completed,First,"December 02, 2018",26h 03m,,,,,
69,43056,TempeteJoachim,PC,26h 07m,NR,,9591519,Completed,First,"September 12, 2019",26h 07m,,,,,
70,43056,TheAutisticGamer,PlayStation 4,26h 17m,100%,Main Story Done. A bit of Real Estate and Sub Stories. Easy Mode.,9343793,Completed,First,"December 12, 2019",26h 17m 30s,,,,,
71,43056,cesador,PlayStation 4,26h 23m,NR,,8710428,Completed,First,"May 03, 2019",26h 23m,,,,,
72,43056,Tolga7292,PlayStation 4,26h 26m,NR,,7075581,Completed,First,"September 25, 2018",26h 26m,,,,,
73,43056,Duckhorse,PC,26h 28m,100%,,10548820,Completed,First,"December 06, 2019",26h 28m,,,,,
74,43056,Private,PlayStation 4,26h 30m,NR,,4706226,Completed,First,"August 14, 2018",26h 30m,,,,,
75,43056,rubedomx,PlayStation 4,26h 30m,NR,,6232710,Completed,First,"May 11, 2018",26h 30m 30s,,30h 05m 45s,,,
76,43056,Neo1771991,PlayStation 4,26h 33m,NR,,4686895,Completed,First,"August 16, 2017",26h 33m,,,,,
77,43056,Kronikolizon,PlayStation 4,26h 43m,100%,,6404185,Completed,First,"July 03, 2018",26h 43m,,,,,
78,43056,,PlayStation 4,26h 44m,NR,,4350215,Completed,First,,26h 44m,,,,,
79,43056,GodotIV,PlayStation 4,27h,80%,,10722840,Completed,First,"January 01, 2020",27h,,,,,
80,43056,LdSe,PlayStation 4,27h,NR,,4288218,Completed,First,"April 09, 2017",27h,,,,,
81,43056,Private,PC,27h,90%,,7793497,Completed,First,"January 31, 2019",27h,,,,,
82,43056,uvehj,PC,27h,NR,,8696111,Completed,First,"May 01, 2019",27h,,,,,
83,43056,yukinowins,PlayStation 4,27h,NR,,10960458,Completed,First,"February 08, 2020",27h,,,,,
84,43056,Jmf0428,PlayStation 4,27h 02m,NR,,10963666,Completed,First,"February 09, 2020",27h 02m,,,,,
85,43056,OzanPala,PlayStation 4,27h 04m,NR,,10351366,Completed,First,"November 03, 2019",27h 04m,,,,,
86,43056,trtr654,PC,27h 22m,NR,,11287168,Completed,First,,27h 22m,,,,,
87,43056,SaturatedSalt,PC,27h 42m,70%,,11553418,Completed,First,"April 23, 2020",27h 42m,,,,,
88,43056,,PC,27h 42m,NR,,8178239,Completed,First,,27h 42m 23s,,,,,
89,43056,Zapkaos,PlayStation 4,27h 43m,100%,,5033176,Completed,First,"September 03, 2018",27h 43m,,,,,
90,43056,Caspel,Xbox One,27h 53m,90%,,11925485,Completed,First,"June 07, 2020",27h 53m,,,,,
91,43056,Frenchfury_,PlayStation 4,28h,NR,,7112296,Completed,First,"September 25, 2018",28h,,,,,
92,43056,Moko,PC,28h,NR,Did some side quests here and there,11567115,Completed,First,"April 08, 2020",28h,Still wanna 100%,,,,
93,43056,Starfox487,PlayStation 4,28h,90%,,10304666,Completed,First,"October 26, 2019",28h,,,,,
94,43056,ThatCristianGuy,PlayStation 4,28h,100%,,6917250,Completed,First,"August 25, 2018",28h,,,,,
95,43056,cyalins,PC,28h,NR,,8256309,Completed,First,"February 07, 2019",28h,,,,,
96,43056,sharingan846,PC,28h,NR,,11637969,Completed,First,"May 25, 2020",28h,,,,,
97,43056,,PC,28h 15m,NR,,8066995,Completed,First,,28h 15m,,,,,
98,43056,PapaStalin,PC,28h 24m,100%,,6684401,Completed,First,"May 05, 2020",28h 24m,,,,,
99,43056,xScaryKidx,PlayStation 4,28h 31m,NR,,11219799,Completed,First,"March 22, 2020",28h 31m,,,,,
100,43056,Chopa,PC,28h 33m,80%,,9357156,Completed,First,"August 12, 2019",28h 33m,,,,,
101,43056,liorfigman,PlayStation 4,28h 33m,90%,,5730812,Completed,First,"January 24, 2018",28h 33m,,,,,
102,43056,PXSausage,PlayStation 4,28h 37m,90%,16.04% Completion,8028159,Completed,First,"January 12, 2019",28h 37m,,,,,
103,43056,IssaB9400,PlayStation 4,28h 41m,100%,,8593639,Completed,First,"June 01, 2019",28h 41m 10s,,,,,
104,43056,covert_elephant,PC,28h 48m,NR,,6825507,Completed,First,"August 13, 2018",28h 48m,,,,,
105,43056,Humbby,PC,29h,NR,,11783828,Completed,First,"May 19, 2020",29h,,,,,
106,43056,jro3000,PlayStation 4,29h,NR,,6290535,Completed,First,"May 23, 2018",29h,,,,,
107,43056,Private,PlayStation 4,29h,100%,,7245036,Completed,First,"March 03, 2017",29h,,60h 30m,,,
108,43056,furai,PC,29h 06m,NR,,11801290,Completed,First,"May 20, 2020",29h 06m,,,,,
109,43056,bmartinko,PlayStation 4,29h 09m,100%,,11240745,Completed,First,"April 05, 2020",29h 09m,,,,,
110,43056,turkanen,PlayStation 4,29h 26m,NR,platinum,5633405,Completed,First,"January 10, 2018",29h 26m,,,135h 20m,,
111,43056,,PlayStation 4,29h 30m,NR,,4176888,Completed,First,,29h 30m,,,,,
112,43056,,PlayStation 4,29h 30m,NR,,4967149,Completed,First,,29h 30m,,,,,
113,43056,Danno_101,PC,29h 30m,NR,,11491008,Completed,First,"February 08, 2020",29h 30m,,,,,
114,43056,sunspear16,PlayStation 4,29h 30m,NR,,10424360,Completed,First,"May 28, 2020",29h 30m,,,,,
115,43056,benance,PC,29h 32m,NR,,8859137,Completed,First,"May 28, 2019",29h 32m,,,,,
116,43056,Cancakes,PC,29h 37m,80%,,11514099,Completed,First,"April 21, 2020",29h 37m,,,,,
117,43056,mauhlin12,PlayStation 4,29h 41m,80%,15%,5713109,Completed,First,"January 23, 2018",29h 41m,,,,,
118,43056,mr_grimm,PlayStation 4,29h 48m,NR,,4971836,Completed,First,"August 27, 2017",29h 48m 10s,,,,,
119,43056,justehcanadian,PlayStation 4,29h 55m,80%,14.7% completed,4539545,Completed,First,"June 06, 2017",29h 55m,,,,,
120,43056,,PlayStation 4,30h,NR,,3950840,Completed,First,,30h,,,,,
121,43056,,PlayStation 4,30h,NR,,4202248,Completed,First,,30h,,70h,,,
122,43056,,PlayStation 4,30h,NR,,4681722,Completed,First,,30h,,,,,
123,43056,,PC,30h,NR,,8576518,Completed,First,,30h,,,,,
124,43056,,PC,30h,NR,,9662021,Completed,First,,30h,,71h,,,
125,43056,,PlayStation 4,30h,NR,,10415728,Completed,First,,30h,,80h,,,
126,43056,,Xbox One,30h,NR,,11970640,Completed,First,,30h,,,,,
127,43056,,PC,30h,NR,,12015366,Completed,Replay,,30h,,,,,
128,43056,AngryCherry,PlayStation 4,30h,90%,,9522483,Completed,First,"March 19, 2020",30h,,,,,
129,43056,Cohero,PC,30h,NR,,7759828,Completed,First,"October 07, 2018",30h,,40h,,,
130,43056,Private,PlayStation 4,30h,NR,,5842122,Completed,First,"February 15, 2018",30h,,,,,
131,43056,Desparion,PlayStation 4,30h,100%,,4253103,Completed,First,"March 18, 2017",30h,,90h,120h,,
132,43056,Dragonw89,PlayStation 4,30h,90%,,6295222,Completed,First,"October 26, 2018",30h,,70h,,,
133,43056,DreamEaglr,PlayStation 4,30h,NR,,7236639,Completed,First,"October 13, 2018",30h,,50h,80h,,
134,43056,Empyrea,PlayStation 4,30h,70%,,9313400,Completed,First,"August 03, 2019",30h,,,,,
135,43056,GamersHeroes,PlayStation 4,30h,90%,,3965190,Completed,First,"January 17, 2017",30h,,90h,,,
136,43056,Manguu,PC,30h,100%,,9194980,Completed,First,,30h,,60h,120h,,
137,43056,MeanMrMustard94,PlayStation 4,30h,90%,,4005530,Completed,First,"February 02, 2017",30h,,35h 20m,,,
138,43056,WavyFuego,PlayStation 4,30h,100%,,11769090,Completed,First,"May 17, 2020",30h,,,,,
139,43056,allanschnorr,PC,30h,80%,,6920132,Completed,First,"October 09, 2018",30h,,,,,
140,43056,bromaphobic,PlayStation 4,30h,90%,,11787594,Completed,First,"May 16, 2020",30h,,,,,
141,43056,byronsakic,PlayStation 4,30h,100%,,5858641,Completed,First,"March 13, 2018",30h,,55h,,,
142,43056,danixdcj,PlayStation 4,30h,NR,,10421466,Completed,First,"November 13, 2019",30h,,55h,,,
143,43056,izZzi,PlayStation 4,30h,90%,,6446093,Completed,First,"June 21, 2018",30h,,,,,
144,43056,Private,PC,30h,80%,,7945174,Completed,First,"January 12, 2019",30h,,,,,
145,43056,kelvingoh89,PlayStation 4,30h,NR,,6447623,Completed,First,"January 25, 2018",30h,,,,,
146,43056,luddydrag,PC,30h,NR,,8266670,Completed,First,"November 30, 2018",30h,,,,,
147,43056,lukas525252,PC,30h,NR,,8194574,Playing Completed,First,,30h,,57h,,57h /,
148,43056,Private,PlayStation 4,30h,NR,,6888907,Completed,First,"August 21, 2018",30h,,,,,
149,43056,mrbaggs,PlayStation 4,30h,NR,,6177168,Completed,First,"June 01, 2018",30h,,32h,,,
150,43056,Mr_Robot,PlayStation 4,30h 02m,NR,Replay on LEGEND mode,7342104,Completed,Replay,"November 02, 2018",30h 02m,LEGEND Difficulty,,,,
151,43056,Private,Xbox One,30h 02m,90%,,10733964,Completed,First,"April 22, 2020",30h 02m,,,,,
152,43056,,PlayStation 4,30h 06m,NR,,11453027,Completed,First,,30h 06m,,,,,
153,43056,beearmy,PlayStation 4,30h 06m,70%,,9581421,Completed,First,"September 11, 2019",30h 06m,,,,,
154,43056,,PlayStation 4,30h 10m,NR,,10475168,Completed,First,,30h 10m,,,,,
155,43056,RetroVega,PC,30h 10m,NR,,8356896,Completed,First,"February 25, 2019",30h 10m,,,,,
156,43056,,PC,30h 10m,NR,,7984425,Completed,First,,30h 10m 20s,,,,,
157,43056,Anthlon,PC,30h 11m,NR,,8882880,Completed,First,"November 25, 2019",30h 11m,,,,,
158,43056,,PC,30h 12m,NR,,10632339,Completed,First,,30h 12m,,,,,
159,43056,jeal,PlayStation 4,30h 12m,NR,,5581937,Completed,First,"January 17, 2018",30h 12m,,,,,
160,43056,killshia,PC,30h 15m,NR,,6839193,Completed,First,"August 14, 2018",30h 15m,,75h 15m,,,
161,43056,,PC,30h 17m,NR,,8538409,Completed,First,,30h 17m 30s,,38h 17m 14s,,,
162,43056,,PlayStation 4,30h 31m,NR,,6089808,Completed,First,,30h 31m,,,,,
163,43056,johns3421,PC,30h 39m,80%,,11557620,Completed,First,"March 22, 2020",30h 39m,,,,,
164,43056,,PlayStation 4,30h 40m,NR,,8621366,Completed,First,,30h 40m,,,,,
165,43056,sano1221,PlayStation 4,30h 44m,NR,Normal,5044073,Completed,First,"September 12, 2017",30h 44m,,,,,
166,43056,500kevc,PlayStation 4,30h 59m,90%,,7515153,Custom List 3 Completed,First,"August 28, 2018",30h 59m,,,,,
167,43056,,PC,31h,NR,,8471962,Completed,First,,31h,,,,,
168,43056,,PC,31h,NR,,11640294,Completed,First,,31h,,,,,
169,43056,Dingoo,PC,31h,NR,,10422186,Completed,First,"November 13, 2019",31h,,,,,
170,43056,Hunterofshadows,PC,31h,NR,,11643712,Completed,First,"May 03, 2020",31h,,,,,
171,43056,Jjzwak,Xbox One,31h,80%,,11378120,Completed,First,"June 10, 2020",31h,,,,,
172,43056,MrRyab,PC,31h,NR,,8354745,Completed,First,"August 08, 2018",31h,,,,,
173,43056,Rakay,PlayStation 4,31h,90%,,5988388,Completed,First,"March 14, 2018",31h,,,,,
174,43056,WesleyCheong,PlayStation 4,31h,NR,,9064519,Completed,First,,31h,,,,,
175,43056,aoki2,PC,31h,70%,,7741291,Completed,First,"May 04, 2019",31h,,,,,
176,43056,gamblor88,PlayStation 4,31h,90%,,4443049,Completed,First,"May 17, 2017",31h,,,,,
177,43056,kikiokyo,PlayStation 4,31h,NR,,8731939,Completed,First,,31h,,65h,,,
178,43056,milksword,PlayStation 4,31h,90%,,9124652,Completed,First,March 2019,31h,,,,,
179,43056,Private,PlayStation 4,31h,NR,,10951475,Completed,First,,31h,,,,,
180,43056,Private,PC,31h,NR,,9037553,Completed,First,"February 28, 2019",31h,,,,,
181,43056,toelgamer,PC,31h,NR,,10362689,Completed,First,"July 30, 2019",31h,,,,,
182,43056,Zomoniac,PlayStation 4,31h 10m,90%,,7264564,Playing Completed,First,"June 09, 2020",31h 10m,,,,,
183,43056,slickn4,PlayStation 4,31h 13m,80%,"in game clock (16.84% completion, normal difficulty)",5223342,Completed,First,"October 28, 2017",31h 13m,,,,,
184,43056,Odma,PC,31h 22m,80%,,11097032,Completed,First,"April 07, 2020",31h 22m,,,,,
185,43056,Private,PlayStation 4,31h 23m,NR,Some substories,4044862,Completed,First,"February 10, 2017",31h 23m 12s,,,,,
186,43056,,PlayStation 4,31h 30m,NR,,11722493,Completed,First,,31h 30m,,,,,
187,43056,OzanYabuki,PlayStation 4,31h 35m,NR,,11789974,Completed,First,"May 20, 2020",31h 35m,,50h 21m,,,
188,43056,dotachin,PlayStation 4,31h 41m,NR,,4052534,Completed,First,"February 11, 2017",31h 41m,,,,,
189,43056,JamieJohn,PlayStation 4,31h 55m,NR,,6669635,Completed,First,"July 26, 2018",31h 55m,,,,,
190,43056,,PlayStation 4,32h,NR,,6603874,Completed,First,,32h,,,,,
191,43056,,PlayStation 4,32h,NR,,7007034,Completed,First,,32h,,,,,
192,43056,CoratosInfused,PlayStation 4,32h,NR,,9062864,Completed,First,"July 01, 2019",32h,,,,,
193,43056,Scubs,PlayStation 4,32h,NR,,6958435,Completed,First,"June 01, 2017",32h,,,,,
194,43056,aeromentality,PlayStation 4,32h,70%,,7243850,Completed,First,"May 13, 2018",32h,,,,,
195,43056,dermitderbrille,PlayStation 4,32h,NR,,10572154,Completed,First,"December 10, 2019",32h,,,,,
196,43056,Private,PlayStation 4,32h,90%,,10560705,Completed,First,,32h,,,,,
197,43056,mikkachu,PlayStation 4,32h,80%,,7111314,Completed,First,"September 24, 2018",32h,,,,,
198,43056,ys45,PlayStation 4,32h,NR,,6931454,Completed,First,"August 27, 2018",32h,,,,,
199,43056,eefara,PlayStation 4,32h 15m,NR,,7785058,Completed,First,"December 19, 2018",32h 15m,,,,,
200,43056,mrbibo1,PC,32h 20m,NR,,7414523,Completed,First,"November 10, 2018",32h 20m,,,,,
201,43056,GymePoggle,PlayStation 4,32h 30m,NR,,6929738,Completed,First,"August 27, 2018",32h 30m,,65h 25m,120h 15m,,
202,43056,bigvilo,Xbox One,32h 32m,NR,"Easy mode, 18.18% completion",11303008,Completed,First,"March 31, 2020",32h 32m,,,,,
203,43056,Darthaegis,PC,32h 40m,90%,,8109562,Completed,First,"January 23, 2019",32h 40m,,,,,
204,43056,,PC,32h 41m,NR,,11884582,Completed,First,,32h 41m 09s,,,,,
205,43056,janther,PlayStation 4,32h 44m,80%,,3977008,Completed,First,"February 12, 2017",32h 44m,,,,,
206,43056,Wai_803,PlayStation 4,32h 48m,70%,,7269321,Completed,First,"June 25, 2015",32h 48m 20s,,,,,
207,43056,Critter2003,PlayStation 4,32h 49m,NR,Normal difficulty,4293462,Completed,First,"April 07, 2017",32h 49m,,,,,
208,43056,mjricco,PlayStation 4,32h 51m,90%,,5093563,Backlog Completed,First,"November 27, 2017",32h 51m,,,,,
209,43056,bergzerker,PlayStation 4,32h 53m,NR,,6195147,Completed,First,"June 12, 2018",32h 53m,,,,,
210,43056,Atomicman456,PC,33h,NR,,10496591,Completed,First,"November 27, 2019",33h,,,,,
211,43056,Leanest,PC,33h,80%,,10374820,Completed,First,"November 07, 2018",33h,,49h,,,
212,43056,Saphazir,PlayStation 4,33h,NR,,6359685,Completed,First,"June 18, 2018",33h,,,,,
213,43056,doom900,PC,33h,NR,,6670216,Completed,First,"July 21, 2019",33h,,,,,
214,43056,fnex101,PlayStation 4,33h,NR,,4289793,Completed,First,"April 09, 2017",33h,,,,,
215,43056,soulfluff,PC,33h,NR,,11859953,Completed,First,"July 09, 2019",33h,,,,,
216,43056,Private,PlayStation 4,33h 22m,NR,"Main Story Completed, Not Every Side Quest Completed!",10416578,Completed,First,"November 12, 2019",33h 22m,,,,,
217,43056,escaperoutebritish,PlayStation 4,33h 42m,80%,Main story and side-quests if presented with them,4145649,Completed,First,"March 05, 2017",33h 42m 34s,Playlist: https://www.youtube.com/playlist?list=PLMC3CvyS6AOzN8BZZIkeBGPpyGA03sYDr,,,,
218,43056,Caretoffel,PC,33h 47m,NR,23.26% Completion,7231114,Completed,First,"October 12, 2018",33h 47m,,,,,
219,43056,Private,PlayStation 4,33h 49m,90%,,10159715,Completed,First,"September 29, 2019",33h 49m,,,,,
220,43056,Miisogi,PC,33h 59m,NR,,10423855,Completed,First,"November 14, 2019",33h 59m,,,,,
221,43056,CandyStrike,PC,34h,70%,,11589433,Completed,First,"May 16, 2020",34h,,,,,
222,43056,DougieFFC,PC,34h,90%,,11455805,Completed,First,"April 15, 2020",34h,,,,,
223,43056,Nokeyo,PlayStation 4,34h,90%,,8366427,Completed,First,"February 23, 2019",34h,,,,,
224,43056,,PlayStation 4,34h 09m,NR,,11509425,Completed,First,,34h 09m,,,,,
225,43056,kstress71,PlayStation 4,34h 09m,NR,,9314732,Completed,First,,34h 09m,,,,,
226,43056,cjwong01,PC,34h 10m,100%,,6790536,Completed,First,"August 08, 2018",34h 10m,,,,,
227,43056,gutssword,PlayStation 4,34h 15m,NR,,11908348,Completed,First,"July 23, 2019",34h 15m,,,,,
228,43056,ViPeZz,PC,34h 22m,100%,,8481661,Backlog Custom List Completed,First,"March 29, 2019",34h 22m,Completed the main story I plan on returning to complete all sub stories in the future but I need a rest from reading lol,,,34h 22m /,
229,43056,Ciclon,PC,34h 34m,80%,,10985985,Completed,First,"May 11, 2020",34h 34m,,,,,
230,43056,karuko,PC,34h 52m,NR,,11424880,Completed,First,"April 12, 2020",34h 52m,,,,,
231,43056,,PC,35h,NR,,7967164,Completed,First,,35h,,,,,
232,43056,,PlayStation 4,35h,NR,,11934318,Completed,First,,35h,,55h,,,
233,43056,EmAyAreKay,PlayStation 4,35h,NR,,6054492,Playing Completed,First,,35h,,75h,,,
234,43056,Simpanssi76,PlayStation 4,35h,100%,,10800432,Completed,First,"October 05, 2018",35h,,80h,160h,,
235,43056,YellowTotor,PlayStation 4,35h,NR,,8807967,Completed,First,"May 16, 2019",35h,,,,,
236,43056,Zhols,Xbox One,35h,NR,,11713578,Completed,First,"May 11, 2020",35h,,,,,
237,43056,eXeViuS,PlayStation 4,35h,90%,,6177217,Completed,First,"May 22, 2018",35h,,,,,
238,43056,eliasbakhos,PlayStation 4,35h,NR,,4962480,Completed,First,"August 25, 2017",35h,,,,,
239,43056,gamblor88,Xbox One,35h,90%,,12026240,Completed,First,"June 18, 2020",35h,,,,,
240,43056,rogges,PC,35h,NR,,11282318,Completed,First,"March 29, 2020",35h,,66h,,,
241,43056,victorprs,PC,35h,NR,,9389475,Completed,First,"August 18, 2019",35h,,,,,
242,43056,Angmar,PlayStation 4,35h 04m,90%,,9264359,Completed,First,"March 14, 2020",35h 04m,,,,,
243,43056,krv,PlayStation 4,35h 11m,100%,,11339719,Completed,First,,35h 11m,,,,,
244,43056,Madhouse,PlayStation 4,35h 24m,80%,,4752686,Completed,First,"July 15, 2017",35h 24m,,,,,
245,43056,abe200x,PlayStation 4,35h 30m,NR,,11644123,Completed,First,"May 03, 2020",35h 30m,,,,,
246,43056,nightofthecreed3,PlayStation 4,35h 57m,NR,,11055385,Completed,First,"February 26, 2020",35h 57m,,,,,
247,43056,,PlayStation 4,36h,NR,,7216035,Completed,First,,36h,,,,,
248,43056,Private,PC,36h,NR,,8255577,Completed,First,"January 26, 2019",36h,,,,,
249,43056,shenmui,PlayStation 4,36h,NR,,7850032,Completed,First,"December 28, 2018",36h,,58h,,,
250,43056,Gothicul,PlayStation 4,36h 30m,NR,,5867015,Completed,First,"February 20, 2018",36h 30m,,,,,
251,43056,MrRandyLahey,PlayStation 4,36h 42m,NR,some side quests,6076213,Completed,First,"May 22, 2018",36h 42m,,,,,
252,43056,,Xbox One,36h 43m,NR,20% completion,11955395,Completed,First,,36h 43m,,,,,
253,43056,Private,PlayStation 4,37h,NR,,3991169,Completed,First,"February 01, 2017",37h,,,,,
254,43056,Beowulf94,PlayStation 4,37h 06m,100%,,10511286,Completed,First,"February 11, 2020",37h 06m,,,,,
255,43056,Ryu_Rare,PlayStation 4,37h 25m,80%,,5518999,Completed,First,"July 08, 2018",37h 25m,,,,,
