,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Completionist,Main+Extras,Speedrun,Personal Notes,Progress,Retired Notes,Co-Op
27,57479,raytsh,PlayStation 4,4h 05m,NR,"Leon A, 13 saves",10783764,Completed,Replay,"February 03, 2019",4h 05m 06s,,,,,,,
28,57479,HattanTawili,Xbox One,4h 07m,NR,2nd Run,8272269,Replay Completed,Replay,"March 05, 2019",4h 07m,,,,,4h 07m /,,
29,57479,,PC,4h 09m,NR,,10794274,Completed,Replay,,4h 09m 50s,,,,,,,
30,57479,PXSausage,Xbox One,4h 17m,100%,Played as Claire on Standard / 1 Save / Infinite Ammo Minigun / Grade A. Deemed new master of unlocking.,9228840,Completed,Replay,"July 25, 2019",4h 17m 34s,,,,,,,
31,57479,dead_Licorne,PC,4h 23m,NR,,8220877,Completed,First,"February 07, 2019",4h 23m 36s,,,,,,,
32,57479,,PC,4h 26m,NR,,8159997,Completed,First,,4h 26m 41s,,,,,,,
33,57479,,PC,4h 26m,NR,,8160001,Completed,First,,4h 26m 41s,,,,,,,
34,57479,Nader_Hakami,PlayStation 4,4h 30m,NR,,11390349,Completed,Replay,"March 24, 2020",4h 30m,,,,,,,
35,57479,firehawk3456,PlayStation 4,4h 30m,NR,,8384334,Completed,First,"February 26, 2019",4h 30m,15h,7h 59m 50s,1h 01m,,,,
36,57479,,PC,4h 30m,NR,,8176165,Completed,Replay,,4h 30m 10s,,,,,,,
37,57479,PratesKun,PlayStation 4,4h 30m,NR,,8725652,Completed,First,"February 06, 2019",4h 30m 24s,17h 57m 48s,9h 15m 02s,,,,,
38,57479,Mikemeu,PC,4h 31m,NR,,8309109,Completed,Replay,"February 14, 2019",4h 31m 52s,,,,,,,
39,57479,,PlayStation 4,4h 32m,NR,Claire 1st run,10622650,Completed,First,,4h 32m 03s,,,,,,,
40,57479,,PlayStation 4,4h 35m,NR,,10838208,Completed,First,,4h 35m 43s,,8h 24m 15s,,,,,
41,57479,alldressedchip,PC,4h 42m,NR,Claire B - First Playthrough,11778082,Completed,Replay,,4h 42m 09s,,,,,,,
42,57479,Lothermus,PlayStation 4,4h 43m,90%,Leon 1º Jornada,8146643,Completed,First,"January 27, 2019",4h 43m 03s,,6h 17m 05s,,,,,
43,57479,ashrewsb,PlayStation 4,4h 45m,NR,"Claire A (S Rank). Includes deaths, starting over, etc. Not in-game time. Total time",8624549,Completed,Replay,"March 04, 2019",4h 45m,,,,,,,
44,57479,Valjean,PC,4h 45m,NR,Leon A Normal,6804801,Completed,First,"January 25, 2019",4h 45m 32s,,,,"Leon A, Claire B",,,
45,57479,kevisnk,PlayStation 4,4h 50m,90%,Leon A only,11393209,Playing Replay Completed,Replay,,4h 50m,,10h 48m 19s,2h 23m 41s,,10h 48m 19s /,,
46,57479,pulsewidth,PC,4h 50m,NR,Leon A. Rank A,8167084,Playing Completed,First,"January 30, 2019",4h 50m,,,,,,,
47,57479,CowboyBuckaroo,PC,4h 55m,NR,,10605019,Completed,First,"January 26, 2019",4h 55m 58s,,,,,,,
48,57479,sapphirone,PC,4h 56m,NR,,11330242,Completed,First,"April 03, 2020",4h 56m 40s,,,,,,,
49,57479,Miszelek,PC,4h 57m,NR,Claire Standard,8380643,Completed,Replay,"February 24, 2019",4h 57m 26s,,,,,,,
50,57479,,PlayStation 4,5h,NR,,8260607,Completed,First,,5h,25h,6h 15m,,,,,
51,57479,,PlayStation 4,5h,NR,,11626267,Completed,First,,5h,,,,,,,
52,57479,Barshal,PC,5h,NR,,10885121,Completed,First,"January 26, 2020",5h,,7h,,,,,
53,57479,Daigod,PC,5h,NR,,11461250,Completed,Replay,"April 16, 2020",5h,,,,,,,
54,57479,cottboi,PlayStation 4,5h,NR,,11607274,Completed,Replay,,5h,,,,,,,
55,57479,purpleurchin,PC,5h,NR,Four runs on standard + fourth survivor + tofu survivor,8309195,Completed,First,"February 13, 2019",5h,,20h,,,,,
56,57479,Tash92,PlayStation 4,5h,NR,,8180544,Completed,Replay,"January 29, 2019",5h 35s,,,,,,,
57,57479,cellslayer78,Xbox One,5h 04m,90%,,8132218,Completed,First,"January 26, 2019",5h 04m,,,,Leon’s Story Route A Playthrough,,,
58,57479,WesTo,PC,5h 04m,90%,,10979025,Completed,First,"December 12, 2019",5h 04m 18s,,,,,,,
59,57479,,PC,5h 05m,NR,,8446621,Completed,First,,5h 05m 09s,,,,,,,
60,57479,hyrulianlane,PlayStation 4,5h 06m,NR,,11391834,Completed,First,"May 07, 2020",5h 06m 40s,,,,claire b scenario,,,
61,57479,Mikemeu,PC,5h 06m,NR,,8309107,Completed,First,"February 14, 2019",5h 06m 54s,,,,,,,
62,57479,slickochet,PC,5h 07m,NR,Leon B. Hardcore. Cheats used.,10825287,Completed,Replay,"January 17, 2020",5h 07m 10s,,,,,,,
63,57479,jazzyjazz,PlayStation 4,5h 08m,NR,Leon A - hardcore - saves: 24,10722123,Replay Completed,Replay,"January 01, 2020",5h 08m 22s,,,,,5h 08m 22s /,,
64,57479,,PC,5h 08m,NR,,8221911,Completed,First,,5h 08m 28s,,,,,,,
65,57479,Lewdmajesco,PC,5h 10m,NR,"Leon B, rank B, standard difficulty, 4:03 completion",8119267,Completed,First,"January 25, 2019",5h 10m,,9h 13m,,,,,
66,57479,Private,PC,5h 10m,NR,Claire A - Standard - 24 Saves - Rank B - All Weapons/Upgrades,10418817,Completed,Replay,"November 12, 2019",5h 10m 52s,,,,This is my second playthrough after doing Leon A. Went through everything much quicker and generally smoother.,,,
67,57479,theplump,PlayStation 4,5h 13m,80%,Claire A,11432424,Completed,First,"April 24, 2020",5h 13m,,,,,,,
68,57479,BestSinceDayO134,PlayStation 4,5h 15m,90%,,10843601,Completed,First,"January 19, 2020",5h 15m 10s,,,,,,,
69,57479,Merclow,PC,5h 16m,100%,"Leon B, standard difficulty",11381362,Completed,Replay,"April 08, 2020",5h 16m,,,,,,,
70,57479,,PlayStation 4,5h 17m,NR,,8140208,Completed,First,,5h 17m 03s,,,,,,,
71,57479,BrickTrain,PC,5h 18m,80%,,8123330,Completed,First,"February 01, 2019",5h 18m,,,,,,,
72,57479,Private,PC,5h 19m,80%,,8213629,Completed,First,"March 02, 2019",5h 19m 17s,,,,,,,
73,57479,The_Leachman,PlayStation 4,5h 20m,NR,,8252918,Replay Completed,Replay,"February 12, 2019",5h 20m,,,,,,,
74,57479,Threads,PlayStation 4,5h 23m,NR,Claire A - Standard Difficulty,10727895,Completed,Replay,"January 02, 2020",5h 23m 37s,,,,,,,
75,57479,,PlayStation 4,5h 25m,NR,,8421910,Completed,Replay,,5h 25m,,,,,,,
76,57479,martin,PC,5h 25m,NR,,11097054,Completed,First,"March 03, 2020",5h 25m 14s,,,,,,,
77,57479,Kao_TFA,PlayStation 4,5h 25m,100%,,8542599,Completed,Replay,"February 23, 2019",5h 25m 36s,40h 49m 39s,,,,,,
78,57479,RevengerGuy,PC,5h 27m,NR,,8214914,Completed,First,"January 06, 2019",5h 27m,,,,,,,
79,57479,dOEb,PC,5h 27m,NR,"Leon A, Standard, Rank B",8221399,Completed,First,"February 07, 2019",5h 27m 26s,,,,,,,
80,57479,,PC,5h 27m,NR,,8187870,Completed,First,,5h 27m 49s,,,,,,,
81,57479,Aryion1,PC,5h 27m,NR,,8401586,Completed,First,"March 04, 2019",5h 27m 57s,,,,,,,
82,57479,Tash92,PlayStation 4,5h 28m,NR,,8180542,Completed,Replay,"January 28, 2019",5h 28m 16s,,,,,,,
83,57479,chadilak,PC,5h 29m,90%,Claire A,8480072,Completed,First,"March 17, 2019",5h 29m 03s,,,,,,,
84,57479,,PlayStation 4,5h 30m,NR,,8123157,Completed,First,,5h 30m,,8h 40m,,,,,
85,57479,,PC,5h 30m,NR,,8149957,Completed,First,,5h 30m,,,,,,,
86,57479,,PC,5h 30m,NR,,8174798,Completed,First,,5h 30m,,,,,,,
87,57479,,PC,5h 30m,NR,,10634338,Completed,First,,5h 30m,,,,,,,
88,57479,variety,Xbox One,5h 30m,NR,,11313285,Completed,First,"March 31, 2020",5h 30m,,,,,,,
89,57479,,Xbox One,5h 30m,NR,,8423040,Completed,First,,5h 30m 05s,,,,,,,
90,57479,Nader_Hakami,PlayStation 4,5h 31m,NR,,8119450,Completed,First,"January 25, 2019",5h 31m 07s,,,,,,,
91,57479,,PC,5h 31m,NR,,8125272,Completed,First,,5h 31m 11s,,,,,,,
92,57479,Danny1612,PC,5h 31m,NR,,11307576,Completed,First,"March 31, 2020",5h 31m 27s,,,,,,,
93,57479,Elficzek,PlayStation 4,5h 32m,90%,,8142010,Completed,First,"January 28, 2019",5h 32m,,,,,,,
94,57479,Jlord666,PC,5h 32m,NR,Claire 2nd Run - 34 saves,8214220,Backlog Completed,First,"February 05, 2019",5h 32m 03s,,,,,,,
95,57479,,PC,5h 32m,NR,,8194915,Completed,First,,5h 32m 11s,,,,,,,
96,57479,Kraskaff,PC,5h 32m,60%,,8194608,Completed,First,"February 03, 2019",5h 32m 16s,,,,,,,
97,57479,mr_wyatt,PC,5h 32m,NR,,10521626,Completed,Replay,"November 28, 2019",5h 32m 57s,,,,,,,
98,57479,Rattlesnark,PC,5h 33m,90%,"Final completion. Completed all story runs. Ranks: S, A, B, B-HC. Records: 73/87 (8/15 The Ghost Survivors).",8141527,Completed,First,"January 28, 2019",5h 33m 02s,,39h 42m,,"'Main Story Only' time obtained from (sum of) game-end playthrough completion time.
'Main Story +' (final completion) time includes Records hunting & Extra Modes time.
Previous completion:
Main Story + Extra Quests/Unlockables: Completed Claire:A story, A rank (4:19:56). [Steam: 14h 6m]",,,
99,57479,,PC,5h 35m,NR,,8132876,Completed,First,,5h 35m 21s,,,,,,,
100,57479,MaxTheOne,PC,5h 36m,80%,,11385035,Completed,First,"April 08, 2020",5h 36m,,10h 08m,,,,,
101,57479,,PC,5h 36m,NR,I did not get stuff like magnum and various things for the most part it was just what i needed to get,8253140,Completed,First,,5h 36m 08s,,,,,,,
102,57479,Everdred,Xbox One,5h 36m,90%,Standard difficulty. In game time 4:34:45. Grade A. 47 saves.,7233233,Completed,First,"March 13, 2019",5h 36m 34s,,,,,,,
103,57479,Lanceloth,PC,5h 38m,80%,,8294100,Completed,First,"February 18, 2019",5h 38m,,,,,,,
104,57479,Lukas_CR,PlayStation 4,5h 38m,NR,,8206617,Completed,First,"February 04, 2019",5h 38m,,,1h 38m 27s,,,,
105,57479,bokuwahmz,PC,5h 39m,100%,All 4 scenarios on Standard and Hardcore,8225046,Completed,First,"February 06, 2019",5h 39m 56s,31h 17m 33s,17h 49m 07s,,,,,
106,57479,ROBALEXXX_CP,Xbox One,5h 40m,100%,,11997941,Completed,First,"June 14, 2020",5h 40m,,,,,,,
107,57479,Private,Xbox One,5h 40m,NR,,8434274,Playing Replay Completed,Replay,,5h 40m 11s,,,2h 04m 07s,,,,
108,57479,FancyKilerWales,Xbox One,5h 41m,NR,Leon A,8141356,Completed,First,"January 27, 2019",5h 41m 22s,,,,,,,
109,57479,,PlayStation 4,5h 44m,NR,,8296427,Completed,Replay,,5h 44m,19h 53m,9h 36m,,,,,
110,57479,,PC,5h 44m,NR,,8464392,Completed,First,,5h 44m,,,,,,,
111,57479,idanlego1001,PC,5h 44m,NR,B,8225148,Completed,First,"January 31, 2019",5h 44m 51s,,,,,,,
112,57479,paulmuaddib,PC,5h 45m,NR,,12028562,Completed,First,,5h 45m,,,,,,,
113,57479,Jerromy,PC,5h 45m,NR,,10799849,Completed,First,"February 16, 2019",5h 45m 32s,,,,,,,
114,57479,Private,PC,5h 50m,NR,,11371859,Completed,First,"April 06, 2020",5h 50m 05s,,,,,,,
115,57479,DakotaB11,PlayStation 4,5h 50m,100%,,10636773,Completed,First,"December 26, 2019",5h 50m 16s,,10h 40m 46s,,,,,
116,57479,seifert90,PC,5h 51m,100%,,8576577,Completed,First,"April 07, 2019",5h 51m 33s,,,,,,,
117,57479,PurpleCrab,PlayStation 4,5h 51m,80%,"Leons Story only, Normal difficulty",8174897,Custom List Completed,First,"January 31, 2019",5h 51m 34s,,,,,5h 51m 31s /,,
118,57479,Diagon83,PC,5h 54m,NR,,8199110,Completed,First,"January 27, 2019",5h 54m 55s,,,,,,,
119,57479,,PlayStation 4,5h 55m,NR,,11336036,Completed,First,,5h 55m 02s,,,,,,,
120,57479,,PC,5h 55m,NR,,8196181,Completed,First,,5h 55m 06s,,,,,,,
121,57479,RevelGrande,PC,5h 55m,NR,,10218734,Completed,Replay,"October 07, 2019",5h 55m 10s,,,,,,,
122,57479,,PlayStation 4,5h 57m,NR,,11500841,Completed,First,,5h 57m 10s,,,,,,,
123,57479,sethlabrow,PlayStation 4,5h 58m,NR,"Main story, Claire, first playthrough",11373416,Completed,Replay,,5h 58m 03s,,,,,,,
124,57479,,PC,5h 59m,NR,,8146729,Completed,First,,5h 59m,,,,,,,
125,57479,diremonsta,PC,5h 59m,90%,,9238998,Completed,First,"July 26, 2019",5h 59m,,,,,,,
126,57479,,Xbox One,5h 59m,NR,,8130533,Completed,First,,5h 59m 31s,,6h 32m 46s,,,,,
127,57479,ZoK_,PC,5h 59m,80%,,8146730,Completed,First,"January 28, 2019",5h 59m 45s,,,,,,,
128,57479,,PlayStation 4,6h,NR,,8117005,Completed,First,,6h,,7h,,,,,
129,57479,,PC,6h,NR,,8140687,Completed,First,,6h,,,,,,,
130,57479,,PC,6h,NR,,8235937,Completed,First,,6h,,,,,,,
131,57479,,PC,6h,NR,,11024847,Completed,First,,6h,,,,,,,
132,57479,,PC,6h,NR,,11398581,Completed,First,,6h,,,,,,,
133,57479,ArturGG,Xbox One,6h,NR,Leon + Claire,11627712,Completed,First,"May 02, 2020",6h,,,,,,,
134,57479,Confederacy,PlayStation 4,6h,90%,Leon Play Through,10594209,Completed,First,"December 14, 2019",6h,,,,,,,
135,57479,Fifth_Cerberus,PC,6h,NR,Several S ranks and all Mr. Raccons,9234306,Completed,First,"May 02, 2020",6h,,30h,,,,,
136,57479,Fifth_Cerberus,PC,6h,NR,several S ranks and all Mr. Raccons. Started Hardcore,11625853,Completed,First,"May 02, 2020",6h,,30h,,,,,
137,57479,JFK108,PlayStation 4,6h,NR,,11367161,Completed,First,,6h,,,1h 40m,,,,
138,57479,JustSurvive,PlayStation 4,6h,90%,,8283549,Completed,First,,6h,,11h,,,,,
139,57479,MarFolsRV,PC,6h,NR,,11956508,Completed,First,"June 11, 2020",6h,,,1h 50m,,,,
140,57479,MariaClocktower,PlayStation 4,6h,NR,,11391233,Completed,First,,6h,,10h,,,,,
141,57479,Mercury4,PlayStation 4,6h,NR,,10556533,Completed,First,"December 05, 2019",6h,,10h 30m,,,,,
142,57479,NbvcxZ,PC,6h,NR,,9506678,Completed,First,"August 28, 2019",6h,,,,,,,
143,57479,Strudenjaden,PC,6h,100%,,8455081,Completed,First,"March 12, 2019",6h,20h,10h,1h 40m,,,,
144,57479,Private,PC,6h,70%,,8280026,Completed,First,,6h,,6h 30m,,,,,
145,57479,aleksks,PC,6h,90%,,11446652,Completed,First,"February 14, 2020",6h,,,,,,,
146,57479,all2surreal,PC,6h,100%,,6889931,Completed,First,"February 01, 2019",6h,,,,First play through was with Claire and the second play through was with Leon. Leon's took 4 hours and 20 minutes. While Claire took 6 hours.,,,
147,57479,bendikts,PC,6h,NR,,11248554,Completed,Replay,"March 27, 2020",6h,,,,,,,
148,57479,davidmaggs,PlayStation 4,6h,NR,,8323023,Completed,Replay,"February 01, 2019",6h,,,,,,,
149,57479,davidmaggs,PlayStation 4,6h,NR,,8323076,Completed,Replay,"February 09, 2019",6h,,,,,,,
150,57479,funzoau,PlayStation 4,6h,100%,Leon B - Second run,8299984,Playing Backlog Completed,First,"February 17, 2019",6h,,,3h,"Claire A complete
Leon B complete
4th Survivor unlocked.
Ghost survivors unlocked.",,,
151,57479,l0gan_1,PC,6h,NR,,8241470,Replay Completed,First,"February 08, 2019",6h,22h,12h,,,,,
152,57479,mrbaggs,PC,6h,NR,,7991038,Completed,First,"February 04, 2019",6h,,15h,,,,,
153,57479,nsalinardi,PC,6h,100%,,11382746,Completed,First,,6h,,,,,,,
154,57479,sfamicom,PC,6h,NR,,8196307,Completed,First,"February 03, 2019",6h,,,,,,,
155,57479,Nachino,PC,6h,100%,,11411258,Completed,Replay,"April 11, 2020",6h 30s,,,,,,,
156,57479,oopsie,PlayStation 4,6h,NR,,9667349,Replay Completed,Replay,"September 16, 2019",6h 46s,,,,,,,
157,57479,Blurbs,PlayStation 4,6h 01m,NR,,10320416,Completed,First,"October 28, 2019",6h 01m,,,,,,,
158,57479,bunu,PC,6h 03m,NR,,10981476,Completed,First,"February 12, 2019",6h 03m 54s,,,,,,,
159,57479,PXSausage,Xbox One,6h 04m,100%,Played on Assisted because I'm a big baby and I'm cool with that. Played as Leon / 19 Saves / Grade B.,9202995,Completed,First,"July 22, 2019",6h 04m 15s,,,,,,,
160,57479,FancyKilerWales,Xbox One,6h 04m,NR,Clair B / True Ending,8141360,Completed,Replay,"January 28, 2019",6h 04m 20s,,,,,,,
161,57479,MadJack,PC,6h 04m,NR,,8724204,Completed,First,"May 13, 2019",6h 04m 32s,,,,,,,
162,57479,JourneyOver,PC,6h 05m,NR,Leon A | Standard | Saves 34 | Times Chest Opened 42 | B Rating | PE,8034456,Completed,First,"April 20, 2019",6h 05m 06s,,,,,,,
163,57479,dwoodsy,PC,6h 06m,NR,,12001886,Completed,First,"June 14, 2020",6h 06m,,,,,,,
164,57479,Ryroan,PC,6h 06m,100%,Claire A. Standard Mode.,8138600,Playing Replay Completed,First,"January 25, 2019",6h 06m 36s,,,2h 47m 07s,,27h /,,
165,57479,Ruruja,PC,6h 07m,NR,,10988909,Completed,First,"February 14, 2020",6h 07m 09s,,,,,,,
166,57479,MaxDank,PC,6h 07m,NR,,10796546,Completed,First,"January 12, 2020",6h 07m 34s,,,,,,,
167,57479,Private,PlayStation 4,6h 07m,NR,,8129159,Completed,First,"January 26, 2019",6h 07m 45s,,,,,,,
168,57479,,PC,6h 08m,NR,,8259739,Completed,First,,6h 08m,,,,,,,
169,57479,MatthewJayHey,PC,6h 11m,NR,,10809255,Completed,First,"January 12, 2020",6h 11m,,,,,,,
170,57479,,PlayStation 4,6h 11m,NR,,8139662,Completed,First,,6h 11m 59s,,,,,,,
171,57479,ColouringPriest,PC,6h 12m,90%,,8338377,Completed,First,"February 21, 2019",6h 12m,,,1h 44m 12s,,,,
172,57479,Radurco,PC,6h 12m,NR,,8471404,Completed,First,"March 12, 2019",6h 12m,,,,,,,
173,57479,Deston,PC,6h 12m,NR,B Rank / 19 Saves / Standard Difficulty,11319542,Completed,First,"May 13, 2020",6h 12m 24s,,,,Claire A,,,
174,57479,,Xbox One,6h 13m,NR,"Great Game, doing DLC Next",10809494,Completed,First,,6h 13m 04s,,,,,,,
175,57479,Cxnzy,Xbox One,6h 14m,80%,"Great Game, Playing DLC next.",10809504,Completed,First,"January 06, 2020",6h 14m 04s,,,,,,,
176,57479,,PC,6h 15m,NR,,8132165,Completed,First,,6h 15m,,,,,,,
177,57479,,Xbox One,6h 15m,NR,,8141294,Completed,First,,6h 15m,,,,,,,
178,57479,SolidManu,PC,6h 15m,90%,,8640471,Completed,First,"April 19, 2019",6h 15m,,,,,,,
179,57479,jussiron,PlayStation 4,6h 15m,NR,,10858366,Completed,First,"January 27, 2020",6h 15m,,,,,,,
180,57479,lawcash,PC,6h 15m,60%,Claire A. In game time = 5:01 (one minute away from rank A lol). Standard difficulty.,9206535,Completed,First,"July 23, 2019",6h 15m,,,,,,,
181,57479,bammrwolfe,PlayStation 4,6h 15m,NR,,8331977,Completed,First,"February 22, 2019",6h 15m 10s,,,,,,,
182,57479,EddieTheMajin,PlayStation 4,6h 15m,NR,,8235858,Completed,First,"February 07, 2019",6h 15m 20s,36h 11m 40s,,,,,,
183,57479,demidivine,Xbox One,6h 16m,80%,Leon First Run,8854767,Completed,First,"May 27, 2019",6h 16m,,,,,,,
184,57479,idanlego1001,PC,6h 16m,NR,C,8225150,Completed,First,"February 08, 2019",6h 16m 03s,,,,,,,
185,57479,,PC,6h 18m,NR,Leon Story,8141165,Completed,First,,6h 18m,,,,,,,
186,57479,RahmBro,PC,6h 19m,NR,,8144243,Custom List Completed,First,"February 12, 2019",6h 19m 54s,,,,,9h 19m 54s /,,
187,57479,Private,Xbox One,6h 20m,NR,,11325276,Completed,First,"April 03, 2020",6h 20m,,,,,,,
188,57479,WavyFuego,PlayStation 4,6h 20m,100%,,11769004,Completed,First,"May 17, 2020",6h 20m,,,3h 30m,,,,
189,57479,tausiftt5238,PlayStation 4,6h 20m,100%,"Claire A, Leon B. 4th survivor pending.",8136854,Completed,First,"January 27, 2019",6h 20m 38s,,11h 41s,,,,,
190,57479,habirlop,PC,6h 22m,90%,,10856675,Completed,First,"February 01, 2020",6h 22m 10s,,,,,,,
191,57479,Lemmi1337,Xbox One,6h 22m,NR,,11435134,Completed,First,"April 13, 2020",6h 22m 35s,,,,,,,
192,57479,gavinng,PlayStation 4,6h 23m,80%,,12007485,Completed,First,"June 15, 2020",6h 23m,,,,,,,
193,57479,,PC,6h 24m,NR,,10983646,Completed,First,,6h 24m 18s,,,,,,,
194,57479,Admiral,PC,6h 25m,80%,"Claire, Assisted difficulty",10635469,Completed,First,"December 22, 2019",6h 25m,,,,,,,
195,57479,wenchwogg,PlayStation 4,6h 25m,NR,Claire A,8136945,Completed,First,"January 26, 2019",6h 25m,,,,,,,
196,57479,AlexLaletin,PC,6h 25m,NR,Leon,8132845,Completed,First,"January 27, 2019",6h 25m 14s,,,,,,,
197,57479,DFW_Robbo,PlayStation 4,6h 25m,NR,,11653116,Completed,Replay,"May 04, 2020",6h 25m 14s,,,,,,,
198,57479,kaipi7,PlayStation 4,6h 26m,NR,,8141880,Completed,First,"January 28, 2019",6h 26m 12s,,,,,,,
199,57479,Private,PlayStation 4,6h 29m,100%,Claire A,8147971,Completed,First,"January 30, 2019",6h 29m 02s,,,,"Claire A - 06:29:02/30.01.2019 Leon B - 3:45:53/21.02.2019
Leon A - 04:17:30/20.02.2019",,,
200,57479,jflabat,Xbox One,6h 29m,NR,,8149170,Completed,First,"January 29, 2019",6h 29m 03s,,,,,,,
201,57479,,PlayStation 4,6h 30m,NR,,8145054,Completed,First,,6h 30m,,,,,,,
202,57479,,Xbox One,6h 30m,NR,Leon A,8199282,Completed,First,,6h 30m,,,,,,,
203,57479,,Xbox One,6h 30m,NR,1 Scenario (Leon or Claire),8200664,Completed,First,,6h 30m,22h 45m,7h 15m,,,,,
204,57479,,PC,6h 30m,NR,Only Leon campaign,8315206,Completed,First,,6h 30m,,,,,,,
205,57479,Ger,PlayStation 4,6h 30m,80%,"Two similar campaigns, twice the provided time per full game.",8440899,Completed,First,"March 10, 2019",6h 30m,,,,,,,
206,57479,ZOMG_Logan,PC,6h 30m,NR,,8409305,Completed,First,"January 26, 2019",6h 30m,,18h,,,,,
207,57479,bmz_3,PlayStation 4,6h 30m,80%,,11463537,Completed,First,,6h 30m,,,,,,,
208,57479,braincucumber,PC,6h 30m,NR,,8190276,Completed,First,"February 02, 2019",6h 30m,,,,,,,
209,57479,Private,PlayStation 4,6h 30m,NR,,9442953,Completed,First,February 2019,6h 30m,28h,,,,,,
210,57479,kevinwedler,PlayStation 4,6h 30m,NR,,8137676,Completed,First,"January 27, 2019",6h 30m,,13h 30m,,,,,
211,57479,mjricco,PlayStation 4,6h 30m,80%,,10722402,Backlog Completed,First,"June 05, 2020",6h 30m,,,,,,,
212,57479,nazeerhaffar,PlayStation 4,6h 30m,NR,,8237971,Completed,First,"February 10, 2019",6h 30m,,12h 30m,,,,,
213,57479,ok140600,PC,6h 30m,NR,,8300446,Completed,First,"February 19, 2019",6h 30m,,,,,,,
214,57479,,PlayStation 4,6h 30m,NR,Best game ever FKING made,8196379,Completed,First,,6h 30m 25s,,,,,,,
215,57479,Ibuki,PC,6h 30m,NR,,8119110,Completed,First,"January 27, 2019",6h 30m 30s,,,,,,,
