,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Main Story,Main+Extras,Completionist,Completion,Progress,Personal Notes,Speedrun,100% Speedrun
31,26286,Jokey665,Nintendo Switch,14h 16m,90%,,8580223,Completed,First,14h 16m 35s,,,"April 07, 2019",,,,
32,26286,Flourite,Nintendo Switch,14h 19m,80%,"Normal ending, 61% game completion",4616064,Completed,First,14h 19m 28s,,,"June 27, 2019",,,,
33,26286,ElB0ludo,PC,14h 32m,90%,,10899107,Completed,First,14h 32m,,67h 36m,"November 02, 2018",,,,
34,26286,bsinky,PC,14h 36m,NR,"93% completion, ""Dream No More"" ending",7093726,Completed,First,14h 36m 33s,18h 24m 24s,,"January 30, 2020",,,,
35,26286,Wank8734,Nintendo Switch,14h 37m,80%,,5530340,Completed,First,14h 37m 27s,,,"March 02, 2019",,,,
36,26286,Private,Xbox One,14h 48m,NR,,7991273,Completed,First,14h 48m 12s,,,"January 28, 2019",,,,
37,26286,CorgiCrusade,Nintendo Switch,14h 52m,80%,,6959006,Completed,First,14h 52m 49s,17h 48m 39s,,"September 01, 2018",,,,
38,26286,sapphirone,PC,14h 54m,NR,78% Complete,4907463,Completed,First,14h 54m,,,"August 14, 2017",,,,
39,26286,NellieTheElephant,PC,14h 55m,NR,,4261673,Completed,First,14h 55m 31s,,,"June 30, 2017",,,,
40,26286,eatkale,PC,14h 58m,70%,77% completion,10528480,Completed,First,14h 58m,,,"December 03, 2019",,,,
41,26286,,PC,15h,NR,,4901537,Completed,First,15h,25h,40h,,,,,
42,26286,,Nintendo Switch,15h,NR,,11224452,Completed,First,15h,40h,60h,,,,,
43,26286,1337potato,PC,15h,NR,,7486513,Completed,First,15h,,,"November 19, 2018",,,,
44,26286,JayTee,Nintendo Switch,15h,NR,,8962145,Completed,First,15h,,,,,,,
45,26286,hankthejunk,PC,15h,NR,,6696371,Completed,First,15h,,,"July 30, 2018",,,,
46,26286,TheoKeane,Nintendo Switch,15h,80%,,6938840,Completed,First,15h 23s,,,"August 29, 2018",,56%,,
47,26286,tatoonie,PC,15h 28m,NR,Fifth pantheon defeated,10239385,Custom List 2 Completed,First,15h 28m 04s,46h 24m 15s,,"December 01, 2019",46h 24m 15s /,,,
48,26286,HermannPHI,PC,15h 30m,90%,,11145986,Completed,First,15h 30m,,,"March 13, 2020",,,,
49,26286,Marloges,PC,15h 31m,90%,,6508959,Completed,First,15h 31m 58s,,,"July 16, 2018",,"Completed the game but only have 65% so far, I'll definitely go for completion here :)",,
50,26286,Rarokko,Nintendo Switch,15h 32m,90%,,8090543,Completed,First,15h 32m,,,"April 27, 2019",,,,
51,26286,erenmacalino,PC,15h 34m,100%,,10896244,Playing Completed,First,15h 34m,,,"April 29, 2018",15h 34m /,,,
52,26286,Private,PC,15h 53m,80%,,8699533,Completed,First,15h 53m 17s,,,"July 07, 2019",,,,
53,26286,Seekah,PC,15h 56m,NR,,10898715,Completed,First,15h 56m 30s,,,"January 27, 2020",,,,
54,26286,,PC,16h,NR,,4804207,Completed,First,16h,20h 01m 12s,45h,,,,,
55,26286,,PC,16h,NR,,5110214,Completed,First,16h,,,,,,,
56,26286,,Xbox One,16h,NR,,7321970,Completed,First,16h,,,,,,,
57,26286,Appotheozz,PC,16h,90%,,10281913,Completed,First,16h,,,,,,,
58,26286,Kynois77,Nintendo Switch,16h,NR,,11878109,Completed,First,16h,,,"May 31, 2020",,,,
59,26286,Velreth,PC,16h,NR,,9112388,Completed,First,16h,20h,113h,,,,,
60,26286,evhs99,PC,16h,NR,,7826452,Completed,First,16h,,,"December 26, 2018",,,,
61,26286,johnomatic,PC,16h,NR,,7973357,Completed,First,16h,,,"January 07, 2019",,,,
62,26286,raegazel,PC,16h,90%,,5535351,Completed,First,16h,,,"December 29, 2017",,,,
63,26286,zero_eukito,PC,16h,NR,,9330587,Completed,First,16h,,,"October 12, 2019",,,,
64,26286,metareven,PC,16h 02m,NR,Good end,8814130,Completed,First,16h 02m,17h 30m,,"May 19, 2019",,,,
65,26286,,PC,16h 04m,NR,,4785992,Completed,First,16h 04m,,,,,,,
66,26286,Mosky,PC,16h 04m,90%,57% Completion,9000429,Completed,First,16h 04m,,,"June 19, 2019",,,,
67,26286,gordon502,PC,16h 16m,NR,,8347071,Completed,First,16h 16m,,,"February 24, 2019",,,,
68,26286,,Nintendo Switch,16h 26m,NR,,6482926,Completed,First,16h 26m,,,,,,,
69,26286,,PC,16h 30m,NR,,4811622,Completed,First,16h 30m,,,,,,,
70,26286,Benzhebuth,PC,16h 33m,100%,,9132597,Completed,First,16h 33m,,,"July 11, 2019",,,,
71,26286,RecursiveFault,PC,16h 33m,100%,True Ending,8402850,Completed,First,16h 33m,24h 02m,,"March 04, 2019",,,,
72,26286,Danky,PC,16h 36m,90%,,6250629,Completed,First,16h 36m,,,"May 15, 2016",,,,
73,26286,Private,Nintendo Switch,16h 37m,NR,,6393375,Playing Completed,First,16h 37m,,,"June 18, 2018",16h 37m /,,,
74,26286,Kuposaurus,PC,16h 38m,90%,,5604526,Completed,First,16h 38m 53s,,,"January 06, 2018",,,,
75,26286,,PC,16h 47m,NR,,8887854,Completed,First,16h 47m 30s,,,,,,,
76,26286,Theseven52,PC,16h 54m,NR,,9415843,Completed,First,16h 54m,,,"August 21, 2019",,,,
77,26286,,PC,17h,NR,56%,5865637,Completed,First,17h,,,,,,,
78,26286,,Nintendo Switch,17h,NR,,7849699,Completed,First,17h,,,,,,,
79,26286,,PC,17h,NR,,9507154,Completed,First,17h,,,,,,,
80,26286,Alvrys,PC,17h,90%,,4698073,Completed,First,17h,,,"July 16, 2017",,,,
81,26286,Truji,PC,17h,NR,,7345999,Completed,First,17h,,,,,,,
82,26286,,PC,17h 04m,NR,,8559813,Completed,First,17h 04m 43s,,,,,,,
83,26286,chadilak,PC,17h 05m,80%,,5892819,Completed,First,17h 05m,,,"March 25, 2017",,,,
84,26286,,PC,17h 09m,NR,got some optional content but mostly gunned for the first ending,11140694,Completed,First,17h 09m 24s,,,,,,,
85,26286,soulfuf,PC,17h 10m,NR,,6261654,Completed,First,17h 10m,,,,,,,
86,26286,,Nintendo Switch,17h 20m,NR,,10288959,Completed,First,17h 20m,,,,,,,
87,26286,Hakuto,PC,17h 22m,NR,86%,4806341,Completed,First,17h 22m,23h 26m 24s,,"July 29, 2017",,,,
88,26286,,PC,17h 27m,NR,,5873706,Completed,First,17h 27m,,,,,,,
89,26286,WaldoWonderful,PC,17h 29m,NR,"107 % Completion, 45 Achievements",7217470,Completed,First,17h 29m,28h 01m,,"October 10, 2018",,,,
90,26286,Wulfrix,PlayStation 4,17h 29m,NR,Completion: 70%,9671842,Completed,First,17h 29m 45s,,,"November 09, 2019",,,,
91,26286,,PC,17h 30m,NR,Still used a map,8118565,Completed,First,17h 30m,22h,,,,,,
92,26286,bmz_3,Nintendo Switch,17h 30m,90%,,11463529,Completed,First,17h 30m,33h,,,,,,
93,26286,mito_cl,Nintendo Switch,17h 30m,100%,"Credits, 71% of the game",8236182,Completed,First,17h 30m,,,"March 03, 2019",,,,
94,26286,,PC,17h 34m,NR,,10374556,Completed,First,17h 34m 24s,,,,,,,
95,26286,colimar788,PC,17h 45m,NR,89% on completion,5708013,Completed,First,17h 45m 44s,,,"January 22, 2018",,,,
96,26286,Private,PC,17h 46m,NR,,11540002,Completed,First,17h 46m,,,"April 23, 2020",,,,
97,26286,aiyaah,PC,17h 48m,NR,,11829225,Completed,First,17h 48m 14s,,,"May 24, 2020",,,,
98,26286,Muhyo,PC,17h 49m,NR,,11855628,Completed,First,17h 49m 21s,,,"May 27, 2020",,,,
99,26286,alphabona,Nintendo Switch,17h 50m,NR,,10284038,Completed,First,17h 50m,,,,,,,
100,26286,Staffmann,Nintendo Switch,17h 50m,90%,,10951499,Completed,First,17h 50m 28s,,,"February 08, 2020",,,,
101,26286,DingesX,Nintendo Switch,17h 54m,90%,"Just beated the game, didnt do a lot of optional content, will go back later.",9676139,Completed,First,17h 54m,,,"November 14, 2019",,,,
102,26286,CongoUnrest,PC,17h 58m,90%,,10988297,Completed,First,17h 58m 29s,,,"February 14, 2020",,,,
103,26286,,PC,18h,NR,,4253477,Completed,First,18h,25h,35h,,,,,
104,26286,,PC,18h,NR,,9681743,Completed,First,18h,,,,,,,
105,26286,Iraldor,PC,18h,NR,,10172307,Completed,First,18h,22h,,"October 01, 2019",,,,
106,26286,Ismael,PlayStation 4,18h,NR,,10693906,Completed,First,18h,22h,,"December 17, 2019",,,,
107,26286,Lyzpayne,PC,18h,NR,84% Completion,4745914,Completed,First,18h,,,"July 12, 2017",,,,
108,26286,NTFW,Nintendo Switch,18h,NR,,6086365,Completed,First,18h,24h,,"September 24, 2018",,,,
109,26286,Rakay,PC,18h,NR,,4751601,Completed,First,18h,,,"June 30, 2017",,,,
110,26286,Zinogrex,PC,18h,NR,,8099968,Completed,First,18h,,,,,,,
111,26286,hamchan,Nintendo Switch,18h,NR,,7937383,Completed,First,18h,,,"January 03, 2019",,,,
112,26286,oknsnl,PC,18h,80%,,11621001,Completed,First,18h,,,"May 17, 2020",,,,
113,26286,sturdyserpent,Nintendo Switch,18h,100%,,7395330,Completed,First,18h,,35h,,,,,
114,26286,valnight,PC,18h,100%,,9040501,Completed,First,18h,20h,30h,"October 28, 2018",,,3h 30m,12h
115,26286,Private,PC,18h 01m,NR,,7954339,Completed,First,18h 01m 06s,,,"January 05, 2019",,,,
116,26286,Private,PC,18h 04m,NR,,4727682,Completed,First,18h 04m 54s,,,"July 12, 2017",,,,
117,26286,Kuruwin,PlayStation 4,18h 10m,NR,,7129106,Completed,First,18h 10m,,,"September 27, 2018",,,,
118,26286,Lareufeul,Nintendo Switch,18h 10m,NR,,11283947,Completed,First,18h 10m,,,,,,,
119,26286,,Nintendo Switch,18h 16m,NR,,9470850,Completed,First,18h 16m,30h 02m,,,,,,
120,26286,gabhom9,Nintendo Switch,18h 17m,NR,,10641079,Completed,First,18h 17m 41s,,,"July 07, 2018",,,,
121,26286,,PC,18h 20m,NR,,7280734,Completed,First,18h 20m,,,,,,,
122,26286,KingMus,PC,18h 24m,100%,,6025184,Completed,First,18h 24m 51s,,,"March 14, 2018",,,,
123,26286,Sp8cemanSpiff,Nintendo Switch,18h 25m,100%,,6488608,Completed,First,18h 25m,,35h 20m,"July 09, 2018",,,,
124,26286,,Nintendo Switch,18h 28m,NR,,6687354,Completed,First,18h 28m 23s,,,,,,,
125,26286,,PC,18h 30m,NR,,8972893,Completed,First,18h 30m,,,,,,,
126,26286,BrickTrain,PC,18h 36m,100%,,6658067,Completed,First,18h 36m,,,"August 08, 2018",,,,
127,26286,AAAAAAidan,Nintendo Switch,18h 44m,NR,63%,8758140,Completed,First,18h 44m 16s,,,"August 15, 2019",,,,
128,26286,,Nintendo Switch,18h 45m,NR,,6803528,Completed,First,18h 45m,,,,,,,
129,26286,Private,PC,18h 45m,80%,64% completion,7533918,Completed,First,18h 45m,,,"November 27, 2018",,,,
130,26286,tegumentoso,Nintendo Switch,18h 45m,NR,51% completition,8406793,Completed,First,18h 45m,,,"March 05, 2019",,,,
131,26286,FelixBrewBaker,PC,18h 49m,100%,,5451666,Completed,First,18h 49m 39s,33h,36h 21m,"December 11, 2017",,,,
132,26286,Oppity,PC,18h 51m,NR,,7073737,Completed,First,18h 51m,,,"September 18, 2018",,,,
133,26286,yigitkoparan123,PC,18h 51m,90%,,9028090,Completed,First,18h 51m,,,"June 25, 2019",,,,
134,26286,Fanha,PC,18h 55m,90%,,4767259,Completed,First,18h 55m,,,"July 16, 2017",,,,
135,26286,,PC,19h,NR,,5295352,Completed,First,19h,26h 35m,,,,,,
136,26286,,PC,19h,NR,,5682876,Completed,First,19h,,,,,,,
137,26286,,Nintendo Switch,19h,NR,106% + KNG,6783046,Completed,First,19h,25h,39h 40m,,,,,
138,26286,,PC,19h,NR,"Got most side quests, final boss took a couple tries.",6803445,Completed,First,19h,,,,,,,
139,26286,WillSnow,Nintendo Switch,19h,NR,106%/107% (Didn't beat Nightmare Grimm),6542737,Completed,Replay,19h,25h,35h,June 2018,,,,
140,26286,abecabla,PC,19h 05m,NR,,6851623,Completed,First,19h 05m 36s,,,"August 16, 2018",,,,
141,26286,,PC,19h 13m,NR,,6372973,Completed,First,19h 13m,,,,,,,
142,26286,h4lc0n,PC,19h 21m,NR,,4726960,Completed,First,19h 21m,,,"July 25, 2017",,,,
143,26286,haisoj,Nintendo Switch,19h 23m,90%,"76%, got a lot of collectibles, only best main ending",6476181,Completed,First,19h 23m,,,"June 25, 2018",,,,
144,26286,,Nintendo Switch,19h 27m,NR,"Used a walkthrough for the last 10 hours, 44% completion",6519929,Completed,First,19h 27m,,,,,,,
145,26286,Lew_ser,PC,19h 27m,90%,,11406273,Completed,First,19h 27m,,,"April 10, 2020",,,,
146,26286,GhostBoy58,PlayStation 4,19h 29m,NR,,9421260,Completed,First,19h 29m 13s,,,,,,,
147,26286,Private,PC,19h 30m,NR,,5725092,Completed,First,19h 30m,,,"January 25, 2018",,,,
148,26286,KinkyMong,Nintendo Switch,19h 30m,NR,"The Radiance beat, 101% game completion",6394458,Completed,First,19h 30m,,35h,"July 11, 2018",,,,
149,26286,acousticfigure,PC,19h 33m,NR,62% complete,5545429,Completed,First,19h 33m,,,"December 31, 2017",,,,
150,26286,finalsight,PC,19h 36m,NR,,4901558,Completed,First,19h 36m,,,"August 12, 2017",,,,
151,26286,Calyampudi,PC,19h 37m,NR,,7293087,Completed,First,19h 37m 33s,,,"October 21, 2018",,66 %,,
152,26286,Skarfelt,PC,19h 45m,100%,NMG,4974774,Completed,First,19h 45m,28h,31h 58m,"August 27, 2017",,"This game is actually a goddamn masterpiece - everything from the atmosphere to the mechanics to the level design to the sound to the art is perfect. Surprisingly long game for an indie, really big world, LOADS of highlights, recommend this to everyone.",41m 11s,
153,26286,jaydeeess,PC,19h 47m,NR,,4413223,Completed,First,19h 47m,,,"May 10, 2017",,,,
154,26286,Lignja,PC,19h 50m,NR,,7794250,Completed,First,19h 50m,,,"December 21, 2018",,,,
155,26286,Zer0_Ph34r,PC,19h 55m,NR,"The boss rush mode is great for people interested, but doesn't give you anything worth the trouble",5868726,Backlog Completed,First,19h 55m,23h,,,23h /,,,
156,26286,,PC,19h 57m,NR,,5506633,Completed,First,19h 57m,,,,,,,
157,26286,,PC,20h,NR,All Spells Upgrades+Weapon Upgrades,4165366,Completed,First,20h,25h,30h,,,,,
158,26286,,PC,20h,NR,,4800663,Completed,First,20h,30h,,,,,,
159,26286,,PC,20h,NR,,5457282,Completed,First,20h,,,,,,,
160,26286,,PC,20h,NR,,6304759,Completed,First,20h,30h,60h,,,,,
161,26286,,Nintendo Switch,20h,NR,,7367514,Completed,First,20h,,80h,,,,,
162,26286,,PC,20h,NR,,7958890,Completed,First,20h,50h,75h,,,,,
163,26286,,Nintendo Switch,20h,NR,,8211310,Completed,First,20h,40h,60h,,,,,
164,26286,,PC,20h,NR,,8678176,Completed,First,20h,30h,55h,,,,,
165,26286,,PC,20h,NR,,9647867,Completed,First,20h,40h,50h,,,,,
166,26286,,PC,20h,NR,,11895218,Completed,First,20h,,,,,,,
167,26286,Private,Nintendo Switch,20h,NR,,9271413,Completed,First,20h,,,,,,,
168,26286,Bravelion609,Nintendo Switch,20h,NR,,11326988,Completed,First,20h,40h,,,,,,
169,26286,Cass_se,Nintendo Switch,20h,NR,,7446630,Completed,First,20h,,35h,"November 16, 2018",,,,
170,26286,CorticusMaximus,PC,20h,100%,,4983715,Completed,First,20h,,,"July 02, 2017",,,,
171,26286,Cristianplay,PC,20h,100%,,9331853,Completed,First,20h,,,August 2018,,,,
172,26286,Edd,Nintendo Switch,20h,NR,,8050764,Completed,Replay,20h,,,"January 17, 2019",,,,
173,26286,Erliand,PC,20h,90%,,5026351,Completed,First,20h,35h 40m,60h 50m,"September 08, 2017",,,,
174,26286,GilgameshTheKing,Nintendo Switch,20h,90%,,10834147,Custom List Completed,First,20h,30h,55h,"November 05, 2019",55h /,,,
175,26286,Kytes,Nintendo Switch,20h,NR,,6658406,Completed,First,20h,,,"February 24, 2020",,,,
176,26286,Pangin,PC,20h,90%,,6400365,Completed,First,20h,,40h,"June 13, 2018",,,,
177,26286,PickleLorde,Nintendo Switch,20h,NR,,9383214,Completed,First,20h,,,,,,,
178,26286,Rulfer,PC,20h,NR,,10363293,Completed,First,20h,,,"January 19, 2019",,,,
179,26286,WaveSquirrel,Nintendo Switch,20h,90%,,8995568,Completed,First,20h,28h 30m 15s,,"July 21, 2019",,,,
180,26286,WillSnow,PC,20h,NR,2,6542725,Completed,First,20h,28h,,2017,,,,
181,26286,XxobbsxX,PC,20h,80%,,11045198,Completed,First,20h,25h,,,,,,
182,26286,bolatheball,PC,20h,NR,,4652960,Completed,First,20h,23h,,"June 29, 2017",,,,
183,26286,henstheman,PC,20h,NR,,11464985,Completed,First,20h,,,"July 26, 2018",,,,
184,26286,iHassanFTW,Nintendo Switch,20h,NR,,9173468,Completed,First,20h,35h,50h,"July 17, 2018",,,,
185,26286,mbkanj,Nintendo Switch,20h,NR,,11406404,Completed,Replay,20h,60h,100h,,,,,
186,26286,metaljoints,PC,20h,NR,,5017731,Completed,First,20h,,,"September 05, 2017",,,,
187,26286,myspot,PC,20h,NR,,7450674,Completed,First,20h,,,"November 15, 2018",,,,
188,26286,seifert90,PC,20h,NR,77% completion,8534492,Completed,First,20h,,,"March 28, 2019",,,,
189,26286,slashgear29,Nintendo Switch,20h,NR,,6929748,Completed,First,20h,35h,48h 58m 54s,"August 27, 2018",,,,
190,26286,thecasccas,PC,20h,100%,,7583380,Completed,First,20h,,50h,"December 02, 2018",,,,
191,26286,,PC,20h 05m,NR,,4225889,Completed,First,20h 05m,,,,,,,
192,26286,,Nintendo Switch,20h 09m,NR,,8127990,Completed,First,20h 09m,,,,,,,
193,26286,chavaflyfree,Nintendo Switch,20h 09m,90%,,9199638,Completed,First,20h 09m,,,"July 31, 2019",,,,
194,26286,,PC,20h 10m,NR,,5496648,Completed,First,20h 10m,35h 30m,51h,,,,,
195,26286,Nintencats,Nintendo Switch,20h 11m,90%,,8283974,Backlog Completed,First,20h 11m,39h 06m,,"February 18, 2019",20h 11m /,,,
196,26286,PerverseImp,Nintendo Switch,20h 17m,NR,"Completed game with first ending, did some Hidden Dreams dlc but none of others i.e. the Colosseum or Grimm troupe.",6658116,Completed,First,20h 17m,,,"July 21, 2018",,,,
197,26286,Nice01,Nintendo Switch,20h 17m,100%,,11116242,Completed,First,20h 17m 18s,30h 38m,,"March 07, 2020",,,,
198,26286,,Nintendo Switch,20h 19m,NR,i have done the true ending and i'm on 93% complete,8550044,Completed,First,20h 19m,30h 30m,,,,,,
199,26286,,PC,20h 20m,NR,,8112547,Completed,First,20h 20m 03s,,,,,,,
200,26286,Shibarai,PC,20h 22m,NR,,7028721,Completed,First,20h 22m,30h,40h 05m,"September 12, 2018",,,,
201,26286,ESKI514,PC,20h 25m,NR,,9097417,Completed,First,20h 25m 47s,,,"July 22, 2019",,Exact time taken from GAME COMPLETION screen after beating the final boss and viewing credits. 72% percentage on same screen,,
202,26286,MarcosBellido,Nintendo Switch,20h 26m,NR,Horribe este juego de mierda,9578427,Completed,First,20h 26m 16s,,,"September 11, 2019",,,,
203,26286,,Nintendo Switch,20h 30m,NR,,6663356,Completed,First,20h 30m,,,,,,,
204,26286,Zole,Nintendo Switch,20h 30m,NR,,6491262,Completed,First,20h 30m,,,"June 25, 2018",,,,
205,26286,rickprado,PC,20h 30m,NR,"Beating the Radiance, 8 Masks, almost all charms + Every Nail Upgrade",6503853,Playing Completed,First,20h 30m,34h 37m 13s,,"July 01, 2018",,,,
206,26286,,PC,20h 32m,NR,,6631582,Completed,First,20h 32m 19s,35h 28m 16s,55h 29m 54s,,,,,
207,26286,Arzam,PC,20h 40m,100%,107% completion with Grimm Troupe and Blood Hive boss. Grey Zote defeated only twice,6557661,Completed,First,20h 40m,,56h,,,,,
208,26286,Ryu_Rare,Nintendo Switch,20h 40m,70%,,5428612,Completed,First,20h 40m 08s,,,"July 18, 2018",,,,
209,26286,Nuhm,PC,20h 44m,90%,,8485334,Completed,First,20h 44m 23s,,,"March 17, 2019",,,,
210,26286,stromwanderer,Nintendo Switch,20h 52m,NR,,6545589,Completed,First,20h 52m,,,,,,,
211,26286,Nordie,Nintendo Switch,20h 53m,NR,110% Completion. Currently at 3rd pantheon,8196400,Completed,First,20h 53m,43h 42m,,"April 05, 2019",,,,
212,26286,NyctoGhost,PC,20h 54m,90%,,9506816,Completed,First,20h 54m 34s,40h,80h,"September 01, 2019",,,3h 23m 12s,
213,26286,,PC,20h 55m,NR,,9087390,Completed,First,20h 55m,,,,,,,
214,26286,,PC,21h,NR,,6890993,Completed,First,21h,,,,,,,
215,26286,,Nintendo Switch,21h,NR,,7234048,Completed,First,21h,30h,50h,,,,,
216,26286,,Nintendo Switch,21h,NR,,7322884,Completed,First,21h,,41h,,,,,
217,26286,,PC,21h,NR,,9122488,Completed,First,21h,,,,,,,
218,26286,,PC,21h,NR,,9556398,Completed,First,21h,,,,,,,
219,26286,500kevc,PC,21h,100%,,7515142,Custom List 3 Completed,First,21h,,,"May 30, 2017",,,,
220,26286,Aliseyun,Nintendo Switch,21h,NR,,9279737,Completed,First,21h,,,June 2018,,,,
221,26286,ikari88,Nintendo Switch,21h,80%,,6533283,Completed,First,21h,,,"September 05, 2018",,,,
222,26286,kirkosaur,Nintendo Switch,21h,NR,,8456764,Completed,First,21h,,,"March 12, 2019",,,,
223,26286,lob19,PC,21h,NR,,8230256,Completed,First,21h,,,,,,,
224,26286,pachomen,PC,21h,NR,,8108930,Completed,First,21h,,,"July 06, 2019",,,,
225,26286,spikely7000,PC,21h,NR,,5848684,Completed,First,21h,,,"February 16, 2018",,,,
226,26286,sunspear16,Nintendo Switch,21h,NR,,7024020,Completed,First,21h,,,"January 05, 2019",,,,
227,26286,tiny_twist,Nintendo Switch,21h,NR,,10911557,Completed,First,21h,,,"January 29, 2020",,,,
228,26286,valnight085,PC,21h,100%,pour le succès du jeu en moins de 20h,11536394,Completed,First,21h,45h,95h,"February 24, 2019",,,2h 32m,12h
229,26286,RyukoMatoi,Xbox One,21h 11m,100%,,10147738,Completed,First,21h 11m 02s,28h 07m 54s,47h 35m 11s,"October 18, 2017",,,,
230,26286,Harrymcdonald12,PC,21h 20m,NR,,11030738,Completed,First,21h 20m,34h 44m,50h 15m,"February 21, 2020",,,,
231,26286,VerbatimT,PC,21h 23m,NR,,5184535,Completed,First,21h 23m,,,"October 17, 2017",,,,
232,26286,Private,PC,21h 25m,100%,,9011529,Completed Retired,First,21h 25m 30s,31h,,,,,,
233,26286,,Mac,21h 30m,NR,,7897444,Completed,First,21h 30m,,,,,,,
234,26286,SgtWeirdo,Nintendo Switch,21h 30m,NR,,7447474,Completed,First,21h 30m,,43h,"November 13, 2018",,,,
235,26286,,PC,21h 37m,NR,,10843339,Completed,First,21h 37m,,,,,,,
236,26286,enagurney,Nintendo Switch,21h 43m,NR,"81%, regular ending cause I'm a sweet lil' angel baby",5783925,Completed,First,21h 43m,,,"July 09, 2018",,,,
237,26286,h3xu,PC,21h 43m,100%,,10284904,Completed,First,21h 43m 22s,,,"April 29, 2019",,,,
238,26286,CDeltaT,PC,21h 43m,90%,"could not 100%, lost save file",5982105,Completed,First,21h 43m 58s,,,,,,,
239,26286,Sphalanx,PC,21h 48m,80%,,10930793,Completed,First,21h 48m,,,"February 01, 2020",,,,
240,26286,,Nintendo Switch,21h 51m,NR,,6602712,Completed,First,21h 51m,,,,,,,
241,26286,dcomarata,Nintendo Switch,21h 54m,70%,,8359792,Completed,First,21h 54m 41s,,,"January 12, 2019",,,,
242,26286,,PC,22h,NR,,6921030,Completed,First,22h,,,,,,,
243,26286,,PC,22h,NR,,7973853,Completed,First,22h,,,,,,,
244,26286,,PC,22h,NR,,8298819,Completed,First,22h,,,,,,,
245,26286,,PC,22h,NR,,8951845,Completed,First,22h,,,,,,,
246,26286,AaronWeiKru,PC,22h,100%,,10802916,Completed,First,22h,39h,,"October 10, 2018",,,,
