,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Speedrun,Completionist,Progress,Personal Notes,100% Speedrun
51,42818,janusphoenix,Nintendo Switch,4h 55m,NR,,10930304,Completed,First,"February 02, 2020",4h 55m 02s,,,,,,
52,42818,AlenaChen,PC,4h 56m,90%,,9507725,Completed,First,"September 02, 2019",4h 56m,,,,,,
53,42818,,PC,4h 59m,NR,Chapters 1-7,7752260,Completed,First,,4h 59m 47s,,,,,,
54,42818,,Nintendo Switch,5h,NR,,7910110,Completed,First,,5h,,,,,,
55,42818,,PC,5h,NR,,8093510,Completed,First,,5h,,,,,,
56,42818,,Nintendo Switch,5h,NR,,9012098,Completed,First,,5h,,,,,,
57,42818,Private,Nintendo Switch,5h,NR,roughly,8130741,Completed,First,"January 26, 2019",5h,,,,,,
58,42818,Private,PC,5h,60%,,9075054,Completed,First,,5h,,,,,,
59,42818,Aryakesha,PC,5h,NR,,10584813,Completed,First,"December 13, 2019",5h,,,,,,
60,42818,DeWalli,Xbox One,5h,80%,,8282775,Completed,First,"February 17, 2019",5h,,,,,,
61,42818,EmperorGandhi,Nintendo Switch,5h,90%,,8513498,Completed,First,"February 04, 2018",5h,,,,,,
62,42818,JRivera,Nintendo Switch,5h,NR,,8195748,Completed,First,"February 03, 2019",5h,,,,,,
63,42818,JacobMckinley,Nintendo Switch,5h,90%,,5763873,Completed,First,"February 02, 2018",5h,,,,,,
64,42818,JellyNut,Nintendo Switch,5h,NR,,8880721,Completed,First,,5h,,,,,,
65,42818,Jodin,Nintendo Switch,5h,80%,,6232255,Completed,First,"May 09, 2018",5h,,,,,,
66,42818,Private,Nintendo Switch,5h,70%,,11395828,Completed,First,,5h,,,,,,
67,42818,Kodiakbeerbear,Nintendo Switch,5h,NR,,6686520,Completed,First,"July 29, 2018",5h,,,,,,
68,42818,Le_Don,PC,5h,80%,,10859886,Completed,First,2019,5h,,,,,,
69,42818,LordJeffries,PC,5h,NR,,10443805,Completed,First,"November 22, 2019",5h,,,,,,
70,42818,MarcosBellido,Nintendo Switch,5h,NR,,9280489,Completed,First,"July 01, 2019",5h,,,,,,
71,42818,PotentialPotato,PC,5h,90%,,9120426,Playing Completed,First,"July 05, 2019",5h,,,,7h /,,
72,42818,RaidenGZT,Nintendo Switch,5h,NR,,11326452,Completed,First,"April 02, 2020",5h,,,,,,
73,42818,Rynakinz,PC,5h,NR,,7984388,Completed,First,"January 25, 2018",5h,,,,,,
74,42818,SnaaakeEater15,Xbox One,5h,NR,,9357159,Completed,First,"August 12, 2019",5h,6h 04m,,,,,
75,42818,Thorassor,PC,5h,NR,,11058066,Completed,First,"February 26, 2020",5h,,,,,,
76,42818,Yekii,Xbox One,5h,80%,,11297091,Completed,First,"May 21, 2019",5h,,,,,,
77,42818,Zinogrex,PC,5h,100%,,8099948,Completed,First,,5h,,,,,,
78,42818,atmur,PC,5h,100%,,7894194,Completed,First,"December 30, 2018",5h,,,,,,
79,42818,brandondelvalle,Nintendo Switch,5h,80%,,8092145,Completed,First,"December 09, 2018",5h,,,,,,
80,42818,bwinger,Nintendo Switch,5h,NR,,10914146,Completed,First,"January 30, 2020",5h,,,,,,
81,42818,cashedtastic,Xbox One,5h,80%,,8540268,Completed,First,"June 11, 2019",5h,,,,,,
82,42818,geodude92,Nintendo Switch,5h,NR,,11949983,Completed,First,"June 10, 2020",5h,,,,,,
83,42818,jcbvickers,PC,5h,90%,,8022533,Completed,First,,5h,,,,,,
84,42818,nam3pj,Nintendo Switch,5h,NR,,11819369,Completed,First,"May 23, 2020",5h,,,,,,
85,42818,raegazel,Nintendo Switch,5h,80%,,5733313,Completed,First,"January 27, 2018",5h,,,,,,
86,42818,solid_bogan,Nintendo Switch,5h,NR,,8543251,Completed,First,"March 29, 2019",5h,6h 41m,,,,,
87,42818,steart,PC,5h,NR,,11286388,Completed,First,"March 29, 2020",5h,,,,,,
88,42818,thelinuxmarketer,Nintendo Switch,5h,NR,,11195690,Completed,First,"March 15, 2020",5h,,,,,,
89,42818,Ma31n,PC,5h,100%,"23 strawberries, 980 deaths.",11493871,Completed,First,"April 19, 2020",5h 02s,,,,,,
90,42818,Minhs2,PC,5h,100%,All challenge levels + ch 9 update,7230156,Completed,First,"October 11, 2018",5h 29s,29h 19m 05s,,,,,
91,42818,liorfigman,PC,5h 02m,70%,,8424235,Completed,First,,5h 02m,,,,,,
92,42818,enagurney,Nintendo Switch,5h 03m,NR,"Just the main game, only 37 strawberries cause if I wanted to get strawberries I'd go to the grocery store",7652252,Completed,First,"January 06, 2019",5h 03m,,,,,,
93,42818,Kirich,PC,5h 03m,70%,,8749376,Completed,First,"May 10, 2019",5h 03m 14s,,,,,,
94,42818,,Nintendo Switch,5h 03m,NR,,5727903,Completed,First,,5h 03m 32s,,,,,,
95,42818,,PC,5h 03m,NR,,9022471,Completed,First,,5h 03m 42s,,,,,,
96,42818,slickochet,Nintendo Switch,5h 05m,NR,Only got a few strawberries,5881862,Completed,First,"February 25, 2018",5h 05m,,,,,,
97,42818,BrawBeard,Xbox One,5h 07m,80%,,7983219,Completed,First,"January 28, 2019",5h 07m 01s,,,,,,
98,42818,Private,Xbox One,5h 07m,100%,33 strawberries,7892648,Completed,First,"January 06, 2019",5h 07m 30s,,,,,,
99,42818,LonerStoner,Xbox One,5h 07m,NR,,7948672,Completed,First,"January 05, 2019",5h 07m 32s,,,,,,
100,42818,Darksage5,PC,5h 08m,90%,"969 Deaths, 69/175 Strawberries Collected",9048619,Completed,First,"July 27, 2019",5h 08m,,,,,,
101,42818,Akashdeep3469,Xbox One,5h 08m,NR,,8882890,Completed,First,"June 04, 2019",5h 08m 44s,,,,,,
102,42818,DermoPower,PC,5h 09m,NR,"51/175 Strawberries, 919 Deaths, Beat Celeste Classic, No Crystal Hearts",9475973,Completed,First,"August 29, 2019",5h 09m,,,,,,
103,42818,Metakirby22,Nintendo Switch,5h 09m,NR,,5829213,Completed,First,"February 13, 2018",5h 09m 50s,,,,,,
104,42818,DMC_Dante,Xbox One,5h 10m,NR,,8060806,Completed,Replay,,5h 10m 03s,,,,,,
105,42818,Nader_Hakami,PC,5h 10m,NR,,8339245,Completed,First,"February 23, 2019",5h 10m 44s,,,,,,
106,42818,cellslayer78,Nintendo Switch,5h 11m,90%,,5774684,Completed,First,"February 04, 2018",5h 11m 11s,,,,,,
107,42818,Jach,Xbox One,5h 13m,NR,,11421179,Completed,First,"April 12, 2020",5h 13m,,,,,,
108,42818,,Nintendo Switch,5h 13m,NR,,7404146,Completed,First,,5h 13m 20s,,,,,,
109,42818,MrROBINKONG,Nintendo Switch,5h 13m,80%,"Imgame timer: 4:40:57.098, 72 Strawberrys, 842 Deaths",10161830,Completed,First,"February 27, 2020",5h 13m 34s,,,,,,
110,42818,Thranto,PC,5h 14m,90%,74 Strawberries,5743604,Completed,First,"February 06, 2018",5h 14m,,,,,,
111,42818,sagesfootball20,Nintendo Switch,5h 14m,NR,Completed summit; 950 deaths,7930371,Completed,First,"November 28, 2019",5h 14m,,,,,,
112,42818,Slicemage,PC,5h 14m,70%,,9102048,Completed,First,"July 07, 2019",5h 14m 39s,,,,,,
113,42818,WearingThin,Nintendo Switch,5h 15m,NR,"Gave up at around chapter 4 going for strawberries when I came across them, so only 40 of them and nearly 900 deaths",7052336,Completed,First,"September 14, 2018",5h 15m,,,,,,
114,42818,TheJackXBL,PC,5h 15m,100%,,10773550,Completed,First,"August 16, 2019",5h 15m 32s,,,,,,
115,42818,,PC,5h 18m,NR,,8011326,Completed,First,,5h 18m,,,,,,
116,42818,,PC,5h 19m,NR,,11995134,Completed,First,,5h 19m 09s,,,,,,
117,42818,coldvantage,Xbox One,5h 19m,90%,,7910728,Completed,First,"January 01, 2019",5h 19m 35s,,,,,,
118,42818,Flourite,Nintendo Switch,5h 19m,70%,"Almost no side content completed - 24 strawberries, 1 B-side tape",7973915,Completed,First,"January 06, 2019",5h 19m 49s,,,,,,
119,42818,chill,Nintendo Switch,5h 19m,NR,,10546301,Completed,First,"December 05, 2019",5h 19m 55s,,,,,,
120,42818,opkij,PC,5h 20m,NR,,5774422,Completed,First,"February 04, 2018",5h 20m,,,,,,
121,42818,Private,Nintendo Switch,5h 20m,NR,,8262278,Completed,First,"February 14, 2019",5h 20m,,,,,,
122,42818,,Xbox One,5h 20m,NR,,10526959,Completed,First,,5h 20m 48s,,,,,,
123,42818,Imfireup,PC,5h 21m,NR,,8045139,Completed,First,"January 16, 2019",5h 21m 03s,,,,,,
124,42818,Private,PC,5h 21m,NR,,6685540,Completed,First,"August 01, 2018",5h 21m 40s,,,,,,
125,42818,DarkFireUmad,PC,5h 22m,90%,,11688304,Completed,First,"May 09, 2020",5h 22m 11s,,,,,,
126,42818,fiffer,Xbox One,5h 23m,NR,,8211409,Completed,First,"February 17, 2019",5h 23m,,,,,,
127,42818,KlausKappa,PC,5h 23m,NR,Collected some strawberrys. Counted chapter 7 as the end of the main story.,11316110,Completed,First,"April 01, 2020",5h 23m 24s,,,,,,
128,42818,stefan12123434,PC,5h 25m,100%,,9549628,Completed,First,,5h 25m,,,,,,
129,42818,Bozboy,PC,5h 26m,100%,"Chapters 1-7, 1039 deaths and 69 strawberries",11033895,Completed,Replay,"February 22, 2020",5h 26m,,,,,,
130,42818,GabrielCorrea,PC,5h 27m,100%,,9454516,Completed,First,"November 29, 2019",5h 27m,,,,,,
131,42818,,PC,5h 27m,NR,,9558283,Completed,First,,5h 27m 46s,,,,,,
132,42818,Fivda,PC,5h 28m,NR,,5731525,Completed,First,"January 30, 2018",5h 28m,,,,,,
133,42818,,PC,5h 28m,NR,,10688551,Completed,First,,5h 28m 55s,,,,,,
134,42818,King_K,Nintendo Switch,5h 28m,80%,,10626365,Completed,First,"January 14, 2020",5h 28m 55s,10h,,,,,
135,42818,ripewithdecay,Nintendo Switch,5h 29m,90%,,7533756,Completed,First,"November 28, 2018",5h 29m 19s,,,,,,
136,42818,Linx,PC,5h 29m,80%,"Mountain Summit, 88/175 Strawberries, 1146 Deaths",9519733,Completed,First,"October 03, 2019",5h 29m 40s,,,,,,
137,42818,Alex5101,Nintendo Switch,5h 30m,100%,,7579243,Completed,First,"January 22, 2019",5h 30m,,,,,,
138,42818,ArturGG,Nintendo Switch,5h 30m,NR,,9502099,Completed,First,"September 01, 2019",5h 30m,,,,,,
139,42818,BelthicGaming,PC,5h 30m,80%,,9067415,Completed,First,"July 16, 2019",5h 30m,,,,,,
140,42818,Deltoid_Steep,Nintendo Switch,5h 30m,NR,,6824426,Completed,First,,5h 30m,,,,,,
141,42818,dasmole,Nintendo Switch,5h 30m,NR,,7916934,Completed,First,"January 02, 2019",5h 30m,,,,,,
142,42818,tatoonie,PC,5h 30m,NR,Everything but Golden Strawberries,10754469,Custom List 2 Completed,First,"January 18, 2020",5h 30m 48s,30h 28m 20s,,,30h 28m 20s /,,
143,42818,marcosmonelos,PC,5h 31m,80%,,11359634,Completed,First,"April 05, 2020",5h 31m,,,,,,
144,42818,EyceScherer,PC,5h 32m,NR,,8070257,Completed,First,"January 28, 2019",5h 32m,,,,,,
145,42818,SashaZ,Nintendo Switch,5h 32m,NR,,6922201,Completed,First,"August 26, 2018",5h 32m 41s,10h 03m,,,,,
146,42818,luminantAegis,Nintendo Switch,5h 33m,100%,A-Side - 🍓 x 35 / 175 • 💀 x 1050 • In Game Timer: 5:33:07.682,6944141,Completed,First,"August 29, 2018",5h 33m 07s,,,,,,
147,42818,theletterN,Nintendo Switch,5h 34m,70%,,11733879,Completed,First,2019,5h 34m,,,,,,
148,42818,seciden,PC,5h 34m,NR,,8233519,Completed,First,"February 09, 2019",5h 34m 01s,,,,,,
149,42818,Snowyy_,Nintendo Switch,5h 34m,NR,,9381338,Completed,First,"August 17, 2019",5h 34m 17s,,,,,,
150,42818,,Xbox One,5h 34m,NR,,10914220,Completed,First,,5h 34m 21s,,,,,,
151,42818,,Nintendo Switch,5h 35m,NR,,5969986,Completed,First,,5h 35m,,,,,,
152,42818,Private,Xbox One,5h 35m,90%,1325 deaths,10366495,Completed,First,"November 04, 2019",5h 35m,,,,,,
153,42818,Renmus,PC,5h 35m,80%,,10892751,Completed,First,"January 26, 2020",5h 35m,,,,,,
154,42818,magnudae,PC,5h 35m,NR,,7322992,Completed,First,"July 25, 2018",5h 35m,,,,,,
155,42818,Lecko,Nintendo Switch,5h 35m,100%,,9176759,Completed,First,"July 17, 2019",5h 35m 07s,,,,,,
156,42818,PXSausage,Xbox One,5h 36m,100%,"Chapters 1-7, 42 strawberries, 1263 deaths.",7950336,Completed,First,"January 05, 2019",5h 36m,,,,,,
157,42818,,Nintendo Switch,5h 36m,NR,,11819045,Completed,Replay,,5h 36m 24s,,,,,,
158,42818,MistSF,PC,5h 36m,NR,Main Story First try,11696538,Playing Completed,First,"May 10, 2020",5h 36m 33s,,,,,,
159,42818,Bozboy,Xbox One,5h 36m,70%,51 strawberries 1720 deaths 8 crystal hearts 2 CDs A-side only,8034422,Completed,First,"January 10, 2019",5h 36m 51s,8h 39m 43s,,,,,
160,42818,CelticLion17,Nintendo Switch,5h 37m,90%,,8613470,Completed,First,"January 02, 2020",5h 37m 48s,,,,,,
161,42818,revcr,PC,5h 37m,NR,,9501328,Completed,First,"August 31, 2019",5h 37m 50s,,,,,,
162,42818,Mewa,Nintendo Switch,5h 38m,80%,,11893231,Completed,First,"June 03, 2020",5h 38m,,,,,,
163,42818,beearmy,Xbox One,5h 38m,80%,,8358659,Completed,First,"February 25, 2019",5h 38m,,,,,,
164,42818,haisoj,Nintendo Switch,5h 39m,90%,"69/175 strawberries, 892 deaths. From in game end screen.",6015697,Completed,First,"March 22, 2018",5h 39m 07s,,,,,,
165,42818,,PC,5h 40m,NR,,11736898,Completed,First,,5h 40m,,,,,,
166,42818,skateman222,PC,5h 40m,NR,,11147315,Completed,First,"June 14, 2018",5h 40m,,,,,,
167,42818,O__Igor__O,PC,5h 40m,70%,First Playthrough (Chapters 1-7) — No assist — 26/175 Strawberries — 1077 deaths — 4 Tapes — 1 Heart,11937846,Completed,First,"June 10, 2020",5h 40m 39s,,,,,,
168,42818,HighOverseer,Xbox One,5h 42m,70%,,10176477,Completed,First,"October 02, 2019",5h 42m 43s,,,,,,
169,42818,Granolant,PC,5h 43m,NR,,8062939,Completed,First,"January 18, 2019",5h 43m,,1h 40m 03s,,,,
170,42818,tiamat911,PC,5h 43m,100%,Played the 7 chapters until I got the end credtis. 894 deaths,9474628,Completed,First,"November 07, 2019",5h 43m,,,,,Version owned and played: Digital copy (Epic Games Store),
171,42818,Dam1an2011,Nintendo Switch,5h 43m,NR,,9645461,Completed,First,"September 14, 2019",5h 43m 06s,,,,,,
172,42818,Jobius,Nintendo Switch,5h 43m,90%,34/175 strawberries - 1292 deaths,9191955,Completed,First,"December 28, 2019",5h 43m 27s,,,,,,
173,42818,Nordie,Nintendo Switch,5h 44m,NR,,7842942,Completed,First,"January 26, 2019",5h 44m 28s,,,,,,
174,42818,cabal901,PC,5h 44m,NR,in game time,8254816,Completed,First,"February 12, 2019",5h 44m 32s,,,,,,
175,42818,alexisplaying,PC,5h 45m,90%,,7443407,Completed,First,"March 28, 2018",5h 45m,,,,,,
176,42818,chavaflyfree,Nintendo Switch,5h 45m,90%,,10420031,Completed,First,"November 15, 2019",5h 45m,,,,,,
177,42818,Axyron,PC,5h 45m,NR,,8177787,Completed,First,"February 01, 2019",5h 45m 42s,,,,,,
178,42818,Odma,PC,5h 47m,90%,,9612455,Completed,First,"October 13, 2019",5h 47m,,,,,,
179,42818,Moist_Wrist,PC,5h 47m,80%,1215 deaths lol,9475038,Completed,First,"December 18, 2019",5h 47m 20s,,,,,,
180,42818,,PC,5h 48m,NR,,9535402,Completed,First,,5h 48m 24s,,,,,,
181,42818,Mosky,PC,5h 49m,90%,89 Strawberries,9501113,Completed,First,"August 31, 2019",5h 49m 57s,,,,,89 Strawberries,
182,42818,Hotcakes,Nintendo Switch,5h 50m,NR,,7729220,Completed,First,"December 24, 2018",5h 50m,,,,,,
183,42818,Nyto,PC,5h 50m,90%,,11969224,Completed,First,"June 12, 2020",5h 50m,,,,,,
184,42818,,Nintendo Switch,5h 50m,NR,,6177911,Completed,First,,5h 50m 48s,,,,,,
185,42818,FancyKilerWales,Xbox One,5h 51m,NR,"30/175 Strawberries, 1546 Deaths",7910526,Completed,First,"January 01, 2019",5h 51m 33s,,,,,,
186,42818,Youjair,PC,5h 51m,90%,"75/175 strawberries, 1201 deaths",11521244,Completed,First,"April 22, 2020",5h 51m 34s,,,,,,
187,42818,DigitalScroogeMcDuck,Nintendo Switch,5h 52m,NR,"1583 deaths, 5:52:20.690",8040444,Custom List Completed,First,"April 29, 2020",5h 52m 21s,,,,,,
188,42818,Maruko,Nintendo Switch,5h 53m,NR,,11328115,Completed,First,"April 02, 2020",5h 53m,,,,,,
189,42818,mrcrimpbiscuit,PlayStation 4,5h 53m,70%,666 deaths lol. 50 strawberries.,10440862,Completed,First,"November 17, 2019",5h 53m 23s,,,,,,
190,42818,Private,Xbox One,5h 54m,90%,,8531439,Completed,First,"March 27, 2019",5h 54m,,,,,,
191,42818,KeunGom,PlayStation 4,5h 54m,NR,,8008944,Completed,First,"October 10, 2018",5h 54m,,,,,,
192,42818,ayanami3,Xbox One,5h 54m,NR,,7912694,Completed,First,"January 06, 2019",5h 54m,,,,,,
193,42818,n0ldor,PC,5h 54m,NR,,11395201,Completed,First,"April 09, 2020",5h 54m 30s,,,,,,
194,42818,Private,Nintendo Switch,5h 55m,70%,,10899477,Completed,First,"February 02, 2020",5h 55m 02s,,,,,,
195,42818,c4rl0sbr4v0,Xbox One,5h 56m,80%,,8207607,Completed,First,"February 04, 2019",5h 56m,,,,,,
196,42818,erenmacalino,PC,5h 56m,90%,,8300481,Completed,First,"February 19, 2019",5h 56m,,,,,,
197,42818,Tonyx,Nintendo Switch,5h 57m,80%,Main levels + Core,7798216,Completed,First,"February 03, 2019",5h 57m 03s,7h 14m 33s,,,,,
198,42818,PickleLorde,PC,5h 57m,NR,,9383216,Completed,First,,5h 57m 45s,,,,,,
199,42818,andrelvb,PC,5h 58m,100%,,5765501,Completed,First,"February 11, 2018",5h 58m,,,,,,
200,42818,Masterofhoenn,Xbox One,5h 58m,NR,,8053662,Completed,First,"January 18, 2019",5h 58m 41s,,,,,,
201,42818,jhonatanmorfim,PC,5h 59m,NR,,8314632,Completed,First,"February 20, 2019",5h 59m,,,,,,
202,42818,,Nintendo Switch,6h,NR,,5848395,Completed,First,,6h,7h 06m,,,,,
203,42818,,PC,6h,NR,Mostly ignored Strawberries and Retro levels,9467278,Completed,First,,6h,,,,,,
204,42818,,Nintendo Switch,6h,NR,,9682153,Completed,First,,6h,,,,,,
205,42818,,PC,6h,NR,,10671516,Completed,First,,6h,,,,,,
206,42818,AndrewTziAnChan,PC,6h,70%,Got to the summit. Didn't complete core.,11858358,Completed,First,"May 28, 2020",6h,,,,,,
207,42818,BioHazard,PC,6h,80%,,8075865,Completed,First,"January 26, 2019",6h,,,,,,
208,42818,DerpzKing,PC,6h,NR,,8549401,Playing Completed,First,"January 19, 2019",6h,13h,,30h,,,
209,42818,Dragonboneur,PC,6h,NR,,7208891,Completed,First,,6h,,,,,,
210,42818,Emeldiz,PC,6h,100%,,10521661,Completed,First,"November 18, 2019",6h,,,,,,
211,42818,Finwar,PC,6h,NR,,8986058,Completed,First,"June 17, 2019",6h,,,,,,
212,42818,I_am_nobody,PC,6h,NR,,5746645,Completed,First,"January 29, 2018",6h,,,,,,
213,42818,Lew_ser,PC,6h,90%,"main story, some b sides, 98 strawberries",10793721,Completed Retired,First,"January 11, 2020",6h,,,,,,
214,42818,LucRProductions,Nintendo Switch,6h,NR,,6036569,Completed,First,,6h,,,,,,
215,42818,MagmaRam,PC,6h,NR,,6719527,Playing Completed,First,,6h,,,,,,
216,42818,Pangin,Nintendo Switch,6h,100%,,6372866,Completed,First,"June 09, 2018",6h,,,,,,
217,42818,Poonji,PC,6h,100%,,8189399,Completed,First,"April 20, 2018",6h,20h,,48h 42m 51s,,,
218,42818,Poplecznik,PC,6h,NR,,11841693,Completed,First,"May 26, 2020",6h,,,,,,
219,42818,Rickyspr,Nintendo Switch,6h,NR,,11395768,Completed,First,"April 09, 2020",6h,,,,,,
220,42818,Rin,PC,6h,NR,,6625047,Completed,First,,6h,,,,,,
221,42818,XxobbsxX,PC,6h,100%,,11009262,Completed,First,,6h,8h,,,,,
222,42818,cojoha32,Nintendo Switch,6h,60%,,11549164,Completed,First,"May 10, 2020",6h,,,,,,
223,42818,Private,PC,6h,70%,,9517050,Completed,First,"October 28, 2019",6h,,,,,Epic,
224,42818,gantzvigor,Nintendo Switch,6h,NR,,11037921,Completed,First,"February 23, 2020",6h,,,,,,
225,42818,mickeyc22,Xbox One,6h,70%,,10567599,Completed,First,"March 05, 2019",6h,,,,,,
226,42818,robogiraffe,Nintendo Switch,6h,90%,Got 96 strawberries. No hearts. Died 834 times. Beat Celeste Classic. In-game time said 5:24:28.604,5736663,Completed,First,"January 27, 2018",6h,,,,,,
227,42818,sturdyserpent,Nintendo Switch,6h,100%,,7395338,Completed,First,,6h,,,18h,,,
228,42818,,PC,6h,NR,"Not rushed, 115 strawberries",5932129,Completed,First,,6h 10s,,,,,,
229,42818,,Nintendo Switch,6h,NR,,6088664,Completed,First,,6h 32s,,,,,,
230,42818,Melbo,PC,6h 01m,80%,,10276883,Completed,First,,6h 01m 07s,,,,,,
