,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Main Story,Completion,Main+Extras,Completionist,Progress,Speedrun,Personal Notes,Co-Op
33,30385,Doomes,PC,3h 54m,80%,,5494433,Completed,First,3h 54m 51s,"December 20, 2017",,,,,,
34,30385,,PC,3h 55m,NR,,3222216,Completed,First,3h 55m,,,,,,,
35,30385,Zurvion,PC,3h 55m,NR,,4682833,Completed,First,3h 55m,,,,,,,
36,30385,Fresded4ty,PlayStation Vita,3h 55m,90%,This was me playing genocide I'm going to play pacifist some other time to get the dog shrine trophies,5012054,Completed,First,3h 55m 27s,"September 06, 2017",,,,,Btw I'm playing genocide if that's what u would call it,
37,30385,,PC,4h,NR,,1929313,Completed,First,4h,,6h,8h,,,,
38,30385,,PC,4h,NR,,1946495,Completed,First,4h,,9h,14h 30m,,,,
39,30385,,PC,4h,NR,,2024107,Completed,First,4h,,5h,13h,,,,
40,30385,,PC,4h,NR,,2567358,Completed,First,4h,,,,,,,
41,30385,,PC,4h,NR,,7952774,Completed,First,4h,,,,,,,
42,30385,,Nintendo Switch,4h,NR,,8397068,Completed,First,4h,,5h,10h,,,,
43,30385,AidanAK47,PC,4h,70%,,2457047,Completed,First,4h,"January 28, 2016",,,,,,
44,30385,AvariceX,PC,4h,NR,,3689116,Completed,First,4h,,,40h,,,,
45,30385,Churd,PC,4h,NR,"Using Steam hours, not exact time.",12043308,Completed,First,4h,"December 25, 2016",,,,,,
46,30385,Framaaw_,PC,4h,NR,,7930350,Completed,Replay,4h,"December 28, 2018",,,,,,
47,30385,Inn0cu0us,PC,4h,NR,,3377339,Completed,First,4h,"August 30, 2016",,,,,,
48,30385,Kikkelipaa666,PC,4h,70%,,3570887,Backlog Completed,First,4h,"October 31, 2016",,,,,,
49,30385,Midos,PC,4h,NR,Neutral route,9028029,Backlog Completed,First,4h,"June 25, 2019",,,,,,
50,30385,Private,PC,4h,NR,,2343450,Completed,First,4h,"January 17, 2016",,,,,,
51,30385,SwordSaint892,PC,4h,100%,"Neutral Route, True Pacifist Route and Genocide Route.",2867846,Completed,First,4h,,7h,12h,,,,
52,30385,ThePlunderer,Nintendo Switch,4h,NR,,9097460,Completed,First,4h,"July 07, 2019",,,,,,
53,30385,Private,PC,4h,NR,Genocide route,8813362,Replay Completed,Replay,4h,"May 19, 2019",,,,,,
54,30385,Zandareth,PC,4h,90%,,5874098,Completed,First,4h,"August 10, 2015",,,,,,
55,30385,Zumigon,PC,4h,80%,,10512522,Replay Completed,Replay,4h,"November 30, 2019",,12h,31h /,,,
56,30385,bobkendall,PC,4h,30%,,2511535,Completed,First,4h,,,,,,,
57,30385,cabriolet6,PC,4h,80%,,2553067,Completed,First,4h,"February 10, 2016",,,,,,
58,30385,colonelchibbers,PC,4h,90%,,1908375,Completed,First,4h,"October 04, 2015",,,,,,
59,30385,lVlajora,PC,4h,90%,,6298196,Completed,First,4h,,,,,,,
60,30385,mrbaggs,PlayStation 4,4h,NR,,5688917,Completed,First,4h,"January 18, 2018",,,,,,
61,30385,nebulaotf,PC,4h,NR,,9143267,Completed,First,4h,"June 29, 2019",11h,22h,,,,
62,30385,pavlov,Nintendo Switch,4h,NR,,10322309,Completed,First,4h,"September 08, 2019",,,,,Played through one Sunday afternoon and really enjoyed it. Maybe someday I'll go back and do a genocide or pacifist run,
63,30385,janusphoenix,Nintendo Switch,4h 04m,80%,,8674687,Completed,First,4h 04m,"April 29, 2019",,,,,,
64,30385,,PC,4h 05m,NR,,2225498,Completed,First,4h 05m 21s,,,,,,,
65,30385,totaporto,PC,4h 06m,90%,,8671442,Completed,First,4h 06m,"April 25, 2019",,,,,Finished in a '' Neutral '' way.,
66,30385,,PC,4h 10m,NR,,1969209,Completed,First,4h 10m 21s,,9h 45m 08s,27h 58m 36s,,,,
67,30385,Private,PC,4h 10m,90%,,11270919,Completed,First,4h 10m 25s,"July 19, 2017",,,,,,
68,30385,bloodiris0312,PC,4h 11m,NR,,3887706,Completed,First,4h 11m,"January 15, 2017",5h 55m 30s,,,,True Pacifist.,
69,30385,Linkstreeter,PC,4h 12m,NR,,8381452,Completed,First,4h 12m,"March 01, 2019",,,,,,
70,30385,Lisek,PC,4h 12m,100%,True Ending route,2374809,Completed,First,4h 12m,"December 26, 2015",5h 53m 01s,,,,,
71,30385,sagesfootball20,Nintendo Switch,4h 12m,NR,,10171968,Completed,First,4h 12m 11s,"November 27, 2019",,,,,,
72,30385,mito_cl,Nintendo Switch,4h 13m,50%,,8270223,Completed,First,4h 13m,"March 06, 2019",,,,,,
73,30385,,PC,4h 15m,NR,,12027073,Completed,First,4h 15m,,,,,,,
74,30385,robogiraffe,PC,4h 15m,70%,mixed run,7054478,Completed,First,4h 15m,"September 16, 2018",,,,,,
75,30385,,PC,4h 17m,NR,Easily playable more than one time.,2050495,Completed,Replay,4h 17m,,4h 40m,,,,,
76,30385,seciden,PC,4h 18m,NR,,7541917,Completed,First,4h 18m,"November 27, 2018",,,,,,
77,30385,WillSnow,PC,4h 18m,NR,,6570944,Completed,First,4h 18m 27s,"July 11, 2018",,,,,,
78,30385,brettyoshi9,PC,4h 19m,100%,,10164051,Completed,First,4h 19m,"September 29, 2019",,17h 55m,,,,
79,30385,ClawViper,PC,4h 19m,60%,,10794272,Completed,First,4h 19m 43s,"January 11, 2020",,,,,,
80,30385,ThaJyesta,PC,4h 20m,NR,,3235966,Completed,First,4h 20m,"August 08, 2016",,,,,,
81,30385,XxobbsxX,PC,4h 20m,90%,,11009219,Replay Completed,First,4h 20m,,6h,,6h /,,,
82,30385,elemiah,PC,4h 20m,100%,,2605302,Completed,First,4h 20m,"February 18, 2016",,,,,,
83,30385,Private,PC,4h 20m,NR,,4738159,Completed,First,4h 20m,"July 11, 2017",,,,,,
84,30385,plattym3,PlayStation Vita,4h 20m,30%,,6658952,Completed,First,4h 20m,"July 27, 2018",,,,,,
85,30385,pdollar88,Nintendo Switch,4h 20m,NR,,8570709,Completed,First,4h 20m 19s,"April 05, 2019",,,,,,
86,30385,theworldisadrag,Mac,4h 21m,100%,"first run, neutral.",2414490,Completed,First,4h 21m,"January 13, 2016",,,,,,
87,30385,Sertara,Nintendo Switch,4h 22m,70%,,7217214,Completed,First,4h 22m,"May 20, 2020",,,,,,
88,30385,,PC,4h 24m,NR,,2333528,Completed,First,4h 24m,,,,,,,
89,30385,AlenaChen,PC,4h 24m,NR,,2194464,Completed,First,4h 24m,"December 07, 2015",,,,,,
90,30385,Eira,PC,4h 24m,NR,Just a nutruel - genocide run. Not true genocide.,2800993,Completed,First,4h 24m 21s,"March 30, 2016",,,,,,
91,30385,,PC,4h 26m,NR,,10883414,Completed,First,4h 26m,,,,,,,
92,30385,Private,PC,4h 26m,100%,,5206513,Completed,Replay,4h 26m,"October 23, 2017",,,,,,
93,30385,Lumazone,Nintendo Switch,4h 26m,NR,,11229792,Completed,Replay,4h 26m 23s,"March 30, 2020",,,,,,
94,30385,Zapkaos,Nintendo Switch,4h 28m,80%,,9565252,Completed,First,4h 28m,"September 08, 2019",,,,,,
95,30385,zpattack12,PC,4h 28m,80%,Neutral Run,3191858,Completed,First,4h 28m,"July 07, 2016",,,,,,
96,30385,Flourite,PC,4h 28m,100%,,1959488,Completed,First,4h 28m 42s,"October 15, 2015",,,,,,
97,30385,,PC,4h 30m,NR,,2406228,Completed,First,4h 30m,,,,,,,
98,30385,,PC,4h 30m,NR,,2516672,Completed,First,4h 30m,,,,,,,
99,30385,,PC,4h 30m,NR,,3233338,Completed,First,4h 30m,,,,,,,
100,30385,,PC,4h 30m,NR,,11837641,Completed,First,4h 30m,,,,,,,
101,30385,303204002,PlayStation Vita,4h 30m,80%,,6963940,Completed,First,4h 30m,,,,,,,
102,30385,ClassicMozilla,PC,4h 30m,NR,,5441614,Completed,First,4h 30m,"December 09, 2017",,,,,,
103,30385,TiavioliGaming,PC,4h 30m,50%,,8995188,Completed,First,4h 30m,"June 19, 2019",,,,,,
104,30385,Private,PC,4h 30m,NR,Genocide run completed,2835523,Completed,First,4h 30m,"April 09, 2016",,,,,,
105,30385,Private,PC,4h 30m,NR,,3766176,Completed,First,4h 30m,"December 14, 2016",,,,,,
106,30385,sim_lej,Mac,4h 30m,NR,,10227570,Completed,First,4h 30m,"October 10, 2019",,,,,,
107,30385,patovaly,PC,4h 30m,NR,Neutral Route,4067590,Completed,First,4h 30m 23s,"February 14, 2017",,,,,,
108,30385,,PC,4h 30m,NR,"I did not complete this, as this category requires doing neutral, true pacifist and genocide. I decided not to do genoci",11430170,Completed,First,4h 30m 30s,,8h 28m 49s,,,,,
109,30385,Private,PC,4h 31m,NR,Neutral ending...god what did I do,2366821,Completed,First,4h 31m 52s,"February 02, 2016",,,,,,
110,30385,morayabyss,PlayStation Vita,4h 33m,30%,,10492171,Completed,First,4h 33m,"November 28, 2019",,,,,,
111,30385,jakej1020,PC,4h 33m,NR,,3286925,Completed,First,4h 33m 09s,"August 17, 2016",,,,,,
112,30385,VonDozier,PC,4h 34m,100%,,1926767,Completed,First,4h 34m 49s,"October 09, 2015",,,,,,
113,30385,thatdamnv3,Nintendo Switch,4h 34m,90%,,7532224,Completed,First,4h 34m 52s,"February 23, 2019",,,,,,
114,30385,,PC,4h 35m,NR,"First run, Neutral Style",7344289,Completed,First,4h 35m,,,,,,,
115,30385,heartlessvi,PC,4h 36m,NR,,11400935,Completed,First,4h 36m,"April 09, 2020",,,,,,
116,30385,no_great_name,PC,4h 36m,NR,,2820443,Completed,First,4h 36m,,,,,,,
117,30385,smaczny,PC,4h 36m,NR,,3794788,Completed,First,4h 36m,,,,,,,
118,30385,,PlayStation 4,4h 36m,NR,,5579233,Completed,First,4h 36m 40s,,,,,,,
119,30385,GoldenSpaceman,PlayStation 4,4h 37m,80%,Achieved platinum trophy,5524289,Completed,First,4h 37m 12s,"December 28, 2017",,5h 35m 34s,,,,
120,30385,slickochet,PC,4h 37m,NR,"Killed all main bosses (including final) and anything else. Got ""It's kill or be killed ending"".",3149652,Completed,First,4h 37m 49s,"July 05, 2016",,,,,,
121,30385,handheldgirl,PlayStation Vita,4h 38m,70%,Peaceful ending.,6186936,Completed,First,4h 38m,"May 02, 2020",,,,,,
122,30385,mtorpey,PC,4h 39m,NR,,1918229,Completed,First,4h 39m 13s,"October 07, 2015",,,,,,
123,30385,Kronological,PC,4h 39m,90%,Neutral + Pacifist + Genocide Route,5521966,Completed,First,4h 39m 42s,"October 04, 2015",9h 47m 33s,17h 50m 28s,,,"Routes were completed at different times- Neutral in fall of 2015, Pacifist in summer of 2016, Genocide in spring of 2017.",
124,30385,,Mac,4h 40m,NR,Neutral Ending,11634507,Completed,First,4h 40m,,,,,,,
125,30385,Angietsune,PC,4h 40m,80%,"Neutral, pacifist and genocide",7264726,Completed,Replay,4h 40m,,17h,,,,,
126,30385,sandworms,Nintendo Switch,4h 40m,NR,,8422149,Completed,First,4h 40m,"March 07, 2019",,,,,,
127,30385,bsinky,PC,4h 41m,NR,Neutral route,7113044,Completed,First,4h 41m 31s,"May 07, 2020",,,,,,
128,30385,Bazzadwarf,PC,4h 42m,80%,,3170829,Completed,First,4h 42m,"July 08, 2016",,,,,,
129,30385,Thranto,PC,4h 42m,90%,"Spared ASGORE, Killed Flowery",5988600,Completed,First,4h 42m,"March 31, 2018",,,,,,
130,30385,sapphirone,PC,4h 42m,NR,,2963837,Completed,First,4h 42m,"May 13, 2016",,,,,,
131,30385,Simplicity8,PC,4h 44m,NR,Pacifist run.,2818171,Completed,First,4h 44m 17s,"April 03, 2016",6h 53m 58s,,,,"Finished neutral, pacifist, and genocide runs.",
132,30385,Nicoen,PC,4h 45m,60%,,9036576,Completed,First,4h 45m,"September 15, 2019",,,,,,
133,30385,Whalehome,Nintendo Switch,4h 45m,NR,,7300480,Completed,First,4h 45m,"October 22, 2018",,,,,,
134,30385,Private,PC,4h 45m,90%,Neutral Run,10312646,Completed,First,4h 45m 24s,"October 27, 2019",,,,,,
135,30385,KinkyMong,Nintendo Switch,4h 46m,NR,Bad ending because I done a bit of murder,9385929,Completed,First,4h 46m,"August 25, 2019",,,,,,
136,30385,lightmeup,PC,4h 47m,NR,,5858052,Completed,First,4h 47m,"February 18, 2018",,,,,,
137,30385,crdvjavier,Nintendo Switch,4h 51m,70%,,11165854,Completed,First,4h 51m,"February 29, 2020",,,,,,
138,30385,idanlego1001,PC,4h 53m,NR,True pacifist,8120311,Completed,Replay,4h 53m 44s,"January 25, 2019",,,,,,
139,30385,Jeen0808,PC,4h 55m,70%,,3251218,Completed,First,4h 55m 10s,"July 23, 2016",,,,,,
140,30385,Slicemage,PC,4h 56m,30%,,3919056,Completed,First,4h 56m 40s,"April 09, 2019",,,,,,
141,30385,willwill,PC,4h 58m,80%,Neutral Route,3170060,Completed,First,4h 58m,"July 03, 2016",,,,,,
142,30385,,PC,5h,NR,,1962768,Completed,First,5h,,6h,15h,,,,
143,30385,,PC,5h,NR,,2148156,Completed,First,5h,,5h 30m,16h,,,,
144,30385,,PC,5h,NR,,2182410,Completed,First,5h,,20h,,,,,
145,30385,,PC,5h,NR,,3170718,Completed,First,5h,,,,,,,
146,30385,,PC,5h,NR,,4595422,Completed,First,5h,,6h,,,,,
147,30385,,PC,5h,NR,,5216132,Completed,First,5h,,22h,,,,,
148,30385,,Nintendo Switch,5h,NR,,7417241,Completed,First,5h,,12h,,,,,
149,30385,,Nintendo Switch,5h,NR,,7604663,Completed,First,5h,,,,,,,
150,30385,,Nintendo Switch,5h,NR,,9060461,Completed,First,5h,,,,,,,
151,30385,,Nintendo Switch,5h,NR,,9682151,Completed,First,5h,,,,,,,
152,30385,005alpha,PC,5h,70%,,5724613,Completed,First,5h,January 2018,,,,,,
153,30385,1992brandonwood,Nintendo Switch,5h,100%,,7224115,Completed,First,5h,"October 10, 2018",,,,,,
154,30385,40games2beat,Nintendo Switch,5h,NR,,6156692,Completed,First,5h,"July 09, 2019",,,,,,
155,30385,ADIPY,PlayStation 4,5h,NR,,10818392,Completed,Replay,5h,,,,,,,
156,30385,AmateurDan,PC,5h,100%,,2173753,Completed,First,5h,"December 04, 2015",,,,,First run,
157,30385,ArticunoBreeze,PC,5h,80%,,10151610,Completed,First,5h,,,,,,,
158,30385,Avenxer,PC,5h,NR,,4645682,Completed,First,5h,"June 28, 2017",,,,,,
159,30385,BrittleBonesJones,PC,5h,70%,,11078354,Completed,First,5h,,,,,,,
160,30385,CRANTIME,PC,5h,NR,,2375409,Completed,First,5h,"January 07, 2016",,,,,,
161,30385,Cacuu,PC,5h,NR,,7236637,Completed,First,5h,,8h,19h,,,,
162,30385,CoolPotato,Nintendo Switch,5h,NR,As per Switch log (5+hours),7311431,Backlog Completed,First,5h,"December 28, 2018",,,1h 20m /,,,
163,30385,Dachora,PC,5h,80%,,2544910,Completed,First,5h,"February 08, 2016",,,,,,
164,30385,Darthaegis,PC,5h,70%,,3942442,Completed,First,5h,2016,,,,,,
165,30385,Dingoo,PC,5h,NR,,10388799,Completed,First,5h,"November 09, 2019",,,,,,
166,30385,Dispator,PlayStation 4,5h,NR,,10959323,Completed,First,5h,"February 08, 2020",6h,,,,,
167,30385,DoctorT,Nintendo Switch,5h,NR,,10201113,Completed,First,5h,"October 12, 2019",,,,,,
168,30385,Frostie,PC,5h,NR,,10149498,Completed,First,5h,"September 27, 2019",,,,,,
169,30385,Hagi,PC,5h,NR,,2405292,Completed,First,5h,"January 07, 2016",,,,,,
170,30385,Himmelblauchen,Nintendo Switch,5h,NR,,10801179,Completed,First,5h,"January 12, 2020",,,,,,
171,30385,ImLaura,PlayStation 4,5h,80%,,8573239,Completed,First,5h,"October 21, 2018",7h,52h,,,,
172,30385,JJJKopf,PC,5h,NR,,2373009,Completed,First,5h,"January 07, 2016",,,,,,
173,30385,Jailander,PC,5h,NR,,2771313,Completed,First,5h,"March 25, 2016",,,,,,
174,30385,Jorsett,PC,5h,NR,,8725770,Completed,First,5h,,,,,,,
175,30385,KamikotoGasai,PC,5h,NR,,3914340,Completed,First,5h,"January 13, 2017",,,,,,
176,30385,KrispyKyle,PC,5h,70%,,2862262,Completed,First,5h,,,,,,,
177,30385,Lendax,PlayStation Vita,5h,90%,,7407866,Completed,First,5h,"November 09, 2018",,,,,,
178,30385,LordDova,PC,5h,NR,,3462266,Completed,First,5h,"September 27, 2016",,,,,,
179,30385,Lumazone,PC,5h,NR,,11229788,Completed,First,5h,"May 18, 2019",,,,,,
180,30385,MarcosBellido,Nintendo Switch,5h,NR,,9280458,Completed,First,5h,"July 01, 2019",,,,,,
181,30385,Private,PC,5h,NR,,6546016,Completed,First,5h,"July 08, 2018",,,,,,
182,30385,Miszelek,PC,5h,NR,,3984569,Completed,First,5h,"January 29, 2017",,,,,,
183,30385,NTFW,Nintendo Switch,5h,NR,,6086323,Completed,First,5h,"November 09, 2019",,,,,,
184,30385,NikDude,PC,5h,40%,,4544049,Completed,First,5h,"January 15, 2018",,,,,,
185,30385,Qyrie,PC,5h,NR,,6472175,Completed,First,5h,,,,,,,
186,30385,Rickyspr,Nintendo Switch,5h,NR,,10756302,Completed,First,5h,"January 05, 2020",,,,,,
187,30385,Tarrmu,Nintendo Switch,5h,NR,,9514433,Completed,First,5h,"October 29, 2019",,,,,,
188,30385,Vectrexplosion,Nintendo Switch,5h,NR,,7959782,Completed Retired,First,5h,"January 06, 2019",12h,,,,,
189,30385,alevit,Nintendo Switch,5h,NR,,8125908,Completed,First,5h,"May 23, 2019",,,,,,
190,30385,basser94,PC,5h,NR,,3538123,Completed,First,5h,"October 24, 2016",,,,,,
191,30385,bjarkes,Nintendo Switch,5h,NR,,7610949,Completed,First,5h,"December 04, 2018",,,,,,
192,30385,bladefire,PC,5h,NR,,5595142,Completed,First,5h,"January 28, 2018",,,,,,
193,30385,cooliosos,PC,5h,NR,,3638635,Completed,Replay,5h,,,,,,,
194,30385,Private,PC,5h,NR,,4303144,Completed,First,5h,"January 15, 2017",,,,,,
195,30385,danedf,PC,5h,NR,,4039456,Completed,First,5h,"February 08, 2017",,,,,,
196,30385,david_lvov1,PC,5h,90%,Neutral Ending.,2355368,Completed,First,5h,"January 05, 2016",,,,,,
197,30385,davidkp,PC,5h,70%,,10642394,Backlog Completed,First,5h,"December 26, 2019",,,,,,
198,30385,dcmk,PlayStation 4,5h,80%,,5172292,Completed,First,5h,"February 28, 2018",,,,,,
199,30385,fetahundenyoda,PC,5h,60%,,2595421,Completed,First,5h,"February 17, 2016",,,,,,
200,30385,g3ddylee,PlayStation Vita,5h,90%,,5451482,Completed,First,5h,"February 05, 2018",,,,,,
201,30385,geci,PC,5h,80%,,11718134,Completed,First,5h,"December 29, 2015",,,,,,
202,30385,Private,PC,5h,100%,,10275862,Completed,Replay,5h,"October 05, 2019",,,,,,
203,30385,kuddlesac,PC,5h,100%,,10666971,Completed,First,5h,,9h,,,,,
204,30385,kyle_plays_games,PC,5h,NR,,8923753,Completed,First,5h,,,,,,,
205,30385,Private,Nintendo Switch,5h,100%,,7525837,Completed,First,5h,"April 15, 2019",,,,,,
206,30385,mbrick91,PC,5h,NR,,3506442,Completed,First,5h,"October 10, 2016",,,,,,
207,30385,mdemougin,PlayStation Vita,5h,NR,,5494505,Backlog Completed,First,5h,"March 16, 2018",,,,,,
208,30385,pastelninetales,Nintendo Switch,5h,90%,neutral ending,11201336,Completed,First,5h,"June 09, 2020",,,,,,
209,30385,poumpi,PC,5h,70%,,8264368,Completed,First,5h,October 2017,,,,,,
210,30385,raydee99,Mac,5h,NR,,7383109,Completed,First,5h,,,,,,,
211,30385,sarge007,PlayStation Vita,5h,NR,,6139200,Completed,First,5h,"April 17, 2018",,,,,,
212,30385,t1mz,PC,5h,80%,neutral ending,2155609,Completed,First,5h,"November 29, 2015",,,,,,
213,30385,Private,PC,5h,100%,,4041726,Completed,First,5h,"January 04, 2016",,,,,,
214,30385,xNexu5x,PC,5h,90%,,11984630,Completed,First,5h,"October 31, 2018",,,,,,
215,30385,zadoz,PC,5h,50%,,11081644,Completed,First,5h,"February 28, 2020",,,,,,
216,30385,,Nintendo Switch,5h 02m,NR,,8969272,Completed,First,5h 02m 31s,,,,,,,
217,30385,rararakkombo,PC,5h 03m,90%,,2629257,Completed,First,5h 03m,"March 13, 2016",8h,,,,,
218,30385,LegendOfPokemon,PC,5h 04m,100%,,5807129,Backlog Completed,First,5h 04m,2017,,,5h 04m /,,I believe I beat the game in January 2017 if Steam data is correct. Will check to make sure.,
219,30385,Mosky,PC,5h 06m,NR,,2062443,Completed,First,5h 06m,"November 08, 2015",,,,,,
220,30385,,Emulated,5h 06m,NR,,11745521,Completed,First,5h 06m 09s,,,,,,,
221,30385,Criminy,PC,5h 06m,90%,Neutral ending achieved.,3598970,Completed,First,5h 06m 28s,"September 22, 2017",,,,,,
222,30385,butterfield,Nintendo Switch,5h 07m,NR,,11011931,Completed,First,5h 07m 39s,,,,,,,
223,30385,Critter2003,PlayStation Vita,5h 08m,NR,Neutral route,6019167,Completed,First,5h 08m,"March 21, 2018",,,,,,
224,30385,NebulaND,Nintendo Switch,5h 08m,100%,,9549592,Completed,First,5h 08m 14s,"September 07, 2019",,,,,Neutral,
225,30385,Criminy,PlayStation 4,5h 08m,NR,,5430018,Completed,Replay,5h 08m 29s,"December 07, 2017",,,,,Last played: 07/12/17,
226,30385,,PC,5h 10m,NR,,1861945,Completed,First,5h 10m,,,,,,,
227,30385,Private,PC,5h 10m,70%,,4087364,Completed,First,5h 10m,"February 18, 2017",,,,,,
228,30385,JustinBB7,PC,5h 10m,NR,,10815762,Completed,First,5h 10m,"January 14, 2020",,,,,,
229,30385,Private,PC,5h 10m,80%,,3699815,Completed,First,5h 10m,"December 01, 2016",,,,,,
230,30385,seejaylamb,Nintendo Switch,5h 10m,NR,,8299188,Completed,First,5h 10m,"March 06, 2019",,,,,,
231,30385,AminYEK,PC,5h 10m,80%,,11069566,Completed,First,5h 10m 37s,"March 02, 2020",,,,,,
232,30385,TresLeches,Nintendo Switch,5h 11m,70%,,11940307,Completed,First,5h 11m,"June 17, 2020",,,,,,
233,30385,Vallaqan,PC,5h 11m,NR,,2396394,Completed,First,5h 11m,"January 10, 2016",,,,,,
234,30385,GlitchJournal,Nintendo Switch,5h 11m,100%,True ending playthrough; Nintendo Switch specific boss skipped,7188077,Replay Completed,Replay,5h 11m 11s,"October 05, 2018",,,5h 11m 11s /,,,
235,30385,JacksUsername,PC,5h 12m,60%,Neutral Ending,2049467,Completed,First,5h 12m,"December 16, 2015",,,,,,
236,30385,Private,Mac,5h 12m,NR,,3539097,Completed,First,5h 12m,"October 23, 2016",,,,,,
237,30385,stevebloom19,Mac,5h 12m,NR,,3823447,Completed,First,5h 12m,"January 02, 2017",,,,,,
238,30385,Petrov,Nintendo Switch,5h 12m,NR,,7076584,Completed,First,5h 12m 31s,"October 08, 2018",,,,,,
239,30385,Duckhorse,Mac,5h 12m,100%,,6500266,Completed,First,5h 12m 47s,"June 30, 2018",,,,,,
240,30385,,Nintendo Switch,5h 13m,NR,,8367508,Completed,First,5h 13m,,,,,,,
241,30385,henthepig,PC,5h 13m,NR,,11100573,Completed,First,5h 13m,"November 23, 2018",,,,,,
242,30385,rectar2,PC,5h 13m,NR,,2364668,Completed,First,5h 13m,"January 05, 2016",,,,,,
243,30385,,PC,5h 15m,NR,,1966711,Completed,First,5h 15m,,,,,,,
244,30385,9dbc9,Nintendo Switch,5h 15m,70%,,8732237,Completed,First,5h 15m,"January 28, 2020",,,,,,
245,30385,Devi,PlayStation 4,5h 15m,NR,,8416316,Completed,First,5h 15m,"March 06, 2019",,,,,,
246,30385,Private,PC,5h 15m,NR,Neutral route,2280411,Completed,First,5h 15m,"December 27, 2015",,,,,,
