,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Progress,Vs.,Main+Extras,Completionist,Co-Op,Retired Notes,Personal Notes
43,46121,JohnnyPotSmoker,Xbox One,5h 23m,NR,,5296924,Completed,First,"May 11, 2018",5h 23m,,,,,,,
44,46121,endvj,Xbox One,5h 23m,70%,,9296009,Completed,First,"August 03, 2019",5h 23m,,,,,,,
45,46121,andreas0992,PC,5h 25m,NR,,5318180,Completed,First,"February 04, 2018",5h 25m 34s,,,,,,,
46,46121,waveathon,PC,5h 25m,90%,,5372281,Completed,First,"November 24, 2017",5h 25m 42s,,,,,,,
47,46121,Tusk,PC,5h 26m,60%,,5275728,Completed,First,"November 05, 2017",5h 26m,,,,,,,
48,46121,ei02028,PC,5h 26m,80%,,5593615,Completed,First,"January 16, 2018",5h 26m,,,,,,,
49,46121,Private,PlayStation 4,5h 26m,NR,,11965135,Completed,First,"June 11, 2020",5h 26m 39s,,,,,,,
50,46121,lawcash,PC,5h 27m,80%,Regular difficulty.,8934658,Completed,First,"June 12, 2019",5h 27m,,,,,,,
51,46121,BruceL337,PlayStation 4,5h 29m,NR,,5277059,Completed,First,"November 14, 2017",5h 29m,,,,,,,
52,46121,BusterPrime,PC,5h 30m,NR,,6982698,Completed,First,"September 05, 2018",5h 30m,,,,,,,
53,46121,Fistberg,PC,5h 30m,70%,Regular difficulty,10347985,Completed,First,,5h 30m,,,,,,,
54,46121,SnaaakeEater15,PlayStation 4,5h 30m,NR,,11891557,Completed,First,"June 02, 2020",5h 30m,,,,,,,
55,46121,hahe71,PC,5h 30m,NR,,5898067,Completed,First,"February 26, 2018",5h 30m,,,,,,,
56,46121,jcbvickers,PC,5h 30m,60%,,5893748,Completed,First,,5h 30m,,,,,,,
57,46121,mooqul,PlayStation 4,5h 30m,NR,,7218008,Completed,First,"October 09, 2018",5h 30m,,,,,,,
58,46121,z7enX,PC,5h 30m,60%,,6222934,Completed,First,"May 09, 2018",5h 30m,,,,,,,
59,46121,BrickTrain,PC,5h 34m,50%,,10186347,Completed,First,"May 14, 2020",5h 34m,,,,,,,
60,46121,jeenyus024,PlayStation 4,5h 35m,NR,Hardened Mode,11893755,Completed,First,"June 02, 2020",5h 35m,,,,,,,
61,46121,that1gamer,PC,5h 35m,NR,,10322501,Completed,First,"October 29, 2019",5h 35m,,,,,,,
62,46121,Private,PC,5h 36m,NR,,10323203,Completed,First,"October 29, 2019",5h 36m,,,,,,,
63,46121,spawn_92,PC,5h 36m,NR,,11636390,Completed,First,"May 03, 2020",5h 36m,,,,,,,
64,46121,Son_of_a_Pitch,PlayStation 4,5h 36m,80%,"Regular difficulty. Found one collectible, but didn’t go out of my way to find it.",5512637,Completed,First,"January 07, 2018",5h 36m 57s,,18h 02m,,,38m 58s,,
65,46121,tron999,PlayStation 4,5h 38m,NR,,5264544,Completed,First,"November 03, 2017",5h 38m,,,,,,,
66,46121,RiptoR,PC,5h 40m,NR,,9146309,Completed,First,,5h 40m,,,,,,,
67,46121,Private,PC,5h 40m,NR,,5484135,Completed,First,"December 18, 2017",5h 40m 11s,,,,,,,
68,46121,BeestMann,PlayStation 4,5h 40m,70%,,11361973,Completed,First,"April 09, 2020",5h 40m 52s,,,,,,,
69,46121,connorco77,Xbox One,5h 40m,70%,,6388673,Completed Retired,First,"November 18, 2017",5h 40m 52s,,,,,232h 13m 23s,,
70,46121,,PC,5h 42m,NR,,5312978,Completed,First,,5h 42m,,,,,,,
71,46121,bdzz,PC,5h 42m,NR,,10189306,Completed,First,"October 10, 2019",5h 42m,,,,,,,
72,46121,Private,PlayStation 4,5h 42m,NR,Regular difficulty,11836098,Completed,First,"June 01, 2020",5h 42m 05s,,,,,,,
73,46121,Iampurplebrid,PC,5h 43m,NR,,11322439,Completed,First,"April 02, 2020",5h 43m 31s,,,,,,,
74,46121,,PC,5h 45m,NR,,5507750,Completed,First,,5h 45m,,,,,,,
75,46121,,PC,5h 45m,NR,,10193607,Completed,First,,5h 45m,,,,,,,
76,46121,Hottston,Xbox One,5h 45m,60%,,5254106,Completed,First,"March 28, 2018",5h 45m,,,,,,,
77,46121,KMoney,Xbox One,5h 47m,90%,,5639273,Completed,First,"May 24, 2018",5h 47m,,,,,,,
78,46121,Demeshnik,PC,5h 48m,NR,,8463760,Completed,First,"March 14, 2019",5h 48m,,,,,,,
79,46121,theplump,PC,5h 48m,70%,,4579658,Completed,First,"December 29, 2017",5h 48m,,,,,,,
80,46121,Private,PC,5h 50m,NR,,10228222,Completed,First,"November 17, 2019",5h 50m,,,,,,,
81,46121,Fichox,PC,5h 50m,80%,,10372056,Completed,First,"November 06, 2019",5h 50m,,,,,,,
82,46121,Private,PC,5h 50m,NR,,11577594,Completed,First,"May 18, 2020",5h 50m,,,,,,,
83,46121,Thekoolbean,Xbox One,5h 50m,80%,,5259092,Completed,First,"November 11, 2017",5h 50m,,,,,,,
84,46121,liquidblasted,PC,5h 51m,NR,,5467427,Completed,First,"December 15, 2017",5h 51m,,,,,,,
85,46121,denisvojcak,PlayStation 4,5h 52m,80%,,11916967,Completed,First,"June 06, 2020",5h 52m,,,,,,,
86,46121,Latouffe,PC,5h 53m,NR,,11790281,Completed,First,,5h 53m,,,,,,,
87,46121,Ruruja,PC,5h 54m,NR,,10945157,Completed,First,"February 06, 2020",5h 54m,,,,,,,
88,46121,gsrjedi,Xbox One,5h 55m,NR,,5461478,Completed,First,"December 13, 2017",5h 55m 50s,,,,,,,
89,46121,cnauta,Xbox One,5h 56m,70%,,5292585,Completed,First,"November 09, 2017",5h 56m,,,,,,,
90,46121,,Xbox One,5h 56m,NR,,11448442,Completed,Replay,,5h 56m 12s,,,,,,,
91,46121,Badinfos,PC,5h 56m,NR,,11333385,Completed,First,November 2019,5h 56m 16s,,,,,,,
92,46121,Brett33,PlayStation 4,5h 57m,NR,9/10 Good campaign worth playing,7962763,Completed,First,"November 23, 2018",5h 57m 39s,,,,,,,
93,46121,SACharlton,Xbox One,5h 58m,NR,,5278397,Completed,First,"November 06, 2017",5h 58m,,,,,,,
94,46121,,PlayStation 4,6h,NR,,5270013,Completed,First,,6h,,,,,,,
95,46121,,PlayStation 4,6h,NR,,5283065,Completed,First,,6h,,,,,,,
96,46121,,PlayStation 4,6h,NR,,5588276,Completed,First,,6h,,50h,,,,,
97,46121,,PC,6h,NR,,8392746,Completed,First,,6h,,,,,,,
98,46121,,Xbox One,6h,NR,,11899911,Completed,First,,6h,,,,,,,
99,46121,BCarsonElite,PlayStation 4,6h,NR,,8925034,Completed,Replay,,6h,,350h,,14h,,,
100,46121,Boske,PC,6h,NR,,10254202,Completed,First,"October 15, 2019",6h,,,,,,,
101,46121,CandyStrike,PC,6h,80%,,10562405,Completed,First,"December 08, 2019",6h,,,,,,,
102,46121,ChosenUndead99,PC,6h,80%,,5379413,Completed,First,"November 04, 2017",6h,,,,,,,
103,46121,Cthulhu,PC,6h,NR,,10585805,Completed,First,"December 10, 2019",6h,,,,,,,
104,46121,Private,PC,6h,NR,,10244227,Completed,First,"October 12, 2019",6h,,,,,,,
105,46121,DaemonXHUN,PC,6h,80%,,5269341,Completed,First,"November 04, 2017",6h,,,,,,,
106,46121,Darezzo,PlayStation 4,6h,70%,,11848062,Completed,First,"June 08, 2020",6h,,,,,,,
107,46121,Deadscream13,PC,6h,70%,,10307663,Completed,First,"October 27, 2019",6h,,,,,,,
108,46121,Flashback,PC,6h,80%,,5605517,Completed,First,"January 06, 2018",6h,,,,,,,
109,46121,GTBAtom,PlayStation 4,6h,NR,,6476172,Completed,First,"January 13, 2018",6h,,,,,,,
110,46121,Gallucci,Xbox One,6h,80%,,5906229,Completed,First,"January 06, 2018",6h,,,8h,,,,
111,46121,GoDFA7h3RR,PC,6h,NR,,7627211,Completed,First,"December 05, 2018",6h,,,,,,,
112,46121,Gunloader420,PlayStation 4,6h,80%,,11622877,Completed,First,"May 02, 2020",6h,,,,,,,
113,46121,Hinkelvinkel,PC,6h,80%,,7280150,Completed,First,"October 23, 2018",6h,,,,,,,
114,46121,Private,PC,6h,NR,,10937118,Completed,First,"February 04, 2020",6h,,,,,,,
115,46121,J3zyk,PC,6h,80%,,6905165,Completed,First,"December 30, 2017",6h,,,,,,,
116,46121,JJS11,PC,6h,NR,,11368864,Completed,First,"January 11, 2020",6h,,,,,,,
117,46121,JacobMckinley,Xbox One,6h,70%,,5701564,Completed,First,"January 21, 2018",6h,,,,,,,
118,46121,Jefferado,PC,6h,70%,,10248361,Completed,First,"October 14, 2019",6h,,,,,,,
119,46121,Jenksie,Xbox One,6h,NR,,5575677,Completed,First,,6h,,,,,,,
120,46121,KamikotoGasai,PC,6h,NR,,5273191,Completed,First,"November 05, 2017",6h,,,,,,,
121,46121,LopperUK,PC,6h,NR,Beat on recruit,5306087,Completed,First,"November 11, 2017",6h,,,,,,,
122,46121,MarceCu,PC,6h,NR,,5297814,Completed,First,"November 13, 2017",6h,,,,,,,
123,46121,Marcus54j,Xbox One,6h,80%,,6202048,Completed,First,"January 24, 2018",6h,,,,,,,
124,46121,MiniDude,PC,6h,80%,,5397009,Completed,First,"November 13, 2017",6h,,,,,,,
125,46121,Olkkiman,PC,6h,NR,,10801822,Completed,First,"January 12, 2020",6h,,,,,,,
126,46121,OnurhanSoyek,PlayStation 4,6h,NR,,11546135,Completed,First,"April 24, 2020",6h,,,,,,,
127,46121,PrdPak,PC,6h,70%,,11906127,Completed Retired,First,"June 04, 2020",6h,,,,,,"A good game, but the story is weak. So long.",First playthrough.
128,46121,Rattlehead,PC,6h,NR,,11837825,Completed,First,,6h,,,,,,,
129,46121,Realtione,PlayStation 4,6h,70%,,6036135,Completed,First,2018,6h,,6h,,,,,
130,46121,Private,PC,6h,80%,,10432579,Completed,First,"November 16, 2019",6h,,,,,,,
131,46121,Sapr,PlayStation 4,6h,NR,,6617637,Completed,First,"July 19, 2018",6h,,,,,,,
132,46121,SirMick56,PC,6h,70%,,5768362,Completed,First,"February 17, 2018",6h,,,,,,,
133,46121,TakerThePhenom,PlayStation 4,6h,80%,,5841549,Completed,First,"February 14, 2018",6h,,,,,,,
134,46121,Taskforce131,PC,6h,90%,,10200522,Completed,First,"October 07, 2019",6h,,,,,,,
135,46121,TbestiaC,PlayStation 4,6h,NR,,5461026,Backlog Completed,First,"January 12, 2018",6h,6h /,,,,,,
136,46121,The_Leachman,PlayStation 4,6h,NR,,5359424,Completed,First,"November 09, 2017",6h,,,,,,,
137,46121,VincentVael,Xbox One,6h,60%,,10419256,Completed,First,"January 14, 2019",6h,,,,,,,
138,46121,aliharkous98,PlayStation 4,6h,100%,,5464568,Playing Completed,First,"December 14, 2017",6h,,,6h 30m,7h,,,
139,46121,drigs,PC,6h,60%,,5575367,Completed,First,"November 25, 2017",6h,,,,,,,
140,46121,dzhang101,PlayStation 4,6h,NR,,12019267,Completed,First,"June 17, 2020",6h,,,,,,,
141,46121,famouscustard,PlayStation 4,6h,70%,,6329068,Completed,First,,6h,,,,,,,
142,46121,grog,PlayStation 4,6h,60%,,7982361,Completed,First,,6h,,,,,,,
143,46121,memol,PC,6h,NR,,6980981,Completed,First,"February 08, 2018",6h,,9h,,,,,
144,46121,mrprice33,Xbox One,6h,NR,,5368402,Completed,First,"November 25, 2017",6h,,,,,,,
145,46121,phaas11,PC,6h,70%,,10934992,Completed,First,"February 04, 2020",6h,,,,,,,
146,46121,phasola,PC,6h,60%,,10738474,Completed,First,"January 03, 2020",6h,,,,,,,
147,46121,pheonixal,PC,6h,NR,,10528532,Completed,First,"December 03, 2019",6h,,,,,,,
148,46121,strawberryseed,PC,6h,60%,,11017595,Completed,First,"November 09, 2019",6h,,,,,,,
149,46121,zolebug,PC,6h,NR,,5394450,Completed,First,"November 28, 2017",6h,,,,,,,
150,46121,Private,Xbox One,6h,NR,,11538316,Completed,First,"April 23, 2020",6h 29s,,,,,,,
151,46121,torskeye,PC,6h 01m,NR,,6289963,Completed,First,"May 23, 2018",6h 01m,,,,,,,
152,46121,Crazzykid27,Xbox One,6h 05m,NR,,5504436,Completed,First,"December 18, 2017",6h 05m,,,,,,,
153,46121,chadilak,PC,6h 05m,60%,,5339061,Completed,First,"December 03, 2017",6h 05m,,,,,,,
154,46121,typ12,PC,6h 06m,NR,,10556091,Completed,First,,6h 06m,,,,,,,
155,46121,Private,PC,6h 12m,60%,,10289064,Completed,First,"October 22, 2019",6h 12m,,,,,,,
156,46121,Arkovo,PlayStation 4,6h 13m,80%,Done on Regular difficulty with virtually no restarts or collectibles.,5376406,Completed,First,"November 23, 2017",6h 13m 12s,,,,,,,
157,46121,Youtube4kvg,PC,6h 14m,NR,,5398801,Completed,First,"November 30, 2017",6h 14m 04s,,,,,,,
158,46121,slickochet,PC,6h 16m,NR,Recruit difficulty,5259816,Completed,First,"November 10, 2017",6h 16m 42s,,,,,,,
159,46121,Jacob_Darka,PC,6h 17m,60%,,7379648,Completed,First,"February 04, 2018",6h 17m,,,,,,,
160,46121,terribleusername,PC,6h 18m,NR,,5988338,Custom List Completed,First,"March 23, 2019",6h 18m,,,,,,,
161,46121,nihles,PlayStation 4,6h 19m,NR,,5788468,Completed,First,"December 12, 2017",6h 19m,,,,,,,
162,46121,GlasN0st,Xbox One,6h 19m,80%,,9033630,Completed,First,"July 05, 2019",6h 19m 53s,,,,,,,
163,46121,,PC,6h 20m,NR,,5283085,Completed,First,,6h 20m,,,,,,,
164,46121,,PlayStation 4,6h 20m,NR,,5465807,Completed,First,,6h 20m,,,,,,,
165,46121,84Gaming,PlayStation 4,6h 20m,70%,,8238388,Completed,First,"November 04, 2017",6h 20m,,48h,,,,,
166,46121,Gero,PC,6h 20m,NR,,8409437,Completed,First,"March 06, 2019",6h 20m,,,,,,,
167,46121,Kal_wardin,PlayStation 4,6h 20m,50%,,11874864,Completed,First,"December 12, 2017",6h 20m,,,,,,,
168,46121,,PC,6h 20m,NR,,5383805,Completed,First,,6h 20m 45s,,,,,,,
169,46121,Private,PC,6h 21m,NR,,10694403,Completed,First,"December 28, 2019",6h 21m,,,,,,,
170,46121,,Xbox One,6h 21m,NR,,5271098,Completed,First,,6h 21m 08s,,,,,,,
171,46121,flyingandroids,PlayStation 4,6h 22m,70%,,5264098,Completed,First,"November 10, 2017",6h 22m,,,,,,,
172,46121,,PlayStation 4,6h 23m,NR,Normal difficulty. https://www.gamespot.com/articles/call-of-duty-ww2s-campaign-length-estimate-reveale/1100-6454565/,5256696,Completed,First,,6h 23m,,,,,,,
173,46121,cabriolet6,PC,6h 23m,70%,,5316780,Completed,First,"November 13, 2017",6h 23m 24s,,,,,,,
174,46121,Thrawn4,PC,6h 24m,70%,,5336210,Completed,First,"November 16, 2017",6h 24m,,,,,,,
175,46121,moonman115,PlayStation 4,6h 24m,NR,,5319193,Completed,First,"November 15, 2017",6h 24m 33s,,,,,,,
176,46121,,PC,6h 25m,NR,,11487964,Completed,First,,6h 25m,,,,,,,
177,46121,DeathKillerNOR,PC,6h 25m,NR,https://www.youtube.com/playlist?list=PLFswjBcT5amwQ33NRdZlaR99-ljvRWKAK,11805275,Completed,First,"November 07, 2017",6h 25m,,,,,,,
178,46121,Raczaron,PC,6h 25m,NR,,10352552,Completed,First,"October 27, 2019",6h 25m,,,,,,,
179,46121,RiseOfTheNinja,Xbox One,6h 25m,50%,,8040484,Completed,First,"January 14, 2019",6h 25m,,,,,,,
180,46121,Zomoniac,Xbox One,6h 25m,70%,Regular difficulty,6317909,Completed,First,"June 07, 2018",6h 25m,,,,,,,
181,46121,reptardeathstar,PlayStation 4,6h 26m,NR,,6061438,Completed,First,,6h 26m,,,,,,,
182,46121,Kapture,PC,6h 27m,NR,,10265581,Completed,First,"May 09, 2020",6h 27m 56s,,,,,,,
183,46121,Fanha,PC,6h 28m,60%,,6613718,Completed,First,"July 18, 2018",6h 28m,,,,,,,
184,46121,MetallicFever316,PlayStation 4,6h 29m,70%,Campaign only on regular difficulty. Found 3 mementos and did about half of the heroic actions.,11885287,Completed,First,"June 01, 2020",6h 29m 30s,,,,,,,
185,46121,,PC,6h 30m,NR,,5722871,Completed,First,,6h 30m,,,,,,,
186,46121,AiRiiD,Xbox One,6h 30m,70%,,6249562,Completed,First,,6h 30m,,,,,,,
187,46121,AliForghani,PC,6h 30m,NR,,5867971,Completed,First,"February 20, 2018",6h 30m,,,,,,,
188,46121,AzFullySleeved,PlayStation 4,6h 30m,50%,,5838939,Completed,First,"February 13, 2017",6h 30m,,,,,,,
189,46121,Brasilas10,PC,6h 30m,70%,,7833836,Completed,First,"December 26, 2018",6h 30m,,,,,,,
190,46121,D_henderson4,PlayStation 4,6h 30m,NR,,5306764,Completed,First,"November 12, 2017",6h 30m,,,,,,,
191,46121,DatBoiJuan,PC,6h 30m,NR,,5622102,Completed,First,"November 09, 2017",6h 30m,,,,,,,
192,46121,FNGamerFan,Xbox One,6h 30m,NR,,5954272,Playing Completed,First,"March 08, 2018",6h 30m,6h 30m /,,,,,,
193,46121,Kassual,PlayStation 4,6h 30m,NR,,7670190,Completed,First,"December 08, 2018",6h 30m,,,,,,,
194,46121,Krypt0n,PC,6h 30m,90%,Regular Dificulty,5318105,Completed,First,"November 14, 2017",6h 30m,,,,,,,
195,46121,Private,PlayStation 4,6h 30m,80%,,11847838,Custom List Completed,First,"June 02, 2020",6h 30m,,,,,,,
196,46121,Rafaelnrn,PlayStation 4,6h 30m,80%,,6777988,Completed,First,"August 05, 2018",6h 30m,,30m,,,,,
197,46121,Scrymer,PC,6h 30m,60%,,10569580,Completed,First,"December 10, 2019",6h 30m,,,,,,,
198,46121,Silvak,PC,6h 30m,NR,,5286096,Completed,First,"November 08, 2017",6h 30m,,,,,,,
199,46121,Yablan,PC,6h 30m,NR,,10199970,Completed,First,"October 07, 2019",6h 30m,,,,,,,
200,46121,dirtbikerupnorth,Xbox One,6h 30m,70%,,5846351,Completed,First,,6h 30m,,39h,,,,,
201,46121,dodomania8,PC,6h 30m,80%,,5292957,Completed,First,"November 09, 2017",6h 30m,,,,,,,
202,46121,fransubie,PC,6h 30m,NR,,10991979,Completed,First,"February 02, 2020",6h 30m,,,,,,,
203,46121,tetsuya98,PlayStation 4,6h 30m,NR,,10426670,Completed,First,"November 05, 2019",6h 30m,,,,,,,
204,46121,theimpudentwanderer,PlayStation 4,6h 30m,70%,,10808185,Completed,First,"January 13, 2020",6h 30m,,,,,,,
205,46121,theworldisadrag,PlayStation 4,6h 30m,60%,main campaign on Hardened.,5376232,Completed,First,"November 24, 2017",6h 30m,,,,,,,
206,46121,zukpuvee777,PC,6h 30m,NR,,11267930,Completed,First,"March 27, 2020",6h 30m,,,,,,,
207,46121,,PC,6h 30m,NR,,5285238,Completed,First,,6h 30m 49s,,,,,,,
208,46121,Linkelda,PlayStation 4,6h 31m,80%,,5297800,Completed,First,,6h 31m,,,,,,,
209,46121,,PlayStation 4,6h 34m,NR,,5269619,Completed,First,,6h 34m,,,,,,,
210,46121,DIXIEKNORMOUS,Xbox One,6h 36m,90%,,8412719,Completed,First,"March 05, 2019",6h 36m,,,,,,,
211,46121,Raoulospipitos,PC,6h 36m,NR,,8284510,Completed,First,"February 17, 2019",6h 36m,,,,,,,
212,46121,Rothyr,PlayStation 4,6h 37m,NR,,5287813,Completed,First,"November 08, 2017",6h 37m,,,,,,,
213,46121,tbcy6591,PlayStation 4,6h 37m,80%,,10792728,Playing Completed,First,,6h 37m,20h 39m /,12h 48m,,,1h 14m,,
214,46121,Sameerkumar,PC,6h 38m,NR,,6501818,Completed,First,"February 12, 2018",6h 38m,,,,,,,
215,46121,Amaury,PC,6h 40m,NR,,6142462,Completed,First,"April 18, 2018",6h 40m,,,,,,,
216,46121,MaxTheOne,PC,6h 40m,80%,,7918597,Completed,First,"January 02, 2019",6h 40m,,,7h,,,,
217,46121,PedAngle,Xbox One,6h 40m,60%,,5483200,Completed,First,"January 04, 2018",6h 40m,,,,,,,
218,46121,ceekayqt,PC,6h 40m,70%,,6687337,Completed,First,"July 29, 2018",6h 40m,,,,,,,
219,46121,SombreroSam,PC,6h 41m,NR,,8233310,Completed,First,,6h 41m,,,,,,,
220,46121,MikiIsAway,PC,6h 42m,70%,,10476036,Completed,First,"November 23, 2019",6h 42m,,,,,,,
221,46121,minkaro,PlayStation 4,6h 43m,NR,,11850482,Completed,First,"May 31, 2020",6h 43m 19s,,,,,,,
222,46121,Tomek,PC,6h 44m,NR,,10355443,Completed,First,,6h 44m,,,,,,,
223,46121,dannyboy5498,PC,6h 44m,NR,,11866796,Completed,First,,6h 44m,,,,,,,
224,46121,,PC,6h 45m,NR,,8198938,Completed,First,,6h 45m,,,9h 30m,21h 30m,,,
225,46121,Civilwarfare101,PlayStation 4,6h 45m,70%,,8805288,Completed,First,"June 20, 2019",6h 45m,,,,,,,
226,46121,Joshster_1,PlayStation 4,6h 45m,90%,,5341968,Completed,First,"November 17, 2017",6h 45m,,,,,,,
227,46121,Jotersen10,PlayStation 4,6h 45m,NR,,11940989,Completed,First,"June 09, 2020",6h 45m,,,,,,,
228,46121,mjricco,PlayStation 4,6h 45m,70%,,8747067,Backlog Completed,First,"June 13, 2019",6h 45m,,,,,,,
229,46121,sons_bon,PlayStation 4,6h 45m,NR,,5332856,Completed,First,"November 15, 2017",6h 45m,,,,,,,
230,46121,FznRfq,PC,6h 45m,70%,Difficulty - Veteran,5354574,Completed,First,"November 20, 2017",6h 45m 16s,,,,,,,
231,46121,Gevaddatot,Xbox One,6h 47m,NR,,10863312,Completed,First,"December 17, 2018",6h 47m,,,,,,,
232,46121,BestSinceDayO134,PlayStation 4,6h 48m,60%,,9680434,Completed,First,"April 08, 2018",6h 48m 03s,,,,,,,
233,46121,Elficzek,PC,6h 50m,80%,,5410095,Completed,First,"December 02, 2017",6h 50m,,,,,,,
234,46121,iambadatgames,PlayStation 4,6h 53m,70%,,7096788,Completed,First,"October 06, 2018",6h 53m 52s,,,,,,,
235,46121,slipknotx666x,PlayStation 4,6h 54m,NR,,11875003,Completed,First,"June 16, 2020",6h 54m,,,,,,,⏱
236,46121,Daigoro,PC,6h 54m,80%,,5306818,Completed,First,"November 12, 2017",6h 54m 45s,,,,,,,
237,46121,Cezawy,PC,6h 55m,NR,,11719678,Completed,First,"May 12, 2020",6h 55m,,,,,,,
238,46121,,PlayStation 4,6h 58m,NR,,5291252,Completed,First,,6h 58m,,,,,,,
239,46121,,PC,7h,NR,,5293675,Completed,First,,7h,,,,,,,
240,46121,,PC,7h,NR,,5639662,Completed,First,,7h,,,,,,,
241,46121,,PC,7h,NR,Shoot em all,5890186,Completed,First,,7h,,,,,,,
242,46121,,PC,7h,NR,,6256753,Completed,First,,7h,,,,,,,
243,46121,,Xbox One,7h,NR,,7364949,Completed,First,,7h,,,,,,,
244,46121,,PC,7h,NR,,10551164,Completed,First,,7h,,,,,,,
