,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Main Story,Completion,Progress,Completionist,Main+Extras,Personal Notes,Speedrun
34,44852,,PlayStation 4,11h 17m,NR,,7007684,Completed,First,11h 17m,,,27h 14m,16h 48m,,
35,44852,Private,PlayStation 4,11h 26m,70%,,11379067,Completed,First,11h 26m 35s,"May 24, 2020",,,,,
36,44852,BossPT,PlayStation 4,11h 30m,NR,I've got my platinum,9296067,Completed,First,11h 30m,"June 13, 2019",,20h,18h,,
37,44852,,PlayStation 4,11h 45m,NR,,8581779,Completed,First,11h 45m,,,,,,
38,44852,,PlayStation 4,11h 45m,NR,,7112140,Completed,First,11h 45m 25s,,,,,,
39,44852,bonay53,PlayStation 4,11h 48m,NR,,7165133,Completed,First,11h 48m,"October 02, 2018",,,,,
40,44852,Metakirby22,PlayStation 4,11h 48m,NR,,7515127,Completed,First,11h 48m 03s,"November 23, 2018",,,,,
41,44852,lolifofo,PlayStation 4,11h 52m,90%,,7008377,Completed,First,11h 52m,"September 09, 2018",,,,,
42,44852,theplump,PlayStation 4,11h 59m,100%,,7147734,Completed,First,11h 59m,"September 30, 2018",,,,,
43,44852,,PlayStation 4,12h,NR,,6991356,Completed,First,12h,,,,19h,,
44,44852,,PlayStation 4,12h,NR,,7006067,Completed,First,12h,,,,,,
45,44852,,PlayStation 4,12h,NR,,8271566,Completed,First,12h,,,,,,
46,44852,,PlayStation 4,12h,NR,,8586354,Completed,First,12h,,,,,,
47,44852,Alpharad,PlayStation 4,12h,80%,,11516769,Completed,First,12h,,,,,,
48,44852,coleneff,PlayStation 4,12h,90%,,7542223,Completed,First,12h,"December 01, 2018",,,16h 02m,,
49,44852,fosain,PlayStation Now,12h,80%,,11938321,Completed,First,12h,"June 12, 2020",,,,,
50,44852,iamthermaut,PlayStation 4,12h,100%,,7186313,Completed,First,12h,"October 05, 2018",,26h,20h,,
51,44852,Private,PlayStation 4,12h,NR,New Game + Playthrough; Needed something to kick the tires of my new PS4 Pro!,9200224,Completed,Replay,12h,"July 22, 2019",,,,,
52,44852,chadilak,PlayStation 4,12h 17m,90%,,7109813,Completed,First,12h 17m,"September 29, 2018",,,,,
53,44852,,PlayStation 4,12h 25m,NR,,7471920,Completed,First,12h 25m,,,25h,19h,,
54,44852,modaren,PlayStation 4,12h 28m,NR,78%,10246991,Completed,First,12h 28m,"October 15, 2019",,19h 52m,18h 02m,,
55,44852,,PlayStation 4,12h 30m,NR,"Finished of remaining side quests, sable sites & taskmaster challenges in this time",7012436,Completed,First,12h 30m,,,21h,17h,,
56,44852,eliasaj92,PlayStation 4,12h 30m,100%,,10532067,Completed,First,12h 30m,"December 14, 2019",,,,,
57,44852,,PlayStation 4,12h 32m,NR,,11316092,Completed,First,12h 32m 06s,,,18h 03m 24s,16h 58m 03s,,
58,44852,mysticdoug,PlayStation 4,12h 41m,70%,,11630924,Completed,First,12h 41m 08s,"May 02, 2020",,,,,
59,44852,vdebrais,PlayStation 4,12h 50m,90%,,9523613,Completed,First,12h 50m,"November 15, 2019",,,,,
60,44852,,PlayStation 4,12h 55m,NR,,7133820,Completed,First,12h 55m 08s,,,35h,30h,,
61,44852,ArenSpace,PlayStation 4,12h 56m,NR,,10862819,Completed,Replay,12h 56m 13s,"January 21, 2020",,26h 12m 24s,24h 34m 43s,,
62,44852,,PlayStation 4,13h,NR,,7012010,Completed,First,13h,,,,,,
63,44852,Benb998,PlayStation 4,13h,NR,,7009725,Completed,First,13h,"September 08, 2018",,,20h,,
64,44852,XDDX,PlayStation 4,13h,NR,Not too much side content done,7729964,Completed,First,13h,"December 13, 2018",,,,,
65,44852,alex21BK,PlayStation 4,13h,90%,,7182600,Completed,First,13h,"October 04, 2018",,25h,,,
66,44852,daanthijs,PlayStation 4,13h,NR,,7212742,Completed,First,13h,"October 08, 2018",,45h,25h,,
67,44852,mrbaggs,PlayStation 4,13h,NR,,8904829,Completed,First,13h,"July 23, 2019",,,,,
68,44852,rakeshra96,PlayStation 4,13h,NR,,9696302,Completed,First,13h,"September 21, 2019",,,,,
69,44852,BewaretheBatman,PlayStation 4,13h 20m,90%,,7003654,Completed,First,13h 20m 16s,"September 09, 2018",,35h 11m 28s,26h 12m 51s,,
70,44852,DeepFrost,PlayStation 4,13h 30m,NR,,8199093,Completed,First,13h 30m,"February 03, 2019",,23h 45m,,,
71,44852,Mason557,PlayStation 4,13h 30m,NR,,8154448,Completed,First,13h 30m,"January 29, 2019",,,,,
72,44852,RobbyRock,PlayStation 4,13h 30m,NR,,7991595,Completed,First,13h 30m,"April 11, 2019",,,,,
73,44852,xwinsus,PlayStation 4,13h 30m,80%,,7496033,Completed,First,13h 30m,"December 22, 2018",,,16h 04m 02s,,
74,44852,Flourite,PlayStation 4,13h 35m,90%,,7892391,Completed,First,13h 35m,"February 28, 2019",,,,,
75,44852,,PlayStation 4,13h 40m,NR,,7387611,Completed,First,13h 40m 40s,,,25h 34m 58s,20h 10m 20s,,
76,44852,,PlayStation 4,13h 45m,NR,,8853819,Completed,First,13h 45m,,,,,,
77,44852,MattTheGymRat,PlayStation 4,13h 45m,80%,The story is broad and very diverse.,8853923,Completed,First,13h 45m,"May 27, 2019",,,,,
78,44852,SirenSovereign,PlayStation 4,13h 45m,NR,,7015066,Completed,First,13h 45m,"September 10, 2018",,,,,
79,44852,,PlayStation 4,14h,NR,,7093375,Completed,First,14h,,,26h,20h,,
80,44852,CrypTarck,PlayStation 4,14h,NR,,8429372,Completed,First,14h,"March 04, 2019",,,,,
81,44852,DanielP,PlayStation 4,14h,NR,,8408785,Completed,First,14h,"June 27, 2019",,,,,
82,44852,Kanttila,PlayStation 4,14h,NR,,7100846,Completed,First,14h,"September 18, 2018",,,,,
83,44852,LocoCogo917,PlayStation 4,14h,NR,,8521354,Completed,First,14h,"September 21, 2018",,29h,,,
84,44852,dodgson,PlayStation 4,14h,NR,,9330952,Completed,First,14h,"August 09, 2019",,32h,27h,,
85,44852,hasan211,PlayStation 4,14h,NR,,9486965,Completed,First,14h,"November 23, 2019",,25h 44m,17h,,
86,44852,pedrix,PlayStation 4,14h,100%,[Not exact playtime] Ignored most of optional quests. Completed with 68%,8788742,Completed,First,14h,"May 27, 2019",,,,,
87,44852,,PlayStation 4,14h 10m,NR,,7011548,Completed,First,14h 10m,,,25h 50m,17h 45m,,
88,44852,,PlayStation Now,14h 10m,NR,,11442314,Completed,First,14h 10m,,,,,,
89,44852,Unforgettable,PlayStation 4,14h 15m,NR,,7031619,Completed,First,14h 15m,"September 12, 2018",,25h 30m,,,
90,44852,CastorSalvaj,PlayStation 4,14h 15m,NR,,8252458,Completed,First,14h 15m 10s,"January 19, 2019",,24h,20h,,
91,44852,humpydoe,PlayStation 4,14h 20m,90%,,6918953,Completed,First,14h 20m 33s,"September 23, 2018",,27h 22m 33s,26h 22m 33s,,
92,44852,Arvine,PlayStation 4,14h 23m,NR,,11113580,Completed,First,14h 23m 20s,"March 07, 2020",,,,,
93,44852,,PlayStation 4,14h 24m,NR,,7273333,Completed,First,14h 24m 21s,,,20h 51m 24s,18h 48m 36s,,
94,44852,dggoodluck,PlayStation 4,14h 25m,90%,,7250506,Completed,First,14h 25m,"September 13, 2018",,28h 30m,20h,,
95,44852,,PlayStation 4,14h 30m,NR,Main Story + some Photo shots and a single side mission.,7009859,Completed,First,14h 30m,,,,,,
96,44852,,PlayStation 4,14h 30m,NR,,7716175,Completed,First,14h 30m,,,28h 45m,17h,,
97,44852,DeathKillerNOR,PlayStation 4,14h 30m,NR,https://www.youtube.com/playlist?list=PLFswjBcT5amyW5YboiyLpItbgEIosQRX5,11806241,Completed,First,14h 30m,"April 07, 2020",,,,,
98,44852,EpicBro99,PlayStation 4,14h 30m,NR,,10710654,Completed,First,14h 30m,,,32h,,,
99,44852,Rafaelnrn,PlayStation 4,14h 30m,100%,,7085082,Completed,First,14h 30m,"September 14, 2018",,29h 30m,,,
100,44852,SimonMiller,PlayStation 4,14h 30m,100%,,8151551,Completed,First,14h 30m,"October 10, 2018",,24h 30m,20h 05m,,
101,44852,,PlayStation 4,14h 32m,NR,,7016580,Completed,First,14h 32m 10s,,,28h 12m 38s,,,
102,44852,black_tenchu0,PlayStation 4,14h 32m,90%,,7052334,Completed,First,14h 32m 46s,"September 09, 2018",,,20h 24m 10s,,
103,44852,imbrady,PlayStation 4,14h 40m,NR,,8314861,Completed,First,14h 40m,"September 10, 2018",,25h 21m 33s,,,
104,44852,Freiol,PlayStation 4,14h 50m,80%,,7085876,Completed,First,14h 50m,"September 16, 2018",,28h,,,
105,44852,,PlayStation 4,14h 59m,NR,,7071438,Completed,First,14h 59m 59s,,,,,,
106,44852,,PlayStation 4,15h,NR,,7006735,Completed,First,15h,,,,,,
107,44852,,PlayStation 4,15h,NR,,7016702,Completed,First,15h,,,28h,22h 30m,,
108,44852,,PlayStation 4,15h,NR,,7044566,Completed,First,15h,,,30h,23h,,
109,44852,,PlayStation 4,15h,NR,,7064366,Completed,First,15h,,,45h,,,
110,44852,,PlayStation 4,15h,NR,,7208621,Completed,First,15h,,,40h,30h,,
111,44852,,PlayStation 4,15h,NR,,7858444,Completed,First,15h,,,25h,20h,,
112,44852,,PlayStation 4,15h,NR,,7919360,Completed,First,15h,,,25h,,,
113,44852,,PlayStation 4,15h,NR,"Dlc's included, each providing a solid 6-8 hours each to 100%",8074982,Completed,First,15h,,,50h,40h,,
114,44852,,PlayStation 4,15h,NR,,8521036,Completed,First,15h,,,48h,26h,,
115,44852,,PlayStation 4,15h,NR,,8560941,Completed,First,15h,,,,,,
116,44852,,PlayStation 4,15h,NR,,10876224,Completed,First,15h,,,,22h,,
117,44852,,PlayStation 4,15h,NR,,11287592,Completed,First,15h,,,25h,20h,,6h 43m
118,44852,,PlayStation 4,15h,NR,,11473961,Completed,First,15h,,,23h,21h,,
119,44852,Adgalo,PlayStation 4,15h,80%,,7195337,Completed,First,15h,"October 06, 2018",,30h,25h,Empezado 8/10/18,
120,44852,Alados,PlayStation 4,15h,NR,,7450778,Completed,First,15h,"October 30, 2018",,35h,,,
121,44852,Bartezoo,PlayStation 4,15h,NR,,7107452,Completed,First,15h,"September 23, 2018",,,,,
122,44852,Bikioman,PlayStation 4,15h,100%,,7107656,Completed,First,15h,"September 09, 2018",,,,,
123,44852,Bosatysaurus,PlayStation 4,15h,90%,,7231189,Completed,First,15h,,,27h,,,
124,44852,Private,PlayStation 4,15h,100%,,7367084,Completed,First,15h,"October 30, 2018",,35h,25h,,
125,44852,Dimitrisfl,PlayStation 4,15h,NR,,8682876,Completed,First,15h,"April 28, 2019",,,,,
126,44852,Frosty04,PlayStation 4,15h,NR,,10353475,Completed,First,15h,"February 25, 2019",,,25h,,
127,44852,GamerMani,PlayStation 4,15h,NR,,7346036,Completed,First,15h,"September 13, 2018",,,22h,,
128,44852,Private,PlayStation 4,15h,80%,,11911824,Completed,First,15h,"June 07, 2020",,,,,
129,44852,Jasond1234,PlayStation 4,15h,NR,,10941946,Completed,Replay,15h,"September 09, 2019",,45h,26h,,
130,44852,Joy,PlayStation 4,15h,NR,,8127091,Completed,First,15h,"January 26, 2019",,40h,20h,,
131,44852,KamikotoGasai,PlayStation 4,15h,NR,,7008312,Completed,First,15h,"September 09, 2018",,,,,
132,44852,KummaChristopher,PlayStation 4,15h,90%,,8991144,Completed,First,15h,"January 06, 2019",,,,,
133,44852,Private,PlayStation 4,15h,NR,,11980612,Completed,First,15h,"June 12, 2020",,,,,
134,44852,Private,PlayStation 4,15h,NR,,10186967,Completed,First,15h,"September 21, 2018",,25h,,,
135,44852,NoChancey,PlayStation 4,15h,NR,,7962824,Completed,First,15h,"January 05, 2019",,,,,
136,44852,PavlovGW,PlayStation 4,15h,NR,,7007567,Completed,First,15h,"September 08, 2018",,,,,
137,44852,RobinMicek,PlayStation 4,15h,NR,,11057247,Completed,First,15h,,,,,,
138,44852,Rynakinz,PlayStation 4,15h,NR,,7969325,Completed,First,15h,"September 08, 2018",,,,,
139,44852,SkullKid2611,PlayStation 4,15h,NR,,7455303,Completed,First,15h,October,,25h,20h,,
140,44852,Private,PlayStation 4,15h,NR,,8030868,Completed,First,15h,"January 13, 2019",,30h,25h,,
141,44852,Smoney412,PlayStation 4,15h,100%,,6959704,Completed,First,15h,"October 23, 2018",,28h,23h,,
142,44852,Taks,PlayStation 4,15h,NR,,7243879,Completed,First,15h,"October 13, 2018",,,,,
143,44852,Teroumpas,PlayStation 4,15h,NR,,7264790,Completed,First,15h,"October 17, 2018",,,17h,,
144,44852,TheDoctorReview,PlayStation 4,15h,NR,,11605600,Completed,First,15h,"April 29, 2020",,,,,
145,44852,UncivilPlayer,PlayStation 4,15h,90%,,7042887,Completed,First,15h,"September 17, 2018",,30h,25h,,
146,44852,VSemenchenko,PlayStation 4,15h,NR,,7870892,Completed,First,15h,"December 29, 2018",,35h,25h,,
147,44852,VitorVex,PlayStation 4,15h,NR,,11204297,Completed,First,15h,,,,,,
148,44852,Private,PlayStation 4,15h,70%,,8632966,Custom List Completed,First,15h,"May 13, 2019",40h /,40h,30h,,
149,44852,almurfmurf,PlayStation 4,15h,NR,,7010153,Completed,First,15h,"September 10, 2018",,,,,
150,44852,crug1,PlayStation 4,15h,NR,,10161595,Completed,First,15h,"September 29, 2019",,,,,
151,44852,cupofbeans,PlayStation 4,15h,90%,,8020618,Completed,Replay,15h,"January 11, 2019",,,23h,,
152,44852,dr_monroe,PlayStation 4,15h,NR,,8074128,Completed,First,15h,"December 20, 2018",,,,,
153,44852,falrodo,PlayStation 4,15h,100%,,7427467,Completed,First,15h,"October 02, 2018",,,,,
154,44852,gabeh_66,PlayStation 4,15h,100%,,8900171,Completed,First,15h,"June 06, 2019",,,,,
155,44852,gamblor88,PlayStation 4,15h,100%,,7067964,Completed,First,15h,"September 27, 2018",,,,,
156,44852,gamerjeffro,PlayStation 4,15h,NR,,7637357,Completed,First,15h,"December 05, 2018",,,,,
157,44852,Private,PlayStation 4,15h,100%,,7019404,Completed,First,15h,"September 11, 2018",,30h,25h,,
158,44852,hankthejunk,PlayStation 4,15h,NR,,7676658,Completed,First,15h,"December 09, 2018",,,,,
159,44852,hobinski,PlayStation 4,15h,NR,,11826872,Completed,Replay,15h,"May 24, 2020",,30h,22h,,
160,44852,kisamek05,PlayStation 4,15h,90%,,9369639,Completed,First,15h,"December 27, 2018",,,,,
161,44852,Private,PlayStation 4,15h,NR,,11135944,Completed,First,15h,"March 11, 2020",,,25h,,
162,44852,Private,PlayStation 4,15h,NR,,11218695,Completed,First,15h,,,,,,
163,44852,sturdyserpent,PlayStation 4,15h,80%,,7395243,Completed,First,15h,,,,20h,,
164,44852,swordclaws,PlayStation 4,15h,NR,,9176046,Completed,First,15h,"July 17, 2019",,,,,
165,44852,thekightf,PlayStation 4,15h,NR,,7646453,Completed,First,15h,"December 06, 2018",,33h,17h,,
166,44852,Private,PlayStation 4,15h,90%,,7245024,Completed,First,15h,"October 14, 2018",,,23h,,
167,44852,veer7794,PlayStation 4,15h,100%,,7344433,Completed,Replay,15h,"October 28, 2018",,,,,
168,44852,Private,PlayStation 4,15h,80%,,7166688,Completed,First,15h,"September 20, 2018",,25h,20h,,
169,44852,yaco21,PlayStation 4,15h,NR,,8607844,Completed,First,15h,"January 12, 2019",,32h,24h,,
170,44852,zhochste,PlayStation 4,15h,NR,,10186328,Completed,First,15h,,,,,,
171,44852,Bogdan62,PlayStation 4,15h 09m,100%,,8119412,Completed,First,15h 09m 13s,"January 29, 2019",,,,,
172,44852,,PlayStation 4,15h 10m,NR,,7295251,Completed,First,15h 10m,,,,15h 20m,,
173,44852,Barch,PlayStation 4,15h 11m,NR,,7012333,Backlog Completed,First,15h 11m 40s,"September 19, 2018",15h 11m 40s /,,,,
174,44852,tterb_nosnhoj,PlayStation 4,15h 12m,NR,,11660262,Completed,First,15h 12m 44s,"December 16, 2019",,,,,
175,44852,Joshster_1,PlayStation 4,15h 15m,90%,,7633593,Completed,First,15h 15m,"September 05, 2018",,25h 21m 45s,20h 34m 33s,,
176,44852,Gyosei,PlayStation 4,15h 20m,50%,,7191244,Completed,First,15h 20m,"October 05, 2018",,,,,
177,44852,,PlayStation 4,15h 23m,NR,Good story hope it gets more explored in dlc’a to come,7148705,Completed,First,15h 23m,,,,,,
178,44852,,PlayStation 4,15h 25m,NR,,7063957,Completed,First,15h 25m 45s,,,32h,29h 45m 11s,,
179,44852,Raz,PlayStation 4,15h 26m,NR,,8224876,Completed,First,15h 26m,"September 10, 2018",,,,,
180,44852,wanhero,PlayStation 4,15h 27m,90%,+ 100% DLC,7242154,Completed,First,15h 27m 21s,"November 08, 2018",,37h 27m 21s,20h 27m 21s,,
181,44852,,PlayStation 4,15h 30m,NR,,7816645,Completed,First,15h 30m,,,,,,
182,44852,,PlayStation 4,15h 30m,NR,,9019863,Completed,First,15h 30m,,,30h,22h,,
183,44852,Private,PlayStation 4,15h 30m,90%,,8110664,Completed,First,15h 30m,"December 29, 2018",,,,,
184,44852,Zapkaos,PlayStation 4,15h 30m,90%,,7012122,Completed,First,15h 30m,"January 08, 2019",,,,,
185,44852,MoogleIRL,PlayStation 4,15h 30m,NR,,7107038,Completed,First,15h 30m 18s,"September 23, 2018",,,,,
186,44852,,PlayStation 4,15h 30m,NR,,7003585,Completed,First,15h 30m 55s,,,45h 30m,30h,,
187,44852,wakaflakakowski,PlayStation 4,15h 35m,90%,,7076212,Completed,First,15h 35m,"September 16, 2018",,30h 37m,,,
188,44852,NukeYourNanny,PlayStation 4,15h 42m,NR,"All but 2 suits, all but 3 upgrades, all collectibles but not many side missions/challenges",11611853,Completed,First,15h 42m 55s,"May 10, 2020",,,,,
189,44852,,PlayStation 4,15h 45m,NR,,6941879,Completed,First,15h 45m,,,,,,
190,44852,,PlayStation 4,15h 45m,NR,,7968159,Completed,First,15h 45m 06s,,,,,,
191,44852,Mast3r0fGam3s,PlayStation 4,15h 45m,100%,Amazing!!! Must play!,7100844,Playing Replay Completed,Replay,15h 45m 12s,"September 09, 2018",15h 45m 12s /,,,,
192,44852,ArthurrMorgan,PlayStation 4,15h 49m,100%,,9194633,Completed,First,15h 49m 56s,"January 04, 2019",,30h 41m 12s,23h 01m 45s,,
193,44852,HermanoFe87,PlayStation 4,15h 50m,80%,,11864380,Completed,First,15h 50m 55s,"May 29, 2020",,,,,
194,44852,DIXIEKNORMOUS,PlayStation 4,15h 55m,90%,,7244954,Completed,First,15h 55m,"October 06, 2018",,,,,
195,44852,ViPeZz,PlayStation 4,15h 57m,90%,,8356808,Completed,First,15h 57m,"September 14, 2018",,,20h 43m,,
196,44852,,PlayStation 4,16h,NR,All the map,7011338,Completed,First,16h,,,29h,23h,,
197,44852,,PlayStation 4,16h,NR,,7031643,Completed,First,16h,,,31h,20h,,
198,44852,,PlayStation 4,16h,NR,,7038292,Completed,First,16h,,,,,,
199,44852,,PlayStation 4,16h,NR,,7045379,Completed,First,16h,,,31h,20h,,
200,44852,,PlayStation 4,16h,NR,,7377887,Completed,First,16h,,,34h,25h,,
201,44852,,PlayStation 4,16h,NR,,9684623,Completed,First,16h,,,,19h,,
202,44852,,PlayStation 4,16h,NR,Awesome,10315650,Completed,First,16h,,,35h,21h,,
203,44852,,PlayStation 4,16h,NR,,10979892,Completed,First,16h,,,,,,
204,44852,3pacalypse,PlayStation 4,16h,NR,,7730807,Completed,First,16h,"December 13, 2018",,,,,
205,44852,500kevc,PlayStation 4,16h,80%,,7515123,Completed,First,16h,"September 09, 2018",,21h,,,
206,44852,Alex5101,PlayStation 4,16h,90%,,8021860,Completed,First,16h,"January 22, 2019",,,20h,,
207,44852,Alex_1011,PlayStation 4,16h,90%,,11747524,Completed,First,16h,"April 28, 2019",,,,,
208,44852,Private,PlayStation 4,16h,100%,,9317573,Completed,First,16h,"August 04, 2019",,24h,20h,,
209,44852,BeatGinger,PlayStation 4,16h,80%,,7221023,Completed,First,16h,"October 09, 2018",,24h,20h,,
210,44852,Booie,PlayStation 4,16h,NR,,7794354,Completed,First,16h,"December 21, 2018",,,,,
211,44852,Private,PlayStation 4,16h,80%,,7830486,Completed,First,16h,"December 26, 2018",,,,,
212,44852,Chrakatoa,PlayStation 4,16h,NR,,9125315,Completed,First,16h,"July 10, 2019",,,24h,,
213,44852,DRMaddock,PlayStation 4,16h,NR,,8028971,Completed,First,16h,"January 12, 2019",,,,,
214,44852,DR_BIG_Tasty59,PlayStation 4,16h,100%,,7109766,Completed,Replay,16h,"September 21, 2018",,40h,35h,,
215,44852,Dispator,PlayStation 4,16h,NR,,7103358,Completed,First,16h,"September 20, 2018",,30h,20h,,
216,44852,ElderLink,PlayStation 4,16h,NR,,9210592,Completed,First,16h,"July 23, 2019",,,,,
217,44852,FabioAuditore,PlayStation 4,16h,NR,,8734158,Completed,First,16h,"January 15, 2019",,30h,22h,,
218,44852,Freak0104,PlayStation 4,16h,NR,,7689268,Completed,First,16h,"November 05, 2018",,29h,,,
219,44852,Gallucci,PlayStation 4,16h,90%,,7058102,Completed,First,16h,"September 15, 2018",,,25h,,
220,44852,GodotIV,PlayStation 4,16h,90%,,10722818,Completed,First,16h,"January 01, 2020",,,,,
221,44852,Gradono,PlayStation 4,16h,90%,,9277253,Completed,First,16h,"September 20, 2018",,35h,,,
222,44852,Hotpies,PlayStation 4,16h,80%,,9108179,Completed,First,16h,"July 08, 2019",,,,,
223,44852,LazyHunter,PlayStation 4,16h,NR,,11922774,Completed,First,16h,"June 07, 2020",,30h,25h,,
224,44852,NeodosZX,PlayStation 4,16h,90%,23,7769884,Completed,First,16h,,,30h,,100% Plat Trophy. No DLC,
225,44852,OrfeusCZ,PlayStation 4,16h,NR,,9271076,Completed,First,16h,"July 31, 2019",,,,,
226,44852,Phare,PlayStation 4,16h,70%,,11070089,Completed,First,16h,"March 26, 2020",,,19h,,
227,44852,PunkRockCarl,PlayStation 4,16h,90%,,9431361,Completed,First,16h,September 2018,,32h,24h,,
228,44852,SSJVentus,PlayStation 4,16h,NR,,7384181,Completed,First,16h,"September 08, 2018",,,,,
229,44852,StormBlade,PlayStation 4,16h,NR,,7012670,Completed,First,16h,"September 10, 2018",,,,,
230,44852,Taipan21,PlayStation 4,16h,NR,,11681671,Completed,First,16h,"May 08, 2020",,31h,30h,,
231,44852,Theobebe,PlayStation 4,16h,NR,,8022322,Playing Replay Completed,First,16h,"October 22, 2018",32h /,30h,25h,,
232,44852,Tsubaki,PlayStation 4,16h,30%,,7018901,Completed,First,16h,,,25h,20h,,
233,44852,WesleyCheong,PlayStation 4,16h,NR,,9064517,Completed,First,16h,,,,,,
234,44852,Private,PlayStation 4,16h,80%,,8214548,Completed,First,16h,"March 03, 2019",,,,,
235,44852,Private,PlayStation 4,16h,NR,,10880518,Completed,First,16h,,,,,,
236,44852,Private,PlayStation 4,16h,NR,,7845032,Completed,First,16h,"December 27, 2018",,,,,
237,44852,Private,PlayStation 4,16h,90%,,10645440,Completed,First,16h,December 2019,,,,,
238,44852,cottboi,PlayStation 4,16h,80%,,7128663,Completed,First,16h,,,,,,
239,44852,fredthebelgian,PlayStation 4,16h,90%,,7529581,Completed,First,16h,"June 24, 2019",,,,,
240,44852,jpatnd00,PlayStation 4,16h,100%,,6974704,Completed,First,16h,"September 15, 2018",,,25h,,
241,44852,loftwing,PlayStation 4,16h,NR,,10615342,Completed,First,16h,"December 30, 2019",,,,,
