,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Personal Notes,Co-Op,Completionist,Progress,100% Speedrun,Speedrun
26,21680,BlueKrimzon_,PC,5h,80%,,5500028,Completed,First,"November 22, 2017",5h,,,,,,,
27,21680,Talisinner,PC,5h,NR,,5213091,Completed,First,"October 24, 2017",5h,,,,,,,
28,21680,Xeogred,PC,5h,NR,,5270110,Completed,First,"November 04, 2017",5h,,,,,,,
29,21680,bbezanilla,PC,5h,90%,,8249755,Completed,First,"March 13, 2020",5h,,,,,,,
30,21680,blak1443,Nintendo Switch,5h,NR,,10486864,Completed,First,"December 14, 2019",5h,,,,,,,
31,21680,colimar788,PC,5h,NR,,5664855,Completed,First,"January 08, 2018",5h,,,,,,,
32,21680,,PC,5h 02m,NR,,7793389,Completed,First,,5h 02m 11s,6h 14m 55s,,,9h 12m 46s,,,
33,21680,ACE7053,Nintendo Switch,5h 03m,NR,,8695688,Completed,First,,5h 03m,,,,,,,
34,21680,chadilak,PC,5h 05m,100%,,5115476,Completed,First,"October 11, 2017",5h 05m,,,,,,,
35,21680,,Xbox One,5h 05m,NR,,8713711,Completed,Replay,,5h 05m 05s,,,,,,,
36,21680,AidanAK47,PC,5h 12m,90%,,5112716,Completed,First,"September 30, 2017",5h 12m,,,,,,,
37,21680,jmdoane42,PC,5h 12m,80%,,3278491,Completed,First,"October 08, 2017",5h 12m,,,,,,,
38,21680,MikeltxoBeard,PC,5h 12m,NR,,10177214,Completed,First,"October 06, 2019",5h 12m 11s,,,,,,,
39,21680,pabsritual,PC,5h 15m,100%,"Played through once, did not go back to previous levels to get better scores, left the game on a couple min w/o playing",5128942,Completed,First,"October 03, 2017",5h 15m,,,,,,,
40,21680,,PC,5h 20m,NR,,10962278,Completed,Replay,,5h 20m,,,,,,,
41,21680,,PC,5h 23m,NR,,5506648,Completed,First,,5h 23m 17s,,,,,,,
42,21680,,PC,5h 30m,NR,,5177829,Completed,First,,5h 30m,,,,,,,
43,21680,,PC,5h 30m,NR,,5621726,Completed,First,,5h 30m,,,,,,,
44,21680,Shuev_,PC,5h 30m,NR,,10348485,Completed,First,"November 02, 2019",5h 30m,6h,,,32h,,,
45,21680,,PC,5h 34m,NR,,10802551,Completed,First,,5h 34m,,,,,,,
46,21680,Everdred,Xbox One,5h 42m,90%,94% completed. Devil beat. Died 185 times.,7515345,Completed,First,"November 28, 2018",5h 42m,6h 42m,,,,,,
47,21680,KerfMerf,PC,5h 47m,70%,,6326954,Completed,First,"May 31, 2018",5h 47m 15s,,,,,,,
48,21680,,PC,6h,NR,,5113596,Completed,First,,6h,,,,,,,
49,21680,,PC,6h,NR,,5115299,Completed,First,,6h,,,,,,,
50,21680,,PC,6h,NR,,5197608,Completed,First,,6h,,,,,,,
51,21680,,PC,6h,NR,,5207501,Completed,First,,6h,,,,,,,
52,21680,,PC,6h,NR,,5641520,Completed,First,,6h,,,,,,,
53,21680,,PC,6h,NR,,7775948,Completed,First,,6h,,,,,,,
54,21680,CyDi,PC,6h,90%,,5177335,Completed,First,"October 07, 2017",6h,,,,,,,
55,21680,DOPLIC,PC,6h,NR,,5117055,Completed,First,"September 30, 2017",6h,,,,,,,
56,21680,KrisMactavish,PC,6h,NR,,5122939,Completed,First,"October 02, 2017",6h,7h,,,,,,
57,21680,Private,PC,6h,70%,,5348950,Completed,First,"November 19, 2017",6h,,,,,,,
58,21680,Phare,PC,6h,NR,,11119444,Completed,First,"October 19, 2017",6h,,,,,,,
59,21680,Rin,PC,6h,NR,,6625048,Completed,First,,6h,,,,,,,
60,21680,Suntherion,PC,6h,NR,,5219838,Completed,First,"October 26, 2017",6h,,,,,,,
61,21680,WaveSquirrel,Nintendo Switch,6h,90%,Beat every level and got all the supers.,8995564,Completed,First,"November 17, 2019",6h,,,,,,,
62,21680,pichilin,Nintendo Switch,6h,80%,,9349254,Completed,First,"August 23, 2019",6h,,,,,,,
63,21680,goodgamer,PC,6h 04m,90%,,6664704,Completed,First,"July 25, 2018",6h 04m,,,,,,,
64,21680,bobbywasabi,Xbox One,6h 12m,NR,,5129134,Completed,First,"October 01, 2017",6h 12m,,,,,,,
65,21680,fetahundenyoda,PC,6h 15m,80%,,5161477,Completed,First,"October 11, 2017",6h 15m,,,,,,,
66,21680,PeekingBoo,PC,6h 20m,80%,Beat using DDR Dance Pads,5119655,Completed,Replay,"October 05, 2017",6h 20m 43s,,,,,,,
67,21680,silvio_giuliani,PC,6h 24m,70%,,5504036,Completed,First,"December 22, 2017",6h 24m,,,,,,,
68,21680,Private,PC,6h 28m,70%,,5112210,Completed,First,"November 14, 2017",6h 28m,,,,,,,
69,21680,,Xbox One,6h 28m,NR,,5437074,Completed,First,,6h 28m 17s,8h 47m 21s,,,9h 36m 51s,,,
70,21680,,PC,6h 30m,NR,,5519851,Completed,First,,6h 30m,,,,,,,
71,21680,,PC,6h 30m,NR,Everything except all A/P ranks and all levels on Expert,8378552,Completed,First,,6h 30m,8h,,,,,,
72,21680,,PC,6h 30m,NR,,9305323,Completed,First,,6h 30m,,,,,,,
73,21680,MrHands81,PC,6h 30m,90%,,6081357,Completed,First,"December 29, 2017",6h 30m,,,,,,,
74,21680,mito_cl,Nintendo Switch,6h 30m,90%,100% (not achievements),8639241,Completed,First,"May 12, 2019",6h 30m,6h 55m,,,,,,
75,21680,modaren,PC,6h 30m,NR,,5114303,Completed,First,"September 30, 2017",6h 30m,,,,,,,
76,21680,thomaz1994,PC,6h 32m,100%,,5483986,Completed,First,"December 17, 2017",6h 32m,,,6h 32m,,,,
77,21680,thefuture4,Nintendo Switch,6h 35m,NR,,11038289,Completed,First,"February 11, 2020",6h 35m,,,,,,,
78,21680,,PC,6h 36m,NR,,5636923,Completed,First,,6h 36m,,,,,,,
79,21680,zlALiCE,PC,6h 45m,NR,,6251685,Completed,First,"May 16, 2018",6h 45m,,,,20h 40m,,,
80,21680,Daigoro,PC,6h 52m,80%,,5219778,Completed,First,"October 26, 2017",6h 52m 38s,,,,,,,
81,21680,Thranto,PC,6h 53m,90%,98%,5114119,Completed,First,"October 19, 2017",6h 53m,,,,,,,
82,21680,acousticfigure,PC,6h 56m,NR,,5142854,Completed,First,"October 08, 2017",6h 56m,,,,,,,
83,21680,,PC,7h,NR,,5128299,Completed,First,,7h,8h,,,15h,,,
84,21680,,PC,7h,NR,,5143430,Completed,First,,7h,9h,,,12h,,,
85,21680,,PC,7h,NR,,5655516,Completed,First,,7h,,,,,,,
86,21680,,PC,7h,NR,,6044432,Completed,First,,7h,,,,,,,
87,21680,,Xbox One,7h,NR,,7507335,Completed,First,,7h,8h 30m,,,20h,,,
88,21680,,PC,7h,NR,without S ranks on all bossess,10941979,Completed,First,,7h,,,,19h 20m,,,
89,21680,Cass_se,Nintendo Switch,7h,NR,,11398046,Completed,First,"April 07, 2020",7h,,,,,,,
90,21680,Hakuto,PC,7h,NR,,5113718,Completed,First,"October 03, 2017",7h,,,,,,,
91,21680,Kikkelipaa666,PC,7h,100%,,5151697,Backlog Completed,First,"October 09, 2017",7h,,,,,,,
92,21680,LaunchpadMcRoss,PC,7h,NR,,5196519,Completed,First,"October 20, 2017",7h,,,,,,,
93,21680,Metakirby22,Nintendo Switch,7h,NR,"I honestly have no idea how long it took, but this is my estimate for all S Ranks.",11901859,Completed,Replay,"June 03, 2020",7h,,,,23h,,,
94,21680,SnowJamm,PC,7h,NR,,5128288,Completed,First,"October 03, 2017",7h,10h,,,,,,
95,21680,Stromblad,PC,7h,100%,,5118393,Completed,First,"September 30, 2017",7h,,,,,,,
96,21680,Ur_Hero_Wilgus,PC,7h,NR,"fun game, hidden items in the screen as you play, over all pacifist is the hardest part of the game.",5225607,Completed,First,"October 27, 2017",7h,,,,,,,
97,21680,Zapkaos,Nintendo Switch,7h,90%,,8999804,Completed,First,"June 19, 2019",7h,,,,,,,
98,21680,jackwj5,PC,7h,NR,,11475980,Completed,First,,7h,,,,,,,
99,21680,LamarVultureMan,PC,7h 05m,NR,,8392615,Completed,First,"March 03, 2019",7h 05m,,,,,,,
100,21680,,PC,7h 06m,NR,,5133651,Completed,First,,7h 06m,,,,,,,
101,21680,,PC,7h 06m,NR,,5838210,Completed,First,,7h 06m,,,,,,,
102,21680,,PC,7h 15m,NR,,6544648,Completed,First,,7h 15m,,,,,,,
103,21680,DatBoiJuan,PC,7h 16m,NR,,5950611,Completed,First,"November 11, 2017",7h 16m,,,,,,,
104,21680,,PC,7h 20m,NR,,5132782,Completed,First,,7h 20m,,,,,,,
105,21680,tatoonie,PC,7h 20m,NR,,9697343,Custom List 2 Completed,First,"October 06, 2019",7h 20m 01s,,,,,7h 20m 01s /,,
106,21680,Soloid,PC,7h 23m,70%,,8140417,Completed,First,"January 28, 2019",7h 23m 11s,,,,,,,
107,21680,Blahoholic,PC,7h 30m,80%,,7910060,Completed,First,"September 27, 2017",7h 30m,,,,,,,
108,21680,raegazel,PC,7h 30m,80%,,5118694,Completed,First,"September 30, 2017",7h 30m,,,,,,,
109,21680,zeenz,PC,7h 30m,NR,,5124612,Completed,First,"October 02, 2017",7h 30m,,,,,,,
110,21680,70457,PC,7h 33m,NR,,5134653,Completed,First,"October 05, 2017",7h 33m,,,,,,,
111,21680,Private,PC,7h 45m,90%,"200%, 353 deaths",8556259,Completed,First,"April 01, 2019",7h 45m,17h 30m,,,,,,
112,21680,,PC,7h 50m,NR,All levels on hard,5414481,Completed,Replay,,7h 50m 02s,8h 02m 17s,,,11h 59m 06s,,,
113,21680,,PC,7h 56m,NR,,5710792,Completed,Replay,,7h 56m,,,,,,,
114,21680,,PC,7h 57m,NR,,10450032,Completed,First,,7h 57m 28s,,,,,,,
115,21680,,Xbox One,8h,NR,,5133689,Completed,First,,8h,12h,,,16h,,,
116,21680,,PC,8h,NR,,5158301,Completed,First,,8h,9h,,,19h,,,
117,21680,,PC,8h,NR,,5426419,Completed,First,,8h,,,,,,,
118,21680,,PC,8h,NR,,5455760,Completed,First,,8h,,,,,,,
119,21680,,PC,8h,NR,,5564462,Completed,First,,8h,9h,,,18h,,,
120,21680,,PC,8h,NR,,11855757,Completed,First,,8h,10h,,,30h,,,
121,21680,Alpharad,PC,8h,90%,,11517022,Completed,First,,8h,,,,,,,
122,21680,Angmar,PC,8h,80%,,5427590,Completed,First,"December 10, 2017",8h,,,,,,,
123,21680,Bouland,PC,8h,NR,the good ending.,5540248,Completed,First,"December 30, 2017",8h,,,,,,,
124,21680,Private,PC,8h,100%,,5249873,Completed,First,"November 01, 2017",8h,8h 40m,,,,,,
125,21680,Fios,PC,8h,80%,,8209866,Completed,First,"February 03, 2019",8h,,,,,,,
126,21680,Hargie,PC,8h,NR,,7783312,Completed,First,"December 20, 2018",8h,,,,,,,
127,21680,LittleRedemption,PC,8h,90%,,5291867,Completed Retired,First,"November 09, 2017",8h,10h,,,12h,,,
128,21680,Matetrix,PC,8h,NR,,5191824,Completed,First,"October 21, 2017",8h,,,,,,,
129,21680,Moist_Wrist,PC,8h,NR,co-op,11891377,Completed,Replay,"May 28, 2020",8h,,,,,,,
130,21680,Namaku64,PC,8h,NR,,11267812,Completed,First,"September 18, 2019",8h,,,,,,,
131,21680,TaryNNNN,PC,8h,90%,,5662544,Completed,First,"January 14, 2018",8h,,,,,,,
132,21680,TouchofGrey,PC,8h,70%,,5119811,Completed,First,"October 01, 2017",8h,,,,,,,
133,21680,Yattaze,Nintendo Switch,8h,NR,,11607079,Completed,First,,8h,,,,,,,
134,21680,dzydzydino,PC,8h,NR,"Blind Playthrough, Normal Difficulty.",5215920,Completed,First,"October 18, 2017",8h,,,,,,,
135,21680,eldersmot,PC,8h,NR,,9020578,Completed,First,"April 16, 2020",8h,,,,,,,
136,21680,mauhlin12,Nintendo Switch,8h,90%,All bosses normal difficulty mostly with homing shot. Skipped 1 run n gun stage.,8655309,Completed,First,"April 21, 2019",8h,,,,,,,
137,21680,phemios,PC,8h,NR,,6585323,Completed,First,"July 13, 2018",8h,,,,,,,
138,21680,pie_masters,PC,8h,70%,,10518022,Completed,First,"December 15, 2019",8h,,,,,,,
139,21680,sturdyserpent,PC,8h,100%,,7391893,Completed,First,"November 05, 2018",8h,,,,,,,
140,21680,vullture,PC,8h,NR,,9642157,Completed,First,"September 14, 2019",8h,,,,,,,
141,21680,xecute16,PC,8h,NR,,5143474,Completed,First,"October 14, 2017",8h,,,,,,,
142,21680,Yetimachete,PC,8h 04m,90%,,10751446,Completed,First,January 2020,8h 04m,,,,,,,
143,21680,,PC,8h 15m,NR,All bosses played in regular difficulty,5117776,Completed,First,,8h 15m,,,,,,,
144,21680,Ryu_Rare,Nintendo Switch,8h 20m,80%,,5252538,Completed,First,"June 15, 2019",8h 20m,,,,,,,
145,21680,Logophiliac,PC,8h 25m,NR,,5256449,Completed,First,"November 02, 2017",8h 25m,,,,,,,
146,21680,Marloges,PC,8h 30m,80%,"Got all of the coins, which are all unlockables from what I could tell.",6364724,Completed,First,"June 13, 2018",8h 30m,9h,"Took me quite a while to beat, since I kept putting this on-hold for some reason. I have to say, the game was pretty tough at some parts, but it felt very rewarding to beat.",,,,,
147,21680,StarBasket,PC,8h 30m,NR,,11991921,Completed,First,"June 07, 2020",8h 30m,,,,,,,
148,21680,TheSeahorse,PC,8h 35m,90%,,5185095,Completed,First,"October 17, 2017",8h 35m,,,,,,,
149,21680,,Nintendo Switch,8h 36m,NR,,9235975,Completed,First,,8h 36m,,,8h 36m,,,,
150,21680,DecemberStyle,PC,8h 39m,90%,,5363449,Completed,First,"November 26, 2017",8h 39m 57s,,,,,,,
151,21680,,PC,8h 46m,NR,,5164902,Completed,First,,8h 46m,,,,,,,
152,21680,Rakay,PC,8h 47m,NR,,5906315,Completed,First,"February 28, 2018",8h 47m,,,,,,,
153,21680,Melbo,PC,8h 49m,90%,,10240995,Completed,First,,8h 49m 08s,,,,,,,
154,21680,KiguRoomie,PC,8h 53m,NR,Didn't care about grades or anything. Just beating the game.,5132739,Completed,First,"October 05, 2017",8h 53m 54s,,,,,,,
155,21680,abeernae,PC,8h 59m,90%,"Completed all levels on Normal, 15/28 achievements, spent 2+ hrs on King Dice otherwise time would have been much less",6982357,Completed,First,"September 14, 2018",8h 59m 32s,,,,,,,
156,21680,,PC,9h,NR,,5120868,Completed,First,,9h,9h 30m,,,,,,
157,21680,,PC,9h,NR,,5203497,Completed,First,,9h,,,,,,,
158,21680,500kevc,PC,9h,80%,,7515172,Completed,First,"September 30, 2017",9h,,,,,,,
159,21680,Blubmin,PC,9h,NR,,5210995,Completed,First,"October 24, 2017",9h,,,,,,,
160,21680,Daser,Nintendo Switch,9h,NR,,8880725,Completed,First,"June 01, 2019",9h,,,,,,,
161,21680,Firedragon100,PC,9h,NR,,8696222,Completed,First,"October 08, 2018",9h,,,,,,,
162,21680,KamikotoGasai,PC,9h,NR,,5197650,Completed,First,"October 21, 2017",9h,,,,,,,
163,21680,Pribamich,PC,9h,NR,,5511257,Completed,First,,9h,,,,,,,
164,21680,SavePoint,PC,9h,90%,,6514706,Completed,First,"May 23, 2018",9h,,,,,,,
165,21680,Seripmav_Deredrum,Xbox One,9h,NR,,6131544,Completed,First,,9h,10h 12m,,,,,,
166,21680,cloudst,PC,9h,NR,,5122172,Completed,First,"October 01, 2017",9h,11h,,,,,,
167,21680,crono3,PC,9h,NR,,5115308,Completed,First,"September 30, 2017",9h,,,,,,,
168,21680,seagull_seagull,PC,9h,80%,,6848590,Completed,First,"January 16, 2018",9h,,,,,,,
169,21680,seppcness,PC,9h,NR,,6220918,Completed,First,"October 01, 2017",9h,,,,,,,
170,21680,spudboy,PC,9h,NR,,10984349,Completed,First,,9h,,,,,,,
171,21680,varex,PC,9h,90%,,5530838,Completed,First,"January 02, 2018",9h,,,,,,,
172,21680,Private,Nintendo Switch,9h,90%,,5622930,Completed,First,"April 21, 2019",9h,,,,,,,
173,21680,Paroro,Nintendo Switch,9h 10m,80%,,10867225,Completed,First,"January 23, 2020",9h 10m,,,,,,,
174,21680,skumbrx,PC,9h 10m,60%,,11108436,Completed,First,"October 05, 2017",9h 10m,,,,,,,
175,21680,kervinho,PC,9h 12m,90%,,10172787,Completed,First,"October 01, 2019",9h 12m,,,,,,,
176,21680,CLPockets,PC,9h 14m,NR,,10496698,Completed,First,,9h 14m,,,,,,,
177,21680,Kimi_Gintoki,PC,9h 14m,NR,,5119888,Completed,First,"October 01, 2017",9h 14m,,,,,,,
178,21680,BewaretheBatman,Xbox One,9h 16m,90%,,5408795,Completed,First,"August 01, 2018",9h 16m 12s,12h 08m 34s,,,,,,
179,21680,Ron57,PC,9h 25m,NR,Both bad & good ending. All levels completed,5118643,Completed,First,"September 30, 2017",9h 25m,,,,,,,
180,21680,MrROBINKONG,PC,9h 25m,80%,"Beat the Devil, Xbox One Controller",7291953,Completed,First,"February 02, 2020",9h 25m 04s,,,,,,,
181,21680,Hottston,Xbox One,9h 28m,80%,,5112832,Completed,First,"October 07, 2017",9h 28m,,,,,,,
182,21680,Doomes,PC,9h 29m,80%,Skipped most of the Run and Gun stages.,5289075,Completed,First,"November 08, 2017",9h 29m 34s,,,,,,,
183,21680,,Xbox One,9h 30m,NR,,5833179,Completed,First,,9h 30m,12h 30m,,,17h 30m,,,
184,21680,Bold_Wolf,PC,9h 30m,80%,,7426786,Replay Custom List Completed,First,"December 08, 2018",9h 30m,13h 40m,,,,28h 58m /,,
185,21680,Hotpies,PC,9h 30m,100%,,9007852,Completed,First,"November 10, 2017",9h 30m,,,,,,,
186,21680,weissnicht01,PC,9h 30m,NR,,6265683,Completed,First,"May 04, 2018",9h 30m,10h,,,16h 49m,,,
187,21680,Dunnington,Xbox One,9h 36m,90%,Beat all bosses and run&gun stages. 96% completion. Didn't repeat any bosses.,5519999,Completed,First,"May 11, 2019",9h 36m,,,,,,,
188,21680,,Nintendo Switch,9h 40m,NR,,11205469,Completed,First,,9h 40m,,,,,,,
189,21680,Flourite,PC,9h 45m,90%,,5203668,Completed,First,"October 22, 2017",9h 45m,,,,,,,
190,21680,Sharean,Nintendo Switch,9h 53m,80%,,11697190,Completed,First,"May 08, 2020",9h 53m,,,,,,,
191,21680,JasIruka,PC,9h 53m,80%,,8575997,Completed,First,"January 07, 2017",9h 53m 12s,,,,,,,
192,21680,,PC,9h 56m,NR,,5279168,Completed,First,,9h 56m,19h 38m,,,,,,
193,21680,,PC,10h,NR,,5183675,Completed,First,,10h,12h,,,18h,,,
194,21680,,PC,10h,NR,,5339714,Completed,First,,10h,,,,,,,
195,21680,,Nintendo Switch,10h,NR,,8908100,Completed,First,,10h,,,,,,,
196,21680,Carco,PC,10h,NR,,11140027,Completed,First,"March 11, 2020",10h,13h,,,,,,
197,21680,Chorlo,Xbox One,10h,100%,,9657607,Completed,First,"October 15, 2017",10h,,,,,,,
198,21680,CurseOfTheMumu,PC,10h,NR,,10352671,Completed,First,,10h,14h,,,,,,
199,21680,Private,PC,10h,NR,,10172475,Completed,First,"October 22, 2019",10h,,,,,,,
200,21680,FireAgostini,PC,10h,NR,,9568717,Completed,First,"September 09, 2019",10h,,,,17h,,,
201,21680,Firegon,PC,10h,NR,,5172980,Completed,First,"October 14, 2017",10h,,,10h,,,,
202,21680,Juntaou,PC,10h,NR,,10598259,Completed,First,"May 15, 2019",10h,,,,,,,
203,21680,Keymo42,PC,10h,NR,,7980986,Completed,First,"January 07, 2019",10h,,,,,,,
204,21680,Knyghtyme,PC,10h,NR,,5267237,Completed,First,,10h,,,,,,,
205,21680,MonkOCD911,PC,10h,NR,,5271579,Completed,First,"September 30, 2017",10h,,,,12h,,,
206,21680,Murderlol,PC,10h,100%,,5690415,Completed,First,"January 19, 2018",10h,25h,,,30h,,,
207,21680,Nickoli,Xbox One,10h,100%,,5119901,Completed,First,"October 16, 2017",10h,,,,,,,
208,21680,OccupiedOctopus,Xbox One,10h,NR,,5483195,Completed,First,"December 18, 2017",10h,,,,,,,
209,21680,PaleoSteno,Xbox One,10h,NR,,8191405,Completed,First,"October 04, 2017",10h,,,,,,,
210,21680,RetroGamerAndrew,Nintendo Switch,10h,80%,,11777539,Backlog Completed,First,"May 17, 2020",10h,,,,,,,
211,21680,SneppeYo,Nintendo Switch,10h,80%,,10885479,Completed,First,"January 09, 2020",10h,,,,,,,
212,21680,TheJiggspuff,PC,10h,NR,,5528545,Completed,First,,10h,,,,,,,
213,21680,TheWrathAbove,Nintendo Switch,10h,NR,,8991505,Completed,Replay,,10h,,,,,,,
214,21680,VaapaD,PC,10h,100%,,6629668,Completed,First,,10h,,,,,,,
215,21680,Viroxx,PC,10h,NR,All bosses (regulal),8489157,Completed,First,"March 19, 2019",10h,,,,,,,
216,21680,WillSnow,Nintendo Switch,10h,NR,,8768036,Completed,First,"May 07, 2019",10h,,,,,,,
217,21680,Private,PC,10h,100%,,5781150,Completed,First,,10h,12h,,,20h,,,
218,21680,atomicbrett,PC,10h,90%,,5197651,Completed Retired,Replay,,10h,,,,,,,
219,21680,dekenfrost,Nintendo Switch,10h,NR,,8777743,Completed,First,"May 15, 2019",10h,,,,,,,
220,21680,famouscustard,PC,10h,70%,,11287796,Completed,First,,10h,,,,,,,
221,21680,frankietre,PC,10h,NR,,11478321,Completed,First,"April 17, 2020",10h,,,,,,,
222,21680,fuzilly,PC,10h,90%,,8449315,Completed,First,"March 11, 2019",10h,13h 30m,,,,,,
223,21680,grimbergen_beer,PC,10h,80%,,8200185,Completed,First,"June 26, 2019",10h,,,,,,,
224,21680,gui_dsa,PC,10h,NR,,10629443,Completed,First,"December 21, 2019",10h,,,,,,,
225,21680,hugobraulio,Nintendo Switch,10h,NR,,10985813,Completed,First,"February 13, 2020",10h,,,,,,,
226,21680,litheflipper7,Xbox One,10h,100%,,6490957,Completed,First,"December 15, 2017",10h,13h,,,25h 24m,,,
227,21680,Private,PC,10h,NR,,10858403,Completed,First,"June 08, 2018",10h,,,,,,,
228,21680,metaljoints,PC,10h,NR,,6123417,Completed,First,"April 15, 2018",10h,,,,,,,
229,21680,oknsnl,PC,10h,70%,,11704321,Completed,First,"May 17, 2020",10h,,,,,,,
230,21680,Private,PC,10h,100%,,6064602,Completed,First,"March 31, 2018",10h,,,,,,,
231,21680,seFausto,Nintendo Switch,10h,90%,,8820361,Completed,First,"June 03, 2019",10h,,,,,,,
232,21680,swankyr,PC,10h,NR,,8098518,Completed,First,"June 05, 2019",10h,12h,,,23h,,,
233,21680,tomasbmp,PC,10h,NR,,10640445,Completed,First,,10h,,,,,,,
234,21680,webertsilva,PC,10h,90%,,9613677,Completed,First,"September 13, 2018",10h,,,,,,,
235,21680,xLastSamuraix,PC,10h,NR,,11279719,Completed,First,"March 30, 2020",10h,,,,,,,
236,21680,yeppppitsme,PC,10h,NR,,5120651,Completed,First,"October 01, 2017",10h,,,,,,,
237,21680,Private,PC,10h 12m,NR,,5314113,Completed,First,"November 13, 2017",10h 12m,,,,,,,
238,21680,,PC,10h 20m,NR,,5457864,Completed,First,,10h 20m,,,,,,,
239,21680,pokichara,PC,10h 24m,NR,,9382351,Completed,First,"August 17, 2019",10h 24m,,,,,,,
240,21680,ljmedina,PC,10h 27m,90%,,6049356,Completed,First,"November 23, 2017",10h 27m 33s,,,,,,,
241,21680,melki,Nintendo Switch,10h 28m,NR,Bad and Good Ending. 105%,9449787,Completed,First,"May 18, 2019",10h 28m,,,,,,,
242,21680,Davsto,PC,10h 30m,NR,,5175910,Completed,First,"October 15, 2017",10h 30m,,,,,,,
243,21680,Subaphonic,PC,10h 30m,90%,,7269971,Completed,First,"October 18, 2018",10h 30m,,,,,,,
244,21680,Mithander,PC,10h 33m,NR,,8283538,Completed,First,"February 17, 2019",10h 33m,,,,,,,
245,21680,ppdevoto,PC,10h 40m,NR,,11821721,Completed,First,,10h 40m,,,,,,,
246,21680,ZEMO,PC,10h 42m,NR,,5181250,Completed,First,"October 16, 2017",10h 42m,,,,,,,
247,21680,Xinjust,Nintendo Switch,10h 43m,90%,,9646490,Completed,First,"October 08, 2019",10h 43m,,,,,,,
248,21680,,PC,10h 55m,NR,,5447031,Completed,First,,10h 55m 12s,15h 12m 32s,,,16h 59m,,,
249,21680,,Xbox One,11h,NR,,5177861,Completed,First,,11h,,,,,,,
250,21680,,PC,11h,NR,,8561075,Completed,First,,11h,15h,,,20h,,,
251,21680,Anthracks,Nintendo Switch,11h,100%,,8659940,Completed,First,"May 13, 2019",11h,,,,,,,
252,21680,Blue_Oni,PC,11h,NR,,7495528,Completed,First,,11h,,,,,,,
