,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Completionist,Vs.,Progress,Personal Notes,Speedrun,Co-Op
39,12707,llocousc,PC,14h 33m,NR,,1230756,Completed,First,"March 06, 2015",14h 33m 41s,,,,,,,
40,12707,Tidus_360,Wii U,14h 34m,NR,"87% sync, 77 abstergo",933411,Completed,First,"April 07, 2015",14h 34m,69h 13m,,,,"87% completion, abstergo 77/100",,
41,12707,FryyourBacon,PC,14h 42m,90%,,8509579,Completed,First,"June 04, 2020",14h 42m 10s,,,,,,,
42,12707,,PC,14h 50m,NR,,8030157,Completed,Replay,,14h 50m 27s,,,,,,,
43,12707,,Xbox 360,15h,NR,,491414,Completed,First,,15h,25h,28h,,,,,
44,12707,,PlayStation 4,15h,NR,,663725,Completed,First,,15h,30h,50h,,,,10h 30m,
45,12707,,PC,15h,NR,,919390,Completed,First,,15h,,,,,,,
46,12707,,Xbox 360,15h,NR,,1414521,Completed,First,,15h,,,,,,,
47,12707,Bassem,PC,15h,90%,,510935,Completed,First,"December 08, 2013",15h,45h,50h,,,,,
48,12707,CTCNathan,Xbox 360,15h,90%,,1132832,Completed,First,"August 03, 2014",15h,30h,45h,,,,,
49,12707,DamnataAnimus,PC,15h,100%,,497865,Completed,First,"November 29, 2013",15h,40h,,,,,,
50,12707,Forestpan,PC,15h,NR,,8319087,Completed,First,,15h,,80h,,,,,
51,12707,Yippiekai,PC,15h,80%,,523048,Completed,First,,15h,,,,,,,
52,12707,amal,PC,15h,50%,,755858,Completed,First,"August 27, 2014",15h,,,,,,,
53,12707,deadacezero,PlayStation 4,15h,80%,,591622,Completed,First,"February 03, 2014",15h,17h,,,,,,
54,12707,fetahundenyoda,PC,15h,90%,,2684559,Completed,First,"March 03, 2016",15h,,,,,,,
55,12707,hishmeister,PlayStation 4,15h,90%,,605096,Completed,First,,15h,,,,,,,
56,12707,sergeantsmithers,PlayStation 4,15h,NR,,754055,Completed,First,"June 10, 2014",15h,20h,25h,,,,,
57,12707,thefallofbuzz,PlayStation 3,15h,100%,,476786,Playing Completed,First,"November 10, 2013",15h,17h 22m 15s,,,,,,
58,12707,xparrot,PC,15h,NR,,5715142,Completed,Replay,"January 23, 2018",15h,,,,,,,
59,12707,cellemir,PlayStation 4,15h 02m,NR,,1636521,Completed,First,"September 13, 2015",15h 02m,,,,,,,
60,12707,Private,PC,15h 03m,NR,,3109555,Completed,First,"June 19, 2016",15h 03m 22s,,,,,,,
61,12707,Barch,PlayStation 4,15h 07m,NR,,6269833,Backlog Completed,First,"August 10, 2018",15h 07m 25s,,,,15h 07m 25s /,,,
62,12707,Private,PlayStation 4,15h 15m,90%,,3828609,Completed,First,"June 10, 2017",15h 15m,,,,,,,
63,12707,KMoney,PlayStation 4,15h 23m,90%,,1081717,Completed,First,"January 19, 2015",15h 23m 51s,,,,,,,
64,12707,,PlayStation 4,15h 30m,NR,"Awesome game, worth every minute of your playtime",11837482,Completed,First,,15h 30m,36h,55h 30m,,,,,
65,12707,Private,PC,15h 30m,NR,,999236,Completed,First,"March 28, 2018",15h 30m,,,,,,,
66,12707,calebh36,Xbox 360,15h 35m,NR,,1049553,Completed,First,"June 25, 2014",15h 35m 57s,18h 51m 32s,,,,,,
67,12707,ZoMa_TGM,PC,15h 45m,70%,,9397871,Completed,First,"September 01, 2019",15h 45m,,,,,,,
68,12707,Private,PC,15h 45m,90%,,490453,Completed,First,"December 15, 2013",15h 45m 32s,,,,,,,
69,12707,PapaStalin,PC,15h 45m,80%,,7929506,Completed,First,"January 11, 2020",15h 45m 55s,,,,,,,
70,12707,Private,PC,15h 58m,60%,,6438211,Completed,First,"July 14, 2018",15h 58m 48s,,,,,,,
71,12707,,PlayStation 4,16h,NR,,671676,Completed,First,,16h,,,,,,,
72,12707,DJKeebz,PC,16h,90%,,556182,Completed,First,"January 05, 2014",16h,,,,,,,
73,12707,G4rgamel,PC,16h,NR,,1365490,Completed,Replay,"September 20, 2014",16h,24h,35h,,,,,
74,12707,HosainH,PC,16h,NR,,2927557,Completed,First,"May 01, 2016",16h,,,,,decent game.,,
75,12707,Mandulum,PC,16h,70%,,1007898,Completed,First,"November 03, 2014",16h,,,,,,,
76,12707,Sap1ing,PC,16h,NR,,8589965,Completed,First,"April 18, 2019",16h,,,,,,,
77,12707,Thanatos13,PC,16h,NR,,1199483,Completed,First,"February 18, 2015",16h,,,,,,,
78,12707,Tsel,Xbox One,16h,NR,,11891886,Completed,First,"May 20, 2020",16h,,,,,,,
79,12707,VatikanKlopper,PlayStation 3,16h,60%,,3890378,Completed,First,,16h,,,,,,,
80,12707,alexisplaying,PC,16h,100%,,515634,Completed,First,"December 11, 2013",16h,27h,,,,Main Story is just an estimate really. 15-17 hours roughly. I did the vast majority (72% sync) of the side stuff first time through. That time is accurate.,,
81,12707,R4bert,PC,16h 05m,100%,,607262,Playing Backlog Replay Custom List Completed Retired,First,"January 15, 2014",16h 05m 04s,28h 22m 01s,40h 50m 02s,,,,,
82,12707,,Xbox One,16h 08m,NR,,6949487,Completed,Replay,,16h 08m 33s,,,,,,,
83,12707,Blackcracks,PlayStation 4,16h 18m,90%,,689348,Completed,First,"April 10, 2014",16h 18m 45s,25h 02m 46s,,,,,,
84,12707,kkultra1234,PlayStation 4,16h 20m,90%,,647526,Completed,First,"February 27, 2014",16h 20m 13s,,,,,,,
85,12707,TheMrToodles,PC,16h 30m,80%,,1311745,Completed,First,"March 17, 2015",16h 30m,,,,,,,
86,12707,hardvark,PC,16h 30m,NR,,7364448,Completed,First,"October 31, 2018",16h 30m,,,,,,,
87,12707,,Nintendo Switch,16h 32m,NR,,10794746,Completed,First,,16h 32m 12s,,,,,,,
88,12707,,PlayStation 3,16h 32m,NR,,464971,Completed,First,,16h 32m 21s,,,,,,,
89,12707,,PlayStation 3,16h 35m,NR,,571845,Completed,First,,16h 35m,,,,,,,
90,12707,Balupu,PC,16h 40m,50%,,523135,Completed,First,"December 16, 2013",16h 40m,,,,,,,
91,12707,andrewl3779,PlayStation 4,16h 41m,80%,"Story completed, did about 4 hours of grinding. Time taken from statistics after credits.",5014449,Completed,First,"September 06, 2017",16h 41m 17s,,,,,,,
92,12707,Private,PlayStation 4,16h 53m,NR,,8940554,Completed,First,"October 27, 2019",16h 53m 51s,,,,,,,
93,12707,,Xbox 360,16h 55m,NR,,5005875,Completed,First,,16h 55m,,,,,,,
94,12707,,PlayStation 4,17h,NR,,699735,Completed,Replay,,17h,24h,32h,,,,,
95,12707,,PlayStation 4,17h,NR,,5017701,Completed,First,,17h,,,,,,,
96,12707,Hesho17,PlayStation 3,17h,70%,,1764163,Completed,First,,17h,,,,,,,
97,12707,hohiboo,PlayStation 3,17h,NR,,1076933,Completed,Replay,"December 01, 2013",17h,,,,,,,
98,12707,,PC,17h 02m,NR,,829531,Completed,First,,17h 02m 24s,,,,,,,
99,12707,riquerico,PlayStation 3,17h 03m,90%,,490665,Completed,First,"November 25, 2013",17h 03m 37s,,,,,"Focused on main game only, doing side missions and activities when I needed money to upgrade the ship for harder missions. Time after end credits.",,
100,12707,Jaksu,PC,17h 07m,NR,,728429,Completed,First,"November 02, 2015",17h 07m 15s,,,,,,,
101,12707,,Xbox 360,17h 25m,NR,,599218,Completed,First,,17h 25m 32s,,,,,,,
102,12707,RamiChaiben_2004192,PC,17h 30m,NR,,11532326,Playing Completed,Replay,"April 23, 2020",17h 30m,,,,,,,
103,12707,TraxDave,Wii U,17h 30m,NR,,8958788,Completed,First,"September 01, 2019",17h 30m,,,,,,,
104,12707,a7xezio07,Xbox 360,17h 30m,70%,,4891771,Completed,First,"February 16, 2015",17h 30m,,,,,,,
105,12707,sapphirone,PC,17h 30m,NR,,784803,Completed,First,"July 30, 2014",17h 30m,,,,,,,
106,12707,Private,PlayStation 4,17h 32m,80%,,566336,Completed,First,"January 20, 2014",17h 32m 52s,,,,,,,
107,12707,citalopram,Xbox One,17h 35m,60%,,11161684,Completed,First,"March 15, 2020",17h 35m,,,,,,,
108,12707,rein13th,PC,17h 35m,80%,,603393,Completed,First,"January 29, 2014",17h 35m 33s,,,,,,,
109,12707,PlushWraith,PC,17h 48m,NR,52% Completion,1019325,Completed,First,"August 22, 2015",17h 48m,,,,,,,
110,12707,,PlayStation 4,17h 51m,NR,Did a little bit of side quests but not enough to consider +Extra.,679843,Completed,First,,17h 51m 06s,,,,,,,
111,12707,rweisse,PlayStation 4,17h 58m,NR,,500543,Completed,First,"December 01, 2013",17h 58m,,,,,,,
112,12707,,PC,18h,NR,,645830,Completed,First,,18h,,,,,,,
113,12707,,Xbox One,18h,NR,,837138,Completed,First,,18h,,,,,,,
114,12707,Aliseyun,Nintendo Switch,18h,NR,,10808479,Completed,First,"January 13, 2020",18h,,,,,,,
115,12707,Shotappl3,Xbox One,18h,NR,,5174685,Completed,First,"December 01, 2013",18h,,,,,,,
116,12707,gapposai,PC,18h,70%,,4113728,Completed,First,"February 25, 2014",18h,,,,,,,
117,12707,hasnatbashir,Xbox 360,18h,90%,,7449791,Completed,First,March 2014,18h,37h,,,,,,
118,12707,inflames88ad,PC,18h,NR,,10544138,Completed,First,"December 05, 2019",18h,,,,,,,
119,12707,blackopsMD2,PlayStation 3,18h 12m,NR,,2041232,Completed,First,"November 03, 2015",18h 12m,,,,,,,
120,12707,dylanwilson67,PlayStation 3,18h 14m,80%,,457917,Completed,First,"November 16, 2013",18h 14m 25s,,,,,,,
121,12707,,PC,18h 20m,NR,,5987589,Completed,First,,18h 20m 30s,,,,,,,
122,12707,BobbyDigital,Xbox One,18h 21m,70%,,1479578,Completed,First,"July 14, 2015",18h 21m 11s,,,,,,,
123,12707,SarcasmAbound,PlayStation 3,18h 23m,60%,,972755,Completed Retired,First,"December 29, 2015",18h 23m 19s,34h 31m 53s,,,,,,
124,12707,cobraclamp,PC,18h 25m,NR,,4616727,Completed,First,"June 23, 2017",18h 25m 16s,,,,,,,
125,12707,Private,PlayStation 4,18h 29m,60%,,1409791,Completed,First,"July 10, 2015",18h 29m 37s,,,,,,,
126,12707,Rinku,Wii U,18h 30m,80%,,493861,Completed,First,"November 24, 2013",18h 30m,21h 30m,39h 20m,,,,,
127,12707,Hinkelvinkel,PlayStation 4,18h 32m,80%,,2263095,Completed,First,"December 26, 2015",18h 32m 07s,,,,,,,
128,12707,,PlayStation 4,18h 33m,NR,,7466502,Completed,First,,18h 33m,,,,,,,
129,12707,Grahamtams,PlayStation 4,18h 39m,80%,Long and tedious game. Why do I keep playing these?,1302195,Completed,First,"April 07, 2015",18h 39m 45s,,,,,Long and tedious game. Why do I keep playing these?,,
130,12707,,Xbox One,18h 48m,NR,its really long worth playing,633773,Completed,First,,18h 48m 22s,,,,,,,
131,12707,Brad7991,Xbox One,18h 50m,80%,,10900847,Completed,Replay,"August 20, 2017",18h 50m,,,,,,,
132,12707,shxrk,PlayStation 4,18h 54m,90%,,628350,Completed,First,"March 22, 2014",18h 54m 13s,,41h 42m 14s,,,,,23m
133,12707,renegademrp,Xbox One,18h 54m,100%,,461464,Completed,First,"December 27, 2013",18h 54m 16s,,,13m 01s,,,,
134,12707,Benebec,PlayStation 4,18h 56m,NR,,1973014,Completed,First,"May 11, 2014",18h 56m 04s,,,,,,,
135,12707,,Xbox One,19h,NR,,560095,Completed,First,,19h,,,,,,,
136,12707,Jimmy1337,PC,19h,NR,,7729228,Completed,First,,19h,,,,,,,
137,12707,Joutai,PlayStation 4,19h,70%,,3442505,Completed,First,,19h,,,,,,,
138,12707,Private,Xbox 360,19h,NR,,1387251,Completed,First,,19h,,,,,,,
139,12707,MischienWelJordi,PC,19h,NR,,11999285,Completed,First,,19h,,,,,,,
140,12707,Skating_vince,PC,19h,90%,,569210,Completed,First,"January 12, 2014",19h,25h 45m,,,,,,
141,12707,bendikts,PC,19h,NR,,8415406,Completed,First,"September 13, 2019",19h,,,,,,,
142,12707,kingphantom9,Xbox One,19h,NR,,10400353,Completed,Replay,,19h,,,,,,,
143,12707,zetaman00,Xbox One,19h,NR,,5411219,Completed,First,"July 10, 2018",19h,,,,,,,
144,12707,zolebug,PC,19h,NR,,709804,Completed,First,"April 30, 2014",19h,,,,,,,
145,12707,FlorinEmil32,PlayStation 3,19h 03m,80%,,4925421,Completed,First,"August 19, 2017",19h 03m 22s,,,,,,,
146,12707,SporEl,PC,19h 05m,70%,,1293719,Playing Completed,Replay,"February 06, 2015",19h 05m 24s,29h 17m 48s,37h 34m 27s,,,,,
147,12707,Private,PC,19h 13m,NR,,10734750,Completed,First,"July 24, 2014",19h 13m,,,,,,,
148,12707,,PlayStation 4,19h 18m,NR,,6973195,Completed,First,,19h 18m,,,,,,,
149,12707,janbuchal,PlayStation 4,19h 19m,80%,,5980625,Completed,First,"June 28, 2017",19h 19m 52s,,,,,,,
150,12707,Mil3s,PlayStation 4,19h 20m,80%,,5647705,Completed,First,,19h 20m 25s,,,,,,,
151,12707,elpiop,PC,19h 25m,NR,,11149696,Completed,First,"December 30, 2017",19h 25m,,,,,,,
152,12707,Pureawesome53,Xbox One,19h 28m,70%,,4583028,Completed,First,"November 23, 2014",19h 28m,,,,,,,
153,12707,Jacob_Darka,PC,19h 28m,60%,,7378111,Replay Completed,Replay,"August 07, 2016",19h 28m 27s,21h 36m,,,21h 36m /,,,
154,12707,n_wist,PC,19h 30m,80%,100% synchronization,5451396,Completed,First,"March 26, 2018",19h 30m,47h 45m,53h 45m,,,,,
155,12707,Bikioman,PlayStation 4,19h 35m,90%,,6850276,Replay Completed,Replay,"December 15, 2016",19h 35m,27h 48m,36h,,,,,
156,12707,theplump,PC,19h 36m,80%,,1815111,Completed,First,"September 13, 2015",19h 36m,,,,,,,
157,12707,stilongsen,PC,19h 38m,70%,,989818,Completed,First,"September 13, 2014",19h 38m,,,,,,,
158,12707,Crazyman2450,PlayStation 4,19h 40m,NR,,693379,Completed,First,"March 02, 2014",19h 40m,36h 50m 55s,,,,,,
159,12707,skulldragon47,PC,19h 40m,NR,,9084424,Completed,First,"July 04, 2019",19h 40m,,,,,,,
160,12707,Excelsior,PlayStation 4,19h 44m,90%,"Some grinding and side-tracking, but fairly kept to a minimum.",702726,Completed,First,"June 18, 2014",19h 44m 03s,,,,,,,
161,12707,manicpunk,Xbox 360,19h 46m,70%,,1078642,Completed,First,"November 16, 2015",19h 46m,,,,,,,
162,12707,metroidisbest,Xbox One,19h 46m,80%,,493483,Completed,First,"November 30, 2013",19h 46m 44s,,,,,,,
163,12707,demidivine,PC,19h 57m,80%,,3987297,Completed,First,"November 03, 2016",19h 57m,,,,,,,
164,12707,MarkJP,Xbox 360,19h 58m,90%,Better than AC3 http://www.youtube.com/watch?v=voghA8VuN-w,472198,Completed,First,"November 04, 2013",19h 58m 55s,,,,,,,
165,12707,,PlayStation 4,20h,NR,,574705,Completed,First,,20h,30h,48h,,,,,
166,12707,,PC,20h,NR,,1102990,Completed,First,,20h,35h,62h,,,,,
167,12707,,PlayStation 4,20h,NR,,1371200,Completed,First,,20h,60h,,,,,,
168,12707,,Xbox One,20h,NR,,2037511,Completed,First,,20h,30h,,,,,,
169,12707,,PlayStation 3,20h,NR,,4310416,Completed,First,,20h,,,,,,,
170,12707,,Xbox 360,20h,NR,not done,6177712,Completed,First,,20h,38h,,,,,,
171,12707,,PlayStation 3,20h,NR,,7918590,Completed,First,,20h,40h,57h,,,,,
172,12707,Aech101,PC,20h,NR,,4577087,Completed,First,"September 22, 2017",20h,23h,,,,,,
173,12707,Alexsanlo,Xbox 360,20h,70%,,5319261,Completed,First,2016,20h,,,,,,,
174,12707,AlleyViper620,PlayStation 3,20h,90%,,1064631,Completed,First,"June 03, 2015",20h,40h,,,,,,
175,12707,Aster1,PlayStation 4,20h,NR,,699122,Completed,First,"November 15, 2013",20h,40h,,,,,,
176,12707,Dlaha,PlayStation 4,20h,NR,,1470029,Completed,First,"July 12, 2015",20h,,,,,,,
177,12707,Gigz,PlayStation 3,20h,NR,,836141,Completed,First,,20h,40h,,,,,,
178,12707,Gongbanza,PlayStation 4,20h,NR,,11134511,Completed,First,"March 11, 2020",20h,,,,,,,
179,12707,HANdaMAN,PC,20h,80%,,11493415,Completed,First,"October 23, 2017",20h,,,,,,,
180,12707,Jstreets123,Wii U,20h,90%,,6340829,Completed,First,"June 02, 2018",20h,,,,,,,
181,12707,KARMAN90,PC,20h,NR,,11984145,Completed,First,"June 13, 2020",20h,,,,,,,
182,12707,Kendev,PlayStation 4,20h,NR,,1693426,Completed,First,"April 12, 2014",20h,35h,45h,1h,,,,
183,12707,LLBKI,PC,20h,NR,,10453174,Completed,First,,20h,,,,,,,
184,12707,Leaks,PlayStation 4,20h,80%,,8895851,Completed,First,"February 06, 2015",20h,,,,,,,
185,12707,Leaks01,PlayStation 4,20h,80%,,8571450,Completed,First,"February 06, 2015",20h,,,,,,,
186,12707,Masterofmosh,PC,20h,80%,,4088051,Completed,First,"June 06, 2014",20h,,,,,,,
187,12707,MrFirebugJr,PlayStation 4,20h,60%,,6023719,Completed,First,"February 15, 2019",20h,,,,,,,
188,12707,Paulxkiller,PC,20h,NR,,655804,Completed,First,"March 05, 2014",20h,25h,,,,,,
189,12707,Snailburt,PlayStation 4,20h,NR,,425773,Custom List Completed,First,"March 03, 2014",20h,,,,,,,
190,12707,Tangier,PlayStation 4,20h,90%,,463334,Completed,Replay,"December 20, 2013",20h,60h,,,,,,
191,12707,Tommyk20,PlayStation 4,20h,80%,,5253528,Completed Retired,First,"November 01, 2017",20h,39h,46h,,,,,
192,12707,Triver,PC,20h,NR,,11312981,Completed,First,"April 01, 2020",20h,,,,,,,
193,12707,Private,PC,20h,NR,,7455929,Completed,Replay,"November 12, 2018",20h,,,,,,,
194,12707,Private,PlayStation 4,20h,NR,,614698,Completed,First,"December 11, 2013",20h,30h,,,,,,
195,12707,Zandareth,PC,20h,70%,,5874826,Completed,First,"September 12, 2014",20h,,,,,,,
196,12707,Zerozaki,PlayStation 3,20h,NR,,6650740,Completed,First,"July 22, 2018",20h,24h,,,,,,
197,12707,avidrunner,PC,20h,NR,,7410059,Completed,First,,20h,,,,,,,
198,12707,billy2513,PlayStation 4,20h,NR,,4332882,Completed,Replay,"April 19, 2017",20h,30h,50h,,,,,
199,12707,chmur3k,Xbox 360,20h,80%,,2030052,Completed,First,"October 31, 2015",20h,,,,,,,
200,12707,dLightman,PC,20h,80%,,5518287,Completed,First,"June 26, 2017",20h,,,,,,,
201,12707,datamonkey,PlayStation 4,20h,80%,,804673,Completed,First,,20h,30h,,,,,,
202,12707,ei02028,Xbox 360,20h,90%,,842944,Completed,First,"November 28, 2013",20h,,,,,,,
203,12707,fpsmax,PlayStation 4,20h,70%,,1344286,Completed,First,"May 15, 2015",20h,,,,,,,
204,12707,fredthebelgian,Wii U,20h,90%,,508568,Completed,First,"May 15, 2015",20h,,,,,,,
205,12707,friendlyfirepewpew,PlayStation 3,20h,90%,,6728016,Completed,First,"August 01, 2018",20h,30h 30m,,,,,,
206,12707,mantinez,Xbox 360,20h,100%,,3421058,Completed,First,"July 14, 2015",20h,35h,47h,,,,,
207,12707,mcanyigin,PlayStation 4,20h,NR,,5927386,Completed,First,"March 04, 2018",20h,,,,,,,
208,12707,mohitsengar,PC,20h,80%,,771695,Completed,First,"June 24, 2014",20h,,,,,,,
209,12707,mrmagician8787,PlayStation 4,20h,NR,,5693114,Completed,First,,20h,30h,,,,,,
210,12707,Private,Xbox One,20h,NR,,673518,Completed,First,"March 28, 2014",20h,,,,,,,
211,12707,radical,PC,20h,NR,,3394717,Completed,First,"September 05, 2016",20h,,,,,,,
212,12707,shadowflame93,PlayStation 4,20h,NR,,3722709,Completed,First,"December 05, 2016",20h,,,,,,,
213,12707,sphinxie,PC,20h,NR,,8464923,Completed,First,"December 12, 2014",20h,,,,,,,
214,12707,tabootay,Xbox One,20h,80%,,1730175,Completed,First,"August 29, 2015",20h,,,,,,,
215,12707,Private,PlayStation 4,20h,90%,,607585,Playing Completed,First,"February 01, 2014",20h,,,,,,,
216,12707,wanhero,PlayStation 4,20h,70%,,4640099,Completed,First,"December 18, 2014",20h,35h,49h,11h,,,,
217,12707,Private,PC,20h,NR,,9331965,Completed,First,,20h,,,,,,,
218,12707,,PlayStation 3,20h,NR,,4170920,Completed,First,,20h 57s,,,,,,,
219,12707,empirestrikesfirst,PlayStation 3,20h 01m,NR,,708463,Completed,First,"August 14, 2014",20h 01m 01s,,,,,,,
220,12707,,PlayStation 3,20h 05m,NR,,521854,Completed,First,,20h 05m 13s,,,,,,,
221,12707,,Xbox 360,20h 10m,NR,,475461,Completed,First,,20h 10m 19s,,,,,,,
222,12707,NightSlade,PlayStation 4,20h 12m,60%,,4413315,Completed,Replay,"February 08, 2017",20h 12m 46s,24h 46m 38s,,,,,,
223,12707,nishan14,PC,20h 12m,90%,,998018,Completed,First,"March 13, 2014",20h 12m 56s,,,,,,,
224,12707,GoSic,PC,20h 14m,NR,,4529670,Completed,First,"October 23, 2018",20h 14m 25s,,,,,,,
225,12707,Ferality,PC,20h 15m,NR,,1421925,Completed,First,"June 29, 2015",20h 15m,,,,,,,
226,12707,ireali123,PC,20h 16m,90%,,6583402,Completed,First,"June 22, 2018",20h 16m 28s,,,,,,,
227,12707,,PlayStation 3,20h 18m,NR,,482611,Completed,First,,20h 18m 34s,47h 12m 09s,62h 45m 12s,,,,,
228,12707,Angmar,PC,20h 18m,60%,,5592592,Completed,First,"January 20, 2018",20h 18m 34s,,,,,,,
229,12707,humpydoe,PlayStation 4,20h 19m,90%,,3625178,Completed,First,"July 07, 2014",20h 19m 34s,41h 22m 35s,,,,,,
230,12707,,PC,20h 24m,NR,,4794717,Completed,First,,20h 24m 30s,,,,,,,
231,12707,,Xbox 360,20h 30m,NR,,732932,Completed,First,,20h 30m,55h 14m,68h 34m,,,,,
232,12707,alrighthearthis,PlayStation 4,20h 30m,70%,,939973,Completed,First,,20h 30m,35h 30m,,,,,,
233,12707,bebelzinha14,PlayStation 4,20h 30m,NR,,6806634,Completed,First,"August 10, 2018",20h 30m,,,,,,,
234,12707,Private,PlayStation 3,20h 30m,90%,,1858918,Custom List 2 Completed,First,"June 10, 2014",20h 30m,42h 07m,,,,,,
235,12707,Private,PC,20h 35m,NR,,1384115,Completed,First,"June 12, 2015",20h 35m 13s,,,,,,,
236,12707,Cailiil,PlayStation 4,20h 36m,70%,,6075822,Completed,First,"July 17, 2018",20h 36m 27s,,,,,,,
237,12707,thatdamnv3,Xbox One,20h 40m,70%,,5545339,Completed,First,"January 13, 2016",20h 40m 27s,,,,,,,
238,12707,CandyStrike,PC,20h 47m,90%,,7916898,Completed,First,"April 13, 2019",20h 47m,,,,,,,
239,12707,DJPenguinScratch,PC,20h 50m,80%,,1396667,Completed,First,"June 18, 2015",20h 50m 56s,,,,,,,
240,12707,,PlayStation 4,20h 51m,NR,,636947,Completed,First,,20h 51m 26s,38h 05m,,,,,,
241,12707,TrapGod112,PlayStation 3,20h 55m,NR,,1717532,Completed,First,,20h 55m,40h 30m,,,,,,
242,12707,Zomoniac,PlayStation 4,20h 55m,50%,,590634,Completed,First,"February 01, 2014",20h 55m,,,,,,,
243,12707,,PC,21h,NR,,1412797,Completed,First,,21h,,,,,,,
244,12707,,PC,21h,NR,,4095841,Completed,First,,21h,,,,,,,
