,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Completionist,Progress,Personal Notes,Speedrun,Retired Notes
45,15221,Kytes,PlayStation 4,62h,NR,,6019984,Completed,First,"March 23, 2018",62h,,,,,,
46,15221,,PlayStation 4,62h 18m,NR,,5269940,Completed,First,,62h 18m,,,,,,
47,15221,,PlayStation 4,62h 31m,NR,"NG+ with all side trophies, no fast forward.",4437722,Completed,First,,62h 31m,,98h 17m,,,,
48,15221,,PlayStation 4,63h,NR,,11687930,Completed,First,,63h,,,,,,
49,15221,,PlayStation 4,63h 42m,NR,,11737802,Completed,First,,63h 42m,,,,,,
50,15221,,PlayStation 4,63h 53m,NR,,4357173,Completed,First,,63h 53m,,,,,,
51,15221,,PlayStation 4,63h 58m,NR,,6628574,Completed,First,,63h 58m 04s,,,,,,
52,15221,JValone,PlayStation 4,63h 59m,100%,,4347921,Completed,First,"April 23, 2017",63h 59m,,,,,,
53,15221,,Emulated,64h 13m,NR,Easy Mode except for Palace 7. Walkthrough used toward end starting at Palace 7,9517333,Completed,First,,64h 13m,,,,,,
54,15221,GreenKing,PlayStation 4,64h 35m,90%,,4386143,Completed,First,"May 05, 2017",64h 35m,,,,,,
55,15221,,PlayStation 4,65h,NR,Fun,11350639,Completed,First,,65h,80h,,,,,
56,15221,,PlayStation 4,65h,NR,,11876858,Completed,Replay,,65h,,,,,,
57,15221,m21423,PlayStation 4,65h,90%,,8215310,Completed,First,,65h,,,,,,
58,15221,,PlayStation 4,65h 21m,NR,,6115769,Completed,First,,65h 21m,,,,,,
59,15221,,Emulated,65h 24m,NR,,9108208,Completed,First,,65h 24m 13s,,,,,,
60,15221,HoldFestMand,PlayStation 4,65h 32m,100%,,11533456,Completed,First,"November 06, 2019",65h 32m,,,,,,
61,15221,Marter,PlayStation 4,65h 59m,90%,,7994051,Completed,First,"January 08, 2019",65h 59m,,,,,,
62,15221,Macstorm,PlayStation 4,66h,NR,,4368059,Completed,First,"April 29, 2017",66h,,,,,,
63,15221,SeveralGoblins,PlayStation 4,66h 05m,NR,,4363353,Completed,First,"April 27, 2017",66h 05m,,,,,,
64,15221,,PlayStation 4,66h 12m,NR,True ending,9565246,Completed,First,,66h 12m,85h,,,,,
65,15221,,PlayStation 4,67h,NR,,4351904,Completed,First,,67h,,,,,,
66,15221,joseasd,PlayStation 4,67h,NR,,10725657,Completed,First,"January 08, 2018",67h,,,,,,
67,15221,WearingThin,PlayStation 4,67h 09m,NR,"Fast reader, didn't bother with the dub. Half of confidants maxed, most of Mementos, 58% trophies.",6132044,Completed,First,"April 16, 2018",67h 09m,,,,,,
68,15221,,PlayStation 3,67h 21m,NR,,5033189,Completed,First,,67h 21m,,,,,,
69,15221,,PlayStation 4,67h 42m,NR,,8739858,Completed,First,,67h 42m 43s,120h 14m 13s,217h 33m 46s,,,,
70,15221,Private,PlayStation 3,68h 05m,100%,,9121867,Completed,First,"August 19, 2019",68h 05m,,,,,,
71,15221,,Emulated,68h 28m,NR,Pancakes,10450773,Completed,First,,68h 28m,,,,,,
72,15221,,PlayStation 4,68h 30m,NR,,5503112,Completed,First,,68h 30m,,,,,,
73,15221,Akitrotro,PlayStation 4,68h 41m,NR,,8170016,Completed,First,"January 31, 2019",68h 41m,,,,,,
74,15221,popae,PlayStation 4,68h 57m,NR,Completed all palaces and mementos.,6270463,Completed,First,"May 20, 2018",68h 57m,,,,,,
75,15221,,PlayStation 4,69h 03m,NR,,5784996,Completed,First,,69h 03m,,,,,,
76,15221,,PlayStation 4,69h 10m,NR,,9422368,Completed,First,,69h 10m,81h 30m,140h 26m 07s,,,,
77,15221,,PlayStation 4,69h 48m,NR,,9124603,Completed,First,,69h 48m,,,,,,
78,15221,,PlayStation 4,69h 58m,NR,I played on the easiest difficult,4487430,Completed,First,,69h 58m,,,,,,
79,15221,,PlayStation 4,70h,NR,,5104271,Completed,First,,70h,90h,,,,,
80,15221,,Emulated,70h,NR,This was a second playthrough,8066958,Completed,Replay,,70h,92h,,,,,
81,15221,,PlayStation 4,70h,NR,,8986287,Completed,First,,70h,,,,,,
82,15221,ALEXKIRNAS,PlayStation 4,70h,90%,,7969605,Completed,First,"January 07, 2019",70h,80h,,,,,
83,15221,EnNotIn,PlayStation 4,70h,NR,,10288737,Completed,Replay,"December 23, 2017",70h,,,,,,
84,15221,ErKepi,PlayStation 4,70h,NR,,7057428,Completed,First,"September 15, 2018",70h,,,,,,
85,15221,TheEvilSwineReturns,PlayStation 4,70h,100%,,9339729,Completed,Replay,"August 10, 2019",70h,100h,150h,,,,
86,15221,Yashuen,PlayStation 4,70h,NR,,9220965,Completed,First,"July 24, 2019",70h,,,,,,
87,15221,Zblade00,PlayStation 3,70h,90%,,4484417,Completed,First,"April 16, 2017",70h,100h,130h,,,,
88,15221,ikari88,PlayStation 4,70h,90%,,5109858,Completed,First,"September 26, 2018",70h,,,,,,
89,15221,sirkitboard,PlayStation 4,70h,NR,,6042216,Completed,First,"April 26, 2017",70h,,,,,,
90,15221,Private,PlayStation 3,70h,NR,,4549204,Completed,First,"June 09, 2017",70h,90h,160h,,,,
91,15221,Private,PlayStation 4,70h,100%,,7245025,Completed,First,"October 14, 2018",70h,85h,,,,,
92,15221,,PlayStation 4,70h 07m,NR,,5563159,Completed,First,,70h 07m,,,,,,
93,15221,,PlayStation 4,70h 12m,NR,,4367211,Completed,First,,70h 12m 29s,,,,,,
94,15221,Zomoniac,PlayStation 4,70h 16m,80%,,4251160,Completed,First,"February 28, 2018",70h 16m,,,,,,
95,15221,Cromby,PlayStation 4,70h 20m,NR,,4321508,Completed,First,"April 16, 2017",70h 20m,,,,,,
96,15221,AWildJack,PlayStation 3,70h 30m,100%,,10923375,Replay Completed,Replay,"July 11, 2019",70h 30m,,,140h 21m /,,,
97,15221,Tezu54,PlayStation 4,70h 30m,NR,,9691855,Completed,First,"September 21, 2019",70h 30m,81h 45m,,,,,
98,15221,swordclaws,PlayStation 4,70h 30m,NR,,8053146,Completed,First,,70h 30m,,,,,,
99,15221,WatchassButch,PlayStation 4,70h 30m,100%,,6459348,Completed,First,"June 23, 2018",70h 30m 42s,110h,190h,,,,
100,15221,,PlayStation 4,70h 34m,NR,,4393837,Completed,First,,70h 34m,,,,,,
101,15221,,PlayStation 4,70h 35m,NR,"Some Confidants were done, some Mementos/Side Quests as well, played on Safe mode though",5033103,Completed,First,,70h 35m,,,,,,
102,15221,kittenrobotarmy,PlayStation 4,70h 35m,NR,,6322074,Playing Completed,First,"May 28, 2018",70h 35m,,,,,,
103,15221,Suko,PlayStation 4,70h 39m,NR,"Game completed; 6 confidants maxed, social stats maxed",4440198,Completed,First,"May 16, 2017",70h 39m,,,,,,
104,15221,,PlayStation 4,70h 41m,NR,,7375186,Completed,First,,70h 41m 45s,93h 08m 20s,,,,,
105,15221,,PlayStation 4,70h 44m,NR,,11873545,Completed,First,,70h 44m,,,,,,
106,15221,,PlayStation 4,70h 53m,NR,,5589651,Completed,First,,70h 53m,,,,,,
107,15221,,PlayStation 4,71h,NR,,6108109,Completed,First,,71h,74h,,,,,
108,15221,,Emulated,71h 01m,NR,,10939560,Completed,First,,71h 01m,,,,,,
109,15221,,PlayStation 4,71h 20m,NR,,9124277,Completed,First,,71h 20m,,,,,,
110,15221,,PlayStation 4,71h 21m,NR,,8630932,Completed,First,,71h 21m,,,,,,
111,15221,,PlayStation 4,71h 27m,NR,,11291593,Completed,First,,71h 27m,,,,,,
112,15221,mreifschneider,PlayStation 4,71h 40m,100%,,10876293,Completed,First,"October 14, 2019",71h 40m,,,,,,
113,15221,,PlayStation 4,71h 42m,NR,Second playthrough so skipped loads of early cutscenes and text conversations,5829263,Completed,Replay,,71h 42m,,,,,,
114,15221,,PlayStation 4,72h,NR,,4683219,Completed,First,,72h,,,,,,
115,15221,,PlayStation 4,72h,NR,,5743083,Completed,First,,72h,,,,,,
116,15221,,PlayStation 4,72h,NR,,7019375,Completed,First,,72h,,,,,,
117,15221,PBNightmare,PlayStation 3,72h,100%,,5630815,Completed,First,"November 21, 2017",72h,,,,,,
118,15221,,PlayStation 3,72h 05m,NR,,11296335,Completed,First,,72h 05m,,,,,,
119,15221,,PlayStation 4,72h 08m,NR,,7812702,Completed,First,,72h 08m 36s,,,,,,
120,15221,ItzBeeZy,PlayStation 4,72h 09m,NR,Failed 1st palace,5647330,Completed,First,"January 12, 2018",72h 09m,,,,,,
121,15221,,PlayStation 4,72h 11m,NR,,11996840,Completed,First,,72h 11m,,,,,,
122,15221,,PlayStation 4,72h 12m,NR,,4745904,Completed,First,,72h 12m,,,,,,
123,15221,,Emulated,72h 14m,NR,,9701432,Completed,First,,72h 14m,,,,,,
124,15221,,PlayStation 4,72h 29m,NR,,4467663,Completed,First,,72h 29m,,,,,,
125,15221,Gumballgala,PlayStation 4,72h 33m,90%,,4461957,Completed,First,"May 21, 2017",72h 33m,,,,,,
126,15221,,PlayStation 4,72h 58m,NR,,11226786,Completed,First,,72h 58m,128h 43m,,,,,
127,15221,,PlayStation 4,72h 59m,NR,,5332412,Completed,First,,72h 59m 21s,,,,,,
128,15221,500kevc,PlayStation 4,73h,90%,,7515148,Completed,First,"April 30, 2017",73h,,,,,,
129,15221,jat243,PlayStation 4,73h,NR,,4495398,Completed,First,"May 28, 2017",73h,,,,,,
130,15221,,PlayStation 4,73h 05m,NR,,8758177,Completed,First,,73h 05m 43s,,,,,,
131,15221,,PlayStation 4,73h 10m,NR,,11119611,Completed,First,,73h 10m,,,,,,
132,15221,DerSemikolon,PlayStation 4,73h 12m,NR,,8383874,Completed,First,"March 01, 2019",73h 12m,,,,,,
133,15221,,PlayStation 4,73h 20m,NR,,4812173,Completed,First,,73h 20m,,,,,,
134,15221,86carot,PlayStation 3,73h 23m,NR,,9122560,Completed,First,"July 08, 2019",73h 23m,,,,,,
135,15221,LiquidJoker,PlayStation 4,73h 23m,NR,,6518965,Playing Completed,First,"September 16, 2017",73h 23m,,,,,,
136,15221,,PlayStation 4,73h 26m,NR,,4345257,Completed,First,,73h 26m,,,,,,
137,15221,Private,PlayStation 4,73h 28m,100%,Main timeline,4740413,Completed,First,"June 18, 2017",73h 28m,,,,,,
138,15221,AuroraAri,PlayStation 3,73h 36m,NR,,4552730,Completed,First,"June 11, 2017",73h 36m,,,,,,
139,15221,PrerenderedIdiocy,PlayStation 3,73h 37m,70%,14 Social Links maxed.,8538293,Completed,First,"April 21, 2019",73h 37m,,,,,,
140,15221,,PlayStation 4,74h,NR,,10346102,Completed,Replay,,74h,,,,,,
141,15221,,PlayStation 4,74h,NR,,10380534,Completed,First,,74h,,,,,,
142,15221,,PlayStation 4,74h 26m,NR,,6335735,Completed,First,,74h 26m,,,,,,
143,15221,,PlayStation 4,74h 30m,NR,,8283964,Completed,First,,74h 30m,,,,,,
144,15221,,PlayStation 4,74h 44m,NR,,10317777,Completed,First,,74h 44m,,,,,,
145,15221,Flourite,PlayStation 4,74h 55m,100%,,4380385,Completed,First,"June 22, 2017",74h 55m,,,,,,
146,15221,,PlayStation 4,75h,NR,,4436286,Completed,First,,75h,,,,,,
147,15221,,PlayStation 4,75h,NR,,4506452,Completed,First,,75h,,,,,,
148,15221,,PlayStation 4,75h,NR,,8540947,Completed,First,,75h,89h,,,,,
149,15221,,Emulated,75h,NR,Didn't rush it really. I read fast I guess.,10354586,Completed,First,,75h,,,,,,
150,15221,,PlayStation 4,75h,NR,,11876854,Completed,First,,75h,,,,,,
151,15221,Dra9onborn711,PlayStation 4,75h,90%,,9103111,Completed,First,"July 08, 2019",75h,,,,,,
152,15221,Genoci,PlayStation 4,75h,100%,,9021570,Completed,First,"April 27, 2017",75h,81h,,,,,
153,15221,Nessun,PlayStation 4,75h,100%,,6109982,Completed,First,,75h,,,,,,
154,15221,RST43,PlayStation 4,75h,NR,,11037889,Completed,First,"February 21, 2020",75h,,,,,,
155,15221,Private,PlayStation 4,75h,NR,,5895678,Completed,First,"February 26, 2018",75h,,,,,,
156,15221,shugohakku,PlayStation 4,75h,NR,,4422595,Completed,First,"May 10, 2017",75h,,,,,,
157,15221,theplump,PlayStation 4,75h 04m,100%,True Ending,4224607,Completed,First,"April 30, 2017",75h 04m,,,,,,
158,15221,erictbar,PlayStation 4,75h 05m,100%,"Easiest mode, only a couple of requests",5616548,Completed,First,"June 28, 2018",75h 05m,,,,,,
159,15221,,PlayStation 4,75h 13m,NR,"Finished 4 optional confidants, Makoto, Ann, Takemi, and Ryuji. Intel - 5 Prof - 5 Charm - 5 Kind - 3 Guts - 4",8519614,Completed,First,,75h 13m,,,,,,
160,15221,,PlayStation 4,75h 30m,NR,,11535233,Completed,First,,75h 30m,,,,,,
161,15221,zlALiCE,PlayStation 4,75h 30m,NR,,6251532,Playing Completed,Replay,,75h 30m,,,122h 50m /,,,
162,15221,Ash,PlayStation 4,75h 32m,NR,,11916811,Completed,First,"May 13, 2017",75h 32m 43s,,,,,,
163,15221,Tredil,PlayStation 4,75h 33m,100%,,8365690,Completed,First,"February 27, 2019",75h 33m,,,,,,
164,15221,,PlayStation 4,75h 34m,NR,,9077641,Completed,First,,75h 34m,,,,,,
165,15221,,PlayStation 4,75h 35m,NR,,8240873,Completed,First,,75h 35m,,,,,,
166,15221,,PlayStation 4,75h 36m,NR,,7077070,Completed,First,,75h 36m,,,,,,
167,15221,MitchPotato,PlayStation 3,75h 42m,90%,,6119779,Completed,First,,75h 42m,,,,,,
168,15221,,PlayStation 4,76h,NR,,4565874,Completed,First,,76h,120h,,,,,
169,15221,,PlayStation 4,76h,NR,,5542580,Completed,First,,76h,,,,,,
170,15221,,PlayStation 4,76h 05m,NR,,6585092,Completed,First,,76h 05m,,,,,,
171,15221,xayah,PlayStation 4,76h 08m,NR,,6030549,Completed,First,,76h 08m,,,,,,
172,15221,,PlayStation 4,76h 14m,NR,,4389581,Completed,First,,76h 14m 56s,,,,,,
173,15221,berglt84,PlayStation 4,76h 21m,NR,,4565323,Completed,First,"June 13, 2017",76h 21m,,,,,,
174,15221,RRC123,Emulated,76h 47m,80%,,7371026,Completed,First,"October 31, 2018",76h 47m,,,,,,
175,15221,,PlayStation 4,76h 47m,NR,,4401560,Completed,First,,76h 47m 20s,,,,,,
176,15221,,Emulated,76h 55m,NR,,7646026,Completed,First,,76h 55m,,,,,,
177,15221,,PlayStation 4,77h,NR,,7752178,Completed,First,,77h,,200h,,,,
178,15221,,PlayStation 4,77h,NR,,11256682,Completed,First,,77h,,,,,,
179,15221,LittleRedemption,PlayStation 4,77h,90%,,5291862,Completed,First,"November 09, 2017",77h,100h,,,,,
180,15221,byronsakic,PlayStation 4,77h,100%,,5858608,Completed,First,"February 18, 2018",77h,,,,,,
181,15221,nvrmnd,PlayStation 4,77h,NR,,7508929,Completed,First,"August 12, 2018",77h,,,,,,
182,15221,wilfredy_s,PlayStation 4,77h,NR,,6104475,Completed,First,"April 28, 2018",77h,,,,,,
183,15221,,PlayStation 4,77h 15m,NR,,6303321,Completed,First,,77h 15m,,,,,,
184,15221,Citricola,PlayStation 4,77h 22m,100%,,5374791,Completed,First,"November 11, 2018",77h 22m,,,,,,
185,15221,,PlayStation 4,77h 32m,NR,,9135061,Completed,First,,77h 32m,,,,,,
186,15221,,PlayStation 4,77h 39m,NR,,11168829,Completed,First,,77h 39m,,,,,,
187,15221,shockzero,PlayStation 4,77h 43m,NR,,4295863,Completed,First,"April 10, 2017",77h 43m,,,,,,
188,15221,,PlayStation 4,77h 45m,NR,,4712164,Completed,First,,77h 45m,,,,,,
189,15221,,PlayStation 4,77h 46m,NR,,4466653,Completed,First,,77h 46m 02s,,,,,,
190,15221,NeoNoir,PlayStation 4,77h 49m,NR,,7364037,Completed,First,,77h 49m 31s,,,,,,
191,15221,Michael_R126,PlayStation 4,77h 53m,100%,,8854258,Completed,First,"May 12, 2019",77h 53m 49s,,,,,,
192,15221,Zangreus,PlayStation 4,77h 55m,NR,,5650778,Completed,First,"February 01, 2018",77h 55m,,,,,,
193,15221,,PlayStation 4,78h,NR,,6013519,Completed,First,,78h,,,,,,
194,15221,,PlayStation 3,78h,NR,,6322976,Completed,First,,78h,80h,180h,,,,
195,15221,DoubleNoire,PlayStation 4,78h,NR,,4986904,Completed,First,"August 30, 2017",78h,,,,,,
196,15221,insilater,PlayStation 4,78h,NR,,4488772,Completed,First,"May 14, 2017",78h,90h,140h,,,,
197,15221,Darksage5,PlayStation 4,78h 02m,100%,"(NORMAL) w/ NG+, 80% Persona Compendium, All Confidants & Requests",4314061,Completed,First,"November 10, 2018",78h 02m,119h 56m,,,,,
198,15221,,PlayStation 4,78h 04m,NR,,4460023,Completed,First,,78h 04m,90h 45m,130h 21m,,,,
199,15221,Private,PlayStation 3,78h 17m,100%,,4895730,Completed,First,"August 09, 2017",78h 17m,,,,,,
200,15221,electonthefire,PlayStation 3,78h 18m,90%,,4497570,Completed,First,"May 29, 2017",78h 18m,,,,,,
201,15221,,PlayStation 4,78h 18m,NR,,4583031,Completed,First,,78h 18m 33s,,,,,,
202,15221,,PlayStation 4,78h 18m,NR,,11360864,Completed,First,,78h 18m 54s,,,,,,
203,15221,,PlayStation 4,78h 21m,NR,,5213969,Completed,First,,78h 21m 38s,,,,,,
204,15221,pkmn99,PlayStation 4,78h 28m,NR,"Beat the game, no special efforts made for collection",5319762,Completed,First,"November 14, 2017",78h 28m,,,,,,
205,15221,,PlayStation 4,78h 30m,NR,,6078770,Completed,First,,78h 30m,,,,,,
206,15221,,PlayStation 4,78h 30m,NR,,7934429,Completed,First,,78h 30m,,,,,,
207,15221,,PlayStation 4,78h 35m,NR,,10806530,Completed,First,,78h 35m,,,,,,
208,15221,Thesystem67,PlayStation 4,78h 37m,NR,,4589332,Completed,First,"June 18, 2017",78h 37m,,,,,,
209,15221,brandondelvalle,PlayStation 4,78h 46m,100%,,8384903,Completed,First,"March 01, 2019",78h 46m,,,,,,
210,15221,,PlayStation 4,78h 53m,NR,,4522495,Completed,First,,78h 53m,,,,,,
211,15221,St4r76,Emulated,78h 54m,NR,,10939567,Completed,First,"February 04, 2020",78h 54m,,,,,,
212,15221,,PlayStation 4,78h 59m,NR,,8356940,Completed,First,,78h 59m,,,,,,
213,15221,,PlayStation 4,79h,NR,,4351854,Completed,First,,79h,,,,,,
214,15221,kitwami,PlayStation 3,79h,NR,,8170370,Completed,First,"March 14, 2018",79h,,,,,,
215,15221,pcm720,PlayStation 4,79h 04m,NR,"True Ending, Max Stats, Some Confidants maxed out",4594835,Completed,First,"July 04, 2017",79h 04m,,,,,,
216,15221,mrend55,PlayStation 4,79h 10m,NR,,7463845,Completed,First,,79h 10m,,,,,,
217,15221,TheDragonClaw,PlayStation 4,79h 15m,NR,,5686503,Completed,First,"July 25, 2019",79h 15m,,,,,,
218,15221,,PlayStation 3,79h 17m,NR,,4952961,Completed,First,,79h 17m,,,,,,
219,15221,,PlayStation 3,79h 18m,NR,,9048642,Completed,First,,79h 18m 43s,,,,,,
220,15221,,PlayStation 4,79h 29m,NR,,4351456,Completed,First,,79h 29m 15s,,,,,,
221,15221,,PlayStation 4,79h 33m,NR,,5455496,Completed,First,,79h 33m,,,,,,
222,15221,wooobtard,PlayStation 4,79h 44m,NR,,11405467,Replay Completed,Replay,"March 21, 2020",79h 44m,,,79h 50m /,,,
223,15221,BLOODMIESTER,PlayStation 4,79h 51m,NR,,11427678,Backlog Completed,First,"May 07, 2018",79h 51m,,,79h 51m /,,,
224,15221,,PlayStation 4,79h 54m,NR,,4321105,Completed,First,,79h 54m,,,,,,
225,15221,SuperSoupy,PlayStation 4,79h 59m,100%,,11181235,Completed,First,"February 01, 2020",79h 59m,90h 22m,,,The second half of this playthrough was done on safe mode,,
226,15221,,PlayStation 4,80h,NR,,4226229,Completed,First,,80h,,,,,,
227,15221,,PlayStation 4,80h,NR,,4325002,Completed,First,,80h,,,,,,
228,15221,,PlayStation 3,80h,NR,,4385257,Completed,First,,80h,,,,,,
229,15221,,PlayStation 4,80h,NR,,4874359,Completed,First,,80h,120h,160h,,,,
230,15221,,PlayStation 4,80h,NR,,5083658,Completed,First,,80h,,,,,,
231,15221,,PlayStation 3,80h,NR,,7881924,Completed,First,,80h,103h,204h,,,,
232,15221,,PlayStation 4,80h,NR,,8178163,Completed,First,,80h,,,,,,
233,15221,,Emulated,80h,NR,,8178931,Completed,First,,80h,,,,,,
234,15221,,PlayStation 4,80h,NR,,8209924,Completed,First,,80h,,,,,,
235,15221,,PlayStation 4,80h,NR,,8573232,Completed,First,,80h,,,,,,
236,15221,AceLxrd,PlayStation 4,80h,NR,,10834142,Completed,First,"January 16, 2020",80h,142h,160h,,,,
237,15221,AwDeathsmile,PlayStation 4,80h,NR,,9008268,Completed,First,"February 16, 2019",80h,,,,,,
238,15221,BWARKOU,PlayStation 4,80h,100%,played on easy,8807318,Backlog Completed,First,"May 18, 2019",80h,,,80h /,,,
239,15221,Choca,PlayStation 4,80h,100%,,4375200,Completed,First,"May 02, 2017",80h,120h,,,,,
240,15221,Cristianplay,PlayStation 4,80h,100%,,9331856,Completed,First,August 2018,80h,,,,,,
241,15221,CyDi,PlayStation 4,80h,100%,,8737723,Completed,First,"May 07, 2019",80h,,,,,,
242,15221,Devasta1,PlayStation 4,80h,80%,Approximately 80 hours for my first persona game. If you know turn based rpgs then it is not a 100 hour experience,4484512,Completed,First,"May 26, 2017",80h,,,,,,
243,15221,HTownBoi,PlayStation 4,80h,100%,,10217536,Completed,First,"April 07, 2018",80h,,,,,,
244,15221,Magnara,PlayStation 4,80h,NR,,9576044,Completed,First,"April 23, 2017",80h,,,,,,
245,15221,MessyEcho,PlayStation 4,80h,90%,,8042787,Completed,First,"January 11, 2019",80h,,,,,,
246,15221,NIN7O,PlayStation 4,80h,NR,,8457573,Completed,First,"March 13, 2019",80h,,,,,,
247,15221,Rendulum,PlayStation 4,80h,NR,,11696544,Completed,First,"May 10, 2020",80h,120h,150h,,,,
248,15221,TheWambyat,PlayStation 4,80h,NR,,7892410,Completed,First,,80h,,,,,,
249,15221,TheYoonGoon,PlayStation 4,80h,NR,,4353714,Completed,First,,80h,,,,,,
250,15221,Thoeren,PlayStation 4,80h,100%,,5126076,Completed,First,"September 18, 2018",80h,,,,,,
251,15221,Ultrashroomz,PlayStation 4,80h,NR,,5448081,Completed,First,,80h,96h,170h,,,,
252,15221,darkarchon,PlayStation 4,80h,NR,,10794598,Completed,First,"January 11, 2020",80h,,,,,,
253,15221,gutsxcasca,PlayStation 4,80h,90%,,8655872,Completed,First,"April 22, 2019",80h,,,,,,
254,15221,jacobop13,PlayStation 4,80h,100%,"true ending, max social stats, 16? confidants maxed (including confidants that automatically progress)",6876328,Completed,First,"October 29, 2018",80h,,,,,,
