,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Personal Notes,Completionist,Main+Extras,Co-Op,Vs.,Progress
24,37867,ramer84,PC,17h,80%,,3556887,Completed,First,"October 27, 2016",17h,"Spain (Science), Russia (Culture), Norway (Domination),
Viking Scenario (Immortal), USA (Culture)
Poland Scenario (Deity), Australia (Deity - TSL)
England (Deity - Island Plates)
Nubia (Deity = TSL)
Rome (Deity - Pangea)
Sumeria (Deity - Continents)
Netherlands (R&F Deity - Continents )
Korea (R&F Deity - Inland Lake/Sea)
Eleanor (GS Deity - Culture), Pachacuti (GS Deity - Science)
Mansa Musa(GS Deity - Religion), Hungary (GS Deity - Domination), Canada (GS Deity)",,276h,,,
25,37867,gamblor88,PlayStation 4,18h,80%,,10925139,Completed,First,"February 02, 2020",18h,,,,,,
26,37867,kianweic,PC,18h,NR,,8545693,Completed,First,"May 19, 2016",18h,,,,,,
27,37867,riversight,PC,18h 32m,NR,,3750740,Completed,First,"October 22, 2016",18h 32m,,,,,,
28,37867,ErsatzWasTaken,PC,19h 37m,70%,,8262749,Completed,First,"October 31, 2019",19h 37m,,,,,,
29,37867,Maks,Nintendo Switch,20h,NR,,7714454,Completed,First,"February 01, 2019",20h,,,,,,
30,37867,ReoAvalon,PC,20h,NR,,11918889,Completed,First,"June 06, 2020",20h,,,,,,
31,37867,SVadeX,PC,20h,50%,,3944349,Completed,First,"January 19, 2017",20h,,,,,,
32,37867,Private,PC,20h,90%,,11424293,Completed,First,"April 24, 2020",20h,,,,,,
33,37867,acjessen,Nintendo Switch,20h,90%,,11081233,Completed,Replay,"February 28, 2020",20h,,,,,,
34,37867,cmiiller,PC,20h,NR,,9160908,Completed,First,,20h,,,,20h,120h,
35,37867,cmiiller,iOS,20h,NR,,10518325,Completed Retired,Replay,"January 18, 2020",20h,,,,,,
36,37867,Nullfreaks,PC,21h,90%,,11985699,Completed,First,"June 13, 2020",21h,,,,,,
37,37867,rlm82,PC,21h,90%,,4622061,Completed,Replay,"June 24, 2017",21h,,,,,,
38,37867,Allegro,PC,22h,NR,,6045629,Completed,First,"March 27, 2018",22h,,,,,,
39,37867,Galder7,PC,22h,NR,,11791028,Completed,First,"May 20, 2020",22h,,,62h,,,
40,37867,skumbrx,PC,22h 10m,90%,,11108511,Replay Completed,Replay,"January 14, 2019",22h 10m,,,,,,
41,37867,thegreatcraig,Nintendo Switch,22h 15m,NR,,10466503,Completed,First,"December 18, 2019",22h 15m,,,,,,
42,37867,bradgy,Linux,23h 12m,80%,,6011888,Completed,First,"March 20, 2018",23h 12m 02s,,,,,,
43,37867,,PC,25h,NR,,11925855,Completed,Replay,,25h,,,,,,
44,37867,eYaYosei,Nintendo Switch,25h,NR,,10764435,Completed,First,"January 06, 2020",25h,,,,,,
45,37867,,PC,26h,NR,,8789184,Completed,First,,26h,,,,,,
46,37867,TheEnigmaUK,PC,26h,90%,,3598797,Completed,First,"February 23, 2019",26h,,,,,,
47,37867,Cectis,PC,27h,NR,,9660169,Completed,First,,27h,,,,,,
48,37867,morse86,PC,27h,NR,,11588547,Completed,First,"September 28, 2019",27h,,,,,,
49,37867,Private,Nintendo Switch,27h 30m,70%,,8190282,Completed,First,"November 02, 2018",27h 30m,,,,,,
50,37867,Vlash,PC,29h,90%,Played another game with the Rise & Fall Expansion,3877877,Completed,First,"January 29, 2017",29h,,,55h,,,
51,37867,Private,PC,29h 30m,NR,,3539530,Completed,First,"November 26, 2016",29h 30m,,,,,,
52,37867,,Nintendo Switch,30h,NR,,8080470,Completed,First,,30h,,,,,,
53,37867,dxta,Nintendo Switch,30h,NR,,7503635,Completed,First,"December 04, 2019",30h,,,,,,
54,37867,fketcher,PC,32h,NR,,11897923,Custom List Completed,First,"March 02, 2019",32h,,,,,,32h /
55,37867,Nadeem,PC,35h,80%,,8999264,Completed,First,"June 20, 2019",35h,,,,,,
56,37867,Ciclon,PC,35h 45m,90%,,7496933,Completed,First,"December 14, 2018",35h 45m,,,,,,
57,37867,ProfDali,PC,38h,NR,,11876622,Completed,First,"May 31, 2020",38h,,,,,,
58,37867,WaldoWonderful,PC,46h 03m,NR,,5733786,Completed,First,"August 15, 2018",46h 03m 06s,,,,,,
59,37867,SirMick56,PC,50h,80%,,3590366,Completed,First,"November 06, 2016",50h,,,,,,
60,37867,Frugajn,PC,54h 15m,70%,,5197848,Completed,First,2018,54h 15m 35s,,,,,,
61,37867,Memtouc,PC,54h 33m,NR,,10439043,Completed,First,,54h 33m,,,,,,
62,37867,Private,PC,20h,80%,,5621753,Completed,First,"January 08, 2018",,,,20h,,,
63,37867,Private,PC,22h,90%,,6491836,Completed,First,"October 24, 2016",,,,22h,,,
64,37867,citalopram,PC,24h,80%,,11163866,Playing Completed,First,"March 16, 2020",,,,24h,,,
65,37867,ogromm,PC,30h 30m,80%,,3546496,Completed,First,"March 12, 2017",,,,30h 30m 44s,,,
66,37867,KoBli,PC,32h,90%,,11978961,Completed,First,2020,,,,32h,,,
67,37867,tso184,PC,35h 31m,90%,"Played all map types with 10+ leaders, all victory types. Some scenarios. 31% achievements, endless game, but ""beaten"".",5541605,Completed,First,"February 12, 2019",,,,35h 31m,,,
68,37867,,PC,41h,NR,,5853800,Completed,First,,15h 42m,,89h,41h,,,
69,37867,Private,Nintendo Switch,45h,NR,All win types in standard,10716097,Completed,First,"February 15, 2020",,,,45h,,,
70,37867,fonoli,Nintendo Switch,45h,100%,,10577658,Completed,First,"December 11, 2019",,,,45h,,,
71,37867,doomshmuck,PC,50h 24m,100%,,5662823,Completed,First,"October 11, 2017",,,,50h 24m,,,
72,37867,Arieseb,PC,55h,NR,,7207131,Completed,Replay,,,,,55h,,,
73,37867,Vlash,PC,55h,90%,Played another game with the Rise & Fall Expansion,3877877,Completed,First,"January 29, 2017",29h,,,55h,,,
74,37867,Private,PlayStation 4,55h 51m,80%,"France, culture, Mali, domination, Indonesia, culture, Kongo, culture",11423085,Completed,First,"April 14, 2020",,,,55h 51m 08s,,,
75,37867,Galder7,PC,62h,NR,,11791028,Completed,First,"May 20, 2020",22h,,,62h,,,
76,37867,Kreize,PC,66h 41m,90%,,5232282,Completed,First,"October 29, 2017",,,,66h 41m 52s,,,
77,37867,soccastar001,PC,69h 12m,NR,,4835174,Completed,First,"July 30, 2017",,,,69h 12m,,,
78,37867,Dayrise,PC,71h,70%,,10228823,Completed,First,"September 22, 2019",,,,71h,,,
79,37867,ghostrock,PC,96h 20m,60%,,11600074,Completed,First,"February 01, 2020",,,,96h 20m,,,
80,37867,Takwin,PC,100h,NR,,3564505,Playing Completed,First,"October 30, 2016",,,,100h,,,
81,37867,nikkornukov,PC,104h,90%,,4985956,Completed,First,"August 04, 2017",,,,104h,,,
82,37867,zoarian,PC,127h 29m,60%,,8264472,Completed,First,"December 27, 2017",,,,127h 29m,,,
83,37867,ramer84,PC,276h,80%,,3556887,Completed,First,"October 27, 2016",17h,"Spain (Science), Russia (Culture), Norway (Domination),
Viking Scenario (Immortal), USA (Culture)
Poland Scenario (Deity), Australia (Deity - TSL)
England (Deity - Island Plates)
Nubia (Deity = TSL)
Rome (Deity - Pangea)
Sumeria (Deity - Continents)
Netherlands (R&F Deity - Continents )
Korea (R&F Deity - Inland Lake/Sea)
Eleanor (GS Deity - Culture), Pachacuti (GS Deity - Science)
Mansa Musa(GS Deity - Religion), Hungary (GS Deity - Domination), Canada (GS Deity)",,276h,,,
84,37867,deoadiuvante,PC,64h,NR,,3582439,Playing Completed,First,"October 29, 2016",15h,,64h,,,,
85,37867,,PC,89h,NR,,5853800,Completed,First,,15h 42m,,89h,41h,,,
86,37867,liorfigman,PC,130h,90%,,6801247,Completed,First,,,,130h,,,,
87,37867,Private,PC,165h,90%,,6451348,Completed,First,"May 07, 2019",,,165h,,,,
88,37867,dlenarzg,PC,252h,NR,,10669954,Completed,First,"October 05, 2018",,,252h,,,,
89,37867,MrLewf,PC,113h,NR,,10604915,Completed,First,"December 16, 2019",,,,,,113h,
90,37867,cmiiller,PC,120h,NR,,9160908,Completed,First,,20h,,,,20h,120h,
