,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Personal Notes,Main+Extras,Completionist,Speedrun,Progress,Retired Notes
24,38019,,Nintendo Switch,20h,NR,,5927007,Completed,First,,20h,,,,,,
25,38019,,Nintendo Switch,20h,NR,,7092832,Completed,Replay,,20h,,70h,,,,
26,38019,,Wii U,20h,NR,,11460753,Completed,First,,20h,,,,,,
27,38019,AlfredoSanchez,Nintendo Switch,20h,90%,,11400318,Completed,First,"March 25, 2020",20h,,,,,,
28,38019,Bleekje,Nintendo Switch,20h,NR,,8388592,Completed,First,"January 02, 2018",20h,,,,,,
29,38019,Daigod,Nintendo Switch,20h,NR,,11460759,Completed,First,"April 16, 2020",20h,,,,,,
30,38019,Exelen,Wii U,20h,NR,,4977625,Completed,First,"August 28, 2017",20h,,,,,,
31,38019,Private,Nintendo Switch,20h,100%,,4252006,Completed,First,"March 04, 2017",20h,,96h,300h,,,
32,38019,Private,Nintendo Switch,20h,100%,,11247134,Playing Completed,First,"March 25, 2020",20h,,,,,20h /,
33,38019,TheNintendista,Nintendo Switch,20h,NR,,9241454,Completed,First,,20h,,60h,100h,,,
34,38019,ban_evasion,Nintendo Switch,20h,90%,,10921050,Completed,First,"January 01, 2020",20h,,35h,,,,
35,38019,notraffic,Nintendo Switch,20h,NR,,5079247,Completed,First,"June 25, 2017",20h,,,,,,
36,38019,throwmeplsboi,Emulated,20h,100%,,8489040,Completed,First,"March 19, 2019",20h,,60h,,,,
37,38019,xLastSamuraix,Nintendo Switch,20h,NR,,11275688,Completed,First,"March 10, 2017",20h,,,,,,
38,38019,Jirachia,Nintendo Switch,20h 01m,NR,,6846408,Completed,First,"August 15, 2018",20h 01m 09s,,60h 20m 03s,200h 23m 04s,,,
39,38019,Sparontax,Nintendo Switch,20h 30m,NR,,10830247,Completed,First,"June 17, 2019",20h 30m,,70h 30m,,,,
40,38019,majr104,Nintendo Switch,20h 32m,NR,,6186207,Completed,First,"June 29, 2017",20h 32m 23s,,65h 56m 22s,,,,
41,38019,,Nintendo Switch,20h 41m,NR,,7311336,Completed,First,,20h 41m,,,,,,
42,38019,,Nintendo Switch,21h,NR,,6446799,Completed,First,,21h,,120h,200h,,,
43,38019,minato413,Wii U,21h 16m,NR,,6589286,Completed,First,"May 20, 2018",21h 16m,,,,,,
44,38019,shepardrog,Wii U,21h 21m,NR,Enjoyed the trial of the sword and champions ballad.,6282143,Completed,First,"February 16, 2018",21h 21m 51s,,29h 22m 42s,,,,
45,38019,piklits,Nintendo Switch,21h 26m,NR,,5002055,Completed,First,"November 14, 2017",21h 26m,"Start: 3Sep17
Finish: 14Nov17",,,,,
46,38019,,Nintendo Switch,21h 32m,NR,,4221101,Completed,Replay,,21h 32m 12s,,,,,,
47,38019,,Nintendo Switch,21h 34m,NR,,4940093,Completed,First,,21h 34m,,,,,,
48,38019,sapphirone,Wii U,21h 45m,NR,,4222591,Completed,First,"March 23, 2017",21h 45m,,,,,,
49,38019,snappums,Nintendo Switch,21h 50m,NR,"Four Divine Beasts, Master Sword, Ganon",11589689,Completed,First,"June 09, 2020",21h 50m,,,,,,
50,38019,,Nintendo Switch,22h,NR,,4891343,Completed,First,,22h,,,,,,
51,38019,Nvidius,Nintendo Switch,22h,NR,,11310859,Completed,First,"March 13, 2017",22h,,45h,160h,,,
52,38019,,Nintendo Switch,22h 34m,NR,,8176215,Completed,First,,22h 34m,,,,,,
53,38019,,Nintendo Switch,23h,NR,,5451788,Completed,First,,23h,,44h,75h,,,
54,38019,RRC123,Emulated,23h,NR,"All divine beasts, master sword too",5886530,Completed,First,"February 24, 2018",23h 45s,,,,,,
55,38019,PrerenderedIdiocy,Wii U,23h 40m,60%,,8995056,Completed,First,"July 01, 2019",23h 40m,,,,,,
56,38019,,Nintendo Switch,23h 50m,NR,,4146788,Completed,First,,23h 50m,,,,,,
57,38019,,Nintendo Switch,24h,NR,"Never died, never failed, never got stuck.",4122201,Completed,First,,24h 56s,,,,,,
58,38019,,Nintendo Switch,25h,NR,,4152496,Completed,First,,25h,,35h,,,,
59,38019,,Nintendo Switch,25h,NR,all 120 shrines,4262034,Completed,First,,25h,,80h,,,,
60,38019,,Nintendo Switch,25h,NR,,5683180,Completed,First,,25h,,50h,160h,,,
61,38019,,Nintendo Switch,25h,NR,,5871076,Completed,First,,25h,,,,,,
62,38019,,Nintendo Switch,25h,NR,,6930233,Completed,First,,25h,,,,,,
63,38019,,Nintendo Switch,25h,NR,,8940944,Completed,First,,25h,,,,,,
64,38019,,Nintendo Switch,25h,NR,,10163990,Completed,First,,25h,,40h,60h,,,
65,38019,FlubOtic,Nintendo Switch,25h,90%,,10615844,Completed,First,"December 18, 2019",25h,,,,,,
66,38019,Husky,Nintendo Switch,25h,100%,,11447577,Completed,First,"October 04, 2018",25h,,,,,,
67,38019,Marcel2704,Nintendo Switch,25h,100%,,11039626,Playing Completed,Replay,"February 23, 2020",25h,,45h,,,135h /,
68,38019,MorbidFable,Nintendo Switch,25h,NR,"Did a few extra quests and stuff, but they were very short. A few I completed on accident",5690670,Completed,First,"January 20, 2018",25h,,26h,,,,
69,38019,PootyT,Wii U,25h,NR,,4378844,Completed,First,"March 15, 2017",25h,,50h,70h,,,
70,38019,Soaring,Wii U,25h,100%,,4182101,Completed,First,"March 13, 2017",25h,,105h,,,,
71,38019,decster584,Nintendo Switch,25h,100%,4 Divine Beasts + Master Sword + Ganon,5582337,Playing Completed,Replay,"January 04, 2018",25h,,60h,,,,
72,38019,electronsonmars,Nintendo Switch,25h,NR,,5211907,Completed,First,"January 01, 2018",25h,,,,,,
73,38019,jodonut,Nintendo Switch,25h,NR,Not Koroks.,6584660,Completed,First,"July 12, 2018",25h,,50h,75h,,,
74,38019,kantanat,Nintendo Switch,25h,NR,,5849397,Completed,First,"February 16, 2018",25h,,40h,,,,
75,38019,metroidisbest,Nintendo Switch,25h,90%,,5727867,Completed,First,"February 28, 2018",25h,,,,,,
76,38019,Private,Nintendo Switch,25h,100%,,12017486,Completed,First,,25h,,,,,,
77,38019,ogremoustro,Nintendo Switch,25h,NR,,4180517,Completed,First,"March 14, 2017",25h,,30h,,,,
78,38019,thurminator,Nintendo Switch,25h,NR,,7787151,Completed,First,,25h,,,,,,
79,38019,uelebro,Nintendo Switch,25h,100%,,7212719,Completed,First,"November 09, 2017",25h,,,,,,
80,38019,,Nintendo Switch,25h 10m,NR,,5636161,Completed,First,,25h 10m 10s,,,,,,
81,38019,,Nintendo Switch,25h 11m,NR,"All Divine Beasts and Ganon destroyed, but not all Shrines / Side Quests complete.",7795253,Completed,First,,25h 11m,,,,,,
82,38019,,Nintendo Switch,25h 17m,NR,,8681136,Completed,First,,25h 17m 16s,,,,,,
83,38019,mightynifty,Wii U,25h 20m,90%,,4552038,Completed,First,,25h 20m,,39h 50m,,,,
84,38019,Everdred,Nintendo Switch,25h 30m,NR,9.18%,5210167,Completed,First,"November 02, 2017",25h 30m,,,,,,
85,38019,,Wii U,25h 31m,NR,,4144324,Completed,First,,25h 31m 20s,,,,,,
86,38019,lightd1993,Nintendo Switch,26h,NR,,4377487,Completed,First,"March 26, 2017",26h,,,,,,
87,38019,Lanceloth,Emulated,26h 10m,NR,,8219535,Completed,First,,26h 10m,,,,,,
88,38019,,Wii U,26h 30m,NR,"A few extras but not rushing, I would count this as playing the story mode",4153675,Completed,First,,26h 30m,,,,,,
89,38019,,Nintendo Switch,27h,NR,,4179666,Completed,First,,27h,,,,,,
90,38019,,Nintendo Switch,27h 23m,NR,,4145237,Completed,First,,27h 23m,,,,,,
91,38019,milno71,Nintendo Switch,27h 56m,80%,,5315098,Completed,First,"July 06, 2017",27h 56m,,,,,,
92,38019,PlanetWyh,Emulated,28h,50%,,11539670,Completed,First,"May 09, 2020",28h,,,,,,
93,38019,Unbound_Selrahc,Nintendo Switch,28h 15m,NR,,10927926,Completed,First,"December 26, 2019",28h 15m 34s,,,,,,
94,38019,andrewl3779,Nintendo Switch,28h 30m,70%,"All main missions done, including all Divine Beasts, all memories and getting the Master Sword.",6351648,Completed,First,"June 04, 2018",28h 30m 58s,,,,,,
95,38019,,Nintendo Switch,28h 35m,NR,,4179507,Completed,First,,28h 35m,,,,,,
96,38019,Thalaban,Nintendo Switch,28h 58m,100%,,7036151,Completed,First,"September 13, 2018",28h 58m 34s,,,,,,
97,38019,,Nintendo Switch,29h 04m,NR,,6025050,Completed,First,,29h 04m 32s,,34h 55m 01s,88h 59m 02s,,,
98,38019,,Emulated,29h 12m,NR,,7277666,Completed,First,,29h 12m 25s,,,,,,
99,38019,,Nintendo Switch,29h 36m,NR,,4143493,Completed,First,,29h 36m,,,,,,
100,38019,Private,Emulated,29h 39m,NR,,6034979,Completed,First,"April 10, 2018",29h 39m 59s,,,,,,
101,38019,,Nintendo Switch,30h,NR,,4207789,Completed,First,,30h,,40h,200h,,,
102,38019,,Wii U,30h,NR,,4356504,Completed,First,,30h,,50h,,,,
103,38019,,Nintendo Switch,30h,NR,,4406977,Completed,First,,30h,,100h,150h,,,
104,38019,,Nintendo Switch,30h,NR,,5858806,Completed,First,,30h,,,,,,
105,38019,,Nintendo Switch,30h,NR,,6794170,Completed,First,,30h,,,,,,
106,38019,,Nintendo Switch,30h,NR,,7041779,Completed,First,,30h,,,,,,
107,38019,,Nintendo Switch,30h,NR,,10423797,Completed,First,,30h,,100h,150h,,,
108,38019,,Nintendo Switch,30h,NR,,10549614,Completed,First,,30h,,40h,175h,,,
109,38019,,Nintendo Switch,30h,NR,,11386910,Completed,First,,30h,,,,,,
110,38019,,Nintendo Switch,30h,NR,,11427024,Completed,First,,30h,,,,,,
111,38019,,Nintendo Switch,30h,NR,kinda rushed,11622102,Completed,First,,30h,,,,,,
112,38019,,Nintendo Switch,30h,NR,,11687491,Completed,First,,30h,,120h,300h,,,
113,38019,,Nintendo Switch,30h,NR,,11890780,Completed,Replay,,30h,,70h 20m,,,,
114,38019,,Wii U,30h,NR,,11943794,Completed,First,,30h,,,,,,
115,38019,Private,Nintendo Switch,30h,80%,,8652378,Completed,First,"April 21, 2018",30h,,60h,,,,
116,38019,BrokenMelon,Nintendo Switch,30h,NR,,5373690,Replay Completed,Replay,"November 24, 2017",30h,,100h,195h,,30h /,
117,38019,Cougargames,Nintendo Switch,30h,NR,,5628210,Completed,Replay,"May 09, 2017",30h,,70h,110h,,,
118,38019,FinalHero13,Nintendo Switch,30h,NR,,10654140,Completed,First,"April 01, 2018",30h,,,,,,
119,38019,FireEatingNinja,Wii U,30h,NR,,4214527,Completed,First,"March 21, 2017",30h,,,,,,
120,38019,Ginsei,Nintendo Switch,30h,NR,,10750213,Completed,First,"January 11, 2020",30h,,,,,,
121,38019,Hakaana,Nintendo Switch,30h,80%,,6685542,Completed,First,"July 28, 2018",30h,,,,,,
122,38019,Max18090,Nintendo Switch,30h,100%,,8239898,Custom List Completed,First,"February 10, 2019",30h,,75h,,,145h /,
123,38019,Murderlol,Nintendo Switch,30h,80%,,5690413,Completed,First,"January 19, 2018",30h,,60h,200h,,,
124,38019,PHCooper,Nintendo Switch,30h,100%,,6369261,Completed,First,"April 10, 2018",30h,,65h,,,,
125,38019,ThatCristianGuy,Wii U,30h,90%,,9061435,Completed,First,"June 30, 2019",30h,,,,,,
126,38019,Window2Gaming,Nintendo Switch,30h,NR,,5297024,Completed,First,"March 08, 2017",30h,,,,,,
127,38019,bunnyacolyte,Wii U,30h,NR,,11943801,Completed,First,"June 09, 2020",30h,,,,,,
128,38019,Private,Nintendo Switch,30h,NR,,6964306,Completed,First,"September 02, 2018",30h,,,,,,
129,38019,naatwo,Nintendo Switch,30h,NR,,8194702,Completed,First,"November 03, 2018",30h,,,,,,
130,38019,Private,Nintendo Switch,30h,NR,,10353412,Completed,Replay,"October 10, 2019",30h,,,,,,
131,38019,onetrickty,Nintendo Switch,30h,NR,,10799826,Completed,First,"January 05, 2020",30h,,,,,,
132,38019,ra1n1,Nintendo Switch,30h,NR,,4332261,Completed,First,"April 03, 2017",30h,,,,,,
133,38019,reddragonx,Nintendo Switch,30h,70%,,4786927,Completed,First,"July 17, 2017",30h,,,,,,
134,38019,starstory6,Nintendo Switch,30h,NR,,7043113,Completed,First,"June 14, 2018",30h,,,,,,
135,38019,trev1211,Nintendo Switch,30h,NR,,6016630,Completed,First,"October 24, 2017",30h,,75h,100h,,,
136,38019,yayakon85,Nintendo Switch,30h,NR,"all shrines, 350 Koroks",8444720,Completed,First,"February 11, 2019",30h,,190h,,,,
137,38019,,Nintendo Switch,30h 01m,NR,,10801253,Completed,First,,30h 01m 30s,,,,,,
138,38019,TheKakarikoCowboy,Wii U,30h 10m,NR,,4303990,Completed,First,"April 12, 2017",30h 10m,,,,,,
139,38019,KasperNyvang,Nintendo Switch,30h 20m,NR,,9430933,Completed,First,"August 15, 2019",30h 20m,,,,,,
140,38019,GucciMang,Emulated,31h,NR,,5534072,Completed,First,"December 28, 2017",31h,,,,,,
141,38019,JesperVonTrapp,Nintendo Switch,31h,NR,,10815147,Completed,First,"January 13, 2020",31h,,,,,,
142,38019,Private,Nintendo Switch,31h,80%,,7334478,Replay Completed,First,"March 18, 2019",31h,,,210h,,77h 55m 55s /,
143,38019,,Wii U,31h 05m,NR,,4150728,Completed,First,,31h 05m,,,,,,
144,38019,amisnaru,Wii U,31h 10m,100%,"Main Story + 12,5 % optional content",4280455,Completed,First,"April 07, 2017",31h 10m,,,,,,
145,38019,Roman0703,Wii U,31h 37m,NR,"4 Divine Beasts, most side quests ignored.",8732948,Completed,First,"May 07, 2019",31h 37m,,,,,,
146,38019,Mapacherrr,Nintendo Switch,32h,NR,,11832222,Completed,First,"August 31, 2019",32h,,,,,,
147,38019,gabsond,Nintendo Switch,32h,90%,,10928858,Custom List 2 Completed,First,"February 02, 2020",32h,,66h 34m,,,,
148,38019,,Emulated,32h 05m,NR,,5710513,Completed,First,,32h 05m,,,,,,
149,38019,,Wii U,32h 06m,NR,,5342294,Completed,First,,32h 06m 30s,,,,,,
150,38019,nyanpasta,Nintendo Switch,32h 12m,NR,,6446805,Completed,First,"June 19, 2018",32h 12m 12s,,,,,,
151,38019,Netoso,Nintendo Switch,32h 15m,NR,,6463522,Completed,First,,32h 15m,,43h 29m,,,,
152,38019,Kuruwin,Wii U,32h 33m,NR,,4683372,Completed,First,"July 03, 2017",32h 33m,,,,,,
153,38019,whitenoize,Nintendo Switch,32h 35m,90%,"13.06%. Master Sword, Hylian Shield, 41 shrines completed, all divine beasts.",11837087,Completed,First,"May 31, 2020",32h 35m 01s,,,,,,
154,38019,,Wii U,32h 42m,NR,,10169556,Completed,First,,32h 42m,,100h,,,,
155,38019,,Wii U,32h 43m,NR,,7448195,Completed,First,,32h 43m 22s,,,,,,
156,38019,,Nintendo Switch,33h,NR,,6839129,Completed,First,,33h,,,,,,
157,38019,DamTheLad,Nintendo Switch,33h,NR,"13 Hearts, 1 5/6 Stamina Wheel, Every Dungeon",4160704,Completed,First,"October 30, 2017",33h,,,,,,
158,38019,,Nintendo Switch,33h 22m,NR,,4167616,Completed,First,,33h 22m,,47h 46m,,,,
159,38019,Ninja84,Nintendo Switch,33h 22m,NR,,9051844,Completed,First,"June 28, 2019",33h 22m,,,,,,
160,38019,,Wii U,33h 27m,NR,,5545537,Completed,First,,33h 27m 11s,,69h 13m 53s,,,,
161,38019,,Wii U,33h 48m,NR,,4148563,Completed,First,,33h 48m,,,,,,
162,38019,Metakirby22,Nintendo Switch,34h 15m,NR,,4176036,Completed,First,"March 31, 2017",34h 15m,,60h 45m,,,,
163,38019,,Wii U,34h 17m,NR,,5535397,Completed,First,,34h 17m 22s,,,,,,
164,38019,victorprs,Wii U,34h 18m,NR,,5350387,Completed,First,"November 19, 2017",34h 18m 59s,,,,,,
165,38019,,Nintendo Switch,34h 51m,NR,,4171606,Completed,First,,34h 51m 39s,,49h 43m 12s,,,,
166,38019,,Nintendo Switch,35h,NR,,4321036,Completed,First,,35h,,,,,,
167,38019,,Nintendo Switch,35h,NR,,4426324,Completed,First,,35h,,80h,98h,,,
168,38019,,Nintendo Switch,35h,NR,,4864406,Completed,First,,35h,,,,,,
169,38019,,Wii U,35h,NR,,4897661,Completed,First,,35h,,,140h,,,
170,38019,,Nintendo Switch,35h,NR,,5656705,Completed,First,,35h,,,,,,
171,38019,,Nintendo Switch,35h,NR,,6092522,Completed,First,,35h,,,,,,
172,38019,,Nintendo Switch,35h,NR,,6181937,Completed,First,,35h,,105h,150h,,,
173,38019,,Nintendo Switch,35h,NR,,6511055,Completed,First,,35h,,,,,,
174,38019,,Nintendo Switch,35h,NR,,7765150,Completed,First,,35h,,,,,,
175,38019,,Nintendo Switch,35h,NR,,8435163,Completed,First,,35h,,,,,,
176,38019,,Nintendo Switch,35h,NR,,9057444,Completed,First,,35h,,40h,,,,
177,38019,,Nintendo Switch,35h,NR,,9426009,Completed,First,,35h,,95h,120h,,,
178,38019,,Nintendo Switch,35h,NR,,9473636,Completed,First,,35h,,,,,,
179,38019,,Nintendo Switch,35h,NR,,10313960,Completed,First,,35h,,,,,,
180,38019,,Nintendo Switch,35h,NR,If you just try and get through the game you can finish in probably 15-20 hours.,10485512,Completed,First,,35h,,,,,,
181,38019,,Nintendo Switch,35h,NR,,10794839,Completed,First,,35h,,,,,,
182,38019,,Nintendo Switch,35h,NR,,11197692,Completed,First,,35h,,,,,,
183,38019,,Nintendo Switch,35h,NR,,11758018,Completed,First,,35h,,,,,,
184,38019,,Nintendo Switch,35h,NR,,11929636,Completed,First,,35h,,,,,,
185,38019,Arvine,Nintendo Switch,35h,NR,,11113583,Completed,First,"March 07, 2020",35h,,,,,,
186,38019,BeatMyLongMeat,Wii U,35h,50%,,6142448,Completed,First,"April 18, 2018",35h,,65h,,,,
187,38019,CallumF,Nintendo Switch,35h,NR,,9475004,Completed,First,"August 29, 2019",35h,,100h,190h,,,
188,38019,ClassicMozilla,Nintendo Switch,35h,NR,,4565461,Completed,First,"November 07, 2017",35h,,,,,,
189,38019,DarkWeavel,Nintendo Switch,35h,NR,Hard mode,10951256,Completed,Replay,"August 25, 2017",35h,,,,,,
190,38019,Fitts_15,Nintendo Switch,35h,100%,,4268208,Playing Completed,First,"April 03, 2017",35h,,,,,40h /,
191,38019,GTBAtom,Nintendo Switch,35h,NR,,6475947,Completed,First,"April 25, 2017",35h,,,,,,
192,38019,JCalum1,Nintendo Switch,35h,100%,,9106706,Completed,First,"June 30, 2019",35h,,40h,,,,
193,38019,Leanest,Nintendo Switch,35h,80%,,10374758,Completed,First,"August 29, 2019",35h,,102h 20m,,,,
194,38019,MelancholyHeart,Nintendo Switch,35h,NR,,5071710,Completed,First,"September 18, 2017",35h,,,,,,
195,38019,Minhs2,Emulated,35h,80%,,5286180,Completed,First,"October 20, 2017",35h,,,,,,
196,38019,NinjaOTS,Nintendo Switch,35h,70%,,8671668,Completed,First,,35h,,,,,,
197,38019,Okeui,Nintendo Switch,35h,100%,,11946800,Completed,First,"September 08, 2019",35h,,,,,,
198,38019,PurpleCrab,Nintendo Switch,35h,80%,"Divine Beats, Ganon, Master Sword - About 40 shrines, i'd consider this what you need to comfortably complete the game.",5318120,Completed,First,"October 21, 2017",35h,,,,,,
199,38019,RadiantWanderer,Wii U,35h,NR,,10612914,Completed,First,,35h,,,,,,
200,38019,Razhal039,Nintendo Switch,35h,NR,,4416140,Completed,First,,35h,,,,,,
201,38019,TheCopTech,Nintendo Switch,35h,NR,,5979735,Completed,First,"March 13, 2018",35h,,,350h,,,
202,38019,Utrab33,Emulated,35h,80%,,10144934,Completed,First,"September 25, 2019",35h,,,,,,
203,38019,Valjean,Nintendo Switch,35h,NR,,8617960,Completed,Replay,"March 03, 2020",35h,,,,,,
204,38019,WhiteCaptain,Nintendo Switch,35h,NR,,4258438,Playing Completed,First,"March 03, 2017",35h,,,,,,
205,38019,Xxracso40xX,Nintendo Switch,35h,100%,,11413866,Completed,First,"April 11, 2020",35h,,,,,,
206,38019,ZKLRS_Robin,Nintendo Switch,35h,NR,,4677288,Completed,First,"March 22, 2017",35h,,,,,,
207,38019,adamsfilthy,Nintendo Switch,35h,100%,did some stuff on the sides,11551965,Completed,First,"October 20, 2019",35h,,,,,,
208,38019,bsinky,Nintendo Switch,35h,NR,"4 Divine Beasts, Master Sword, not many Koroks, all but 1 Tower activated",7128662,Completed,First,"March 29, 2020",35h,,,,,,
209,38019,cashsun,Nintendo Switch,35h,100%,,4224977,Completed,First,"March 24, 2017",35h,,,,,,
210,38019,crono3,Nintendo Switch,35h,NR,,4531655,Completed,First,"July 15, 2018",35h,,,,,,
211,38019,dOEb,Wii U,35h,NR,"14 hearts, 2x Stamina, 21 seed, 53 shrine, Master Sword + Hylian Shield",8315254,Completed,First,"February 20, 2019",35h,,,,,,
212,38019,elixirsoup,Nintendo Switch,35h,NR,,4499960,Playing Completed,First,"May 30, 2017",35h,,90h,,,,
213,38019,kduke91,Nintendo Switch,35h,NR,,12008481,Completed,First,"June 15, 2020",35h,,,,,,
214,38019,kennaaaron,Nintendo Switch,35h,NR,,5768756,Completed,First,"February 03, 2018",35h,,,,,,
215,38019,mito_cl,Nintendo Switch,35h,100%,,8235825,Completed,First,"February 09, 2019",35h,,,,,,
216,38019,nonamewolf,Nintendo Switch,35h,NR,,11310149,Completed,First,"March 31, 2020",35h,,65h,,,,
217,38019,seFausto,Nintendo Switch,35h,NR,,5296937,Completed,First,"November 25, 2017",35h,,,,,,
218,38019,Totallynot,Nintendo Switch,35h 03m,NR,,11452180,Completed,First,,35h 03m 45s,,45h 01m 23s,,,,
219,38019,kawwumbo,Nintendo Switch,35h 10m,100%,,11540654,Completed,First,"April 23, 2020",35h 10m,,,,,,
220,38019,,Nintendo Switch,35h 15m,NR,,4194185,Completed,First,,35h 15m,,,,,,
221,38019,,Nintendo Switch,35h 20m,NR,,5391187,Completed,First,,35h 20m,,,,,,
222,38019,Private,Nintendo Switch,35h 25m,NR,,4269198,Completed,First,,35h 25m 17s,,,,,,
223,38019,,Emulated,35h 29m,NR,,11644483,Completed,First,,35h 29m,,67h 17m,143h 46m,,,
224,38019,,Nintendo Switch,35h 32m,NR,,10353108,Completed,First,,35h 32m 20s,,,,,,
225,38019,,Nintendo Switch,35h 40m,NR,,9071383,Completed,First,,35h 40m 37s,,,,,,
226,38019,ProGamer,Nintendo Switch,35h 41m,NR,,4224779,Completed,First,"March 24, 2017",35h 41m,,45h 30m,265h 51m 34s,,,
227,38019,Niskyah,Nintendo Switch,35h 45m,80%,"did pretty much everything required, with some exploration.",9389511,Completed,First,"July 18, 2019",35h 45m,,,,,,
228,38019,,Nintendo Switch,35h 50m,NR,,8313124,Completed,First,,35h 50m 10s,,,,,,
229,38019,,Nintendo Switch,35h 54m,NR,,10856593,Completed,First,,35h 54m 35s,,,,,,
230,38019,,Nintendo Switch,36h,NR,,4155593,Completed,First,,36h,,,,,,
231,38019,,Wii U,36h,NR,,4524339,Completed,First,,36h,,,,,,
232,38019,Petrov,Wii U,36h 18m,NR,,4139170,Completed,First,"March 22, 2017",36h 18m 56s,,,,,,
233,38019,aquova,Wii U,36h 30m,NR,,4864112,Completed,First,"February 18, 2017",36h 30m,,,,,,
234,38019,,Nintendo Switch,36h 50m,NR,,7914719,Completed,First,,36h 50m 45s,,,,,,
235,38019,,Wii U,36h 57m,NR,,4462470,Completed,First,,36h 57m,,,,,,
236,38019,,Wii U,37h,NR,,4177075,Completed,First,,37h,,,,,,
237,38019,,Nintendo Switch,37h,NR,,4254523,Completed,First,,37h,,65h,,,,
238,38019,,Nintendo Switch,37h,NR,,6952604,Completed,First,,37h,,,,,,
239,38019,,Nintendo Switch,37h,NR,,8716256,Completed,First,,37h,,,,,,
240,38019,KalebPlayz64,Nintendo Switch,37h,100%,EVERYTHING INCLUDING THE USELESS 900 KOROK SEEDS,6295549,Completed,First,"October 22, 2017",37h,Only complete the main quest + extras (DONT EVER DO THE KOROK SEEDS),107h,192h,,,
241,38019,greyvest,Wii U,37h,NR,,9305423,Completed,First,"August 04, 2019",37h,,,,,,
242,38019,Akitrotro,Wii U,37h 06m,NR,,4608857,Completed,First,"June 22, 2017",37h 06m,,,,,,
243,38019,,Nintendo Switch,37h 20m,NR,,8473061,Completed,First,,37h 20m,,,,,,
