,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Completionist,Progress,Personal Notes
84,41638,DanielMeier,PC,6h,NR,,6083980,Completed,First,"August 16, 2017",6h,,,,
85,41638,Daremo,PlayStation 4,6h,80%,,10166830,Completed,First,"September 30, 2019",6h,,,,
86,41638,DilPez19,PC,6h,70%,,10199488,Completed,First,July 2019,6h,,,,
87,41638,Fichox,PC,6h,40%,,9314746,Completed,First,"August 06, 2019",6h,,,,
88,41638,Fliktor,PC,6h,NR,,10628089,Completed,First,"December 21, 2019",6h,,,,
89,41638,Frana,Xbox One,6h,NR,,8596957,Completed,First,"April 10, 2019",6h,,,,
90,41638,Hieronimus,PC,6h,90%,,11519477,Completed,First,"April 21, 2020",6h,,,,
91,41638,Private,PC,6h,NR,,5690757,Completed,First,"January 20, 2018",6h,,,,
92,41638,Jagahtai,PC,6h,NR,,4892500,Completed,First,"August 11, 2017",6h,,,,
93,41638,M0chit0PT,Xbox One,6h,NR,,8549336,Completed,First,,6h,,,,
94,41638,Madd1n0,PC,6h,NR,,8771549,Completed,First,"August 08, 2017",6h,,,,
95,41638,NBays,PC,6h,NR,,11383189,Completed,First,,6h,,,,
96,41638,Noopinho,Xbox One,6h,NR,,6961309,Completed,First,"September 02, 2018",6h,,,,
97,41638,RCQ,PC,6h,100%,,7518383,Completed,First,"November 24, 2018",6h,,,,
98,41638,Reaper2017,Xbox One,6h,NR,,4785768,Completed,First,"January 28, 2019",6h,,,,
99,41638,Roberoo,PC,6h,NR,,6565337,Completed,First,"November 13, 2018",6h,,,,
100,41638,ScafTheChamp,PlayStation 4,6h,100%,,5760825,Completed,First,"February 05, 2018",6h,,,,
101,41638,Seroon,PC,6h,NR,Tracked time.,6948252,Completed,First,June 2018,6h,,,,
102,41638,Private,PC,6h,NR,,10594549,Completed,First,"January 04, 2020",6h,,,,
103,41638,Sombre,PC,6h,NR,,6983223,Completed,First,"September 06, 2018",6h,,,,
104,41638,Stes,PC,6h,NR,,9453687,Completed,First,"April 15, 2019",6h,,,,
105,41638,T3rm0,PC,6h,NR,,5002968,Completed,First,"August 23, 2017",6h,,,,
106,41638,Teppich,PC,6h,100%,,5605477,Completed,First,"January 06, 2018",6h,,,,
107,41638,Thorassor,PC,6h,NR,,11018307,Completed,First,"March 09, 2020",6h,,,,
108,41638,VladimirHac,PC,6h,NR,,6467333,Completed,First,"July 07, 2018",6h,,,,
109,41638,Private,PC,6h,90%,,8938608,Completed,First,"June 16, 2019",6h,,,,
110,41638,danedf,PC,6h,NR,,4951473,Completed,First,"August 23, 2017",6h,,,,
111,41638,endvj,Xbox One,6h,80%,,10317580,Completed,First,"October 28, 2019",6h,,,,
112,41638,hahe71,PC,6h,NR,,10973749,Completed,First,"February 10, 2020",6h,,,,
113,41638,leon4scott,PC,6h,NR,,5023254,Completed,First,,6h,,,,
114,41638,Private,PC,6h,NR,,8483421,Completed,First,"March 18, 2019",6h,,,,
115,41638,notacptmorgan,PC,6h,100%,,8429139,Completed,First,,6h,,,,
116,41638,psxsquall,PC,6h,80%,,9144681,Completed,First,"July 13, 2019",6h,,,,
117,41638,pukecloud,PC,6h,90%,,5831650,Completed,First,"February 12, 2018",6h,,,,
118,41638,silaslogo,PC,6h,NR,100% achivments unlocked,4986253,Completed,First,"August 30, 2017",6h,,8h 15m,,
119,41638,smmac41,PlayStation 4,6h,80%,,10570981,Completed,First,"December 10, 2019",6h,,,,
120,41638,sojer,PC,6h,80%,,5146546,Completed,First,"October 14, 2017",6h,6h 57m,7h 30m,,start 2017-10-08; end 2017-10-15.
121,41638,spy4killer,PC,6h,80%,,8496489,Completed,First,"March 21, 2019",6h,,,,
122,41638,whyrecon,PC,6h,70%,,10253449,Completed,First,"October 15, 2019",6h,,,,
123,41638,KerfMerf,PC,6h 03m,80%,,11301013,Completed,First,"May 08, 2020",6h 03m 21s,,,,
124,41638,Mokatavatah,PC,6h 05m,NR,,8456897,Completed,First,"July 11, 2019",6h 05m,,,,
125,41638,Private,PC,6h 05m,80%,,10266848,Completed,First,"October 30, 2019",6h 05m 19s,,,,
126,41638,Caliburn89,PlayStation 4,6h 06m,NR,"Only missed one achievement, which is just finding all the Lore stones.",4877813,Completed,First,"August 08, 2017",6h 06m 19s,,,,
127,41638,PurpleCrab,PlayStation 4,6h 07m,90%,"Got whatever lorestones were in my direct path, never went looking for one.",5283426,Completed,First,"November 28, 2017",6h 07m,,,,
128,41638,Xxracso40xX,PC,6h 07m,90%,,9133380,Completed,First,"July 11, 2019",6h 07m,,,,
129,41638,,PC,6h 10m,NR,,5176517,Completed,First,,6h 10m,,,,
130,41638,Otorino,PC,6h 10m,80%,,11633376,Completed,First,"May 03, 2020",6h 10m,,,,
131,41638,TheDarkLordSnow,PC,6h 10m,80%,,8222248,Completed,First,"April 04, 2019",6h 10m,,,,
132,41638,bdzz,PC,6h 12m,NR,,9236308,Completed,First,"October 31, 2019",6h 12m,,,,
133,41638,Eiah,PC,6h 14m,NR,,9363008,Completed,First,"August 14, 2019",6h 14m,,,,
134,41638,Mills,PC,6h 14m,NR,,11583924,Completed,First,"April 28, 2020",6h 14m 28s,6h 52m 12s,7h 14m 22s,,
135,41638,,PC,6h 15m,NR,,6419216,Completed,First,,6h 15m,,,,
136,41638,Sarrkey,PC,6h 15m,NR,,4984497,Completed,First,"August 29, 2017",6h 15m 09s,,,,
137,41638,IamRedBlue,PC,6h 15m,70%,,4889105,Completed,First,"August 09, 2017",6h 15m 21s,,,,
138,41638,Minhs2,PC,6h 15m,60%,,7229322,Completed,First,"October 18, 2018",6h 15m 34s,,,,
139,41638,liorfigman,PC,6h 16m,90%,,4991542,Completed,First,,6h 16m,,,,
140,41638,Sharean,PlayStation 4,6h 17m,80%,,11577051,Completed,First,"April 26, 2020",6h 17m,,,,
141,41638,allanschnorr,PC,6h 20m,80%,,5412249,Completed,First,"December 03, 2017",6h 20m,,,,
142,41638,bvan458,PC,6h 20m,NR,,4971803,Completed,First,"August 27, 2017",6h 20m,,,,
143,41638,rafaa14,PC,6h 20m,80%,,5942612,Completed,First,"March 08, 2018",6h 20m,,,,
144,41638,Nalynh,PlayStation 4,6h 21m,NR,,10561967,Custom List Completed,First,"December 12, 2019",6h 21m 22s,,,,
145,41638,iTzHobnob,PC,6h 23m,NR,,8011730,Completed,First,"January 12, 2019",6h 23m,,,,
146,41638,vboipinoy,PlayStation 4,6h 23m,NR,,6773658,Completed,First,"January 27, 2018",6h 23m 08s,,,,
147,41638,,PC,6h 25m,NR,,6372698,Completed,First,,6h 25m,7h,,,
148,41638,pakindew,PC,6h 25m,NR,,9159159,Completed,First,"July 16, 2019",6h 25m,,,,
149,41638,PeachyIsTrash,PC,6h 26m,80%,,10680567,Completed,First,"January 07, 2020",6h 26m 45s,,,,
150,41638,Private,PC,6h 28m,60%,,9012303,Completed,First,"August 06, 2019",6h 28m 48s,,,,
151,41638,Odium,PC,6h 29m,60%,,6768695,Completed,First,"September 27, 2018",6h 29m 06s,,,,
152,41638,,PC,6h 30m,NR,,10826723,Completed,First,,6h 30m,7h 30m,8h,,
153,41638,Caladinbrood,PC,6h 30m,NR,,4913543,Completed,First,"August 15, 2017",6h 30m,,,,
154,41638,DanmoTheMan,PlayStation 4,6h 30m,NR,,10791609,Completed,First,"January 11, 2020",6h 30m,,,,
155,41638,KinkyMong,PlayStation 4,6h 30m,NR,All lorestones,6014661,Completed,First,"April 02, 2018",6h 30m,,,,
156,41638,MrNobody1147,PC,6h 30m,90%,,11371154,Backlog Completed,First,"April 06, 2020",6h 30m,,,6h 30m /,
157,41638,PXSausage,Xbox One,6h 30m,100%,,7744130,Completed,First,"December 02, 2018",6h 30m,,,,
158,41638,acika1996,PC,6h 30m,NR,,11438162,Completed,First,"April 14, 2020",6h 30m,,,,
159,41638,bakablast,PC,6h 30m,NR,,8737651,Completed,First,"May 07, 2019",6h 30m,,,,
160,41638,esq373,PC,6h 30m,80%,,10839364,Completed,First,"January 18, 2020",6h 30m,,,,
161,41638,Private,PC,6h 30m,NR,,10867964,Completed,First,"February 08, 2020",6h 30m,,,,
162,41638,modaren,PC,6h 30m,NR,,4879603,Completed,First,"August 08, 2017",6h 30m,,,,
163,41638,xlnxminusx,PlayStation 4,6h 30m,NR,,5031247,Completed,First,"September 08, 2017",6h 30m,,,,
164,41638,Private,PC,6h 30m,NR,,5190266,Completed,First,"October 19, 2017",6h 30m 22s,,,,
165,41638,Threads,Xbox One,6h 33m,NR,,10735547,Completed,First,"January 05, 2020",6h 33m 44s,,,,
166,41638,Lemmi,PC,6h 37m,NR,,10556613,Completed,First,,6h 37m,,,,
167,41638,Neo1771991,PC,6h 37m,NR,,6534829,Completed,First,"July 09, 2018",6h 37m,,,,
168,41638,M34TP4CK3R85,PlayStation 4,6h 38m,80%,,5488091,Completed,First,"January 02, 2018",6h 38m,,,,
169,41638,,PC,6h 40m,NR,,5392853,Completed,First,,6h 40m,,,,
170,41638,Best_Before_SODA,PC,6h 40m,NR,,11336145,Completed,First,"November 26, 2018",6h 40m,,,,
171,41638,hehahi,PlayStation 4,6h 40m,NR,,6350420,Completed,First,"June 04, 2018",6h 40m,,,,
172,41638,404NotF,PC,6h 40m,80%,,9533416,Completed,First,"December 21, 2019",6h 40m 08s,,,,
173,41638,Private,PC,6h 41m,NR,,6534970,Completed,First,"July 06, 2018",6h 41m,,,,
174,41638,DuckYde,PlayStation 4,6h 42m,NR,,8460705,Completed,First,"March 13, 2019",6h 42m,,,,
175,41638,Private,PC,6h 45m,NR,,5473403,Completed,First,"December 16, 2017",6h 45m,,,,
176,41638,Zomoniac,Xbox One,6h 45m,70%,,7827949,Completed,First,"March 15, 2019",6h 45m,,,,
177,41638,beardandthehair,PC,6h 45m,60%,,10761027,Completed,First,"January 05, 2020",6h 45m,,,,
178,41638,Xepherian,PC,6h 46m,NR,Surt was the easiest boss in the world.,10521045,Completed,First,"December 10, 2018",6h 46m 48s,,,,
179,41638,,PC,6h 48m,NR,,10834759,Completed,First,,6h 48m,,,,
180,41638,Hottston,PlayStation 4,6h 48m,80%,,4877708,Completed,First,"August 31, 2017",6h 48m,,,,
181,41638,mtahatemur,PC,6h 48m,NR,,11537733,Completed,First,"November 28, 2017",6h 48m,,,,
182,41638,,PC,6h 50m,NR,,4888858,Completed,First,,6h 50m,,,,
183,41638,Leaks,PC,6h 50m,90%,,8895853,Completed,First,"February 20, 2019",6h 50m,,7h 30m,,
184,41638,Leaks01,PC,6h 50m,90%,,8492704,Completed,First,"February 20, 2019",6h 50m,,7h 30m,,
185,41638,Wanderer23,Nintendo Switch,6h 50m,NR,,11468707,Completed,First,"April 26, 2020",6h 50m,,,,
186,41638,Komukitee,PC,6h 51m,NR,,8506186,Completed,First,,6h 51m,,,,
187,41638,Private,PC,6h 52m,100%,,9011557,Completed,First,,6h 52m,,,,
188,41638,dito94,PC,6h 52m,NR,,4979708,Completed,First,"August 28, 2017",6h 52m,,,,
189,41638,GamekNightPlays,PC,6h 52m,100%,Completed the storyline without focusing on grabbing everything - missed 3 runes.,5291411,Completed,First,"October 10, 2017",6h 52m 43s,,,,
190,41638,dcomarata,PC,6h 54m,80%,,8677519,Completed,First,"October 12, 2018",6h 54m,,,,
191,41638,Soloid,PC,6h 54m,50%,,6861131,Completed,First,"January 15, 2019",6h 54m 33s,,,,
192,41638,Private,PC,6h 55m,NR,,11016461,Completed,First,"March 01, 2020",6h 55m 46s,,,,
193,41638,Kondorr,PC,6h 57m,100%,,5510971,Completed,Replay,"December 29, 2017",6h 57m,,,,
194,41638,capmxm,PC,6h 57m,NR,,5273816,Completed,First,"November 11, 2017",6h 57m,,,,
195,41638,ToKymonGrey,PC,6h 58m,NR,,4883475,Completed,First,"August 08, 2017",6h 58m,,,,
196,41638,,PC,7h,NR,,4878864,Completed,First,,7h,,,,
197,41638,,PC,7h,NR,,4996018,Completed,First,,7h,,,,
198,41638,,PC,7h,NR,Including time for thinking around the puzzles.,5396029,Completed,First,,7h,,,,
199,41638,,PC,7h,NR,,5805251,Completed,First,,7h,,,,
200,41638,,PC,7h,NR,,6439778,Completed,First,,7h,,,,
201,41638,,PC,7h,NR,,6927047,Completed,First,,7h,,,,
202,41638,,PC,7h,NR,,7387410,Completed,First,,7h,,,,
203,41638,,PC,7h,NR,,7824538,Completed,First,,7h,,,,
204,41638,,PC,7h,NR,,9375960,Completed,First,,7h,,,,
205,41638,,PC,7h,NR,,9380841,Completed,First,,7h,,,,
206,41638,,PC,7h,NR,,9660646,Completed,First,,7h,,,,
207,41638,,PC,7h,NR,,10859690,Completed,First,,7h,,,,
208,41638,ASmallPotato,PC,7h,100%,,6256503,Custom List Completed,First,"May 27, 2018",7h,,,,
209,41638,ArturGG,Xbox One,7h,NR,,9320851,Completed,First,"August 07, 2019",7h,,,,
210,41638,CLPockets,PC,7h,NR,,10496788,Completed,First,,7h,,,,
211,41638,Private,PC,7h,NR,,6540506,Completed,First,"November 11, 2017",7h,,,,
212,41638,Private,PC,7h,90%,,7165220,Completed,First,"October 01, 2018",7h,,,,
213,41638,Condooo,PC,7h,NR,,5166965,Completed,First,,7h,,,,
214,41638,Copeland1994,PlayStation 4,7h,90%,,10986352,Completed,First,"August 25, 2017",7h,,,,
215,41638,CrashFistfight,PC,7h,90%,,6387268,Completed,First,"March 13, 2018",7h,,,,
216,41638,D3xtro,PC,7h,NR,"Story through, missed some Runes - doesn't seem worth replaying to me.",10930645,Completed,First,"February 02, 2020",7h,,,,
217,41638,DaaMaadness,PlayStation 4,7h,NR,,8888131,Completed,First,"June 01, 2019",7h,,,,
218,41638,Private,PC,7h,90%,,5097426,Completed,First,,7h,8h 05m,8h 30m,,
219,41638,Dispator,PC,7h,NR,,5558544,Completed,First,"January 01, 2018",7h,7h 20m,7h 30m,,
220,41638,Elficzek,PC,7h,60%,,10347325,Completed,First,"November 02, 2019",7h,,,,
221,41638,Evilist,PC,7h,NR,,6696368,Completed,First,"July 30, 2018",7h,,,,
222,41638,Florian,Nintendo Switch,7h,80%,,9195350,Completed,First,"July 30, 2019",7h,,,,
223,41638,Gerds88,Xbox One,7h,80%,,7456844,Completed,First,,7h,,,,
224,41638,GlitchdBacon,PC,7h,NR,,9678570,Completed,First,"August 08, 2017",7h,,,,
225,41638,Hawksygen,PC,7h,NR,,4922183,Completed,First,"August 18, 2017",7h,,,,
226,41638,Hazz3r,PC,7h,NR,,10886033,Completed,First,"January 26, 2020",7h,,,,
227,41638,Heavy_Rain,PC,7h,70%,,6008833,Completed,First,"March 20, 2018",7h,7h 20m,,,
228,41638,Private,PC,7h,NR,,11141858,Completed,First,"March 12, 2020",7h,,,,
229,41638,Huhn0rNud3lSupp3,PC,7h,100%,,6602839,Completed,First,"July 16, 2018",7h,,,,
230,41638,I_am_nobody,PC,7h,100%,,5032048,Completed,First,"August 21, 2017",7h,,,,
231,41638,Jlord666,PC,7h,NR,,10568460,Backlog Completed,First,"December 09, 2019",7h,,,,
232,41638,JunioR,PC,7h,NR,,6048559,Completed,First,,7h,7h 30m,8h,,
233,41638,KamikotoGasai,PlayStation 4,7h,NR,,4882476,Completed,First,"August 09, 2017",7h,,,,
234,41638,KohakuZeta,PC,7h,90%,About 85% of the runes.,10382324,Completed,First,"November 08, 2019",7h,,,,
235,41638,KormanaC,PC,7h,NR,,11805548,Completed,First,"May 21, 2020",7h,,,,
236,41638,Le_Don,PC,7h,80%,,10860129,Completed,First,"September 03, 2019",7h,,,,
237,41638,Mandulum,PC,7h,80%,,5644496,Completed,First,"January 07, 2018",7h,,,,
238,41638,Masterofhoenn,Xbox One,7h,NR,,8698832,Completed,First,"May 02, 2019",7h,,,,
239,41638,Mechoshira,PlayStation 4,7h,80%,,4960656,Completed,First,"August 26, 2017",7h,,,,
240,41638,Monstroid,PC,7h,NR,,4998742,Completed,First,"August 18, 2017",7h,,,,
241,41638,MrSoundless,PC,7h,NR,,8072219,Completed,First,"June 24, 2018",7h,,,,
242,41638,NeonCircus,PC,7h,NR,,7859230,Completed,First,"December 28, 2018",7h,8h,9h,,
243,41638,Omegason,PC,7h,90%,,5047832,Completed,First,"September 13, 2017",7h,,,,
244,41638,OnurhanSoyek,PlayStation 4,7h,NR,,11546317,Completed,First,"April 24, 2020",7h,,,,
245,41638,Pribamich,PC,7h,NR,,5511260,Completed,First,,7h,,,,
246,41638,Raph582,PC,7h,60%,,10604785,Completed,First,"December 16, 2019",7h,,,,
247,41638,ReaverCorps,PC,7h,NR,,10652235,Completed,First,"December 25, 2019",7h,8h,,,
248,41638,RebelliousRam,PlayStation 4,7h,NR,,5594883,Completed,First,"January 05, 2018",7h,8h,9h,,
249,41638,RebornHeart,PC,7h,NR,,6652820,Completed,First,"July 23, 2018",7h,,,,
250,41638,SavePoint,PC,7h,50%,,8927350,Completed,First,"August 12, 2019",7h,,,,
251,41638,Sceptile,PC,7h,NR,most of the runes,9139083,Completed,First,"July 12, 2019",7h,,,,
252,41638,Shenyan,PlayStation 4,7h,60%,,11225975,Completed,First,,7h,,,,
253,41638,Skrimir,PC,7h,NR,,6303029,Completed,First,"May 26, 2018",7h,,,,
254,41638,Private,PlayStation 4,7h,NR,,8776206,Completed,First,"May 15, 2019",7h,,,,
255,41638,Sora_O,PC,7h,NR,,5899237,Completed,First,"August 27, 2017",7h,,,,
256,41638,SourSpecialist,PC,7h,40%,,8967619,Completed,First,"June 15, 2019",7h,,,,
257,41638,Private,PC,7h,NR,,6708262,Completed,First,"July 14, 2019",7h,,,,
258,41638,Wank8734,PlayStation 4,7h,100%,,4930339,Completed,First,"September 24, 2017",7h,,,,
259,41638,WordierFool,Xbox One,7h,NR,,9174670,Completed,First,"July 16, 2019",7h,,7h 30m,,
260,41638,Zoor,PC,7h,60%,,6461316,Completed,First,"December 25, 2017",7h,,,,
261,41638,adrianobadman,PC,7h,NR,,11237685,Completed,First,"March 24, 2020",7h,,,,
262,41638,anotherbobhead,PC,7h,NR,"Got stuck a few times on some puzzles, but it was pretty smooth besides that",6593065,Completed,First,"April 07, 2018",7h,,,,
263,41638,Private,PC,7h,NR,,9573098,Completed,First,,7h,,,,
264,41638,bmz_3,PlayStation 4,7h,90%,,11463938,Completed,First,"April 16, 2020",7h,,,,
265,41638,Private,PC,7h,NR,,5031630,Completed,First,"September 10, 2017",7h,,,,
266,41638,cashedtastic,Xbox One,7h,90%,,6358859,Completed,First,"June 05, 2018",7h,,,,
267,41638,caspianavima,PC,7h,80%,,9681732,Completed,First,"September 19, 2019",7h,,,,
268,41638,cheezbass,PC,7h,NR,,6619959,Completed,First,"July 19, 2018",7h,,,,
269,41638,cottboi,PlayStation 4,7h,90%,,4914629,Completed,First,,7h,,,,
270,41638,cyberangel,PC,7h,NR,,6690601,Completed,First,"July 29, 2018",7h,,,,
271,41638,dekenfrost,PC,7h,NR,,5445663,Completed,First,"December 10, 2017",7h,,,,
272,41638,digitalschism96,PC,7h,90%,,8552621,Completed,First,"March 31, 2019",7h,,,,
273,41638,famouscustard,PlayStation 4,7h,90%,,5408532,Completed,First,,7h,,,,
