,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Completionist,Progress,Co-Op,Personal Notes
23,68149,kariyanine,Xbox One,4h 30m,60%,,11899007,Completed,First,"June 01, 2020",4h 30m,,,,,
24,68149,xwinsus,PC,4h 30m,80%,,11838715,Completed,First,"May 27, 2020",4h 30m 19s,,,,,
25,68149,,Xbox One,4h 35m,NR,,11846373,Completed,First,,4h 35m 17s,,,,,
26,68149,TheMSN,PC,4h 37m,60%,,11856925,Playing Completed,First,"May 28, 2020",4h 37m,,,,,
27,68149,Venom294,PC,4h 40m,NR,,11848489,Completed,First,"May 27, 2020",4h 40m,,,,,
28,68149,Private,Xbox One,4h 40m,NR,,11856099,Completed,First,"May 28, 2020",4h 40m,,,,,
29,68149,Scar04c,Xbox One,4h 41m,NR,,11898962,Playing Completed,First,"June 17, 2020",4h 41m,,,4h 41m /,,
30,68149,DecemberStyle,PC,4h 41m,70%,,11857152,Completed,First,"May 30, 2020",4h 41m 49s,,,,,
31,68149,Private,Xbox One,4h 45m,NR,,11839323,Completed,First,"May 26, 2020",4h 45m,,,,,
32,68149,wilson576,PC,4h 45m,NR,,11825504,Completed,First,"May 24, 2020",4h 45m,,,,,
33,68149,HazedCube,PC,4h 48m,70%,"Beat Arch-illager, explored as much as possible each level. Level 21, PL 21. 14 achievements.",11851178,Completed,First,"May 29, 2020",4h 48m 07s,,,,,
34,68149,ban_evasion,Xbox One,4h 53m,60%,,11850582,Completed,First,"May 27, 2020",4h 53m 55s,,,,,
35,68149,LucasOS,Xbox One,4h 54m,80%,Completed,11848866,Playing Completed,First,"May 30, 2020",4h 54m,,,,,
36,68149,,Nintendo Switch,5h,NR,,11848596,Completed,First,,5h,,,,,
37,68149,Frixuu,PC,5h,70%,"100% achievements, 9 base + 5 hidden locations beaten on highest difficulty. Mix of solo and co-op",11871352,Completed,First,"May 30, 2020",5h,,15h 04m,,,
38,68149,Jeezee,PC,5h,60%,,11921752,Completed,First,"June 06, 2020",5h,,,,,
39,68149,KlausKappa,PC,5h,NR,Shit game,11868222,Completed,First,"May 30, 2020",5h,,,,,
40,68149,Sparell,PC,5h,NR,,11860131,Completed,First,"May 31, 2020",5h,,,,,
41,68149,donly,Xbox One,5h,50%,,11846364,Completed,First,"May 30, 2020",5h,,,,,
42,68149,kamwu,Xbox One,5h,50%,,11917991,Completed,First,"June 06, 2020",5h,,,,,
43,68149,kidscghost,Xbox One,5h,NR,,11846368,Completed,First,"May 30, 2020",5h,,,,,
44,68149,leyeti,Xbox One,5h,80%,,11933378,Completed,First,"June 08, 2020",5h,,,,,
45,68149,sapphirone,Nintendo Switch,5h,NR,,11899593,Completed,First,"June 04, 2020",5h,,,,,
46,68149,tacosbob,PC,5h,NR,,11850748,Completed,First,"June 02, 2020",5h,,,,,
47,68149,Nossda,Xbox One,5h,70%,,11933682,Completed,First,"June 08, 2020",5h 52s,,,,,
48,68149,PurpleCrab,Xbox One,5h,80%,,11933678,Custom List 2 Completed,First,"June 08, 2020",5h 52s,,,,,
49,68149,ProfessorPhoenix,PC,5h 05m,NR,,11888767,Completed,First,"May 28, 2020",5h 05m 52s,,,,,
50,68149,MoSHtCZ,PC,5h 15m,60%,,11847560,Completed,First,"May 29, 2020",5h 15m,,,,,
51,68149,,PC,5h 20m,NR,,11861982,Completed,First,,5h 20m,,,,,
52,68149,ShiftyPowers57,PC,5h 26m,NR,,11868424,Completed,First,"May 30, 2020",5h 26m,,,,,
53,68149,,Xbox One,5h 30m,NR,,11844122,Completed,First,,5h 30m,,,,,
54,68149,AlenaChen,PC,5h 30m,60%,,11845101,Completed,First,"June 15, 2020",5h 30m,,,,,
55,68149,Harest,PC,5h 30m,70%,"Solo completion of all difficulties. All secrets found, item types, optional lvls, achievements (minus multiplayer one).",11840990,Completed,First,"May 26, 2020",5h 30m,,21h,,,
56,68149,Odma,PC,5h 30m,70%,,11840237,Completed,First,"June 05, 2020",5h 30m,,,,,
57,68149,Shigaru,PC,5h 30m,NR,,11956336,Completed,First,"June 11, 2020",5h 30m,,,,,
58,68149,Private,PlayStation 4,5h 30m,60%,Online co-op,11887374,Completed,First,"June 02, 2020",5h 30m,,,,,
59,68149,chadilak,PC,5h 31m,70%,,11914559,Completed,First,"June 07, 2020",5h 31m,,,,5h 31m,
60,68149,Danielrp23,PC,5h 38m,NR,9,11886765,Completed,First,"June 01, 2020",5h 38m,,,,,
61,68149,Hexovian,PC,5h 40m,80%,,11840133,Completed,First,"June 05, 2020",5h 40m,10h,17h 56m,,,
62,68149,Ricutor,PC,5h 48m,40%,,11893923,Completed,First,"June 03, 2020",5h 48m 05s,,,,,
63,68149,Anthlon,PC,5h 50m,NR,Completed Default difficulty,11883241,Completed,First,"June 01, 2020",5h 50m,,,,,
64,68149,AgusttiM,Nintendo Switch,5h 56m,NR,,11848687,Playing Completed,First,"May 26, 2020",5h 56m,,,,,
65,68149,Firegon,PC,6h,NR,,11861058,Completed,First,"May 29, 2020",6h,,,,,
66,68149,Fuhyo,PC,6h,NR,,11843107,Completed,First,"May 26, 2020",6h,,,,,
67,68149,Thio,PC,6h,70%,,11850316,Completed,First,"May 27, 2020",6h,,,,,
68,68149,wildestdream93,Xbox One,6h,NR,,12037664,Completed,First,"June 04, 2020",6h,,,,,
69,68149,,PC,6h 30m,NR,,11850064,Completed,First,,6h 30m,,,,,
70,68149,Zhols,PC,6h 30m,NR,,11881944,Completed,First,"June 01, 2020",6h 30m,,,,,
71,68149,TheJayster,PlayStation 4,6h 34m,70%,,11880635,Completed,First,"June 01, 2020",6h 34m 11s,,,,,
72,68149,kourtnye,PC,6h 39m,NR,"Main Story, Starting Difficulty & Multiplayer",11841788,Playing Completed,First,"May 28, 2020",6h 39m 48s,,,11h 28m 48s /,,
73,68149,coleneff,PlayStation 4,6h 50m,70%,,11865010,Completed,First,"June 11, 2020",6h 50m,,,,,
74,68149,DMC_Dante,Xbox One,6h 52m,NR,,11871411,Completed,First,"May 30, 2020",6h 52m,,,,,
75,68149,LuckHM,PC,7h 03m,70%,,11846559,Completed,First,"May 28, 2020",7h 03m 54s,,,,,
76,68149,Lata,PC,5h,NR,,11992364,Completed,First,"June 14, 2020",,5h,,,,
77,68149,SnaaakeEater15,Xbox One,5h 12m,NR,,11887874,Completed,First,"June 02, 2020",,5h 12m 03s,,,,
78,68149,Private,PlayStation 4,5h 30m,70%,,11849846,Completed,First,"May 27, 2020",,5h 30m,,,,
79,68149,Krilledood,Xbox One,5h 42m,70%,,11900528,Completed,First,"June 12, 2020",,5h 42m,,,5h 42m,
80,68149,Nuranagi,PC,6h,NR,,11841289,Completed,First,"May 26, 2020",,6h,,,,
81,68149,jro3000,Xbox One,6h,NR,,11881044,Completed,First,"May 31, 2020",,6h,,,,
82,68149,yigitkoparan123,PC,6h,60%,,11869701,Completed,First,"May 30, 2020",,6h,,,,
83,68149,GermanDarknes,PC,6h 19m,NR,,11841285,Completed,First,"May 26, 2020",,6h 19m,,,,
84,68149,thoseposers,PC,6h 24m,60%,,11851577,Completed,First,"May 27, 2020",,6h 24m,,,,
85,68149,IncineDom,PC,6h 25m,NR,,11855552,Completed,First,"May 26, 2020",,6h 25m,,,,
86,68149,Tamiil,PlayStation 4,6h 39m,NR,,11952217,Completed,First,"June 05, 2020",,6h 39m 30s,,,,
87,68149,,Xbox One,7h,NR,,11920690,Completed,First,,4h,7h,19h 03m,,,
88,68149,Maeviii,PC,7h,70%,,11936527,Completed,First,"June 08, 2020",,7h,,,,
89,68149,Private,PC,7h,40%,,11892996,Completed,First,"June 02, 2020",,7h,,,,
90,68149,MootToot,PC,7h 43m,70%,,11909196,Completed,First,"June 02, 2020",,7h 43m,,,,
91,68149,HighOverseer,Xbox One,7h 58m,90%,,11906880,Completed,First,"June 04, 2020",,7h 58m,,,,
92,68149,Private,PC,8h,NR,,11993941,Completed,First,"June 14, 2020",,8h,,,,
93,68149,BHenry,Xbox One,9h,NR,,11984599,Completed,First,"June 12, 2020",,9h,,,,
94,68149,edijr_,Xbox One,9h 54m,100%,,11870329,Completed,First,"May 30, 2020",,9h 54m 22s,,,,
95,68149,Hexovian,PC,10h,80%,,11840133,Completed,First,"June 05, 2020",5h 40m,10h,17h 56m,,,
96,68149,MadSexual,PC,10h,50%,,11967401,Completed,First,"June 11, 2020",,10h,,,,
97,68149,FusionCal101,Nintendo Switch,10h 15m,40%,"Collecting every item, beating every level on every difficulty and 100% in all categories, and doing everything I can do",11877044,Completed,First,"May 29, 2020",4h 09m 25s,10h 15m 44s,15h 04m 22s,,,
98,68149,,PC,10h 17m,NR,Didn't get every last thing. Just found some secrets and idled every so often.,11958212,Completed,First,,,10h 17m,,,,
99,68149,adrizg,PC,11h,70%,,11850263,Completed,First,"May 28, 2020",,11h,20h,,,
100,68149,,PC,15h,NR,,11851748,Completed,First,,,,15h,,,
101,68149,Frixuu,PC,15h 04m,70%,"100% achievements, 9 base + 5 hidden locations beaten on highest difficulty. Mix of solo and co-op",11871352,Completed,First,"May 30, 2020",5h,,15h 04m,,,
102,68149,FusionCal101,Nintendo Switch,15h 04m,40%,"Collecting every item, beating every level on every difficulty and 100% in all categories, and doing everything I can do",11877044,Completed,First,"May 29, 2020",4h 09m 25s,10h 15m 44s,15h 04m 22s,,,
103,68149,Hexovian,PC,17h 56m,80%,,11840133,Completed,First,"June 05, 2020",5h 40m,10h,17h 56m,,,
104,68149,,Xbox One,19h 03m,NR,,11920690,Completed,First,,4h,7h,19h 03m,,,
105,68149,IM_A_BIG_DB,Xbox One,20h,80%,,11928312,Completed Retired,First,"June 07, 2020",,,20h,,,
106,68149,adrizg,PC,20h,70%,,11850263,Completed,First,"May 28, 2020",,11h,20h,,,
107,68149,Harest,PC,21h,70%,"Solo completion of all difficulties. All secrets found, item types, optional lvls, achievements (minus multiplayer one).",11840990,Completed,First,"May 26, 2020",5h 30m,,21h,,,
108,68149,Fanha,Xbox One,21h 11m,80%,,11886334,Completed,First,"June 01, 2020",,,21h 11m,,,1000 GS
109,68149,YnwASG8,Xbox One,23h 56m,70%,1000G,11881888,Completed,First,"June 02, 2020",,,23h 56m,,,
110,68149,,PC,24h 10m,NR,I did 100% of the achivements,11891499,Completed,First,,,,24h 10m,,,
111,68149,Lungkisser,Xbox One,24h 44m,70%,All five secret missions and all achievements unlocked.,11901957,Completed,First,"June 03, 2020",,,24h 44m,,,
112,68149,Gracky,Xbox One,4h,NR,,11875897,Completed,First,"May 31, 2020",,,,,4h 32m,
113,68149,chadilak,PC,5h,70%,,11914559,Completed,First,"June 07, 2020",5h 31m,,,,5h 31m,
114,68149,Krilledood,Xbox One,5h,70%,,11900528,Completed,First,"June 12, 2020",,5h 42m,,,5h 42m,
115,68149,coreninsin95,Xbox One,6h,NR,,11940142,Completed,First,"June 08, 2020",,,,,6h,
116,68149,PantsWithoutPockets,PC,7h,60%,,11652375,Completed,First,"June 02, 2020",,,,,6h 48m,
117,68149,Nicholas4Tech,PC,7h,NR,,11940719,Completed,First,"May 28, 2020",,,,,7h 13m,
