,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Main Story,Completion,Completionist,Progress,Main+Extras,Personal Notes,Speedrun
52,36755,Parzival_CG,PC,6h 08m,90%,Normal Difficulty,11194043,Completed,First,6h 08m,"March 19, 2020",,,,,
53,36755,darlantan8,PC,6h 10m,80%,,6214747,Completed,First,6h 10m,"May 07, 2018",,,,,
54,36755,kuddlesac,PC,6h 12m,100%,,10666980,Completed,First,6h 12m 07s,"December 30, 2019",7h 42m 53s,,,,
55,36755,Hiorth,PC,6h 13m,NR,,6762879,Completed,First,6h 13m 36s,"August 04, 2018",,,,,
56,36755,,Xbox One,6h 15m,NR,,11030379,Completed,First,6h 15m,,,,,,
57,36755,TheSeahorse,Nintendo Switch,6h 15m,80%,,10773751,Completed,First,6h 15m,"January 07, 2020",,,,,
58,36755,dwoodsy,PC,6h 15m,NR,"Really good game, cant wait to play the sequel now.",11246778,Completed,First,6h 15m,"March 25, 2020",,,,,
59,36755,Mctasteme,PC,6h 16m,NR,I collected very little extra stuff,8893061,Completed,First,6h 16m 05s,"June 04, 2019",,,,,
60,36755,DarkSynopsis,PC,6h 20m,70%,,11115916,Completed,First,6h 20m 05s,"March 08, 2020",,,,,
61,36755,Private,Xbox One,6h 21m,NR,,8158442,Completed,First,6h 21m 51s,"February 03, 2019",,,,,
62,36755,Xxracso40xX,PC,6h 23m,90%,,9524113,Completed,First,6h 23m 19s,"September 04, 2019",,,,,
63,36755,TeenJackBauer,Xbox One,6h 24m,NR,"Normal difficulty, 89%, 755G",7909619,Completed,First,6h 24m,"January 06, 2019",,,,,
64,36755,EmilFW,PC,6h 26m,NR,,8546687,Completed,First,6h 26m 34s,"March 30, 2019",7h 25m 53s,,,,
65,36755,,PC,6h 27m,NR,,9014942,Completed,First,6h 27m,,,,,,
66,36755,nsalinardi,PC,6h 27m,NR,,11513903,Completed,First,6h 27m 26s,"April 23, 2020",,,,,
67,36755,,PC,6h 28m,NR,,11798090,Completed,First,6h 28m,,,,,,
68,36755,setsunarip,PC,6h 28m,80%,,8988293,Completed,First,6h 28m 16s,"June 17, 2019",,,,,
69,36755,,PC,6h 29m,NR,86%,9460618,Completed,First,6h 29m,,,,,,
70,36755,,Xbox One,6h 30m,NR,,11294710,Completed,First,6h 30m,,,,,,
71,36755,Escher_,PC,6h 30m,NR,"81% completion, ""hard"" mode",10984143,Completed,First,6h 30m,,,,,,
72,36755,JohnWordsworth,PC,6h 30m,NR,,11422658,Completed,First,6h 30m,"April 12, 2020",,,7h 30m,,
73,36755,WCReiniger84,PC,6h 30m,80%,,10666785,Completed,First,6h 30m,"December 27, 2019",,,,,
74,36755,kmonahan45,Xbox One,6h 30m,100%,,11249869,Completed,First,6h 30m,"March 27, 2020",9h 34m,,,,
75,36755,minyase,Nintendo Switch,6h 30m,70%,,10938439,Completed,First,6h 30m,"February 04, 2020",,,,,
76,36755,Jodin,PC,6h 32m,100%,,6524221,Completed,First,6h 32m,"July 04, 2018",,,8h 09m,,
77,36755,Orrelion,PC,6h 32m,NR,,3981300,Completed,First,6h 32m 09s,"January 28, 2017",,,,,
78,36755,Terentiy,PC,6h 33m,50%,,7006004,Completed,First,6h 33m,"September 08, 2018",,,,,
79,36755,CyborgBanana,PC,6h 33m,100%,,4606689,Completed,First,6h 33m 05s,"June 22, 2017",,,,,
80,36755,Korgi,PC,6h 34m,NR,,7003375,Completed,First,6h 34m,,,,,,
81,36755,Handelaar,Xbox One,6h 35m,NR,,6346139,Completed,First,6h 35m 14s,"June 19, 2018",,,,,
82,36755,ultimatek,PC,6h 36m,70%,,5970235,Completed,First,6h 36m,,,,,,
83,36755,TheFiveMagics,Nintendo Switch,6h 37m,NR,,11457975,Replay Completed,Replay,6h 37m 03s,"April 16, 2020",,,,,
84,36755,Ninfito,PC,6h 38m,NR,,11166318,Completed,First,6h 38m 58s,"March 16, 2020",,,,,
85,36755,SirMorokei,PC,6h 40m,NR,,11139278,Completed,First,6h 40m,"March 11, 2020",,,,,
86,36755,joshwaloveslotr,Xbox One,6h 40m,NR,Beautiful game. Ran through it really quickly.,10179532,Completed,First,6h 40m,"October 02, 2019",,,,,
87,36755,Rakay,PC,6h 42m,NR,,5920896,Completed,First,6h 42m,"February 28, 2018",,,,,
88,36755,valero,PC,6h 44m,90%,100%,11192833,Completed,First,6h 44m,"March 19, 2020",9h 07m,,,,
89,36755,SuperDuper,PC,6h 44m,90%,,4540627,Completed,First,6h 44m 12s,"June 06, 2017",,,,,
90,36755,Private,Xbox One,6h 46m,NR,Finished with 79%,4353092,Completed,First,6h 46m,"April 22, 2017",9h 07m,,,,
91,36755,Freak0104,Nintendo Switch,6h 47m,NR,,10654128,Completed,First,6h 47m,"January 05, 2020",9h 01m,,,,
92,36755,widercampos,PC,6h 48m,NR,,8185698,Completed,First,6h 48m,"February 02, 2019",,,,,
93,36755,,PC,6h 49m,NR,,11325609,Completed,First,6h 49m,,,,,,
94,36755,sagesfootball20,Xbox One,6h 49m,NR,,8269918,Completed,First,6h 49m 20s,"April 30, 2019",,,,Gamepass,
95,36755,Nachino,PC,6h 50m,90%,,7625929,Completed,First,6h 50m,"December 04, 2018",,,7h 40m,,
96,36755,Phare,PC,6h 50m,80%,,11073361,Completed,First,6h 50m,"May 13, 2020",,,,,
97,36755,Youjair,PC,6h 50m,NR,,9071414,Completed,First,6h 50m,"July 02, 2019",,,,,
98,36755,Zaiquiri,PC,6h 51m,100%,,11751963,Completed,First,6h 51m,"May 16, 2020",,,,,
99,36755,donly,Xbox One,6h 53m,30%,,11087699,Completed,First,6h 53m 21s,"March 03, 2020",,,,,
100,36755,spawn_92,PC,6h 54m,NR,,11768057,Completed,First,6h 54m,"May 17, 2020",,,,,
101,36755,R4Zi3L,Xbox One,6h 55m,NR,,11377658,Completed,First,6h 55m,"April 07, 2020",,,,,
102,36755,Minhs2,PC,6h 55m,70%,,6300257,Completed,First,6h 55m 52s,"May 26, 2018",,,,,
103,36755,Anguy,PC,6h 56m,90%,,9310002,Completed,First,6h 56m,"August 05, 2019",,,,,
104,36755,danielhulle,PC,6h 57m,NR,,11082713,Completed,First,6h 57m 41s,"March 02, 2020",8h 35m 47s,,,,
105,36755,Aliseyun,Nintendo Switch,6h 58m,NR,,11079325,Completed,First,6h 58m 40s,"March 01, 2020",,,,,
106,36755,,PC,7h,NR,,5767604,Completed,Replay,7h,,11h,,8h,,
107,36755,,PC,7h,NR,,5926567,Completed,First,7h,,,,,,
108,36755,,PC,7h,NR,,9232427,Completed,First,7h,,,,,,
109,36755,,PC,7h,NR,,11612274,Completed,First,7h,,11h 30m,,9h 30m,,
110,36755,Private,PC,7h,100%,,8387577,Completed,First,7h,,,,,,
111,36755,BruunGaming,PC,7h,NR,,11918509,Completed,First,7h,"June 06, 2020",,,,,
112,36755,Greyma,PC,7h,70%,,11609470,Completed,First,7h,"February 11, 2020",,,,,
113,36755,I_am_nobody,PC,7h,NR,,6915612,Completed,First,7h,"August 25, 2018",,,,,
114,36755,Private,PC,7h,80%,,5038831,Completed,First,7h,"December 13, 2016",,,,,
115,36755,JacobMckinley,Xbox One,7h,80%,,3233936,Completed,First,7h,"July 16, 2016",,,,,
116,36755,Private,PC,7h,80%,"Ikke noe ekstra, bare main story. skippet altfor mye, men var bare collectibales",3972797,Completed,First,7h,"January 26, 2017",,,,"This game is beautiful, everything that can be beautiful is beautiful. The graphics, graphics style, colors, effects, music, animations, story, enviroment, models.
The story starts of strong and is immediatly very emotional and it continues strong all the way through. Loved the way it was told.
Even though its a beautiful and emotional game it can be very hard at times.Havent been this frustrated and angry in a long time,and I had a couple of rage quits.But very nice mechanics and cool abilities",
117,36755,Private,PC,7h,NR,,11854807,Completed,First,7h,"May 28, 2020",,,,,
118,36755,Marloges,PC,7h,90%,"The content of the definitive edition is extra stuff, that I did after the story. Took me about 40 minutes.",6489869,Completed,First,7h,"June 28, 2018",,,7h 40m,"Played the game on hard and had quite a few deaths while playing through the game. Did the additional content from the Definitive Edition, but didn't go for 100%",
119,36755,Shedir,PC,7h,NR,,5997754,Completed,First,7h,"March 17, 2018",,,8h,,
120,36755,SimonArgee,Nintendo Switch,7h,NR,,10967462,Completed,First,7h,"February 09, 2020",,,,,
121,36755,Thorassor,PC,7h,NR,,9255397,Completed,First,7h,"July 29, 2019",,,,,
122,36755,Tsubaki,PC,7h,70%,,11007954,Completed,First,7h,"February 18, 2020",11h,,9h,,
123,36755,Private,PC,7h,NR,,11015478,Completed,First,7h,"February 18, 2020",,,,,
124,36755,Woziu542,PC,7h,NR,,5298866,Playing Completed,Replay,7h,June 2017,11h,,10h,,3h
125,36755,Zed,PC,7h,50%,,8630425,Completed,First,7h,"April 16, 2019",,,,,
126,36755,berticus,PC,7h,NR,,6907367,Completed,First,7h,"August 23, 2018",,,,,
127,36755,bl4ckout,PC,7h,NR,,4687765,Completed,First,7h,"July 03, 2017",,,,,
128,36755,hotb33,PC,7h,NR,,10836279,Completed,First,7h,"January 18, 2020",,,,,
129,36755,huckleberryfairy,Nintendo Switch,7h,NR,,11117914,Completed,First,7h,,10h,,8h,,
130,36755,lolno3423,PC,7h,NR,100 % map completion on normal mode.,10687577,Completed,First,7h,"December 29, 2019",,,9h 13m,,
131,36755,Private,PC,7h,NR,,11135290,Completed,First,7h,"March 11, 2020",,,8h,,
132,36755,moeshiznit,PC,7h,NR,,11822579,Completed,First,7h,"March 10, 2020",,,,,
133,36755,trape,Nintendo Switch,7h,70%,,11535701,Completed,First,7h,"April 18, 2020",,,,,
134,36755,yigitkoparan123,PC,7h,100%,,4917378,Completed,First,7h,"August 16, 2017",,,,,
135,36755,,PC,7h,NR,,9080499,Completed,First,7h 20s,,,,,,
136,36755,,PC,7h 01m,NR,,5002384,Completed,First,7h 01m,,,,,,
137,36755,,PC,7h 01m,NR,,5780087,Completed,First,7h 01m 59s,,,,,,
138,36755,Dark_Yamatoman,PC,7h 02m,NR,,4667366,Completed,First,7h 02m,"January 22, 2017",,,,,
139,36755,Oddsor,PC,7h 02m,80%,,3993580,Completed,First,7h 02m,"January 31, 2017",,,,,
140,36755,skualninja,PC,7h 02m,50%,82% completado,4753181,Completed,First,7h 02m,"July 15, 2017",,,,,
141,36755,tausiftt5238,PC,7h 03m,90%,,10483379,Completed,First,7h 03m,"November 25, 2019",,,,,
142,36755,zpattack12,PC,7h 03m,NR,,6159395,Completed,First,7h 03m,,,,,,
143,36755,Pringles_Dude,PC,7h 04m,90%,,11048825,Completed,First,7h 04m,"February 24, 2020",,,,,
144,36755,,Nintendo Switch,7h 05m,NR,,11069853,Completed,First,7h 05m,,,,,,
145,36755,Private,PC,7h 05m,NR,,9316952,Completed,First,7h 05m,"August 06, 2019",,,,,
146,36755,j7reyes27,Xbox One,7h 05m,NR,,11522146,Completed,First,7h 05m,"April 21, 2020",,,,,
147,36755,beearmy,Xbox One,7h 06m,70%,,5119516,Completed,First,7h 06m,"July 14, 2017",,,,,
148,36755,,PC,7h 08m,NR,,6228032,Completed,First,7h 08m,,,,,,
149,36755,,Nintendo Switch,7h 09m,NR,,10182303,Completed,First,7h 09m 25s,,,,,,
150,36755,Private,Xbox One,7h 09m,NR,74% complete,9094582,Completed,First,7h 09m 30s,"March 16, 2020",,,,,
151,36755,Jobius,PC,7h 09m,100%,,11334123,Completed,First,7h 09m 48s,"May 08, 2020",,,,,
152,36755,,Nintendo Switch,7h 10m,NR,,10487258,Completed,First,7h 10m,,,,,,
153,36755,Darthaegis,PC,7h 10m,60%,,5088304,Completed,First,7h 10m,"September 23, 2017",,,,,
154,36755,DiogoCe,Xbox One,7h 10m,90%,,11178665,Completed,Replay,7h 10m,"March 18, 2020",11h 02m,,8h 16m,,
155,36755,Ryu_Rare,PC,7h 10m,70%,,11923442,Completed,First,7h 10m,"June 07, 2020",,,,,
156,36755,DecBek,Xbox One,7h 12m,NR,,10386952,Completed,First,7h 12m,"November 09, 2019",9h 50m,,,,
157,36755,Otchoshogun,PC,7h 12m,NR,,11528862,Completed,First,7h 12m,"March 15, 2020",,,,,
158,36755,ripewithdecay,Xbox One,7h 12m,80%,,8727440,Completed,First,7h 12m 03s,"May 22, 2019",,,,,
159,36755,,PC,7h 13m,NR,,6372976,Completed,First,7h 13m,,,,,,
160,36755,,Xbox One,7h 13m,NR,,8548399,Completed,First,7h 13m,,,,,,
161,36755,Hennessy,Nintendo Switch,7h 13m,NR,,10830927,Completed,First,7h 13m 54s,"February 28, 2020",,,,,
162,36755,blackMamba1187,PC,7h 15m,90%,87%,3135322,Completed,First,7h 15m,"June 26, 2016",,,,,
163,36755,sunlight25,PC,7h 15m,NR,,4223224,Completed,Replay,7h 15m,"March 23, 2017",,,,,
164,36755,,PC,7h 15m,NR,77% Normal,9020187,Completed,First,7h 15m 57s,,,,,,
165,36755,HellKove,PC,7h 17m,NR,,8807407,Completed,First,7h 17m,"May 18, 2019",,,,,
166,36755,VerbatimT,PC,7h 18m,NR,,5184533,Completed,First,7h 18m,"April 30, 2017",10h 52m,,,,
167,36755,ZKLRS_Robin,PC,7h 18m,NR,,4727687,Completed,First,7h 18m 39s,"July 09, 2017",,,,,
168,36755,dizzykei,PC,7h 19m,10%,,11179571,Completed,First,7h 19m 18s,"March 18, 2020",,,,,
169,36755,DermoPower,PC,7h 19m,NR,100% Game Completion,10798476,Completed,First,7h 19m 23s,"January 11, 2020",8h 39m,,,,
170,36755,,PC,7h 20m,NR,,5475624,Completed,First,7h 20m,,,,,,
171,36755,Private,PC,7h 20m,100%,,5559023,Completed,First,7h 20m,"January 01, 2018",,,,,
172,36755,ViPeZz,PC,7h 20m,100%,,8927982,Custom List Completed,First,7h 20m,"June 12, 2019",,7h 20m /,,Played on Gamepass PC,
173,36755,dimensions2003,PC,7h 21m,90%,,10961315,Completed,First,7h 21m 57s,"February 08, 2020",,,,,
174,36755,DeathPotato,Xbox One,7h 22m,NR,,11158529,Completed,First,7h 22m 22s,"March 10, 2020",,,,,
175,36755,Private,Xbox One,7h 22m,100%,,11678710,Completed,First,7h 22m 39s,"December 23, 2019",,,8h 36m 55s,,
176,36755,Tooggle01,PC,7h 23m,NR,,11146838,Completed,First,7h 23m,"March 13, 2020",,,,,
177,36755,Baylife,PC,7h 24m,80%,,10612560,Completed,First,7h 24m,"January 23, 2020",,,,,
178,36755,Private,Nintendo Switch,7h 24m,90%,,11042895,Completed,First,7h 24m,"February 23, 2020",,,8h 33m,,
179,36755,Flourite,PC,7h 24m,100%,,3969422,Completed,First,7h 24m 32s,"April 03, 2017",,,,,
180,36755,ellda,PC,7h 25m,NR,,11149349,Completed,First,7h 25m,"March 11, 2020",9h 05m,,,,
181,36755,Vq14,PC,7h 26m,90%,80% of total game.,11310522,Completed,First,7h 26m 20s,"March 31, 2020",,,,,
182,36755,trogdor3222,PC,7h 27m,NR,,11178426,Completed,First,7h 27m 13s,"March 28, 2020",,,,,
183,36755,,PC,7h 30m,NR,,3802089,Completed,First,7h 30m,,,,,,
184,36755,5pectre,Xbox One,7h 30m,NR,,11661161,Completed,First,7h 30m,"March 29, 2020",,,,,
185,36755,Dylshanwang,PC,7h 30m,80%,,10552413,Completed,First,7h 30m,"December 07, 2019",,,,,
186,36755,JACK0WACK0,PC,7h 30m,NR,,10908441,Completed,First,7h 30m,"January 29, 2020",,,,,
187,36755,LaSpook,PC,7h 30m,NR,,11729771,Completed,First,7h 30m,"May 13, 2020",,,,,
188,36755,Lotark,PC,7h 30m,NR,,7504832,Completed,First,7h 30m,"December 24, 2018",,,8h,,
189,36755,Private,PC,7h 30m,NR,,11299037,Completed,First,7h 30m,"April 24, 2020",,,,,
190,36755,fonnie,PC,7h 30m,90%,,3885063,Completed,First,7h 30m,"January 07, 2017",9h 45m,,,,
191,36755,fuzilly,PC,7h 30m,90%,,9130201,Completed,First,7h 30m,"July 10, 2019",9h,,8h,,
192,36755,gamblor88,Xbox One,7h 30m,80%,,11668004,Completed,First,7h 30m,"May 07, 2020",,,,,
193,36755,Private,PC,7h 30m,NR,,10189569,Completed,First,7h 30m,"October 05, 2019",,,,,
194,36755,smoggygem,Xbox One,7h 30m,100%,,11351477,Completed,First,7h 30m,,,,,,
195,36755,,PC,7h 31m,NR,,3805438,Completed,First,7h 31m 52s,,8h 24m 41s,,,,
196,36755,Darki,PC,7h 32m,NR,,11514230,Completed,First,7h 32m 12s,"April 21, 2020",,,,,
197,36755,Hardgear,PC,7h 33m,NR,,11639530,Completed,First,7h 33m 02s,"May 07, 2020",,,,,
198,36755,Straw,PC,7h 33m,NR,Hard - 78%,11465962,Completed,First,7h 33m 29s,"April 16, 2020",,,,,
199,36755,,Nintendo Switch,7h 33m,NR,,11188270,Completed,First,7h 33m 48s,,,,,,
200,36755,SteveSnowmn,Nintendo Switch,7h 33m,NR,,11188469,Completed,First,7h 33m 48s,"March 19, 2020",,,,,
201,36755,,Xbox One,7h 34m,NR,,6487069,Completed,First,7h 34m,,,,,,
202,36755,purpleurchin,PC,7h 34m,NR,,11126345,Completed,Replay,7h 34m,"March 09, 2020",,,,,
203,36755,KaurTube,PC,7h 34m,80%,,3009693,Completed,First,7h 34m 49s,"May 25, 2016",8h 14m 47s,,,,
204,36755,Infinityz,PC,7h 35m,NR,,11595708,Completed,First,7h 35m,"June 09, 2018",,,,,
205,36755,Patoku,Xbox One,7h 35m,NR,,11219053,Completed,First,7h 35m,"March 07, 2020",,,,,
206,36755,sugamadex,PC,7h 35m,NR,,11360886,Completed,First,7h 35m 10s,"April 05, 2020",,,,,
207,36755,,PC,7h 35m,NR,,8658638,Completed,First,7h 35m 23s,,,,,,
208,36755,,PC,7h 36m,NR,,8993273,Completed,First,7h 36m,,,,,,
209,36755,jj_gury,Xbox One,7h 37m,NR,,11334687,Completed,First,7h 37m,"April 23, 2020",,,,,
210,36755,DakotaB11,PC,7h 37m,80%,,11286624,Backlog Completed,First,7h 37m 38s,"April 04, 2020",,,,,
211,36755,blackMamba1187,PC,7h 41m,90%,,10978812,Replay Completed,Replay,7h 41m,"February 16, 2020",,,,"3440x1440 120Hz gsync 7700k 1080ti
Xbox App version",
212,36755,,Nintendo Switch,7h 42m,NR,,10627725,Completed,First,7h 42m 02s,,,,,,
213,36755,clownseuche,Xbox One,7h 43m,80%,,10922798,Completed,First,7h 43m,"February 01, 2020",,,,,
214,36755,Razorgr,Nintendo Switch,7h 44m,100%,,10231263,Completed,First,7h 44m,"December 19, 2019",,,,,
215,36755,Themilnoy,Xbox One,7h 44m,NR,,11144908,Completed,First,7h 44m 45s,"March 13, 2020",,,,,
216,36755,reaper140592,PC,7h 45m,80%,75% completion,6814161,Completed,First,7h 45m,"August 12, 2018",,,,,
217,36755,Moddr1n,PC,7h 45m,90%,,8318163,Completed,First,7h 45m 18s,"October 14, 2018",,,,,
218,36755,Echdout,PC,7h 45m,80%,,5666207,Completed,First,7h 45m 44s,"January 16, 2018",,,,,
219,36755,,PC,7h 46m,NR,,9542783,Completed,First,7h 46m,,,,,,
220,36755,Xeldar,PC,7h 47m,NR,,11261697,Completed,First,7h 47m,"March 27, 2020",,,,,
221,36755,jongaros,PC,7h 48m,70%,,10916838,Completed,First,7h 48m,"December 01, 2019",,,,,
222,36755,Private,PC,7h 49m,NR,,11819227,Completed,First,7h 49m,"May 23, 2020",,,,,
223,36755,videtonator,Nintendo Switch,7h 49m,NR,,10358561,Completed,First,7h 49m,"April 06, 2020",,,,,
224,36755,kassiusvp,PC,7h 50m,NR,,11048046,Completed,First,7h 50m,"February 24, 2020",,,,,
225,36755,seurde,PC,7h 50m,80%,,4933833,Completed,First,7h 50m,"January 13, 2017",,,,,
226,36755,,PC,7h 51m,NR,,11165609,Completed,First,7h 51m 43s,,,,,,
227,36755,,PC,7h 52m,NR,,6787916,Completed,First,7h 52m,,,,,,
228,36755,mickaelxd,PC,7h 52m,100%,,11917426,Completed,First,7h 52m 27s,"June 08, 2020",,,,,
229,36755,m00shpit,Xbox One,7h 53m,100%,Schwierigkeitsgrad: Schwierig,10825432,Replay Custom List 3 Completed,Replay,7h 53m 21s,"March 09, 2020",,7h 53m 21s /,,,
230,36755,,PC,7h 54m,NR,Collected 86% of total things.,11595462,Completed,First,7h 54m 06s,,,,,,
231,36755,Private,PC,7h 56m,NR,,10523136,Completed,First,7h 56m,"January 01, 2020",,,,,
232,36755,,PC,8h,NR,,2974054,Completed,First,8h,,11h,,10h 30m,,
233,36755,,PC,8h,NR,,4420127,Completed,First,8h,,10h,,,,
234,36755,,PC,8h,NR,,6314562,Completed,First,8h,,,,,,
235,36755,,PC,8h,NR,,6479308,Completed,First,8h,,,,9h,,
236,36755,500kevc,PC,8h,80%,,7520461,Completed,First,8h,"February 12, 2016",,,,,
237,36755,Aituor93,PC,8h,NR,,9527906,Completed,First,8h,"September 04, 2019",,,,,
238,36755,Aventirium,PC,8h,80%,,11107849,Completed,First,8h,"March 06, 2020",,,,,
239,36755,Cutui,PC,8h,NR,,4810854,Completed,First,8h,,16h,,,,
240,36755,DeGlor,PC,8h,NR,,11704778,Completed,First,8h,"May 11, 2020",,,,,
241,36755,Dreeda,PC,8h,NR,,3243484,Completed,First,8h,"May 10, 2016",12h,,11h,,
242,36755,ElNino202,PC,8h,NR,,11267301,Completed,First,8h,"March 27, 2020",,,,,
243,36755,FryingPan,PC,8h,80%,,9369652,Completed,First,8h,"July 19, 2019",,,,,
244,36755,Fusragon,PC,8h,90%,,9016009,Completed,First,8h,"November 18, 2017",,,,,
245,36755,G_Man,PC,8h,90%,,6632253,Completed,First,8h,"January 21, 2018",10h,,,,
246,36755,Guena42,PC,8h,NR,,9132152,Completed,First,8h,"July 11, 2019",,,,,
247,36755,HosainH,PC,8h,NR,,3685487,Completed,First,8h,"November 27, 2016",,,,,
248,36755,Private,Xbox One,8h,NR,,3113228,Completed,First,8h,"June 18, 2016",,,10h 04m,,
249,36755,Private,PC,8h,70%,,11395904,Completed,First,8h,,,,,,
