,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Completionist,Speedrun,Personal Notes,Progress,Co-Op,Vs.,Retired Notes,100% Speedrun
25,42833,metroidisbest,Nintendo Switch,6h,90%,,5727866,Completed,First,"February 28, 2018",6h,,,,,,,,,
26,42833,nentindo01,Nintendo Switch,6h,100%,,5389546,Completed,First,"October 28, 2017",6h,,75h,,,,,,,
27,42833,BestWaifuGamer,Nintendo Switch,6h,90%,Main Story Complete,10988019,Completed,Replay,"May 20, 2020",6h 52s,,,,,,,,,
28,42833,,Nintendo Switch,6h 06m,NR,,8275709,Completed,First,,6h 06m 48s,20h 52m 53s,40h,,,,,,,
29,42833,,Nintendo Switch,6h 10m,NR,Quick,6530674,Completed,Replay,,6h 10m 16s,9h 15m 10s,,2h 12m 16s,,,,,,
30,42833,sepharas,Nintendo Switch,6h 25m,NR,,5286506,Completed,First,"November 08, 2017",6h 25m 17s,,,,,,,,,
31,42833,,Nintendo Switch,6h 30m,NR,,5343451,Completed,First,,6h 30m,,,,,,,,,
32,42833,Avenger001,Nintendo Switch,6h 30m,NR,,6467705,Completed,First,"June 24, 2018",6h 30m,,,,,,,,,
33,42833,MelancholyHeart,Nintendo Switch,6h 30m,NR,,5224592,Completed,First,"October 27, 2017",6h 30m,,,,,,,,,
34,42833,plaurin,Nintendo Switch,6h 30m,100%,,9386169,Completed,First,"December 19, 2019",6h 30m,,,,,,,,,
35,42833,,Nintendo Switch,6h 36m,NR,,5348852,Completed,First,,6h 36m 58s,,,,,,,,,
36,42833,,Nintendo Switch,6h 38m,NR,Including cutscenes and time taken to document glitches found,9010750,Completed,Replay,,6h 38m,,,,,,,,,
37,42833,modaren,Nintendo Switch,6h 53m,NR,,5380342,Completed,First,"December 04, 2017",6h 53m 15s,,,,,,,,,
38,42833,,Nintendo Switch,7h,NR,,8629023,Completed,First,,7h,60h,100h,,,,,,,
39,42833,,Nintendo Switch,7h,NR,,11655908,Completed,First,,7h,,,,,,,,,
40,42833,Akitrotro,Nintendo Switch,7h,NR,,5298897,Completed,First,"November 09, 2017",7h,,,,,,,,,
41,42833,ArticunoBreeze,Nintendo Switch,7h,90%,,10151302,Completed,First,,7h,20h,,,,,,,,
42,42833,ColonelSanders,Nintendo Switch,7h,NR,,8434145,Completed,First,"September 08, 2018",7h,,,,,,,,,
43,42833,Kynois77,Nintendo Switch,7h,NR,,11879357,Completed,First,"May 31, 2020",7h,,,,,,,,,
44,42833,ParrotPuffer,Nintendo Switch,7h,80%,,7342093,Completed,First,"October 27, 2018",7h,,,,,,,,,
45,42833,fakesport,Nintendo Switch,7h,NR,,11440055,Playing Completed,First,"April 14, 2020",7h,,,,,,,,,
46,42833,zman2748,Nintendo Switch,7h,100%,,6243831,Completed,First,"May 14, 2018",7h,20h,50h,,,,,,,
47,42833,Darasta,Nintendo Switch,7h 05m,NR,,6261432,Completed,First,"May 21, 2018",7h 05m 48s,,,,,,,,,
48,42833,ROBALEXXX_CP,Nintendo Switch,7h 10m,100%,,5411998,Completed,First,"December 03, 2017",7h 10m,,,,,,,,,
49,42833,andrewl3779,Nintendo Switch,7h 12m,70%,Normal ending.,6731205,Completed,First,"August 01, 2018",7h 12m,,,,,,,,,
50,42833,,Nintendo Switch,7h 15m,NR,,11468587,Completed,First,,7h 15m,,,,,,,,,
51,42833,yeppppitsme,Nintendo Switch,7h 20m,NR,,5361406,Completed,First,"November 14, 2017",7h 20m,,,,,,,,,
52,42833,Klashik,Nintendo Switch,7h 21m,80%,,10829299,Custom List Completed,First,"January 19, 2020",7h 21m 02s,,,,,8h 47m 01s /,,,,
53,42833,,Emulated,7h 25m,NR,,10222553,Completed,Replay,,7h 25m,,,,,,,,,
54,42833,Metakirby22,Nintendo Switch,7h 25m,NR,,5223173,Completed,First,"October 27, 2017",7h 25m,,42h 15m,,,,,,,
55,42833,,Nintendo Switch,7h 25m,NR,,9384705,Completed,First,,7h 25m 03s,22h 45m 23s,54h 22m 14s,,,,,,,
56,42833,Thalaban,Nintendo Switch,7h 27m,100%,"Couple of extra collectibles, only like 20 or so.",6738556,Completed,First,"August 02, 2018",7h 27m 53s,,,,,,,,,
57,42833,fjcym,Nintendo Switch,7h 29m,NR,,10365044,Completed,First,"April 01, 2020",7h 29m,,,,,,,,,
58,42833,,Nintendo Switch,7h 30m,NR,Up to defeating Bowser,8038291,Completed,First,,7h 30m,,,,,,,,,
59,42833,,Nintendo Switch,7h 30m,NR,,8620542,Completed,First,,7h 30m,,,,,,,,,
60,42833,,Nintendo Switch,7h 30m,NR,,11766382,Completed,First,,7h 30m,,,,,,,,,
61,42833,Sabin5995,Nintendo Switch,7h 30m,NR,,5331800,Completed,First,"January 05, 2018",7h 30m,,,,,,,,,
62,42833,SolarRegional,Nintendo Switch,7h 30m,NR,,8620594,Completed,First,"April 14, 2019",7h 30m,,,,,,,,,
63,42833,poumpi,Nintendo Switch,7h 30m,80%,,8264350,Completed,First,"December 23, 2017",7h 30m,,,,,,,,,
64,42833,Darksage5,Nintendo Switch,7h 38m,100%,173 Power Moons,5229144,Completed,First,"November 02, 2017",7h 38m 50s,,,,,,,,,
65,42833,,Nintendo Switch,7h 40m,NR,,8009242,Completed,First,,7h 40m,,,,,,,,,
66,42833,snappums,Nintendo Switch,7h 40m,NR,,9519363,Completed,First,"September 27, 2019",7h 40m,,,,,,,,,
67,42833,PixelReviews,Nintendo Switch,7h 45m,NR,,10562820,Completed,Replay,"December 08, 2019",7h 45m,,,,,,,,,
68,42833,,Nintendo Switch,7h 50m,NR,,5494484,Completed,First,,7h 50m,11h,,,,,,,,
69,42833,Axersia,Nintendo Switch,7h 50m,80%,"Welp, that was short",5243853,Completed,First,"October 31, 2017",7h 50m,,,,,,,,,
70,42833,pokepaw,Nintendo Switch,7h 50m,80%,,5190916,Completed,First,"June 10, 2018",7h 50m 37s,,,,,,,,,
71,42833,DarQ_Massacres,Nintendo Switch,7h 58m,100%,,6400177,Completed,First,"June 13, 2018",7h 58m 59s,,,,,,,,,
72,42833,,Nintendo Switch,8h,NR,,5224506,Completed,First,,8h,,,,,,,,,
73,42833,,Nintendo Switch,8h,NR,,7092830,Completed,First,,8h,30h,75h,,,,,,,
74,42833,,Nintendo Switch,8h,NR,,11054889,Completed,First,,8h,,,,,,,,,
75,42833,,Nintendo Switch,8h,NR,,11636515,Completed,First,,8h,,,,,,,,,
76,42833,Alpharad,Nintendo Switch,8h,90%,,11516710,Completed,First,,8h,20h,50h,,,,,,,
77,42833,Edyger,Nintendo Switch,8h,100%,,6557432,Completed,First,,8h,,60h,,I'm already played 3d mario games,,,,,
78,42833,Junpei_Tenmyouji,Nintendo Switch,8h,100%,,6769620,Completed,First,December 2017,8h,,50h,,,,,,,
79,42833,KohakuZeta,Nintendo Switch,8h,90%,,5485900,Completed,First,"November 26, 2017",8h,,,,,,,,,
80,42833,MiscellaneousSon,Nintendo Switch,8h,NR,,5499891,Completed,First,"December 22, 2017",8h,,60h,,,,,,,
81,42833,Nakuzo,Nintendo Switch,8h,NR,"999 power moons, all purple coins, all outfits, 40 level balloon world",11850494,Completed,First,"May 27, 2020",8h,,75h,,,,,,,
82,42833,Nool11793,Nintendo Switch,8h,100%,,9143922,Replay Completed,Replay,"July 13, 2019",8h,,,,,,,,,
83,42833,Razorgr,Nintendo Switch,8h,NR,,7850765,Completed,First,"December 27, 2018",8h,,,,,,,,,
84,42833,SuperiorLui,Nintendo Switch,8h,NR,,5804422,Completed,First,"February 09, 2018",8h,,,,,,,,,
85,42833,alex21BK,Nintendo Switch,8h,NR,,7182624,Completed,First,"October 04, 2018",8h,,,,,,,,,
86,42833,deuswaifu,Nintendo Switch,8h,NR,,5785407,Completed,First,"February 06, 2018",8h,,,,,,,,,
87,42833,dzhang101,Nintendo Switch,8h,NR,,7860867,Completed,First,"January 21, 2019",8h,,,,,,,,,
88,42833,fyedeath,Nintendo Switch,8h,NR,,11378853,Completed,First,"April 07, 2020",8h,,,,,,,,,
89,42833,Private,Nintendo Switch,8h,NR,,9012957,Playing Completed,First,"June 29, 2019",8h,,,,,,,,,
90,42833,ziggystardust65,Nintendo Switch,8h,100%,,5516650,Completed,First,"December 28, 2017",8h,,,,,,,,,
91,42833,,Nintendo Switch,8h 15m,NR,,5280354,Completed,First,,8h 15m 29s,,,,,,,,,
92,42833,tsmith18256,Nintendo Switch,8h 21m,100%,,5376419,Completed,First,"November 24, 2017",8h 21m,,,,,,,,,
93,42833,Salsao,Nintendo Switch,8h 26m,100%,"602 moons, darker side done",11212782,Completed,First,"March 21, 2020",8h 26m,28h 52m,,,,,,,,
94,42833,,Nintendo Switch,8h 30m,NR,,5292965,Completed,First,,8h 30m,11h,,,,,,,,
95,42833,Cass_se,Nintendo Switch,8h 30m,NR,,5225999,Completed,First,"October 28, 2017",8h 30m,,45h,,,,,,,
96,42833,Codc,Nintendo Switch,8h 30m,NR,175 moons collected.,11047901,Completed,First,"March 15, 2020",8h 30m,,,,,,,,,
97,42833,GermanDarknes,Nintendo Switch,8h 30m,NR,,11545218,Completed,First,"October 28, 2017",8h 30m,,,,,,,,,
98,42833,LiterallyGaming,Nintendo Switch,8h 30m,100%,,5494777,Completed,First,"December 20, 2017",8h 30m,,,,,,,,,
99,42833,Private,Nintendo Switch,8h 30m,NR,,6970291,Playing Completed,First,,8h 30m,,,,,55h /,,,,
100,42833,TiavioliGaming,Nintendo Switch,8h 30m,90%,,10385764,Completed,First,"November 09, 2019",8h 30m,,,,,,,,,
101,42833,avatarlesshope,Nintendo Switch,8h 30m,NR,Finished with 142 Moons. Not intended as a speed run.,6056514,Completed,First,"March 25, 2018",8h 30m,,,,Decent game. Lots of repetition in later levels. Minimal expansion on ideas.,,,,,
102,42833,batcnr,Nintendo Switch,8h 30m,80%,Good,6254661,Completed,First,"May 15, 2018",8h 30m,,,,,,,,,
103,42833,brenttrek,Nintendo Switch,8h 32m,100%,,11555491,Completed,First,"May 03, 2020",8h 32m 25s,,,,,,,,,
104,42833,devin25,Nintendo Switch,8h 33m,90%,187 power moons,5368364,Custom List Completed,First,"April 30, 2020",8h 33m,,,,,8h 43m /,,,,
105,42833,Private,Nintendo Switch,8h 38m,NR,,6620151,Playing Completed,First,"July 30, 2018",8h 38m,,,,,8h 50m 22s /,,,,
106,42833,,Nintendo Switch,8h 40m,NR,Collected some more moons than necessary and at least 15 purple coins per world for the costumes.,5256468,Completed,First,,8h 40m,,,,,,,,,
107,42833,slickochet,Nintendo Switch,8h 40m,NR,153 Moons at the end.,5223232,Completed,First,"October 27, 2017",8h 40m,,,,,,,,,
108,42833,,Nintendo Switch,8h 40m,NR,,9201145,Completed,First,,8h 40m 21s,,,,,,,,,
109,42833,LEGOslayer,Nintendo Switch,8h 45m,100%,,5229302,Completed,First,"October 28, 2017",8h 45m,,,,,,,,,
110,42833,Private,Nintendo Switch,8h 45m,NR,,5234299,Completed,First,"October 29, 2017",8h 45m,,,,,,,,,
111,42833,Zomoniac,Nintendo Switch,8h 46m,100%,,5252934,Completed,First,"November 01, 2017",8h 46m,,,,,,,,,
112,42833,,Nintendo Switch,8h 46m,NR,,5669902,Completed,First,,8h 46m 22s,,,,,,,,,
113,42833,,Nintendo Switch,8h 47m,NR,,5225816,Completed,First,,8h 47m,,,,,,,,,
114,42833,,Nintendo Switch,8h 47m,NR,,8221907,Completed,First,,8h 47m,,,,,,,,,
115,42833,Fanha,Nintendo Switch,8h 47m,80%,,5386610,Completed,First,"November 27, 2017",8h 47m,,,,,,,,,
116,42833,Saru,Nintendo Switch,8h 55m,NR,,8557575,Completed,First,"April 02, 2019",8h 55m,,,,,,,,,
117,42833,,Nintendo Switch,9h,NR,,5224847,Completed,First,,9h,,,,,,,,,
118,42833,,Nintendo Switch,9h,NR,,5229001,Completed,First,,9h,,,,,,,,,
119,42833,,Nintendo Switch,9h,NR,,5532258,Completed,First,,9h,11h,,,,,,,,
120,42833,,Nintendo Switch,9h,NR,,5774937,Completed,First,,9h,15h,50h,,,,,,,
121,42833,,Nintendo Switch,9h,NR,,8732256,Completed,First,,9h,,,,,,,,,
122,42833,53rdturtle,Nintendo Switch,9h,NR,,5376071,Completed Retired,First,"November 24, 2017",9h,30h,60h,,,,,,,
123,42833,Aksys,Nintendo Switch,9h,NR,,8618374,Completed,First,"April 14, 2019",9h,,,,,,,,,
124,42833,Euleriano,Nintendo Switch,9h,NR,,5606035,Playing Completed,First,"January 06, 2018",9h,,,,,05s /,,,,
125,42833,HappySalesman,Nintendo Switch,9h,NR,,11899916,Completed,First,"June 03, 2020",9h,,,,,,,,,
126,42833,Marador,Nintendo Switch,9h,70%,,8520044,Completed,First,"October 25, 2018",9h,,,,,,,,,
127,42833,Painmaster212,Nintendo Switch,9h,90%,,5313371,Completed,First,"December 20, 2017",9h,,,,,,,,,
128,42833,RottedRabbit,Nintendo Switch,9h,NR,,9358077,Completed,First,"August 13, 2019",9h,,,,,,,,,
129,42833,T4X_EV4DER,Nintendo Switch,9h,100%,This is a game which is definitely worthwhile to 100%.,6073747,Playing Completed,Replay,"January 15, 2018",9h,25h,45h,,I suggest if you are going for a 100% that you pick up the Wedding Bowser amiibo. It helps you find purple coins that you may have missed. Other than that the game is fairly easy to fully complete.,105h /,,,,
130,42833,Private,Nintendo Switch,9h,70%,,11827526,Completed,First,"May 24, 2020",9h,,,,,,,,,
131,42833,hencurio,Nintendo Switch,9h,NR,,6411361,Completed,First,"June 15, 2018",9h,26h,70h,,,,,,,
132,42833,herbalmint,Nintendo Switch,9h,80%,,11613942,Completed,First,"August 01, 2019",9h,,,,,,,,,
133,42833,imapera,Nintendo Switch,9h,NR,999 moons and all kingdom coins (not all dresses bought),7451498,Completed,First,"November 15, 2018",9h,65h,,,,,,,,
134,42833,Private,Nintendo Switch,9h,100%,,5224917,Completed,First,"October 27, 2017",9h,,,,,,,,,
135,42833,Private,Nintendo Switch,9h,50%,,6129378,Completed,First,"May 11, 2018",9h,,,,,,,,,
136,42833,meto58,Nintendo Switch,9h,90%,,5234232,Completed,First,"November 18, 2017",9h,,55h,,,,,,,
137,42833,Private,Nintendo Switch,9h,NR,,5395483,Playing Completed,First,,9h,,,,,,,,,
138,42833,nukadorm,Nintendo Switch,9h,NR,,5890192,Completed,First,,9h,,,,,,,,,
139,42833,ricardioheartguy,Nintendo Switch,9h,100%,,5254469,Completed,First,"November 08, 2017",9h,,,,,,,,,
140,42833,sroche,Nintendo Switch,9h,90%,,5243906,Playing Replay Completed,First,"November 26, 2017",9h,,,,,36h /,,,,
141,42833,ntylerwetrust,Nintendo Switch,9h 01m,80%,Very straight forward playthrough,9440612,Completed,First,"October 07, 2019",9h 01m 24s,,,,,,,,,
142,42833,Nightblade1,Nintendo Switch,9h 07m,NR,,5428506,Completed,First,"January 13, 2018",9h 07m 54s,,,,,,,,,
143,42833,MrROBINKONG,Nintendo Switch,9h 13m,100%,Beat bowser with 164 moons,7107779,Completed,First,"November 22, 2018",9h 13m 07s,9h 13m 08s,,,,,,,,
144,42833,Redhotchilly55,Nintendo Switch,9h 18m,NR,,8833782,Completed,First,"May 23, 2019",9h 18m 02s,,,,,,,,,
145,42833,tron999,Nintendo Switch,9h 28m,NR,Finished dark side 9/8/2019,5515188,Completed,First,"January 28, 2018",9h 28m,14h 01m,,,,,,,,
146,42833,,Nintendo Switch,9h 30m,NR,,11780560,Completed,First,,9h 30m,,,,,,,,,
147,42833,Flourite,Nintendo Switch,9h 30m,100%,,7527175,Completed,First,"December 02, 2018",9h 30m,,,,,,,,,
148,42833,Guyius,Nintendo Switch,9h 30m,NR,,5422796,Completed,First,"December 05, 2017",9h 30m,,,,,,,,,
149,42833,Wedjwants,Nintendo Switch,9h 30m,NR,,8462253,Completed,First,"December 09, 2017",9h 30m,,,,,,,,,
150,42833,ayoungone3,Nintendo Switch,9h 30m,80%,,11023040,Completed,First,"August 13, 2018",9h 30m,,,,,,,,,
151,42833,dylanado,Nintendo Switch,9h 30m,NR,Estimate since Switch does not have activity log,5237767,Completed,First,"November 03, 2017",9h 30m,,,,,,,,,
152,42833,BewaretheBatman,Nintendo Switch,9h 30m,90%,,5264480,Completed,First,"March 18, 2018",9h 30m 46s,,,,,,,,,
153,42833,TylerTheGamer2000,Nintendo Switch,9h 33m,100%,"Long Journey's End, 582 Power Moons",4508095,Completed,First,"January 20, 2018",9h 33m,20h 30m,,,,,,,,
154,42833,RieLoveChan,Nintendo Switch,9h 35m,NR,,9680571,Completed,First,,9h 35m 40s,,,,,,,,,
155,42833,kawwumbo,Nintendo Switch,9h 36m,NR,,11540653,Completed,First,"June 23, 2019",9h 36m,,,,,,,,,
156,42833,Private,Nintendo Switch,9h 39m,100%,,7092820,Completed,First,,9h 39m 13s,,,,,,,,,
157,42833,HollywoodKills,Nintendo Switch,9h 45m,100%,,11431721,Completed,First,"February 13, 2018",9h 45m,,,,,,,,,
158,42833,chadilak,Nintendo Switch,9h 45m,100%,503 moons. Darker side of moon beaten.,5224848,Completed,First,"November 02, 2017",9h 45m,15h 11m,,,,,,,,
159,42833,ThatGuyGmes,Nintendo Switch,9h 53m,NR,,5562261,Completed,First,"December 03, 2018",9h 53m 57s,,,,,,,,,
160,42833,seanomac68,Nintendo Switch,9h 55m,NR,,5388688,Completed,First,,9h 55m 35s,15h 12m 03s,,,,,,,,
161,42833,NukeYourNanny,Nintendo Switch,9h 58m,NR,,9574391,Completed,First,"December 02, 2019",9h 58m 15s,,,,,,,,,
162,42833,,Nintendo Switch,10h,NR,,5230058,Completed,First,,10h,20h,,,,,,,,
163,42833,,Nintendo Switch,10h,NR,"503 moons, all missions complete",5285638,Completed,First,,10h,35h,,,,,,,,
164,42833,,Nintendo Switch,10h,NR,,5319857,Completed,First,,10h,18h,42h,,,,,,,
165,42833,,Nintendo Switch,10h,NR,,5342120,Completed,First,,10h,,40h,,,,,,,
166,42833,,Nintendo Switch,10h,NR,,5362367,Completed,First,,10h,12h,50h,,,,,,,
167,42833,,Nintendo Switch,10h,NR,took my time to enjoy the game,5402527,Completed,First,,10h,,85h,,,,,,,
168,42833,,Nintendo Switch,10h,NR,,5542571,Completed,First,,10h,12h,100h,,,,,,,
169,42833,,Nintendo Switch,10h,NR,,5588175,Completed,First,,10h,,,,,,,,,
170,42833,,Nintendo Switch,10h,NR,,5792971,Completed,First,,10h,,,,,,,,,
171,42833,,Nintendo Switch,10h,NR,,6025206,Completed,First,,10h,18h,50h,,,,,,,
172,42833,,Nintendo Switch,10h,NR,,6250607,Completed,First,,10h,35h,105h,,,,,,,
173,42833,,Nintendo Switch,10h,NR,,6253860,Completed,First,,10h,,,,,,10h,,,
174,42833,,Nintendo Switch,10h,NR,,6851548,Completed,First,,10h,,75h,,,,,,,
175,42833,,Nintendo Switch,10h,NR,,7795124,Completed,First,,10h,,,,,,,,,
176,42833,,Nintendo Switch,10h,NR,,8555061,Completed,First,,10h,,75h,,,,,,,
177,42833,,Nintendo Switch,10h,NR,,9699957,Completed,First,,10h,,,,,,,,,
178,42833,,Nintendo Switch,10h,NR,,10227163,Completed,First,,10h,,,,,,,,,
179,42833,,Nintendo Switch,10h,NR,,10227168,Completed,First,,10h,,,,,,,,,
180,42833,,Nintendo Switch,10h,NR,,10227171,Completed,First,,10h,,,,,,,,,
181,42833,,Nintendo Switch,10h,NR,,10676493,Completed,First,,10h,,,,,,,,,
182,42833,,Nintendo Switch,10h,NR,,10813000,Completed,First,,10h,,,,,,,,,
183,42833,,Nintendo Switch,10h,NR,,11448000,Completed,First,,10h,,,,,,,,,
184,42833,,Nintendo Switch,10h,NR,,11589973,Completed,First,,10h,12h,,,,,,,,
185,42833,,Nintendo Switch,10h,NR,,11905429,Completed,First,,10h,,,,,,,,,
186,42833,2miaou,Nintendo Switch,10h,NR,,5427578,Playing Completed,First,"December 06, 2017",10h,,,,,,,,,
187,42833,ACE_V,Nintendo Switch,10h,80%,,9359755,Completed,First,"March 22, 2019",10h,,,,,,,,,
188,42833,Akani,Nintendo Switch,10h,NR,,6846319,Completed,First,"August 15, 2018",10h,,,,,,,,,
189,42833,BlueKrimzon_,Nintendo Switch,10h,80%,,5500038,Completed,First,"December 03, 2017",10h,,,,,,,,,
190,42833,Bravelion609,Nintendo Switch,10h,NR,,11326984,Completed,First,"April 02, 2020",10h,21h,,,,,,,,
191,42833,Chemical_Crash,Nintendo Switch,10h,NR,,11465582,Completed,First,"February 16, 2019",10h,,,,,,,,,
192,42833,Coldiver,Nintendo Switch,10h,90%,,9363377,Completed,First,2017,10h,20h,80h,,,,,,,
193,42833,Critter2003,Nintendo Switch,10h,NR,"Approximate time, 10 to 15 hours.",10304960,Completed,First,,10h,,,,,,,,,
194,42833,CubbyCon,Nintendo Switch,10h,NR,,5888582,Completed,First,"February 24, 2018",10h,,,,,,,,,
195,42833,CubedGameboy,Nintendo Switch,10h,NR,,11936948,Completed,First,,10h,,,,,,,,,
196,42833,Private,Nintendo Switch,10h,NR,,7777499,Completed,First,,10h,,,,,,,,,
197,42833,Dabikon,Nintendo Switch,10h,NR,,10582879,Completed,First,"December 12, 2019",10h,,,,,,,,,
198,42833,Daigod,Nintendo Switch,10h,NR,,11460768,Completed,First,"April 16, 2020",10h,,,,,,,,,
199,42833,DeadlyCameron,Nintendo Switch,10h,NR,,6774328,Completed,First,"August 06, 2018",10h,,,,,,,,,
200,42833,DeadlyPants,Nintendo Switch,10h,NR,,8033636,Completed,First,"January 13, 2019",10h,16h,,,,,,,,
201,42833,Devars,Nintendo Switch,10h,100%,,10938563,Completed,First,"April 04, 2019",10h,,50h,,,,,,,
202,42833,EmperorGandhi,Nintendo Switch,10h,100%,,6624237,Completed,First,"December 12, 2017",10h,,65h,,,,,,,
203,42833,Gallucci,Nintendo Switch,10h,100%,,5902486,Completed,First,"November 30, 2017",10h,20h,,,,,,,,
204,42833,Gongbanza,Nintendo Switch,10h,NR,,11134494,Completed,First,"March 11, 2020",10h,,,,,,,,,
205,42833,Hinhu,Nintendo Switch,10h,NR,,11819742,Completed,First,,10h,,,,,,,,,
206,42833,Husky,Nintendo Switch,10h,90%,,11447599,Completed,First,"October 28, 2017",10h,,,,,,,,,
207,42833,I_am_nobody,Nintendo Switch,10h,NR,,5282252,Completed,First,"November 06, 2017",10h,,,,,,,,,
208,42833,Jababenji,Nintendo Switch,10h,60%,,10922479,Completed,First,"January 06, 2020",10h,,,,,,,,,
209,42833,Jacub,Nintendo Switch,10h,80%,,6315245,Completed,First,,10h,,,,,,,,,
210,42833,Jasond1234,Nintendo Switch,10h,NR,,10941932,Completed,First,"November 09, 2018",10h,,,,,,,,,
211,42833,JayTee,Nintendo Switch,10h,NR,,8962150,Completed,First,"June 15, 2019",10h,,,,,,,,,
212,42833,Private,Nintendo Switch,10h,NR,,6495882,Completed,First,"June 29, 2018",10h,,,,,,,,,
213,42833,Juanvasquez1984,Nintendo Switch,10h,NR,,5564970,Completed,First,"January 01, 2018",10h,25h,,,,,,,,
214,42833,Kappa_Drake,Nintendo Switch,10h,NR,Collected all moons,8345742,Completed,First,"January 12, 2018",10h,,200h,,,,,,,
215,42833,King_K,Nintendo Switch,10h,100%,,7244941,Completed,First,,10h,15h,35h,,,,,,,
216,42833,KingoftheBRUCE,Nintendo Switch,10h,NR,,5546677,Completed,First,,10h,15h,55h,,,,,,,
217,42833,Klafooty,Nintendo Switch,10h,90%,999 unlockables Moons + All the purple coins (miss a few costumes),5848240,Completed,First,"February 12, 2018",10h,50h,50h 30m,,,,,,,
218,42833,Klafterus,Nintendo Switch,10h,NR,,6960113,Completed,First,2017,10h,,,,,,,,,
219,42833,LaunchpadMcRoss,Nintendo Switch,10h,NR,,5255582,Completed,First,"November 02, 2017",10h,,,,,,,,,
220,42833,LdSe,Nintendo Switch,10h,NR,,6430467,Completed,First,"June 18, 2018",10h,,,,,,,,,
221,42833,Lewdmajesco,Nintendo Switch,10h,NR,About 10 hours in activity log,7682026,Completed,First,"January 12, 2019",10h,,,,,,,,,
222,42833,LordKyuubey,Nintendo Switch,10h,NR,,5435574,Completed,First,,10h,,,,,,,,,
223,42833,Magnum0ik,Nintendo Switch,10h,NR,,6116664,Completed,First,"April 13, 2018",10h,,,,,,,,,
